,PE_TTM,DIVIDENDYIELD2
2011-03-28,16.504199981689453,1.8301
2011-03-29,16.232099533081055,1.831
2011-03-30,16.24970054626465,1.8097
2011-03-31,16.348100662231445,1.8012
2011-04-01,16.534099578857422,1.7745
2011-04-06,16.80780029296875,1.7481
2011-04-07,16.8302001953125,1.7565
2011-04-08,16.923599243164062,1.7418
2011-04-11,16.93160057067871,1.7338
2011-04-12,16.6471004486084,1.758
2011-04-13,16.796199798583984,1.7447
2011-04-14,16.743999481201172,1.7587
2011-04-15,16.80270004272461,1.7544
2011-04-18,16.670799255371094,1.8234
2011-04-19,16.478200912475586,1.858
2011-04-20,16.786699295043945,1.8374
2011-04-21,16.963300704956055,1.847
2011-04-22,16.95989990234375,1.8375
2011-04-25,16.98780059814453,1.7888
2011-04-26,16.851299285888672,1.8016
2011-04-27,17.245500564575195,1.8147
2011-04-28,16.597700119018555,1.8755
2011-04-29,16.440200805664062,1.8652
2011-05-03,16.342899322509766,1.8462
2011-05-04,16.08489990234375,1.8738
2011-05-05,16.016199111938477,1.8779
2011-05-06,16.0575008392334,1.8754
2011-05-09,16.167600631713867,1.6363
2011-05-10,16.166000366210938,1.6366
2011-05-11,16.215700149536133,1.6226
2011-05-12,16.004199981689453,1.592
2011-05-13,16.118900299072266,1.7973
2011-05-16,15.921699523925781,1.8036
2011-05-17,15.98639965057373,1.7972
2011-05-18,16.134300231933594,1.8415
2011-05-19,16.203500747680664,1.8545
2011-05-20,16.213699340820312,1.7304
2011-05-23,15.851200103759766,1.7687
2011-05-24,15.917499542236328,1.809
2011-05-25,15.906399726867676,1.7905
2011-05-26,15.98390007019043,1.7816
2011-05-27,16.185100555419922,1.7329
2011-05-30,16.216100692749023,1.6311
2011-05-31,16.530099868774414,1.6109
2011-06-01,16.6924991607666,1.5895
2011-06-02,16.397499084472656,1.73
2011-06-03,16.17729949951172,1.7592
2011-06-07,16.08679962158203,1.8551
2011-06-08,15.93850040435791,1.8681
2011-06-09,15.772199630737305,1.9206
2011-06-10,15.659899711608887,1.9346
2011-06-13,15.727299690246582,1.929
2011-06-14,15.767000198364258,1.9265
2011-06-15,15.716899871826172,1.9267
2011-06-16,15.475299835205078,2.3662
2011-06-17,15.35219955444336,2.3985
2011-06-20,15.322999954223633,2.399
2011-06-21,15.474900245666504,2.3827
2011-06-22,15.483599662780762,2.3759
2011-06-23,15.39050006866455,2.3849
2011-06-24,15.837200164794922,2.3205
2011-06-27,15.81820011138916,2.3319
2011-06-28,15.826700210571289,2.3348
2011-06-29,15.790499687194824,2.3292
2011-06-30,16.005800247192383,2.3106
2011-07-01,16.00480079650879,1.9207
2011-07-04,16.36370086669922,1.8785
2011-07-05,16.3262996673584,1.886
2011-07-06,16.118200302124023,1.9041
2011-07-07,16.14430046081543,1.9039
2011-07-08,16.291400909423828,1.8956
2011-07-11,15.999899864196777,1.9268
2011-07-12,15.439499855041504,1.9933
2011-07-13,15.75059986114502,1.9557
2011-07-14,15.791899681091309,1.9529
2011-07-15,15.752599716186523,1.9549
2011-07-18,15.696700096130371,1.9685
2011-07-19,15.700400352478027,1.9696
2011-07-20,15.813199996948242,1.9583
2011-07-21,15.744099617004395,1.9675
2011-07-22,16.050899505615234,1.9329
2011-07-25,15.84060001373291,1.9561
2011-07-26,16.058700561523438,1.926
2011-07-27,16.075599670410156,1.9188
2011-07-28,16.01219940185547,1.9271
2011-07-29,15.865799903869629,1.9408
2011-08-01,16.027299880981445,1.9228
2011-08-02,15.75160026550293,1.9506
2011-08-03,15.439499855041504,1.9876
2011-08-04,15.362799644470215,1.9893
2011-08-05,14.778499603271484,2.0691
2011-08-08,14.386699676513672,2.1248
2011-08-09,13.592700004577637,2.2347
2011-08-10,13.87600040435791,2.1778
2011-08-11,13.809100151062012,2.1793
2011-08-12,13.768600463867188,2.1729
2011-08-15,14.266599655151367,2.101
2011-08-16,14.224300384521484,2.1021
2011-08-17,14.150799751281738,2.1054
2011-08-18,13.854700088500977,2.1421
2011-08-19,13.27869987487793,2.2008
2011-08-22,13.222200393676758,2.2231
2011-08-23,13.499699592590332,2.1929
2011-08-24,12.542799949645996,2.2401
2011-08-25,12.546899795532227,2.1892
2011-08-26,12.395999908447266,2.2054
2011-08-29,12.58489990234375,2.1633
2011-08-30,12.743900299072266,2.141
2011-08-31,12.95259952545166,2.1163
2011-09-01,12.990599632263184,2.0977
2011-09-02,12.748000144958496,2.0615
2011-09-05,12.347900390625,2.1646
2011-09-06,12.407099723815918,2.1574
2011-09-07,12.620499610900879,2.1604
2011-09-08,12.573100090026855,2.391
2011-09-09,12.515700340270996,2.3782
2011-09-13,11.975799560546875,2.2611
2011-09-14,11.961700439453125,2.2526
2011-09-15,12.034099578857422,2.2362
2011-09-16,12.241100311279297,2.2036
2011-09-19,11.86299991607666,2.2474
2011-09-20,11.892200469970703,2.2521
2011-09-21,11.782500267028809,2.28
2011-09-22,11.098899841308594,2.414
2011-09-23,10.863699913024902,2.466
2011-09-26,10.560199737548828,2.5315
2011-09-27,11.139800071716309,2.4241
2011-09-28,11.177000045776367,2.3957
2011-09-29,11.176300048828125,2.4016
2011-09-30,10.818300247192383,2.4649
2011-10-10,10.746199607849121,2.4817
2011-10-11,11.156999588012695,2.3993
2011-10-12,11.348400115966797,2.362
2011-10-13,11.697099685668945,2.3055
2011-10-14,11.437600135803223,2.3573
2011-10-17,11.74470043182373,2.2963
2011-10-18,11.167900085449219,2.4052
2011-10-19,11.327300071716309,2.3728
2011-10-20,11.066699981689453,2.4208
2011-10-21,11.106900215148926,2.4129
2011-10-24,11.633899688720703,2.3245
2011-10-25,11.808099746704102,2.2908
2011-10-26,12.446599960327148,2.2611
2011-10-27,12.947099685668945,2.1822
2011-10-28,12.917900085449219,2.1702
2011-10-31,12.741299629211426,2.1941
2011-11-01,12.42080020904541,2.2419
2011-11-02,12.668000221252441,2.2037
2011-11-03,12.454299926757812,2.2462
2011-11-04,12.849900245666504,2.1927
2011-11-07,12.80150032043457,2.2054
2011-11-08,12.789600372314453,2.2189
2011-11-09,13.036800384521484,2.1832
2011-11-10,12.388199806213379,2.2821
2011-11-11,12.549300193786621,2.2606
2011-11-14,12.87660026550293,2.2061
2011-11-15,12.79580020904541,2.2124
2011-11-16,12.515600204467773,2.2483
2011-11-17,12.427499771118164,2.2545
2011-11-18,12.124500274658203,2.3069
2011-11-21,11.917099952697754,2.3341
2011-11-22,11.933099746704102,2.3312
2011-11-23,11.650799751281738,2.3749
2011-11-24,11.736100196838379,2.3656
2011-11-25,11.572699546813965,2.3889
2011-11-28,11.852299690246582,2.3326
2011-11-29,12.004899978637695,2.3004
2011-11-30,11.809800148010254,2.3292
2011-12-01,12.809200286865234,2.1406
2011-12-02,12.844200134277344,2.1386
2011-12-05,12.913200378417969,2.1299
2011-12-06,12.734100341796875,2.1594
2011-12-07,12.942500114440918,2.1329
2011-12-08,12.86139965057373,2.1462
2011-12-09,12.49209976196289,2.2019
2011-12-12,12.493599891662598,2.1971
2011-12-13,12.374199867248535,2.2154
2011-12-14,12.313799858093262,2.2215
2011-12-15,12.069899559020996,2.2646
2011-12-16,12.270299911499023,2.2303
2011-12-19,12.107999801635742,2.2585
2011-12-20,12.098600387573242,2.268
2011-12-21,12.360799789428711,2.2285
2011-12-22,12.354900360107422,2.2316
2011-12-23,12.572799682617188,2.1956
2011-12-26,12.570799827575684,2.1961
2011-12-27,12.569199562072754,2.1964
2011-12-28,12.4266996383667,2.2222
2011-12-29,12.372300148010254,2.2362
2011-12-30,12.363200187683105,2.2368
2012-01-04,12.52750015258789,2.2176
2012-01-05,12.598400115966797,2.2061
2012-01-06,12.470600128173828,2.2302
2012-01-09,12.730600357055664,2.1912
2012-01-10,12.881699562072754,2.171
2012-01-11,13.01669979095459,2.1519
2012-01-12,12.984000205993652,2.1604
2012-01-13,13.093500137329102,2.1495
2012-01-16,12.92020034790039,2.1804
2012-01-17,13.395600318908691,2.1123
2012-01-18,13.385199546813965,2.1153
2012-01-19,13.566399574279785,2.0861
2012-01-20,13.547100067138672,2.0891
2012-01-30,13.467300415039062,2.107
2012-01-31,13.676199913024902,2.0679
2012-02-01,13.642000198364258,2.0709
2012-02-02,13.97350025177002,2.029
2012-02-03,13.977800369262695,2.0309
2012-02-06,13.903499603271484,2.0454
2012-02-07,13.885199546813965,2.0459
2012-02-08,14.134099960327148,2.0092
2012-02-09,14.135600090026855,2.0023
2012-02-10,13.893899917602539,2.0268
2012-02-13,13.930999755859375,2.0193
2012-02-14,13.88860034942627,2.0244
2012-02-15,14.18690013885498,1.9826
2012-02-16,14.118900299072266,1.9884
2012-02-17,14.235400199890137,1.9736
2012-02-20,14.178899765014648,1.9785
2012-02-21,14.185600280761719,1.9763
2012-02-22,14.32040023803711,1.9608
2012-02-23,14.18649959564209,1.9803
2012-02-24,14.172200202941895,1.9805
2012-02-27,14.049300193786621,1.9958
2012-02-28,14.331700325012207,1.9577
2012-02-29,14.408100128173828,1.9474
2012-03-01,14.159299850463867,1.977
2012-03-02,14.306699752807617,1.9553
2012-03-05,14.055700302124023,1.982
2012-03-06,13.735199928283691,2.0186
2012-03-07,13.632699966430664,2.0305
2012-03-08,13.890600204467773,1.9909
2012-03-09,14.028900146484375,1.9731
2012-03-12,14.017200469970703,1.967
2012-03-13,14.133299827575684,1.9506
2012-03-14,14.089200019836426,1.9517
2012-03-15,13.998800277709961,1.9588
2012-03-16,13.948800086975098,1.9666
2012-03-19,13.733699798583984,2.0023
2012-03-20,13.561599731445312,2.0277
2012-03-21,13.514200210571289,2.0266
2012-03-22,13.507200241088867,2.0274
2012-03-23,13.305299758911133,2.0512
2012-03-26,13.327400207519531,2.0569
2012-03-27,13.630800247192383,2.0232
2012-03-28,12.90880012512207,2.0335
2012-03-29,12.789299964904785,2.0573
2012-03-30,12.89050006866455,2.0393
2012-04-05,13.004400253295898,2.0175
2012-04-06,13.005000114440918,2.0172
2012-04-09,13.001999855041504,2.0036
2012-04-10,12.841300010681152,2.0316
2012-04-11,12.717300415039062,2.0529
2012-04-12,12.8858003616333,2.0285
2012-04-13,13.17650032043457,1.9916
2012-04-16,13.131699562072754,1.9831
2012-04-17,13.068699836730957,1.9981
2012-04-18,13.20580005645752,1.9809
2012-04-19,13.334199905395508,1.8988
2012-04-20,13.339599609375,1.8815
2012-04-23,13.079999923706055,1.8746
2012-04-24,13.653900146484375,1.8715
2012-04-25,13.709500312805176,1.8733
2012-04-26,13.902000427246094,1.8602
2012-04-27,13.7121000289917,1.8603
2012-05-02,14.003999710083008,1.7758
2012-05-03,13.884900093078613,1.7934
2012-05-04,13.793100357055664,1.7721
2012-05-07,13.4621000289917,1.7851
2012-05-08,13.38010025024414,1.8002
2012-05-09,13.201000213623047,1.8249
2012-05-10,13.137200355529785,1.8224
2012-05-11,12.97700023651123,1.8427
2012-05-14,12.810999870300293,1.5999
