,PE_TTM,DIVIDENDYIELD2
2018-03-23,13.75730037689209,1.9597
2018-03-26,13.612899780273438,1.9786
2018-03-27,13.66790008544922,1.9631
2018-03-28,13.404899597167969,1.9948
2018-03-29,13.593899726867676,1.9677
2018-03-30,13.537500381469728,1.9571
2018-04-02,13.465100288391112,1.9649
2018-04-03,13.371299743652344,1.9794
2018-04-04,13.340999603271484,1.9824
2018-04-09,13.323399543762209,1.9861
2018-04-10,13.597599983215332,1.948
2018-04-11,13.67360019683838,1.9375
2018-04-12,13.502900123596191,1.9538
2018-04-13,13.398300170898438,1.9688
2018-04-16,13.135700225830078,2.0014
2018-04-17,12.93929958343506,2.0333
2018-04-18,13.031499862670898,2.0188
2018-04-19,13.159799575805664,1.9973
2018-04-20,12.98050022125244,2.0226
2018-04-23,12.99250030517578,2.0215
2018-04-24,13.231900215148926,1.9809
2018-04-25,13.132100105285645,1.9882
2018-04-26,12.89739990234375,2.0166
2018-04-27,12.830300331115724,2.0179
2018-05-02,12.671299934387209,2.0224
2018-05-03,12.73449993133545,2.013
2018-05-04,12.674699783325195,2.0202
2018-05-07,12.864299774169922,2.0353
2018-05-08,12.994500160217283,2.0188
2018-05-09,12.986700057983398,2.0226
2018-05-10,13.04740047454834,2.0182
2018-05-11,13.02560043334961,1.9988
2018-05-14,13.113900184631348,1.949
2018-05-15,13.161499977111816,1.9418
2018-05-16,13.045299530029297,1.9537
2018-05-17,12.961000442504885,1.9541
2018-05-18,13.133700370788574,1.9337
2018-05-21,13.179400444030762,1.9189
2018-05-22,13.122900009155272,1.9339
2018-05-23,12.9306001663208,1.9785
2018-05-24,12.84119987487793,1.9901
2018-05-25,12.79069995880127,1.9982
2018-05-28,12.81999969482422,2.155
2018-05-29,12.740500450134276,2.1707
2018-05-30,12.461099624633787,2.2276
2018-05-31,12.687800407409668,2.1911
2018-06-01,12.65820026397705,2.2161
2018-06-04,12.77400016784668,2.2049
2018-06-05,12.860799789428713,2.1892
2018-06-06,12.829400062561035,2.3079
2018-06-07,12.815600395202637,2.3026
2018-06-08,12.633700370788574,2.39
2018-06-11,12.601499557495115,2.4416
2018-06-12,12.744799613952637,2.4137
2018-06-13,12.65250015258789,2.4342
2018-06-14,12.625,2.4362
2018-06-15,12.59589958190918,2.3222
2018-06-19,12.242199897766112,2.3734
2018-06-20,12.252799987792969,2.3681
2018-06-21,12.12320041656494,2.4112
2018-06-22,12.15939998626709,2.4547
2018-06-25,11.993800163269045,2.5281
2018-06-26,11.872599601745604,2.5577
2018-06-27,11.682100296020508,2.6101
2018-06-28,11.562999725341797,2.6466
2018-06-29,11.829999923706056,2.6136
