,PE_TTM,DIVIDENDYIELD2
2014-01-02,7.263299942016602,3.9418
2014-01-03,7.168700218200684,3.9949
2014-01-06,7.1168999671936035,4.0204
2014-01-07,7.094699859619141,4.0262
2014-01-08,7.08650016784668,4.0297
2014-01-09,7.043300151824951,4.0446
2014-01-10,7.026400089263916,4.0522
2014-01-13,7.037600040435791,4.0514
2014-01-14,7.069799900054932,4.028
2014-01-15,7.02810001373291,4.0531
2014-01-16,7.020400047302246,4.0556
2014-01-17,7.011899948120117,4.0609
2014-01-20,6.950900077819824,4.0964
2014-01-21,6.985499858856201,4.0761
2014-01-22,7.100399971008301,4.0043
2014-01-23,7.031199932098389,4.0423
2014-01-24,7.041100025177002,4.0348
2014-01-27,6.943699836730957,4.0951
2014-01-28,6.984799861907959,4.0717
2014-01-29,7.014800071716309,4.057
2014-01-30,6.942999839782715,4.1016
2014-02-07,6.92609977722168,4.1105
2014-02-10,7.023200035095215,4.0506
2014-02-11,7.1057000160217285,4.0058
2014-02-12,7.102399826049805,4.0072
2014-02-13,7.12529993057251,3.9962
2014-02-14,7.1331000328063965,3.9905
2014-02-17,7.159299850463867,3.9698
2014-02-18,7.030399799346924,4.029
2014-02-19,7.157100200653076,3.9584
2014-02-20,7.19890022277832,3.9273
2014-02-21,7.1072001457214355,3.9834
2014-02-24,6.943399906158447,4.0834
2014-02-25,6.8632001876831055,4.1345
2014-02-26,6.888000011444092,4.1187
2014-02-27,6.982500076293945,4.0618
2014-02-28,6.98769998550415,4.0554
2014-03-03,6.982699871063232,4.0523
2014-03-04,6.966400146484375,4.0635
2014-03-05,6.888299942016602,4.1123
2014-03-06,6.940700054168701,4.0785
2014-03-07,6.94350004196167,4.0665
2014-03-10,6.8078999519348145,4.1552
2014-03-11,6.806600093841553,4.1544
2014-03-12,6.782199859619141,4.174
2014-03-13,6.846499919891357,4.1341
2014-03-14,6.771999835968018,4.1783
2014-03-17,6.818999767303467,4.1467
2014-03-18,6.8003997802734375,4.158
2014-03-19,6.78249979019165,4.1647
2014-03-20,6.727399826049805,4.2032
2014-03-21,6.896500110626221,4.0769
2014-03-24,6.98799991607666,4.0738
2014-03-25,6.939799785614014,4.0904
2014-03-26,6.950300216674805,4.0979
2014-03-27,6.924099922180176,4.1194
2014-03-28,6.941699981689453,4.0927
2014-03-31,6.913000106811523,4.0952
2014-04-01,6.940100193023682,4.08
2014-04-02,6.990200042724609,4.0477
2014-04-03,6.930200099945068,4.0795
2014-04-04,6.968299865722656,4.0587
2014-04-08,7.116399765014648,3.9693
2014-04-09,7.123700141906738,3.9645
2014-04-10,7.265699863433838,3.8871
2014-04-11,7.253499984741211,3.8889
2014-04-14,7.225100040435791,3.9059
2014-04-15,7.096399784088135,3.9789
2014-04-16,7.1118998527526855,3.9725
2014-04-17,7.083899974822998,3.9846
2014-04-18,7.058499813079834,3.9944
2014-04-21,6.960999965667725,4.0529
2014-04-22,7.02209997177124,4.0154
2014-04-23,7.00439977645874,4.0232
2014-04-24,6.97760009765625,4.0783
2014-04-25,6.9405999183654785,4.1034
2014-04-28,6.8730998039245605,4.1367
2014-04-29,6.867400169372559,4.1135
2014-04-30,6.7778000831604,4.1632
2014-05-05,6.754000186920166,4.1556
2014-05-06,6.736499786376953,4.1666
2014-05-07,6.701900005340576,4.1901
2014-05-08,6.712600231170654,4.2476
2014-05-09,6.714799880981445,4.246
2014-05-12,6.814700126647949,4.1794
2014-05-13,6.804900169372559,4.1829
2014-05-14,6.801199913024902,4.1849
2014-05-15,6.765100002288818,4.2132
2014-05-16,6.768700122833252,4.2107
2014-05-19,6.686399936676025,4.2406
2014-05-20,6.697999954223633,4.2336
2014-05-21,6.758399963378906,4.1702
2014-05-22,6.759799957275391,4.1708
2014-05-23,6.797699928283691,4.1712
2014-05-26,6.80210018157959,4.1444
2014-05-27,6.78849983215332,4.1731
2014-05-28,6.843900203704834,4.1469
2014-05-29,6.834499835968018,4.1529
2014-05-30,6.819399833679199,4.1632
2014-06-03,6.825399875640869,4.3778
2014-06-04,6.793000221252441,4.2356
2014-06-05,6.83650016784668,4.6138
2014-06-06,6.801199913024902,4.5459
2014-06-09,6.831200122833252,4.0427
2014-06-10,6.91480016708374,3.9935
2014-06-11,6.902200222015381,4.0015
2014-06-12,6.8815999031066895,4.0387
2014-06-13,6.958399772644043,3.9933
2014-06-16,7.025700092315674,3.7691
2014-06-17,6.954899787902832,3.8891
2014-06-18,6.928699970245361,3.9255
2014-06-19,6.8643999099731445,3.8822
2014-06-20,6.828499794006348,4.775
2014-06-23,6.788700103759766,4.8168
2014-06-24,6.807300090789795,4.9944
2014-06-25,6.772600173950195,5.2328
2014-06-26,6.797500133514404,5.213
2014-06-27,6.7845001220703125,4.2734
2014-06-30,6.810400009155273,4.2305
2014-07-01,6.781599998474121,4.2925
2014-07-02,6.806700229644775,4.1771
2014-07-03,6.838799953460693,4.1597
2014-07-04,6.846399784088135,4.0463
2014-07-07,6.860300064086914,4.0052
2014-07-08,6.874499797821045,3.9996
2014-07-09,6.792699813842773,3.7861
2014-07-10,6.726500034332275,3.8951
2014-07-11,6.723299980163574,4.33
2014-07-14,6.7677001953125,4.2818
2014-07-15,6.785200119018555,4.2716
2014-07-16,6.821100234985352,4.2492
2014-07-17,6.782199859619141,4.3982
2014-07-18,6.787899971008301,4.6093
2014-07-21,6.767399787902832,4.5486
2014-07-22,6.828499794006348,4.4985
2014-07-23,6.874899864196777,4.4361
2014-07-24,7.005499839782715,4.3524
2014-07-25,7.067299842834473,4.221
2014-07-28,7.272500038146973,4.0629
2014-07-29,7.274199962615967,4.1236
2014-07-30,7.264999866485596,4.3147
2014-07-31,7.32889986038208,4.2796
2014-08-01,7.284599781036377,4.3057
2014-08-04,7.406700134277344,4.2297
2014-08-05,7.36299991607666,4.2573
2014-08-06,7.3059000968933105,4.2901
2014-08-07,7.188399791717529,4.3606
2014-08-08,7.2052001953125,4.3493
2014-08-11,7.303100109100342,4.2456
2014-08-12,7.25540018081665,4.2723
2014-08-13,7.2555999755859375,4.2774
2014-08-14,7.180300235748291,4.308
2014-08-15,7.2382001876831055,4.2923
2014-08-18,7.239500045776367,4.2895
2014-08-19,7.250899791717529,4.2808
2014-08-20,7.207200050354004,4.3078
2014-08-21,7.15500020980835,4.3402
2014-08-22,7.160600185394287,4.3278
2014-08-25,7.099100112915039,4.3487
2014-08-26,7.083499908447266,4.361
2014-08-27,7.078800201416016,4.3584
2014-08-28,7.016900062561035,4.3772
2014-08-29,7.014200210571289,4.3424
2014-09-01,6.988699913024902,4.3271
2014-09-02,7.066500186920166,4.2822
2014-09-03,7.147900104522705,4.2319
2014-09-04,7.202600002288818,4.1989
2014-09-05,7.267000198364258,4.1591
2014-09-09,7.228899955749512,4.1821
2014-09-10,7.161499977111816,4.2211
2014-09-11,7.13070011138916,4.1769
2014-09-12,7.162600040435791,4.1752
2014-09-15,7.136600017547607,3.7034
2014-09-16,7.063199996948242,3.7451
2014-09-17,7.077600002288818,3.7369
2014-09-18,7.094699859619141,3.7276
2014-09-19,7.1020002365112305,4.1122
2014-09-22,6.94920015335083,4.2035
2014-09-23,6.974699974060059,4.186
2014-09-24,7.072700023651123,4.2466
2014-09-25,7.059999942779541,4.2544
2014-09-26,7.048799991607666,4.2626
2014-09-29,7.038400173187256,4.2646
2014-09-30,7.032299995422363,4.2671
2014-10-08,7.06820011138916,4.2443
2014-10-09,7.079599857330322,4.2373
2014-10-10,7.033100128173828,4.266
2014-10-13,6.967800140380859,4.3071
2014-10-14,6.954699993133545,4.3191
2014-10-15,6.991700172424316,4.2936
2014-10-16,6.991000175476074,4.2974
2014-10-17,6.9730000495910645,4.3086
2014-10-20,6.98769998550415,4.3002
2014-10-21,6.946499824523926,4.3239
2014-10-22,6.944699764251709,4.3264
2014-10-23,6.912499904632568,4.3498
2014-10-24,6.874599933624268,4.3608
2014-10-27,6.792500019073486,4.4194
2014-10-28,6.879799842834473,4.361
2014-10-29,6.917900085449219,4.31
2014-10-30,6.930699825286865,4.2775
2014-10-31,7.047999858856201,4.1919
2014-11-03,7.0117998123168945,4.2091
2014-11-04,6.999499797821045,4.2202
2014-11-05,6.964700222015381,4.2415
2014-11-06,6.952400207519531,4.2479
2014-11-07,6.955999851226807,4.2485
2014-11-10,7.134799957275391,4.1349
2014-11-11,7.248000144958496,4.0828
2014-11-12,7.25600004196167,4.0721
2014-11-13,7.255899906158447,4.0725
2014-11-14,7.271299839019775,4.0688
2014-11-17,7.197299957275391,4.1018
2014-11-18,7.083399772644043,4.1644
2014-11-19,7.04449987411499,4.1905
2014-11-20,7.05709981918335,4.1811
2014-11-21,7.16480016708374,4.1175
2014-11-24,7.286600112915039,4.0451
2014-11-25,7.353400230407715,4.0079
2014-11-26,7.50570011138916,3.9311
2014-11-27,7.590400218963623,3.8913
2014-11-28,7.881999969482422,3.7646
2014-12-01,7.89900016784668,3.7642
2014-12-02,8.265199661254883,3.6095
2014-12-03,8.237700462341309,3.6078
2014-12-04,8.774900436401367,3.383
2014-12-05,9.147700309753418,3.2648
2014-12-08,9.462800025939941,3.1752
2014-12-09,8.790900230407715,3.4014
2014-12-10,8.982799530029297,3.3236
2014-12-11,8.759900093078613,3.4016
2014-12-12,8.766500473022461,3.3989
2014-12-15,8.708499908447266,3.4119
2014-12-16,9.05519962310791,3.2961
2014-12-17,9.370800018310547,3.1935
2014-12-18,9.291099548339844,3.2113
2014-12-19,9.513699531555176,3.1446
2014-12-22,9.998700141906738,2.9521
2014-12-23,9.657299995422363,3.0526
2014-12-24,9.245599746704102,3.181
2014-12-25,9.652600288391113,3.0571
2014-12-26,10.02649974822998,2.9419
2014-12-29,10.150500297546387,2.9023
2014-12-30,10.322500228881836,2.8597
2014-12-31,10.585800170898438,2.7839
2015-01-05,11.03600025177002,2.6628
2015-01-06,10.91670036315918,2.6863
2015-01-07,10.987299919128418,2.6558
2015-01-08,10.643899917602539,2.736
2015-01-09,10.6697998046875,2.7505
2015-01-12,10.507399559020996,2.7943
2015-01-13,10.473999977111816,2.8015
2015-01-14,10.455699920654297,2.8163
2015-01-15,10.978699684143066,2.6799
2015-01-16,11.08430004119873,2.6532
2015-01-19,10.035400390625,2.9265
2015-01-20,10.123700141906738,2.8956
2015-01-21,10.734700202941895,2.7328
2015-01-22,10.723600387573242,2.7329
2015-01-23,10.817299842834473,2.7039
2015-01-26,10.810700416564941,2.7005
2015-01-27,10.611599922180176,2.7496
2015-01-28,10.387299537658691,2.8034
2015-01-29,10.20580005645752,2.8533
2015-01-30,10.019499778747559,2.9095
2015-02-02,9.683300018310547,3.0084
2015-02-03,10.014699935913086,2.908
2015-02-04,9.866800308227539,2.9492
2015-02-05,9.737899780273438,2.9871
2015-02-06,9.575799942016602,3.0351
2015-02-09,9.715900421142578,2.9903
2015-02-10,9.857199668884277,2.9461
2015-02-11,9.918499946594238,2.937
2015-02-12,9.950799942016602,2.9245
2015-02-13,10.006199836730957,2.9116
2015-02-16,10.00730037689209,2.9151
2015-02-17,10.077500343322754,2.8947
2015-02-25,9.980400085449219,2.9201
2015-02-26,10.217100143432617,2.8523
2015-02-27,10.222100257873535,2.8508
2015-03-02,10.217900276184082,2.8544
2015-03-03,9.857500076293945,2.9577
2015-03-04,9.86240005493164,2.9543
2015-03-05,9.68280029296875,3.0051
2015-03-06,9.708900451660156,2.9998
2015-03-09,9.991000175476074,2.9258
2015-03-10,9.828800201416016,2.9716
2015-03-11,9.876500129699707,2.9605
2015-03-12,10.188699722290039,2.8708
2015-03-13,10.196999549865723,2.8634
2015-03-16,10.375200271606445,2.813
2015-03-17,10.506600379943848,2.776
2015-03-18,10.729299545288086,2.722
2015-03-19,10.655500411987305,2.7373
2015-03-20,10.749099731445312,2.7093
2015-03-23,11.13640022277832,2.6399
2015-03-24,11.042400360107422,2.6646
2015-03-25,10.81410026550293,2.7126
2015-03-26,11.002300262451172,2.6603
2015-03-27,11.149299621582031,2.6754
2015-03-30,11.50510025024414,2.5919
2015-03-31,11.361599922180176,2.6221
2015-04-01,11.50160026550293,2.5884
2015-04-02,11.442299842834473,2.6008
2015-04-03,11.486100196838379,2.5877
2015-04-07,11.836999893188477,2.5098
2015-04-08,12.07759952545166,2.4578
2015-04-09,11.995800018310547,2.4774
2015-04-10,12.195300102233887,2.4391
2015-04-13,12.538100242614746,2.399
2015-04-14,12.504300117492676,2.4025
2015-04-15,12.605799674987793,2.3871
2015-04-16,13.104399681091309,2.2925
2015-04-17,13.328100204467773,2.2466
2015-04-20,12.919500350952148,2.3082
2015-04-21,13.054800033569336,2.2838
2015-04-22,13.300800323486328,2.2364
2015-04-23,13.21049976348877,2.2457
2015-04-24,13.03030014038086,2.2711
2015-04-27,13.668700218200684,2.171
2015-04-28,13.954899787902832,2.1737
2015-04-29,13.628700256347656,2.2077
2015-04-30,13.296899795532227,2.266
2015-05-04,13.412199974060059,2.2467
2015-05-05,12.88659954071045,2.3371
2015-05-06,12.76099967956543,2.3646
2015-05-07,12.116999626159668,2.5018
2015-05-08,12.269599914550781,2.4691
2015-05-11,12.51609992980957,2.3861
2015-05-12,12.574600219726562,2.3744
2015-05-13,12.40839958190918,2.4126
2015-05-14,12.366299629211426,2.4445
2015-05-15,12.065799713134766,2.5098
2015-05-18,11.830300331115723,2.5606
2015-05-19,12.249699592590332,2.47
2015-05-20,12.240300178527832,2.471
2015-05-21,12.315400123596191,2.4669
2015-05-22,12.712300300598145,2.3874
