,PE_TTM,DIVIDENDYIELD2
2018-08-14,28.278200149536133,0.9228
2018-08-15,27.444799423217773,0.9646
2018-08-16,27.31329917907715,0.9723
2018-08-17,26.368000030517575,1.0126
2018-08-20,26.41209983825684,0.9943
2018-08-21,27.38820075988769,0.9406
2018-08-22,27.1919002532959,0.9479
2018-08-23,27.06889915466309,0.92
2018-08-24,27.03840065002441,0.913
2018-08-27,27.48730087280273,0.8831
2018-08-28,27.377199172973636,0.8871
2018-08-29,27.387699127197266,0.8816
2018-08-30,27.02639961242676,0.9257
2018-08-31,26.88360023498535,0.931
2018-09-03,26.635400772094727,0.9171
2018-09-04,26.904600143432617,0.9032
2018-09-05,26.32979965209961,0.8802
2018-09-06,25.85120010375977,0.9141
2018-09-07,25.94610023498535,0.917
2018-09-10,25.525299072265625,0.9791
2018-09-11,25.21050071716309,1.0265
2018-09-12,23.880800247192383,1.0924
2018-09-13,23.97719955444336,1.0663
2018-09-14,24.402299880981445,1.0441
2018-09-17,25.327899932861328,1.0242
2018-09-18,25.57270050048828,1.0112
2018-09-19,25.997800827026367,0.9923
2018-09-20,26.026100158691406,0.9911
2018-09-21,26.7185001373291,0.9609
2018-09-25,26.16659927368164,0.9837
2018-09-26,26.712299346923828,0.9728
2018-09-27,26.75589942932129,0.9734
2018-09-28,26.91469955444336,0.9705
2018-10-08,24.499799728393555,1.058
2018-10-09,24.642000198364254,1.0624
2018-10-10,24.33720016479492,1.0699
2018-10-11,23.142099380493164,1.1179
2018-10-12,23.676300048828125,1.0618
2018-10-15,23.595800399780277,1.0615
2018-10-16,23.59709930419922,1.0587
2018-10-17,23.583799362182617,1.0588
2018-10-18,23.48390007019043,1.0549
2018-10-19,23.94379997253418,1.0361
2018-10-22,24.902000427246094,0.9985
2018-10-23,24.081100463867188,1.038
2018-10-24,23.885900497436523,1.0452
2018-10-25,23.68000030517578,1.0586
2018-10-26,24.89299964904785,1.0899
2018-10-29,24.082799911499023,1.1003
2018-10-30,24.214099884033203,1.0922
2018-10-31,25.03350067138672,1.0627
2018-11-01,25.45949935913086,1.0432
2018-11-02,26.99620056152344,0.972
2018-11-05,26.539400100708008,0.9861
2018-11-06,26.99760055541992,0.9694
2018-11-07,27.23600006103516,0.9629
2018-11-08,27.19420051574707,0.9668
2018-11-09,26.91119956970215,0.9797
2018-11-12,26.87380027770996,0.9803
2018-11-13,27.380300521850582,0.9667
2018-11-14,26.858699798583984,0.9886
2018-11-15,27.094600677490234,0.9823
2018-11-16,26.954099655151367,0.9862
2018-11-19,26.999799728393555,0.9747
2018-11-20,26.27549934387207,1.0082
2018-11-21,26.55389976501465,1.0009
2018-11-22,26.286800384521484,1.0101
2018-11-23,26.00900077819824,1.0231
2018-11-26,26.130800247192383,1.024
2018-11-27,26.04509925842285,1.029
2018-11-28,26.43219947814941,1.0109
2018-11-29,26.177600860595703,1.0007
2018-11-30,26.361299514770508,1.0019
2018-12-03,26.917800903320312,0.9821
2018-12-04,26.974899291992188,0.9715
2018-12-05,26.52179908752441,1.0172
2018-12-06,24.700300216674805,1.0973
2018-12-07,23.8887996673584,1.1353
2018-12-10,23.065099716186523,1.1818
2018-12-11,23.49099922180176,1.1978
2018-12-12,23.559499740600582,1.1975
2018-12-13,23.808000564575195,1.1714
2018-12-14,22.95120048522949,1.2188
2018-12-17,23.74180030822754,1.2314
2018-12-18,23.485200881958008,1.246
2018-12-19,22.979999542236328,1.2774
2018-12-20,22.410400390625,1.3077
2018-12-21,22.12739944458008,1.3138
2018-12-24,22.046899795532227,1.3227
2018-12-25,22.046899795532227,1.3227
2018-12-26,22.167400360107425,1.3214
2018-12-27,21.89609909057617,1.3418
2018-12-28,22.218900680541992,1.3098
2019-01-02,21.38260078430176,1.3596
2019-01-03,20.642200469970703,1.4138
2019-01-04,21.35149955749512,1.3559
2019-01-07,21.61359977722168,1.3367
2019-01-08,22.02890014648437,1.3111
2019-01-09,22.322599411010746,1.297
2019-01-10,23.033700942993164,1.2385
2019-01-11,22.901899337768555,1.2421
2019-01-14,22.896299362182617,1.2501
2019-01-15,23.367700576782227,1.2247
2019-01-16,23.894899368286133,1.1915
2019-01-17,24.01140022277832,1.1842
2019-01-18,24.837400436401367,1.1428
2019-01-21,25.01409912109375,1.1448
2019-01-22,24.51320075988769,1.1676
2019-01-23,24.654699325561523,1.1623
2019-01-24,24.885799407958984,1.1424
2019-01-25,25.02569961547852,1.137
2019-01-28,24.4783992767334,1.1587
2019-01-29,24.743799209594727,1.1367
2019-01-30,24.62420082092285,1.1439
2019-01-31,25.246299743652344,1.1065
2019-02-01,25.570199966430664,1.0936
2019-02-11,25.66670036315918,1.0993
2019-02-12,26.4379997253418,1.0693
2019-02-13,26.59830093383789,1.0616
2019-02-14,26.91189956665039,1.0491
2019-02-15,26.29019927978516,1.0748
2019-02-18,26.756999969482425,1.0596
2019-02-19,26.03009986877441,1.1018
