,PE_TTM,DIVIDENDYIELD2
2021-12-13,12.896900177001951,2.3373
2021-12-14,12.84179973602295,2.3461
2021-12-15,12.739800453186035,2.3661
2021-12-16,12.801300048828123,2.3553
2021-12-17,12.628199577331545,2.3894
2021-12-20,12.525699615478516,2.4106
2021-12-21,12.572999954223633,2.4025
2021-12-22,12.54669952392578,2.406
2021-12-23,12.697799682617188,2.3753
2021-12-24,12.687199592590332,2.3765
2021-12-27,12.625399589538574,2.3896
2021-12-28,12.714799880981444,2.3726
2021-12-29,12.487600326538086,2.4183
2021-12-30,12.556300163269045,2.4032
2021-12-31,12.57450008392334,2.3996
2022-01-04,12.55109977722168,2.4063
2022-01-05,12.519700050354004,2.4159
2022-01-06,12.36299991607666,2.4476
2022-01-07,12.447699546813965,2.4344
2022-01-10,12.489100456237791,2.429
2022-01-11,12.402199745178224,2.448
2022-01-12,12.505800247192385,2.4247
2022-01-13,12.351200103759766,2.4586
2022-01-14,12.216300010681152,2.4825
2022-01-17,12.220199584960938,2.47
2022-01-18,12.33780002593994,2.4469
2022-01-19,12.327199935913086,2.4503
2022-01-20,12.508099555969238,2.4158
2022-01-21,12.441499710083008,2.4286
2022-01-24,12.45300006866455,2.4293
2022-01-25,12.228300094604492,2.473
2022-01-26,12.3302001953125,2.4523
2022-01-27,12.197999954223633,2.4773
2022-01-28,12.02340030670166,2.5132
2022-02-07,12.212499618530272,2.4789
2022-02-08,12.18589973449707,2.4898
2022-02-09,12.28030014038086,2.4682
2022-02-10,12.259200096130373,2.4758
2022-02-11,12.278599739074709,2.4781
2022-02-14,12.211299896240234,2.4872
2022-02-15,12.22920036315918,2.4797
2022-02-16,12.272600173950195,2.4718
2022-02-17,12.266400337219238,2.4729
2022-02-18,12.329500198364258,2.4611
2022-02-21,12.234000205993652,2.481
2022-02-22,12.085000038146973,2.5133
2022-02-23,12.12320041656494,2.501
2022-02-24,11.92140007019043,2.5442
2022-02-25,11.986000061035156,2.5271
2022-02-28,11.980899810791016,2.5273
2022-03-01,12.118300437927246,2.4975
2022-03-02,12.001500129699709,2.5235
2022-03-03,11.955599784851074,2.536
2022-03-04,11.788599967956545,2.5726
2022-03-07,11.438799858093262,2.6547
2022-03-08,11.338299751281738,2.6746
2022-03-09,11.239500045776367,2.6941
2022-03-10,11.338299751281738,2.668
2022-03-11,11.329700469970703,2.6694
2022-03-14,11.017900466918944,2.7475
2022-03-15,10.530400276184082,2.8746
2022-03-16,10.92199993133545,2.7686
2022-03-17,11.150500297546388,2.7107
2022-03-18,11.4128999710083,2.6923
2022-03-21,11.321700096130373,2.712
2022-03-22,11.364299774169922,2.7049
2022-03-23,11.428899765014648,2.6876
2022-03-24,11.360600471496582,2.7062
2022-03-25,11.218199729919434,2.745
2022-03-28,11.17990016937256,2.7544
2022-03-29,11.15470027923584,2.7608
2022-03-30,11.436200141906738,2.6849
2022-03-31,11.436400413513184,2.6923
2022-04-01,11.5423002243042,2.6502
2022-04-06,11.529999732971191,2.6563
2022-04-07,11.446000099182127,2.6759
2022-04-08,11.505999565124512,2.6628
2022-04-11,11.203399658203123,2.7372
2022-04-12,11.387399673461914,2.6897
2022-04-13,11.347700119018556,2.6994
2022-04-14,11.472999572753906,2.6675
2022-04-15,11.472000122070312,2.6684
2022-04-18,11.293899536132812,2.7068
2022-04-19,11.255900382995604,2.7166
2022-04-20,11.087200164794922,2.758
2022-04-21,10.985799789428713,2.7849
2022-04-22,11.06429958343506,2.7543
2022-04-25,10.601200103759766,2.7552
2022-04-26,10.59689998626709,2.7565
2022-04-27,10.721799850463867,2.6813
2022-04-28,10.896100044250488,2.6529
2022-04-29,11.041199684143066,2.6733
2022-05-05,10.869199752807615,2.6875
2022-05-06,10.631799697875977,2.7491
2022-05-09,10.564599990844728,2.7693
2022-05-10,10.59409999847412,2.7603
2022-05-11,10.677900314331056,2.7349
2022-05-12,10.583200454711914,2.7593
2022-05-13,10.66670036315918,2.7375
2022-05-16,10.59340000152588,2.7569
2022-05-17,10.697699546813965,2.7294
2022-05-18,10.641400337219238,2.7433
2022-05-19,10.626099586486816,2.7783
2022-05-20,10.822400093078612,2.727
2022-05-23,10.696499824523926,2.761
2022-05-24,10.56470012664795,2.7976
2022-05-25,10.59220027923584,2.79
2022-05-26,10.59179973602295,2.8553
2022-05-27,10.67959976196289,2.8319
2022-05-30,10.752599716186523,2.7314
2022-05-31,10.907400131225586,2.6906
2022-06-01,10.878700256347656,2.7101
2022-06-02,10.848799705505373,2.8046
2022-06-06,10.972000122070312,2.6981
2022-06-07,11.015299797058104,2.687
2022-06-08,11.124799728393556,2.7554
2022-06-09,11.08240032196045,2.7695
2022-06-10,11.193599700927734,2.9537
2022-06-13,10.24880027770996,2.868
2022-06-14,10.377900123596191,2.8338
2022-06-15,10.535699844360352,2.7918
2022-06-16,10.444299697875977,2.815
2022-06-17,10.59749984741211,2.7707
2022-06-20,10.59060001373291,2.2717
2022-06-21,10.65939998626709,2.2584
2022-06-22,10.544400215148926,2.2833
2022-06-23,10.702199935913086,2.2359
2022-06-24,10.84179973602295,2.1977
2022-06-27,10.890700340270996,2.023
2022-06-28,10.934599876403809,2.1181
2022-06-29,10.872300148010254,2.2198
2022-06-30,11.00119972229004,2.2805
2022-07-01,10.940899848937988,2.2798
2022-07-04,10.988499641418455,2.269
2022-07-05,11.016200065612791,2.2641
2022-07-06,10.85099983215332,2.3428
2022-07-07,10.843899726867676,1.8555
2022-07-08,10.864999771118164,1.8521
2022-07-11,10.756799697875977,1.7814
2022-07-12,10.637999534606934,2.3486
2022-07-13,10.653200149536133,2.3465
2022-07-14,10.575300216674805,2.2755
2022-07-15,10.32610034942627,3.3737
2022-07-18,10.456600189208984,3.1272
2022-07-19,10.404600143432615,3.145
2022-07-20,10.453499794006348,3.1316
2022-07-21,10.336000442504885,3.2992
2022-07-22,10.385600090026855,3.2833
2022-07-25,10.393799781799316,3.2813
2022-07-26,10.4576997756958,3.2609
2022-07-27,10.339200019836426,3.2947
2022-07-28,10.341400146484377,3.2967
2022-07-29,10.25629997253418,3.3292
2022-08-01,10.265199661254885,3.3238
2022-08-02,10.114299774169922,3.3739
2022-08-03,9.985199928283691,3.414
2022-08-04,10.07960033416748,3.3825
2022-08-05,10.156800270080566,3.3566
2022-08-08,10.092700004577637,3.3777
2022-08-09,10.11400032043457,3.3681
2022-08-10,10.030799865722656,3.3976
2022-08-11,10.21049976348877,3.3381
2022-08-12,10.241900444030762,3.3279
2022-08-15,10.186599731445312,3.3408
2022-08-16,10.157400131225586,3.3544
2022-08-17,10.26259994506836,3.2575
2022-08-18,10.166799545288086,3.2883
2022-08-19,10.142900466918944,3.2981
2022-08-22,10.155799865722656,3.2821
2022-08-23,10.114100456237791,3.2959
2022-08-24,9.994099617004396,3.3356
2022-08-25,10.10200023651123,3.3664
2022-08-26,9.996100425720217,3.2775
2022-08-29,9.936699867248535,3.2982
2022-08-30,9.915200233459473,3.3038
2022-08-31,9.95139980316162,3.2688
2022-09-01,9.841099739074709,3.3075
2022-09-02,9.799200057983398,3.3213
2022-09-05,9.79319953918457,3.3256
2022-09-06,9.826899528503418,3.315
2022-09-07,9.804800033569336,3.3223
2022-09-08,9.768600463867188,3.4051
2022-09-09,9.91230010986328,3.3552
2022-09-13,9.95699977874756,3.3389
2022-09-14,9.861499786376951,3.3729
2022-09-15,9.870800018310549,3.3725
2022-09-16,9.71560001373291,3.4257
2022-09-19,9.732999801635742,3.2626
2022-09-20,9.691699981689451,3.518
2022-09-21,9.631699562072754,3.5431
2022-09-22,9.596400260925291,3.5594
2022-09-23,9.649499893188477,3.542
2022-09-26,9.602299690246582,3.5543
2022-09-27,9.682600021362305,3.5221
2022-09-28,9.636500358581545,3.5528
2022-09-29,9.636500358581545,3.5521
2022-09-30,9.643199920654297,3.5522
2022-10-10,9.48040008544922,3.6175
2022-10-11,9.493000030517578,3.6102
2022-10-12,9.546600341796877,3.591
2022-10-13,9.42140007019043,3.641
2022-10-14,9.562000274658203,3.582
2022-10-17,9.524499893188477,3.5934
2022-10-18,9.463600158691406,3.6145
2022-10-19,9.315899848937988,3.6746
2022-10-20,9.285499572753906,3.6887
2022-10-21,9.246800422668455,3.7035
2022-10-24,8.959699630737305,3.8149
2022-10-25,8.943699836730957,3.8296
2022-10-26,8.919599533081055,3.8379
2022-10-27,8.80739974975586,3.8865
2022-10-28,8.572099685668945,3.9594
2022-10-31,8.393199920654297,4.0293
2022-11-01,8.635700225830078,3.9094
2022-11-02,8.687000274658203,3.8833
2022-11-03,8.612700462341309,3.9203
2022-11-04,8.867500305175781,3.8041
2022-11-07,8.902099609375,3.791
2022-11-08,8.858200073242188,3.8122
2022-11-09,8.794500350952148,3.8589
2022-11-10,8.763699531555176,3.8745
2022-11-11,9.024100303649902,3.7609
2022-11-14,9.076700210571287,3.7331
2022-11-15,9.192500114440918,3.6812
2022-11-16,9.146599769592283,3.7001
2022-11-17,9.093600273132324,3.7234
2022-11-18,9.098600387573242,3.7077
2022-11-21,9.008999824523926,3.7464
2022-11-22,9.097299575805664,3.7135
2022-11-23,9.12440013885498,3.703
2022-11-24,9.07509994506836,3.7246
2022-11-25,9.19279956817627,3.6804
2022-11-28,9.089200019836426,3.7212
2022-11-29,9.394100189208984,3.6003
2022-11-30,9.42590045928955,3.5884
2022-12-01,9.496399879455566,3.5561
2022-12-02,9.446700096130373,3.5743
2022-12-05,9.652099609375,3.501
2022-12-06,9.694299697875977,3.4833
2022-12-07,9.65250015258789,3.4957
2022-12-08,9.680299758911133,3.4858
2022-12-09,9.786999702453612,3.4454
2022-12-12,9.77649974822998,3.4868
2022-12-13,9.793100357055664,3.4829
2022-12-14,9.824299812316896,3.4703
2022-12-15,9.82009983062744,3.4694
2022-12-16,9.86620044708252,3.4549
2022-12-19,9.750200271606444,3.4941
2022-12-20,9.583800315856934,3.5575
2022-12-21,9.618599891662598,3.5447
2022-12-22,9.675299644470217,3.5238
2022-12-23,9.670900344848633,3.5238
2022-12-26,9.634499549865724,3.5374
2022-12-27,9.729700088500977,3.7019
2022-12-28,9.735699653625488,3.7004
2022-12-29,9.680800437927246,3.7209
2022-12-30,9.735600471496582,3.7022
2023-01-03,9.747599601745604,3.6991
2023-01-04,9.801400184631348,3.6834
2023-01-05,9.953499794006348,3.6209
2023-01-06,10.014800071716309,3.6169
2023-01-09,10.079999923706056,3.5933
2023-01-10,10.060099601745604,3.5956
2023-01-11,10.11240005493164,3.5813
2023-01-12,10.140700340270996,3.573
2023-01-13,10.301400184631348,3.5165
2023-01-16,10.33769989013672,3.4881
2023-01-17,10.278800010681152,3.5063
2023-01-18,10.275799751281738,3.5074
2023-01-19,10.288700103759766,3.5038
2023-01-20,10.358599662780762,3.48
2023-01-30,10.432299613952637,3.4516
2023-01-31,10.353500366210938,3.4901
2023-02-01,10.41670036315918,3.4708
2023-02-02,10.381999969482422,3.4821
2023-02-03,10.275400161743164,3.5173
2023-02-06,10.139200210571287,3.5649
2023-02-07,10.161100387573242,3.5574
2023-02-08,10.116399765014648,3.5749
2023-02-09,10.244199752807615,3.5281
2023-02-10,10.18560028076172,3.5492
2023-02-13,10.253700256347656,3.5215
2023-02-14,10.270500183105469,3.5239
2023-02-15,10.216699600219728,3.5407
2023-02-16,10.23009967803955,3.5356
2023-02-17,10.109700202941896,3.5808
2023-02-20,10.35849952697754,3.4983
2023-02-21,10.377900123596191,3.4931
2023-02-22,10.239700317382812,3.541
2023-02-23,10.224300384521484,3.5463
2023-02-24,10.11750030517578,3.5847
2023-02-27,10.095499992370604,3.5901
2023-02-28,10.15659999847412,3.5686
2023-03-01,10.3302001953125,3.5104
2023-03-02,10.307100296020508,3.5202
2023-03-03,10.35200023651123,3.5057
2023-03-06,10.284199714660645,3.5259
2023-03-07,10.226099967956545,3.5475
2023-03-08,10.160099983215332,3.5704
2023-03-09,10.142900466918944,3.5775
2023-03-10,9.98989963531494,3.6183
2023-03-13,10.11620044708252,3.5745
2023-03-14,10.038200378417969,3.6008
2023-03-15,10.065199851989746,3.5937
2023-03-16,10.0802001953125,3.6165
2023-03-17,10.133600234985352,3.6009
2023-03-20,10.074000358581545,3.6216
2023-03-21,10.138299942016602,3.5941
2023-03-22,10.208700180053713,3.5699
2023-03-23,10.29259967803955,3.5409
2023-03-24,10.185500144958496,3.576
2023-03-27,10.111700057983398,3.6023
2023-03-28,10.125,3.5979
2023-03-29,10.113100051879885,3.5857
2023-03-30,10.139300346374512,3.5524
2023-03-31,10.095100402832031,3.5461
2023-04-03,10.077300071716309,3.554
2023-04-04,10.163800239562988,3.5236
2023-04-06,10.12380027770996,3.5386
2023-04-07,10.160200119018556,3.5259
2023-04-10,10.203700065612791,3.5123
2023-04-11,10.146699905395508,3.5282
2023-04-12,10.166099548339844,3.5241
2023-04-13,10.169599533081056,3.5228
2023-04-14,10.201800346374512,3.5129
2023-04-17,10.45199966430664,3.4347
2023-04-18,10.526200294494627,3.4132
2023-04-19,10.46909999847412,3.4325
2023-04-20,10.401399612426758,3.4571
