,PE_TTM,DIVIDENDYIELD2
2019-06-24,6.638899803161621,6.8109
2019-06-25,6.59499979019165,6.8565
2019-06-26,6.6244001388549805,6.8194
2019-06-27,6.702300071716309,6.7864
2019-06-28,6.690700054168701,6.7896
2019-07-01,6.690800189971924,6.7895
2019-07-02,6.721199989318848,6.7137
2019-07-03,6.724100112915039,6.7693
2019-07-04,6.71999979019165,6.781
2019-07-05,6.707900047302246,6.7146
2019-07-08,6.6381001472473145,6.2099
2019-07-09,6.595799922943115,6.2471
2019-07-10,6.603099822998047,6.2337
2019-07-11,6.620399951934815,6.2006
2019-07-12,6.627299785614014,6.1932
2019-07-15,6.618599891662598,6.1578
2019-07-16,6.630499839782715,6.1798
2019-07-17,6.648799896240234,6.1779
2019-07-18,6.612299919128418,6.2139
2019-07-19,6.64900016784668,6.1771
2019-07-22,6.593400001525879,6.2501
2019-07-23,6.577700138092041,6.2825
2019-07-24,6.589200019836426,6.2782
2019-07-25,6.5954999923706055,6.263
2019-07-26,6.565499782562256,6.2963
2019-07-29,6.50600004196167,6.3491
2019-07-30,6.509200096130371,6.3534
2019-07-31,6.447000026702881,6.4112
2019-08-01,6.404099941253662,6.4746
2019-08-02,6.28980016708374,6.5914
2019-08-05,6.104400157928467,6.7718
2019-08-06,6.053199768066406,6.861
2019-08-07,6.088900089263916,6.8451
2019-08-08,6.109499931335449,6.8154
2019-08-09,6.089300155639648,6.8623
2019-08-12,6.0680999755859375,6.917
2019-08-13,5.966400146484375,7.0946
2019-08-14,5.983099937438965,7.0263
2019-08-15,5.983500003814697,7.6659
2019-08-16,5.9704999923706055,7.678
2019-08-19,6.081399917602539,6.8681
2019-08-20,6.0782999992370605,6.9501
2019-08-21,6.084700107574463,6.9206
2019-08-22,6.019199848175049,6.9721
2019-08-23,6.0278000831604,6.9804
2019-08-26,5.9720001220703125,7.074
2019-08-27,5.972099781036377,7.0882
2019-08-28,5.946199893951416,7.1019
2019-08-29,5.959400177001953,7.1379
2019-08-30,5.942699909210205,7.1162
2019-09-02,5.964099884033203,7.0482
2019-09-03,5.921800136566162,7.0828
2019-09-04,6.065299987792969,6.7375
2019-09-05,6.098999977111816,6.7926
2019-09-06,6.118299961090088,6.8676
2019-09-09,6.110000133514404,6.9253
2019-09-10,6.165800094604492,6.8715
2019-09-11,6.302999973297119,6.6635
2019-09-12,6.289599895477295,6.9236
2019-09-16,6.342899799346924,6.5692
2019-09-17,6.260300159454346,6.6835
2019-09-18,6.228400230407715,6.688
2019-09-19,6.189499855041504,6.7311
2019-09-20,6.208499908447266,6.7002
2019-09-23,6.158999919891357,6.8112
2019-09-24,6.131999969482422,6.819
2019-09-25,6.080100059509277,6.8803
2019-09-26,6.101600170135498,6.8471
2019-09-27,6.08080005645752,6.8517
2019-09-30,6.124100208282471,6.8042
2019-10-08,6.0756001472473145,6.8847
2019-10-09,6.063399791717529,6.8998
