,PE_TTM,DIVIDENDYIELD2
2014-01-02,6.534999847412109,5.0236
2014-01-03,6.463600158691406,5.0797
2014-01-06,6.408899784088135,5.1191
2014-01-07,6.382500171661377,5.1319
2014-01-08,6.352399826049805,5.1565
2014-01-09,6.316999912261963,5.184
2014-01-10,6.298500061035156,5.198
2014-01-13,6.323599815368652,5.1853
2014-01-14,6.350299835205078,5.1572
2014-01-15,6.307600021362305,5.1912
2014-01-16,6.285699844360352,5.205
2014-01-17,6.270500183105469,5.2173
2014-01-20,5.945700168609619,5.4644
2014-01-21,5.9653000831604,5.4467
2014-01-22,6.05049991607666,5.365
2014-01-23,5.997399806976318,5.4156
2014-01-24,6.012800216674805,5.3987
2014-01-27,5.96649980545044,5.4433
2014-01-28,6.000999927520752,5.4212
2014-01-29,6.038700103759766,5.3902
2014-01-30,5.98769998550415,5.4384
2014-02-07,5.979800224304199,5.4434
2014-02-10,6.0441999435424805,5.3809
2014-02-11,6.11959981918335,5.3177
2014-02-12,6.118299961090088,5.3175
2014-02-13,6.140600204467773,5.3008
2014-02-14,6.160699844360352,5.278
2014-02-17,6.179500102996826,5.2525
2014-02-18,6.101600170135498,5.3018
2014-02-19,6.219900131225586,5.2032
2014-02-20,6.263800144195557,5.1562
2014-02-21,6.1834001541137695,5.2322
2014-02-24,6.057199954986572,5.3431
2014-02-25,6.005300045013428,5.3949
2014-02-26,6.021100044250488,5.3769
2014-02-27,6.101099967956543,5.3045
2014-02-28,6.080699920654297,5.3178
2014-03-03,6.084199905395508,5.3069
2014-03-04,6.07390022277832,5.3167
2014-03-05,6.019800186157227,5.3662
2014-03-06,6.051700115203857,5.3375
2014-03-07,6.065400123596191,5.3205
2014-03-10,5.9517998695373535,5.4328
2014-03-11,5.950099945068359,5.4331
2014-03-12,5.932600021362305,5.4538
2014-03-13,6.006899833679199,5.3823
2014-03-14,5.960400104522705,5.4237
2014-03-17,5.982399940490723,5.4006
2014-03-18,5.979700088500977,5.4008
2014-03-19,5.986700057983398,5.397
2014-03-20,5.948299884796143,5.4355
2014-03-21,6.08620023727417,5.2893
2014-03-24,6.14330005645752,5.252
2014-03-25,6.113399982452393,5.2751
2014-03-26,6.093100070953369,5.2899
2014-03-27,6.063000202178955,5.3104
2014-03-28,6.082099914550781,5.2808
2014-03-31,6.065899848937988,5.281
2014-04-01,6.091700077056885,5.2572
2014-04-02,6.127900123596191,5.2097
2014-04-03,6.061200141906738,5.2636
2014-04-04,6.088900089263916,5.2439
2014-04-08,6.197700023651123,5.1484
2014-04-09,6.209099769592285,5.1368
2014-04-10,6.289999961853027,5.0721
2014-04-11,6.295199871063232,5.064
2014-04-14,6.280399799346924,5.076
2014-04-15,6.182799816131592,5.1598
2014-04-16,6.19789981842041,5.1422
2014-04-17,6.183800220489502,5.1518
2014-04-18,6.165599822998047,5.1626
2014-04-21,6.093100070953369,5.2396
2014-04-22,6.136899948120117,5.2013
2014-04-23,6.133900165557861,5.1927
2014-04-24,6.118000030517578,5.2088
2014-04-25,6.082799911499023,5.237
2014-04-28,6.020699977874756,5.267
2014-04-29,6.038400173187256,5.2481
2014-04-30,5.987500190734863,5.2641
2014-05-05,5.9633002281188965,5.2642
2014-05-06,5.945400238037109,5.2822
2014-05-07,5.924300193786621,5.2949
2014-05-08,5.944499969482422,5.2763
2014-05-09,5.954999923706055,5.2672
2014-05-12,6.043600082397461,5.1832
2014-05-13,6.039999961853027,5.1834
2014-05-14,6.031899929046631,5.1906
2014-05-15,6.009399890899658,5.2291
2014-05-16,6.017600059509277,5.2207
2014-05-19,5.964200019836426,5.2843
2014-05-20,5.970799922943115,5.2905
2014-05-21,6.014599800109863,5.2307
2014-05-22,6.011799812316895,5.2358
2014-05-23,6.038000106811523,5.2037
2014-05-26,6.040200233459473,5.1776
2014-05-27,6.033899784088135,5.1844
2014-05-28,6.067500114440918,5.1309
2014-05-29,6.0594000816345215,5.133
2014-05-30,6.043600082397461,5.145
2014-06-03,6.061100006103516,5.1255
2014-06-04,6.036799907684326,5.1964
2014-06-05,6.071400165557861,5.1562
2014-06-06,6.036499977111816,5.4781
2014-06-09,6.062699794769287,4.97
2014-06-10,6.128900051116943,4.9189
2014-06-11,6.125999927520752,4.9233
2014-06-12,6.113100051879883,4.9372
2014-06-13,6.171199798583984,4.8958
2014-06-16,6.225900173187256,4.7328
2014-06-17,6.172500133514404,4.8067
2014-06-18,6.142899990081787,4.825
2014-06-19,6.081699848175049,4.3695
2014-06-20,6.053999900817871,4.1651
2014-06-23,6.02269983291626,5.1454
2014-06-24,6.037499904632568,5.2271
2014-06-25,6.023799896240234,5.4207
2014-06-26,6.044000148773193,5.5013
2014-06-27,5.998499870300293,4.6156
2014-06-30,6.019299983978272,4.4525
2014-07-01,6.005099773406982,4.4882
2014-07-02,6.025400161743164,4.4149
2014-07-03,6.017000198364258,4.4545
2014-07-04,6.012499809265137,5.228
2014-07-07,6.016600131988525,5.1874
2014-07-08,6.029699802398682,5.1969
2014-07-09,5.965700149536133,4.9975
2014-07-10,5.911600112915039,5.016
2014-07-11,5.906700134277344,5.1232
2014-07-14,5.940100193023682,5.2556
2014-07-15,5.96619987487793,5.4551
2014-07-16,5.971799850463867,5.447
2014-07-17,5.93809986114502,5.4711
2014-07-18,5.9517998695373535,5.5951
2014-07-21,5.77209997177124,5.7644
2014-07-22,5.809599876403809,5.7212
2014-07-23,5.832200050354004,5.6258
2014-07-24,5.932600021362305,5.5272
2014-07-25,5.991399765014648,5.4324
2014-07-28,6.168000221252441,5.2766
2014-07-29,6.168399810791016,5.2871
2014-07-30,6.147500038146973,5.2991
2014-07-31,6.2093000411987305,5.432
2014-08-01,6.183499813079834,5.4197
2014-08-04,6.257699966430664,5.3465
2014-08-05,6.230299949645996,5.372
2014-08-06,6.194300174713135,5.4011
2014-08-07,6.099800109863281,5.4854
2014-08-08,6.121099948883057,5.4654
2014-08-11,6.192299842834473,5.4264
2014-08-12,6.161600112915039,5.4528
2014-08-13,6.155399799346924,5.4619
2014-08-14,6.112500190734863,5.4898
2014-08-15,6.152100086212158,5.4512
2014-08-18,6.155600070953369,5.44
2014-08-19,6.1641998291015625,5.4201
2014-08-20,6.129700183868408,5.4392
2014-08-21,6.090000152587891,5.4997
2014-08-22,6.110300064086914,5.4487
2014-08-25,6.072700023651123,5.4676
2014-08-26,6.051700115203857,5.4885
2014-08-27,6.02209997177124,5.491
2014-08-28,5.973400115966797,5.5322
2014-08-29,5.977099895477295,5.4853
2014-09-01,5.972300052642822,5.4615
2014-09-02,6.042200088500977,5.4017
2014-09-03,6.110300064086914,5.3395
2014-09-04,6.150300025939941,5.3026
2014-09-05,6.1975998878479,5.2606
2014-09-09,6.173099994659424,5.2806
2014-09-10,6.1244001388549805,5.3209
2014-09-11,6.105100154876709,5.2918
2014-09-12,6.142600059509277,5.2579
2014-09-15,6.131999969482422,4.8024
2014-09-16,6.08489990234375,4.8457
2014-09-17,6.0945000648498535,4.8358
2014-09-18,6.110599994659424,4.8221
2014-09-19,6.111299991607666,4.8222
