,PE_TTM,DIVIDENDYIELD2
2019-07-22,10.253899574279783,2.9735
2019-07-23,10.247300148010254,3.0354
2019-07-24,10.32450008392334,3.0151
2019-07-25,10.370100021362305,3.0113
2019-07-26,10.386799812316896,3.0111
2019-07-29,10.369000434875488,3.015
2019-07-30,10.412099838256836,3.0034
2019-07-31,10.33780002593994,3.0315
2019-08-01,10.247099876403809,3.0591
2019-08-02,10.103899955749512,3.111
2019-08-05,9.932600021362305,3.173
2019-08-06,9.852999687194824,3.1972
2019-08-07,9.81630039215088,3.2094
2019-08-08,9.923800468444824,3.1783
2019-08-09,9.88510036468506,3.1594
2019-08-12,10.032600402832031,3.0996
2019-08-13,9.9399995803833,3.127
2019-08-14,9.969400405883787,3.1134
2019-08-15,10.000300407409668,3.1981
2019-08-16,9.910200119018556,3.194
2019-08-19,10.02929973602295,3.1519
2019-08-20,10.010600090026855,3.1554
2019-08-21,9.992899894714355,3.1595
2019-08-22,9.994500160217283,3.17
2019-08-23,10.034000396728516,3.1452
2019-08-26,9.870100021362305,3.0927
2019-08-27,9.963199615478516,3.0609
2019-08-28,9.878299713134766,3.0753
2019-08-29,9.839099884033203,3.0806
2019-08-30,9.845100402832031,3.0695
2019-09-02,9.875300407409668,3.047
2019-09-03,9.875100135803224,3.047
2019-09-04,9.97659969329834,3.0724
2019-09-05,10.065500259399414,3.0464
2019-09-06,10.12619972229004,3.0281
2019-09-09,10.131999969482422,2.9813
2019-09-10,10.088199615478516,2.9938
2019-09-11,10.063899993896484,3.0099
2019-09-12,10.158900260925291,2.9798
2019-09-16,10.140299797058104,2.8848
2019-09-17,10.00790023803711,2.9965
2019-09-18,10.039999961853027,2.9833
2019-09-19,10.04290008544922,2.9817
2019-09-20,10.07830047607422,2.971
2019-09-23,9.973899841308594,2.9071
2019-09-24,9.991000175476074,2.9814
2019-09-25,9.946800231933594,2.9974
2019-09-26,9.946700096130373,3.0012
2019-09-27,9.940600395202637,3.0033
2019-09-30,9.854599952697754,3.0285
2019-10-08,9.928400039672852,3.0065
2019-10-09,9.960599899291992,2.9993
2019-10-10,9.975299835205078,2.9942
2019-10-11,10.11139965057373,2.9534
2019-10-14,10.202199935913086,2.9286
2019-10-15,10.19509983062744,2.9319
2019-10-16,10.14050006866455,2.9461
2019-10-17,10.16189956665039,2.9392
2019-10-18,10.03689956665039,2.9784
2019-10-21,10.112500190734863,2.9608
2019-10-22,10.109100341796877,2.9598
2019-10-23,10.071200370788574,2.9694
2019-10-24,10.095999717712402,2.9647
2019-10-25,10.058899879455566,2.955
2019-10-28,10.055999755859377,2.9476
2019-10-29,9.990900039672852,2.9594
2019-10-30,9.903300285339355,2.9635
2019-10-31,9.829500198364258,2.9692
2019-11-01,9.924500465393066,2.9384
2019-11-04,9.98900032043457,2.9194
2019-11-05,10.046799659729004,2.9026
2019-11-06,10.048399925231934,2.9077
2019-11-07,10.027400016784668,2.9136
2019-11-08,9.953499794006348,2.931
2019-11-11,9.815999984741213,2.9716
2019-11-12,9.83209991455078,2.9672
2019-11-13,9.79419994354248,2.9762
2019-11-14,9.767800331115724,2.983
2019-11-15,9.734000205993652,2.9946
2019-11-18,9.809800148010254,2.9712
2019-11-19,9.844499588012695,2.9599
2019-11-20,9.76710033416748,2.9817
2019-11-21,9.731599807739258,2.9922
2019-11-22,9.672900199890137,3.013
2019-11-25,9.805700302124023,2.9719
2019-11-26,9.799500465393066,2.9735
2019-11-27,9.79069995880127,2.9771
2019-11-28,9.735199928283691,2.9928
2019-11-29,9.64050006866455,3.0247
2019-12-02,9.65310001373291,3.0205
2019-12-03,9.66160011291504,3.0202
2019-12-04,9.62950038909912,3.03
2019-12-05,9.683199882507324,3.0122
2019-12-06,9.718899726867676,2.9975
2019-12-09,9.721199989318848,2.994
2019-12-10,9.713299751281738,2.9953
2019-12-11,9.756400108337402,2.9828
2019-12-12,9.728699684143066,2.9936
2019-12-13,9.911299705505373,2.9387
2019-12-16,9.900799751281738,2.9385
2019-12-17,10.013699531555176,2.9042
2019-12-18,10.002099990844728,2.9086
2019-12-19,10.012900352478027,2.9065
2019-12-20,9.98900032043457,2.9138
2019-12-23,9.88379955291748,2.9449
2019-12-24,9.908100128173828,2.9369
2019-12-25,9.878700256347656,2.946
2019-12-26,9.949999809265137,2.9256
2019-12-27,9.990300178527832,2.9122
2019-12-30,10.105899810791016,2.875
2019-12-31,10.11359977722168,2.8718
2020-01-02,10.1983003616333,2.8509
2020-01-03,10.193099975585938,2.8543
2020-01-06,10.163399696350098,2.8605
2020-01-07,10.190799713134766,2.8523
2020-01-08,10.07509994506836,2.8835
2020-01-09,10.100099563598633,2.8683
2020-01-10,10.103899955749512,2.8714
2020-01-13,10.164799690246582,2.8531
2020-01-14,10.14210033416748,2.8607
2020-01-15,10.053999900817873,2.8867
2020-01-16,9.9798002243042,2.906
2020-01-17,9.979599952697754,2.9079
2020-01-20,10.000900268554688,2.9006
2020-01-21,9.828399658203123,2.9544
2020-01-22,9.842900276184082,2.9534
2020-01-23,9.610300064086914,3.0305
2020-02-03,8.913900375366211,3.2669
2020-02-04,9.116700172424316,3.1993
2020-02-05,9.15410041809082,3.1842
2020-02-06,9.244400024414062,3.1484
2020-02-07,9.219200134277344,3.1535
2020-02-10,9.234000205993652,3.1466
2020-02-11,9.32260036468506,3.116
2020-02-12,9.34910011291504,3.1066
2020-02-13,9.29520034790039,3.1221
2020-02-14,9.347900390625,3.1046
2020-02-17,9.505200386047363,3.0525
2020-02-18,9.428999900817873,3.0778
2020-02-19,9.44760036468506,3.0714
2020-02-20,9.579999923706056,3.0271
2020-02-21,9.601900100708008,3.0323
2020-02-24,9.491499900817873,3.0683
2020-02-25,9.40310001373291,3.0975
2020-02-26,9.428799629211426,3.0879
2020-02-27,9.449199676513672,3.0805
2020-02-28,9.194499969482422,3.1668
2020-03-02,9.450599670410156,3.0751
2020-03-03,9.476099967956545,3.0647
2020-03-04,9.536800384521484,3.0431
2020-03-05,9.732799530029297,2.9794
2020-03-06,9.580900192260742,3.0282
2020-03-09,9.340299606323242,3.1075
2020-03-10,9.478400230407717,3.0581
2020-03-11,9.40369987487793,3.0819
2020-03-12,9.290499687194824,3.1241
2020-03-13,9.143699645996094,3.1714
2020-03-16,8.940500259399414,3.2638
2020-03-17,8.88010025024414,3.2915
2020-03-18,8.687199592590332,3.3686
2020-03-19,8.48069953918457,3.4485
2020-03-20,8.662400245666504,3.3734
2020-03-23,8.447999954223633,3.4571
2020-03-24,8.690299987792969,3.3604
2020-03-25,8.866399765014648,3.2867
2020-03-26,8.787699699401855,3.3046
2020-03-27,8.81760025024414,3.2851
2020-03-30,8.734100341796875,3.295
2020-03-31,8.65999984741211,3.3016
2020-04-01,8.676799774169922,3.3027
2020-04-02,8.788599967956543,3.2571
2020-04-03,8.721699714660645,3.2815
2020-04-07,8.852100372314453,3.2283
2020-04-08,8.808799743652344,3.2422
2020-04-09,8.812700271606445,3.2421
2020-04-10,8.796299934387207,3.2485
2020-04-13,8.77079963684082,3.2566
2020-04-14,8.890899658203125,3.2144
2020-04-15,9.032099723815918,3.2341
2020-04-16,9.017800331115724,3.2366
2020-04-17,9.135199546813965,3.1932
2020-04-20,9.14169979095459,3.1921
2020-04-21,9.041399955749512,3.2269
2020-04-22,9.078800201416016,3.2104
2020-04-23,9.065799713134766,3.2105
2020-04-24,9.12600040435791,3.233
2020-04-27,9.190500259399414,3.2096
2020-04-28,9.20259952545166,3.1998
2020-04-29,9.300700187683104,3.1735
2020-04-30,9.75,3.1543
2020-05-06,9.717599868774414,3.1579
2020-05-07,9.690899848937988,3.1648
2020-05-08,9.74839973449707,3.2417
2020-05-11,9.781299591064451,3.2329
2020-05-12,9.73349952697754,3.2477
2020-05-13,9.744600296020508,3.2437
2020-05-14,9.642499923706056,3.2781
2020-05-15,9.613300323486328,3.3181
2020-05-18,9.67199993133545,3.2916
2020-05-19,9.72439956665039,3.2762
2020-05-20,9.717000007629396,3.2805
2020-05-21,9.680700302124023,3.2954
2020-05-22,9.235300064086914,3.3643
2020-05-25,9.255399703979492,3.2635
2020-05-26,9.288700103759766,3.2513
2020-05-27,9.274100303649902,3.2656
2020-05-28,9.341099739074709,3.2333
2020-05-29,9.29419994354248,3.2726
2020-06-01,9.483599662780762,3.124
2020-06-02,9.546500205993652,3.1045
2020-06-03,9.565699577331545,3.1436
2020-06-04,9.528800010681152,2.8842
2020-06-05,9.560400009155272,2.8811
2020-06-08,9.618399620056152,2.8004
2020-06-09,9.654000282287598,2.7893
2020-06-10,9.595600128173828,2.9301
2020-06-11,9.481399536132812,3.0197
2020-06-12,9.471699714660645,2.7859
2020-06-15,9.321000099182127,2.9204
2020-06-16,9.430500030517578,2.885
2020-06-17,9.406299591064451,2.8924
2020-06-18,9.430500030517578,2.9374
2020-06-19,9.4931001663208,2.9594
2020-06-22,9.453900337219238,2.8617
2020-06-23,9.438899993896484,2.8619
2020-06-24,9.5024995803833,3.0605
2020-06-29,9.429800033569336,2.7144
2020-06-30,9.410099983215332,3.3629
2020-07-01,9.616700172424316,3.2845
2020-07-02,9.868900299072266,3.2464
2020-07-03,10.104100227355955,3.1899
2020-07-06,10.804800033569336,2.5162
2020-07-07,10.842300415039062,2.5098
2020-07-08,10.9576997756958,2.4833
2020-07-09,11.01930046081543,2.3761
2020-07-10,10.63510036468506,2.5678
2020-07-13,10.752599716186523,2.3195
2020-07-14,10.63249969482422,2.4181
2020-07-15,10.463899612426758,2.8425
2020-07-16,10.087400436401367,3.0643
2020-07-17,10.104000091552734,3.159
2020-07-20,10.41230010986328,2.9449
2020-07-21,10.389800071716309,2.9475
2020-07-22,10.390700340270996,2.9661
2020-07-23,10.289199829101562,3.1119
2020-07-24,9.978899955749512,3.1562
2020-07-27,9.98270034790039,3.1396
2020-07-28,10.043700218200684,3.1161
2020-07-29,10.16349983215332,3.0793
2020-07-30,10.08329963684082,3.098
2020-07-31,10.103500366210938,3.1159
2020-08-03,10.189499855041504,3.0674
2020-08-04,10.324700355529783,3.0316
2020-08-05,10.244999885559082,3.0523
2020-08-06,10.267200469970703,3.0379
2020-08-07,10.176799774169922,3.0885
2020-08-10,10.268099784851074,3.0552
2020-08-11,10.228699684143066,3.0659
2020-08-12,10.22480010986328,3.0801
2020-08-13,10.209199905395508,3.0799
2020-08-14,10.372900009155272,3.1166
2020-08-17,10.658300399780272,2.9508
2020-08-18,10.658900260925291,2.949
2020-08-19,10.52400016784668,2.9823
2020-08-20,10.399399757385254,3.031
2020-08-21,10.442999839782717,3.049
2020-08-24,10.457500457763672,3.0383
2020-08-25,10.481900215148926,3.0283
2020-08-26,10.399999618530272,3.0504
2020-08-27,10.394800186157228,3.0472
2020-08-28,10.81369972229004,2.9965
2020-08-31,11.360799789428713,3.0072
2020-09-01,11.374500274658203,3.0025
2020-09-02,11.315199851989746,3.0175
2020-09-03,11.289799690246582,3.0215
2020-09-04,11.212200164794922,3.0435
2020-09-07,11.104100227355955,3.0265
2020-09-08,11.235899925231934,2.9968
2020-09-09,11.11769962310791,3.0314
2020-09-10,11.142499923706056,3.0218
2020-09-11,11.177200317382812,3.0114
2020-09-14,11.234999656677246,2.9928
2020-09-15,11.26990032196045,2.9836
2020-09-16,11.232199668884276,3.0487
2020-09-17,11.15410041809082,3.0745
2020-09-18,11.443300247192385,2.9285
2020-09-21,11.337400436401367,2.9559
2020-09-22,11.193699836730955,3.0836
2020-09-23,11.128199577331545,3.1026
2020-09-24,10.995100021362305,3.1429
2020-09-25,10.98840045928955,3.0664
2020-09-28,11.065999984741213,3.0443
2020-09-29,11.008299827575684,3.058
2020-09-30,10.99209976196289,3.061
2020-10-09,11.105799674987791,3.0259
2020-10-12,11.402999877929688,2.943
2020-10-13,11.377300262451172,2.948
2020-10-14,11.331000328063965,2.9617
2020-10-15,11.378299713134766,2.9515
2020-10-16,11.471199989318848,2.934
2020-10-19,11.483200073242188,2.9358
2020-10-20,11.46840000152588,2.9288
2020-10-21,11.57960033416748,2.9036
2020-10-22,11.543499946594238,2.9128
2020-10-23,11.494500160217283,2.9689
2020-10-26,11.349200248718262,3.008
2020-10-27,11.321399688720703,3.0231
2020-10-28,11.292200088500977,3.0145
2020-10-29,11.106800079345703,3.0103
2020-10-30,10.805700302124023,3.0415
2020-11-02,10.881099700927734,3.0379
2020-11-03,11.031299591064451,2.9957
2020-11-04,11.076000213623049,2.983
2020-11-05,11.175999641418455,2.9529
2020-11-06,11.183600425720217,2.9517
2020-11-09,11.371000289916992,2.8991
2020-11-10,11.386300086975098,2.8969
2020-11-11,11.437800407409668,2.8889
2020-11-12,11.349599838256836,2.9089
2020-11-13,11.17430019378662,2.953
2020-11-16,11.34060001373291,2.9078
2020-11-17,11.37969970703125,2.9013
2020-11-18,11.459699630737305,2.8854
2020-11-19,11.503700256347656,2.8749
2020-11-20,11.515700340270996,2.8669
2020-11-23,11.71269989013672,2.8179
2020-11-24,11.639300346374512,2.8347
2020-11-25,11.558099746704102,2.8608
2020-11-26,11.659099578857422,2.8394
2020-11-27,11.871600151062012,2.8115
2020-11-30,11.786800384521484,2.8391
2020-12-01,12.012100219726562,2.7885
2020-12-02,11.99530029296875,2.7922
2020-12-03,11.916299819946287,2.8101
2020-12-04,11.880999565124512,2.8117
2020-12-07,11.725000381469728,2.8443
2020-12-08,11.663800239562988,2.8503
2020-12-09,11.59160041809082,2.8683
2020-12-10,11.520500183105469,2.882
2020-12-11,11.42020034790039,2.9048
2020-12-14,11.456899642944336,2.8955
2020-12-15,11.378100395202637,2.9128
2020-12-16,11.42549991607666,2.8987
2020-12-17,11.567299842834473,2.8621
2020-12-18,11.510199546813965,2.8753
2020-12-21,11.503999710083008,2.8744
2020-12-22,11.293299674987791,2.9226
2020-12-23,11.30869960784912,2.9204
2020-12-24,11.293399810791016,2.9263
2020-12-25,11.340999603271484,2.9118
2020-12-28,11.425000190734863,2.8857
2020-12-29,11.404399871826172,2.8937
2020-12-30,11.4798002243042,2.8689
2020-12-31,11.644700050354004,2.8267
2021-01-04,11.636199951171877,2.8267
2021-01-05,11.68340015411377,2.8075
2021-01-06,11.89389991760254,2.7555
2021-01-07,12.046899795532228,2.7185
2021-01-08,12.046500205993652,2.7218
2021-01-11,11.951499938964844,2.7469
2021-01-12,12.24470043182373,2.6785
2021-01-13,12.282400131225586,2.672
2021-01-14,12.150400161743164,2.7039
2021-01-15,12.139200210571287,2.7014
2021-01-18,12.178099632263184,2.6937
2021-01-19,12.116900444030762,2.7162
2021-01-20,12.05739974975586,2.7219
2021-01-21,12.11929988861084,2.7025
2021-01-22,11.954299926757812,2.7356
2021-01-25,12.105799674987791,2.6942
2021-01-26,11.97189998626709,2.7278
2021-01-27,11.95199966430664,2.7369
2021-01-28,11.748700141906738,2.7758
2021-01-29,11.717000007629396,2.7841
2021-02-01,11.809399604797363,2.7605
2021-02-02,11.817899703979492,2.7508
2021-02-03,11.836400032043455,2.7403
2021-02-04,11.787500381469728,2.7182
2021-02-05,11.891599655151367,2.7018
2021-02-08,11.9798002243042,2.6767
2021-02-09,12.1318998336792,2.6362
2021-02-10,12.37049961090088,2.5861
2021-02-18,12.462900161743164,2.5711
2021-02-19,12.547599792480469,2.5547
2021-02-22,12.405500411987305,2.5994
2021-02-23,12.459500312805176,2.5908
2021-02-24,12.146300315856934,2.6604
2021-02-25,12.342300415039062,2.6255
2021-02-26,12.031100273132324,2.6957
2021-03-01,12.130200386047363,2.6741
2021-03-02,11.897600173950195,2.7263
