,PE_TTM,DIVIDENDYIELD2
2014-01-02,16.369400024414062,2.5176
2014-01-03,16.379899978637695,2.4764
2014-01-06,16.32159996032715,2.4851
2014-01-07,16.442800521850586,2.4667
2014-01-08,16.332700729370117,2.5351
2014-01-09,16.300899505615234,2.4971
2014-01-10,16.3169002532959,2.4945
2014-01-13,16.164499282836914,2.5178
2014-01-14,16.326200485229492,2.4976
2014-01-15,16.450199127197266,2.4787
2014-01-16,16.36639976501465,2.4973
2014-01-17,16.33009910583496,2.4601
2014-01-20,16.33009910583496,2.4601
2014-01-21,15.487000465393066,2.4646
2014-01-22,15.425399780273438,2.5227
2014-01-23,15.275400161743164,2.5448
2014-01-24,15.13010025024414,2.5756
2014-01-27,15.017200469970703,2.5908
2014-01-28,15.089799880981444,2.5791
2014-01-29,14.933799743652344,2.6027
2014-01-30,15.026300430297852,2.5848
2014-02-07,15.144200325012209,2.5892
2014-02-10,15.180299758911133,2.5826
2014-02-11,15.348600387573242,2.5542
2014-02-12,15.4443998336792,2.6542
2014-02-13,15.490799903869627,2.6461
2014-02-14,15.589099884033203,2.5491
2014-02-17,15.589099884033203,2.5491
2014-02-18,15.532400131225586,2.6293
2014-02-19,15.450499534606934,2.643
2014-02-20,15.61299991607666,2.5721
2014-02-21,15.573800086975098,2.6342
2014-02-24,15.896100044250488,2.5309
2014-02-25,15.880000114440918,2.5338
2014-02-26,15.913599967956545,2.5354
2014-02-27,15.986200332641602,2.545
2014-02-28,16.042299270629883,2.5136
2014-03-03,15.89050006866455,2.5328
2014-03-04,16.11009979248047,2.4985
2014-03-05,16.069799423217773,2.5042
2014-03-06,16.131099700927734,2.4998
2014-03-07,16.137300491333008,2.5388
2014-03-10,16.11829948425293,2.4971
2014-03-11,16.08650016784668,2.5211
2014-03-12,16.09440040588379,2.5662
2014-03-13,15.90530014038086,2.6169
2014-03-14,15.854599952697754,2.5449
2014-03-17,16.014400482177734,2.5197
2014-03-18,16.135799407958984,2.5009
2014-03-19,16.03969955444336,2.5156
2014-03-20,16.2106990814209,2.4902
2014-03-21,16.17930030822754,2.495
2014-03-24,16.196199417114258,2.4917
2014-03-25,16.309499740600586,2.4735
2014-03-26,16.215099334716797,2.4876
2014-03-27,16.19420051574707,2.4909
2014-03-28,16.26959991455078,2.4784
2014-03-31,16.308799743652344,2.473
2014-04-01,16.375600814819336,2.4902
2014-04-02,16.38010025024414,2.5369
2014-04-03,16.380800247192383,2.5368
2014-04-04,16.232099533081055,2.5203
2014-04-08,16.186800003051758,2.5632
2014-04-09,16.350000381469727,2.4966
2014-04-10,16.052499771118164,2.5425
2014-04-11,16.0137996673584,2.5622
2014-04-14,16.11910057067871,2.5461
2014-04-15,16.15369987487793,2.5296
2014-04-16,16.320199966430664,2.5208
2014-04-17,16.34819984436035,2.5202
2014-04-18,16.348800659179688,2.5201
2014-04-21,16.38920021057129,2.5043
2014-04-22,16.429500579833984,2.4972
2014-04-23,16.409799575805664,2.5504
2014-04-24,16.25950050354004,2.5502
2014-04-25,16.16510009765625,2.5164
2014-04-28,16.285600662231445,2.4978
2014-04-29,16.33169937133789,2.4897
2014-04-30,16.359899520874023,2.4853
2014-05-05,16.372400283813477,2.5035
2014-05-06,16.213300704956055,2.5234
2014-05-07,16.324399948120117,2.5969
2014-05-08,16.350099563598633,2.5933
2014-05-09,16.384599685668945,2.504
2014-05-12,16.451200485229492,2.494
2014-05-13,16.476999282836914,2.5549
2014-05-14,16.423099517822266,2.5721
2014-05-15,16.292200088500977,2.5982
2014-05-16,16.348499298095703,2.5299
2014-05-19,16.360000610351562,2.5283
2014-05-20,16.256000518798828,2.5423
2014-05-21,16.408300399780273,2.5346
2014-05-22,16.402099609375,2.5913
2014-05-23,16.45319938659668,2.5715
2014-05-26,16.45319938659668,2.5194
2014-05-27,16.506000518798828,2.5117
2014-05-28,16.47130012512207,2.5238
2014-05-29,16.543399810791016,2.5335
2014-05-30,16.614999771118164,2.5224
2014-06-03,16.583999633789062,2.5186
2014-06-04,16.593299865722656,2.5173
2014-06-05,16.70949935913086,2.4838
2014-06-06,16.775999069213867,2.4792
2014-06-09,16.78030014038086,2.4733
2014-06-10,16.80579948425293,2.4698
2014-06-11,16.71139907836914,2.4836
2014-06-12,16.60260009765625,2.5833
2014-06-13,16.68000030517578,2.5364
2014-06-16,16.70400047302246,2.4887
2014-06-17,16.72800064086914,2.4852
2014-06-18,16.83060073852539,2.47
2014-06-19,16.860000610351562,2.4653
2014-06-20,16.88640022277832,2.4612
2014-06-23,16.902700424194336,2.4588
2014-06-24,16.815200805664062,2.4715
2014-06-25,16.888099670410156,2.461
2014-06-26,16.843799591064453,2.4674
2014-06-27,16.878700256347656,2.4624
2014-06-30,16.76759910583496,2.4791
2014-07-01,16.88409996032715,2.5035
2014-07-02,16.90369987487793,2.5024
2014-07-03,16.954599380493164,2.4493
2014-07-04,16.954599380493164,2.4493
2014-07-07,16.935100555419922,2.4522
2014-07-08,16.82900047302246,2.528
2014-07-09,16.921100616455078,2.4814
2014-07-10,16.89150047302246,2.4856
2014-07-11,16.904499053955078,2.4839
2014-07-14,16.978200912475586,2.4737
2014-07-15,16.93400001525879,2.4707
2014-07-16,17.087600708007812,2.4951
2014-07-17,16.884199142456055,2.5265
2014-07-18,17.002700805664062,2.4646
2014-07-21,16.97480010986328,2.458
2014-07-22,16.951400756835938,2.4474
2014-07-23,16.88520050048828,2.4509
2014-07-24,16.86709976196289,2.4513
2014-07-25,16.793100357055664,2.4608
2014-07-28,16.77829933166504,2.463
2014-07-29,16.627300262451172,2.4719
2014-07-30,16.598400115966797,2.4766
2014-07-31,16.304500579833984,2.5212
2014-08-01,16.180200576782227,2.5325
2014-08-04,16.250499725341797,2.5214
2014-08-05,16.07309913635254,2.5761
2014-08-06,16.10849952697754,2.6276
2014-08-07,16.034500122070312,2.6395
2014-08-08,16.178800582885742,2.534
2014-08-11,16.208999633789062,2.5292
2014-08-12,16.214399337768555,2.5282
2014-08-13,16.329299926757812,2.5161
2014-08-14,16.374099731445312,2.4564
2014-08-15,16.356199264526367,2.5099
2014-08-18,16.49180030822754,2.4371
2014-08-19,16.55699920654297,2.4872
2014-08-20,16.590700149536133,2.4973
2014-08-21,16.679100036621094,2.4838
2014-08-22,16.638999938964844,2.5316
2014-08-25,16.705900192260742,2.4713
2014-08-26,16.731300354003906,2.4675
2014-08-27,16.742300033569336,2.4725
2014-08-28,16.707399368286133,2.503
2014-08-29,16.76490020751953,2.4878
2014-09-01,16.763399124145508,2.4635
2014-09-02,16.712099075317383,2.4887
2014-09-03,16.727500915527344,2.4863
2014-09-04,16.739099502563477,2.4696
2014-09-05,16.840999603271484,2.4546
2014-09-09,16.73859977722168,2.4699
2014-09-10,16.79010009765625,2.4724
2014-09-11,16.778099060058594,2.5436
2014-09-12,16.701200485229492,2.5477
2014-09-15,16.716100692749023,2.4783
2014-09-16,16.828399658203125,2.4619
2014-09-17,16.834199905395508,2.4607
2014-09-18,16.925500869750977,2.4474
2014-09-19,16.987899780273438,2.4382
2014-09-22,16.901399612426758,2.4504
2014-09-23,16.787399291992188,2.467
2014-09-24,16.94230079650879,2.4445
2014-09-25,16.66469955444336,2.4831
2014-09-26,16.79680061340332,2.4646
2014-09-29,16.753999710083008,2.4708
2014-09-30,16.672399520874023,2.5091
2014-10-08,16.69879913330078,2.5441
2014-10-09,16.38960075378418,2.5504
2014-10-10,16.231800079345703,2.5752
2014-10-13,15.990599632263184,2.6144
2014-10-14,15.432299613952637,2.6183
2014-10-15,15.211000442504885,2.6554
2014-10-16,15.077099800109863,2.6838
2014-10-17,15.306099891662598,2.5972
2014-10-20,15.627799987792969,2.5776
2014-10-21,15.761500358581545,2.5483
2014-10-22,15.63539981842041,2.6152
2014-10-23,15.843700408935549,2.5872
2014-10-24,16.065900802612305,2.5623
2014-10-27,16.092199325561523,2.5607
2014-10-28,16.24519920349121,2.5368
2014-10-29,16.26259994506836,2.5349
2014-10-30,16.3705997467041,2.522
2014-10-31,16.519800186157227,2.4925
2014-11-03,16.524099349975586,2.4919
2014-11-04,16.561199188232422,2.4865
2014-11-05,16.645999908447266,2.5175
2014-11-06,16.70549964904785,2.5064
2014-11-07,16.71769905090332,2.468
2014-11-10,16.74519920349121,2.4636
2014-11-11,16.74690055847168,2.4633
2014-11-12,16.749799728393555,2.4715
2014-11-13,16.85379981994629,2.456
2014-11-14,16.84939956665039,2.5043
2014-11-17,16.867900848388672,2.4514
2014-11-18,16.86720085144043,2.5164
2014-11-19,16.864700317382812,2.5312
2014-11-20,16.903799057006836,2.4645
2014-11-21,16.92530059814453,2.5017
2014-11-24,16.930700302124023,2.4525
2014-11-25,16.914899826049805,2.4552
2014-11-26,16.961700439453125,2.5047
2014-11-27,16.961700439453125,2.5047
2014-11-28,17.038799285888672,2.4408
2014-12-01,17.01759910583496,2.4437
2014-12-02,17.097900390625,2.4483
2014-12-03,17.04450035095215,2.5059
2014-12-04,17.0531005859375,2.4904
2014-12-05,17.0802001953125,2.4401
2014-12-08,16.976600646972656,2.4552
2014-12-09,16.864900588989258,2.4719
2014-12-10,16.62649917602539,2.5078
2014-12-11,16.691099166870117,2.5887
2014-12-12,16.45039939880371,2.6262
2014-12-15,16.34079933166504,2.5639
2014-12-16,16.184900283813477,2.5883
2014-12-17,16.47330093383789,2.5431
2014-12-18,16.868200302124023,2.4821
2014-12-19,16.873699188232422,2.4806
2014-12-22,17.01919937133789,2.4594
2014-12-23,17.064899444580078,2.4529
2014-12-24,17.060400009155273,2.454
2014-12-25,17.060400009155273,2.454
2014-12-26,17.088300704956055,2.4498
2014-12-29,17.038999557495117,2.4569
2014-12-30,16.984500885009766,2.4647
2014-12-31,16.76490020751953,2.4965
2015-01-05,16.53459930419922,2.5344
2015-01-06,16.45639991760254,2.5464
2015-01-07,16.652799606323242,2.5842
2015-01-08,16.9606990814209,2.5371
2015-01-09,16.805200576782227,2.514
