,PE_TTM,DIVIDENDYIELD2
2014-01-02,18.473899841308597,1.3676
2014-01-03,18.37879943847656,1.3753
2014-01-06,18.37019920349121,1.3754
2014-01-07,18.54789924621582,1.3621
2014-01-08,18.46050071716309,1.3687
2014-01-09,18.417499542236328,1.3721
2014-01-10,18.417499542236328,1.3718
2014-01-13,17.99850082397461,1.404
2014-01-14,18.354700088500977,1.3767
2014-01-15,18.299999237060547,1.3814
2014-01-16,18.361400604248047,1.3767
2014-01-17,18.23209953308105,1.3884
2014-01-21,18.49180030822754,1.3704
2014-01-22,18.70770072937012,1.3544
2014-01-23,18.55010032653809,1.3667
2014-01-24,18.118900299072266,1.3992
2014-01-27,17.9237003326416,1.4147
2014-01-28,18.181900024414062,1.3943
2014-01-29,18.097299575805664,1.4016
2014-01-30,18.122900009155277,1.3995
2014-02-07,18.14349937438965,1.3841
2014-02-10,18.00629997253418,1.4002
2014-02-11,18.2106990814209,1.3845
2014-02-12,18.2150993347168,1.3841
2014-02-13,18.326499938964844,1.3886
2014-02-14,18.52879905700684,1.3789
2014-02-18,18.74860000610352,1.362
2014-02-19,18.68819999694824,1.3666
2014-02-20,18.7101993560791,1.3648
2014-02-21,18.602399826049805,1.3763
2014-02-24,18.96380043029785,1.3499
2014-02-25,18.986499786376957,1.3485
2014-02-26,18.76129913330078,1.3661
2014-02-27,18.73579978942871,1.37
2014-02-28,18.824800491333008,1.3634
2014-03-03,18.781099319458008,1.3664
2014-03-04,19.01289939880371,1.3496
2014-03-05,18.905000686645508,1.3582
2014-03-06,19.08810043334961,1.3454
2014-03-07,19.099000930786133,1.345
2014-03-10,19.105199813842773,1.3517
2014-03-11,18.88680076599121,1.3676
2014-03-12,18.92259979248047,1.3662
2014-03-13,18.728099822998047,1.3803
2014-03-14,18.903499603271484,1.3674
2014-03-17,18.932300567626957,1.3654
2014-03-18,19.180500030517575,1.3476
2014-03-19,18.97719955444336,1.3618
2014-03-20,19.10580062866211,1.3526
2014-03-21,19.14620018005371,1.3497
2014-03-24,19.09709930419922,1.3507
2014-03-25,19.206600189208984,1.3429
2014-03-26,19.076799392700195,1.3523
2014-03-27,19.223899841308597,1.3417
2014-03-28,19.48889923095703,1.3235
2014-03-31,18.762800216674805,1.3264
2014-04-01,18.986499786376957,1.3115
2014-04-02,19.085599899291992,1.3043
2014-04-03,19.361799240112305,1.2861
2014-04-04,19.254199981689453,1.2933
2014-04-08,19.06609916687012,1.3059
2014-04-09,19.2455997467041,1.2936
2014-04-10,18.917200088500977,1.3162
2014-04-11,18.884899139404297,1.3185
2014-04-14,19.109600067138672,1.3057
2014-04-15,19.39419937133789,1.2865
2014-04-16,19.704500198364254,1.2662
2014-04-17,19.9375,1.2543
2014-04-21,20.01160049438477,1.2497
2014-04-22,19.970399856567383,1.252
2014-04-23,20.095199584960938,1.2444
2014-04-24,20.17329978942871,1.2402
2014-04-25,19.87730026245117,1.259
2014-04-28,19.930400848388672,1.2554
2014-04-29,20.07939910888672,1.2457
2014-04-30,19.96150016784668,1.253
2014-05-05,20.11389923095703,1.2464
2014-05-06,20.213600158691406,1.2408
2014-05-07,20.379199981689453,1.2305
2014-05-08,19.93630027770996,1.258
2014-05-09,19.93199920654297,1.2581
2014-05-12,20.1205997467041,1.2462
2014-05-13,20.22260093688965,1.2407
2014-05-14,20.158899307250977,1.2447
2014-05-15,19.93600082397461,1.2739
2014-05-16,19.846900939941406,1.2794
2014-05-19,19.943199157714844,1.2815
2014-05-20,19.882200241088867,1.2856
2014-05-21,20.082399368286133,1.2776
2014-05-22,20.041099548339844,1.2835
2014-05-23,19.97360038757324,1.2879
2014-05-27,20.09129905700684,1.2673
2014-05-28,20.238399505615234,1.2728
2014-05-29,20.52879905700684,1.2547
2014-05-30,20.51679992675781,1.2416
2014-06-03,20.52050018310547,1.2413
2014-06-04,20.504600524902344,1.2452
2014-06-05,20.61440086364746,1.2385
2014-06-06,20.738399505615234,1.2313
2014-06-09,20.74880027770996,1.2423
2014-06-10,20.659299850463867,1.2477
2014-06-11,20.89109992980957,1.235
2014-06-12,21.05340003967285,1.2255
2014-06-13,21.24139976501465,1.2146
2014-06-16,21.27779960632324,1.2126
2014-06-17,21.265600204467773,1.2132
2014-06-18,21.48349952697754,1.2009
2014-06-19,21.68919944763184,1.1896
2014-06-20,21.863500595092773,1.1803
2014-06-23,21.96310043334961,1.1757
2014-06-24,21.34589958190918,1.2107
2014-06-25,21.45859909057617,1.2041
2014-06-26,21.446199417114254,1.2048
2014-06-27,21.438899993896484,1.205
2014-06-30,20.396699905395508,1.202
2014-07-01,20.35300064086914,1.2045
2014-07-02,20.28529930114746,1.2088
2014-07-03,20.36260032653809,1.2043
2014-07-07,20.11720085144043,1.2186
2014-07-08,20.07939910888672,1.2209
2014-07-09,20.20680046081543,1.2131
2014-07-10,20.015899658203125,1.2248
2014-07-11,19.83139991760254,1.2364
2014-07-14,20.013500213623047,1.2258
2014-07-15,19.853200912475582,1.2382
2014-07-16,20.20829963684082,1.2166
2014-07-17,19.74740028381348,1.2516
2014-07-18,19.88680076599121,1.2452
2014-07-21,19.850000381469727,1.2473
2014-07-22,20.01740074157715,1.2368
2014-07-23,20.18779945373535,1.2266
2014-07-24,20.208200454711918,1.2299
2014-07-25,20.053600311279297,1.2395
2014-07-28,19.87660026550293,1.2515
2014-07-29,19.943199157714844,1.2474
2014-07-30,19.82360076904297,1.2548
2014-07-31,19.48590087890625,1.2789
2014-08-01,19.214799880981445,1.2971
2014-08-04,19.68400001525879,1.2661
2014-08-05,19.220600128173828,1.2969
2014-08-06,19.276899337768555,1.2934
2014-08-07,19.108200073242188,1.3049
2014-08-08,19.492000579833984,1.2791
2014-08-11,19.44050025939941,1.2821
2014-08-12,19.206600189208984,1.2977
2014-08-13,19.260299682617188,1.3093
2014-08-14,19.156099319458008,1.3174
2014-08-15,19.341100692749023,1.3046
2014-08-18,19.40069961547852,1.3098
2014-08-19,19.58139991760254,1.2978
2014-08-20,19.63990020751953,1.2942
2014-08-21,19.72279930114746,1.2887
2014-08-22,19.60650062561035,1.2857
2014-08-25,19.90489959716797,1.2787
2014-08-26,19.94289970397949,1.2763
2014-08-27,19.8882999420166,1.2807
2014-08-28,19.927400588989254,1.2787
2014-08-29,20.1476993560791,1.2646
2014-09-02,19.85759925842285,1.283
2014-09-03,19.919300079345703,1.2791
2014-09-04,19.56399917602539,1.3027
2014-09-05,19.72909927368164,1.2918
2014-09-09,19.291400909423828,1.3274
2014-09-10,19.25239944458008,1.3309
2014-09-11,19.25819969177246,1.3301
2014-09-12,18.963699340820312,1.3508
2014-09-15,19.094900131225582,1.3415
2014-09-16,19.37989997863769,1.3218
2014-09-17,19.34550094604492,1.3242
2014-09-18,19.15049934387207,1.3379
2014-09-19,19.099000930786133,1.3418
2014-09-22,18.7716007232666,1.3592
2014-09-23,18.6835994720459,1.3653
2014-09-24,18.75760078430176,1.3598
2014-09-25,18.436199188232425,1.3836
2014-09-26,18.65530014038086,1.3674
2014-09-29,18.746299743652344,1.3603
2014-09-30,17.97800064086914,1.3878
2014-10-08,17.108200073242188,1.4593
2014-10-09,16.354799270629883,1.5347
2014-10-10,16.072599411010742,1.5621
2014-10-13,15.351200103759766,1.6363
2014-10-14,15.124799728393556,1.6605
2014-10-15,15.331899642944336,1.644
2014-10-16,15.785200119018556,1.5963
2014-10-17,15.815299987792969,1.5936
2014-10-20,16.010000228881836,1.5773
2014-10-21,16.546600341796875,1.5262
2014-10-22,16.092599868774414,1.5699
2014-10-23,16.424699783325195,1.5377
2014-10-24,16.326499938964844,1.5472
2014-10-27,15.894000053405762,1.5904
2014-10-28,16.409500122070312,1.54
2014-10-29,16.469600677490234,1.5342
2014-10-30,16.36910057067871,1.5445
2014-10-31,16.752700805664062,1.5112
2014-11-03,16.491100311279297,1.5353
2014-11-04,16.046300888061523,1.5782
2014-11-05,16.390199661254883,1.5448
2014-11-06,16.656200408935547,1.5202
2014-11-07,16.933300018310547,1.4947
2014-11-10,16.680400848388672,1.518
2014-11-11,16.76020050048828,1.5107
2014-11-12,16.588600158691406,1.5358
2014-11-13,16.216899871826172,1.571
2014-11-14,16.42289924621582,1.5783
2014-11-17,16.24020004272461,1.6066
2014-11-18,16.32859992980957,1.5979
2014-11-19,16.465599060058594,1.5848
2014-11-20,16.83679962158203,1.5494
2014-11-21,17.056400299072266,1.5329
2014-11-24,16.886699676513672,1.5467
2014-11-25,16.57270050048828,1.5927
2014-11-26,16.28969955444336,1.6045
2014-11-28,14.87559986114502,1.758
2014-12-01,14.85949993133545,1.7603
2014-12-02,15.009599685668944,1.7437
2014-12-03,15.292699813842772,1.7114
2014-12-04,15.074000358581545,1.7367
2014-12-05,14.77180004119873,1.7721
2014-12-08,13.975299835205078,1.879
2014-12-09,14.197799682617188,1.8483
2014-12-10,13.687299728393556,1.9186
2014-12-11,13.635000228881836,1.9257
2014-12-12,13.492300033569336,1.9458
2014-12-15,13.284799575805664,1.9747
2014-12-16,13.546600341796877,1.9363
2014-12-17,14.338299751281738,1.8283
2014-12-18,14.628199577331545,1.7921
2014-12-19,15.065199851989746,1.7374
2014-12-22,14.851699829101562,1.7463
2014-12-23,15.09910011291504,1.718
2014-12-24,14.912599563598633,1.7396
2014-12-26,14.908599853515623,1.74
2014-12-29,14.981900215148926,1.7313
2014-12-30,14.835200309753418,1.7491
2014-12-31,16.660900115966797,1.7606
2015-01-05,15.825200080871582,1.8536
2015-01-06,15.477299690246582,1.8953
2015-01-07,15.445500373840332,1.8993
2015-01-08,15.965399742126465,1.8374
2015-01-09,15.958000183105469,1.8384
2015-01-12,15.335599899291992,1.9133
2015-01-13,15.228400230407717,1.9267
2015-01-14,15.34969997406006,1.919
2015-01-15,15.122099876403809,1.9482
2015-01-16,15.706500053405762,1.8758
2015-01-20,15.664199829101562,1.8848
2015-01-21,16.092199325561523,1.8345
2015-01-22,16.17609977722168,1.825
2015-01-23,16.203399658203125,1.8219
2015-01-26,16.481300354003906,1.7879
2015-01-27,16.55069923400879,1.7803
2015-01-28,15.885700225830078,1.855
2015-01-29,15.999699592590332,1.8426
2015-01-30,16.253400802612305,1.8139
2015-02-02,16.878700256347656,1.7469
2015-02-03,17.386199951171875,1.6958
2015-02-04,17.047800064086914,1.7294
2015-02-05,17.360200881958008,1.7007
2015-02-06,17.351499557495117,1.7015
2015-02-09,17.32309913635254,1.7171
2015-02-10,17.33489990234375,1.7161
2015-02-11,17.22480010986328,1.7273
2015-02-12,17.428199768066406,1.7266
2015-02-13,17.863500595092773,1.6895
2015-02-17,17.92639923095703,1.6837
2015-02-25,17.889299392700195,1.6883
2015-02-26,17.5216007232666,1.7231
2015-02-27,17.3346004486084,1.7416
2015-03-02,17.111600875854492,1.7669
2015-03-03,17.305999755859375,1.7305
2015-03-04,17.258499145507812,1.7346
2015-03-05,17.121999740600586,1.7484
2015-03-06,16.7898006439209,1.7842
2015-03-09,16.618099212646484,1.8076
2015-03-10,16.279600143432617,1.8453
2015-03-11,16.453100204467773,1.8271
2015-03-12,16.31800079345703,1.8423
2015-03-13,16.35099983215332,1.8386
2015-03-16,16.57979965209961,1.8081
2015-03-17,16.4960994720459,1.8173
2015-03-18,17.07110023498535,1.7564
2015-03-19,16.766399383544922,1.7885
2015-03-20,16.998300552368164,1.7641
2015-03-23,16.809900283813477,1.7768
2015-03-24,16.756000518798828,1.7825
2015-03-25,17.027700424194336,1.754
2015-03-26,17.10610008239746,1.7458
2015-03-27,16.93090057373047,1.764
2015-03-30,17.328100204467773,1.728
2015-03-31,22.71940040588379,1.7436
2015-04-01,22.9242000579834,1.7272
2015-04-02,22.99329948425293,1.722
2015-04-07,23.414499282836918,1.6843
2015-04-08,23.198999404907227,1.7
2015-04-09,23.664499282836918,1.6666
2015-04-10,23.718900680541992,1.6627
2015-04-13,23.41629981994629,1.6842
2015-04-14,23.924299240112305,1.6521
2015-04-15,24.485300064086918,1.6141
2015-04-16,24.444799423217773,1.6168
2015-04-17,24.18409919738769,1.6343
2015-04-20,24.32620048522949,1.6247
2015-04-21,23.99530029296875,1.6472
2015-04-22,24.162599563598636,1.6359
2015-04-23,24.297100067138672,1.6269
2015-04-24,24.14229965209961,1.6373
2015-04-27,24.053699493408203,1.6427
2015-04-28,24.224199295043945,1.6312
2015-04-29,24.480600357055664,1.6139
2015-04-30,24.40399932861328,1.6229
2015-05-04,24.44070053100586,1.6201
2015-05-05,23.933300018310547,1.6545
2015-05-06,23.824800491333008,1.6621
2015-05-07,23.56369972229004,1.6799
2015-05-08,23.928800582885746,1.6543
2015-05-11,23.40690040588379,1.7039
2015-05-12,23.55680084228516,1.693
2015-05-13,23.361099243164062,1.7067
2015-05-14,23.32900047302246,1.7145
2015-05-15,23.378400802612305,1.7108
2015-05-18,23.518299102783203,1.7058
2015-05-19,23.120800018310547,1.7352
