,PE_TTM,DIVIDENDYIELD2
2014-01-02,24.38960075378418,3.1931
2014-01-03,24.507099151611328,3.1778
2014-01-06,24.39109992980957,3.1929
2014-01-07,24.593799591064453,3.1666
2014-01-08,24.58390045166016,3.1679
2014-01-09,24.377199172973636,3.1947
2014-01-10,24.524099349975582,3.1756
2014-01-13,24.59720039367676,3.1662
2014-01-14,24.66029930114746,3.1581
2014-01-15,24.994199752807617,3.1159
2014-01-16,24.920299530029297,3.1251
2014-01-17,24.96780014038086,3.1192
2014-01-20,24.94099998474121,3.1235
2014-01-21,24.9468994140625,3.1227
2014-01-22,24.95330047607422,3.1219
2014-01-23,24.69930076599121,3.154
2014-01-24,24.009899139404297,3.2446
2014-01-27,23.91230010986328,3.2578
2014-01-28,24.147300720214844,3.2261
2014-01-29,23.983999252319336,3.2481
2014-01-30,24.116899490356445,3.2302
2014-02-07,24.394800186157227,3.1934
2014-02-10,24.446399688720703,3.1866
2014-02-11,24.712900161743164,3.1523
2014-02-12,24.840900421142575,3.136
2014-02-13,24.882999420166016,3.1307
2014-02-14,25.040700912475582,3.111
2014-02-17,25.01210021972656,3.1146
2014-02-18,24.986299514770508,3.1178
2014-02-19,25.046300888061523,3.1103
2014-02-20,25.12929916381836,3.1001
2014-02-21,25.27680015563965,3.082
2014-02-24,25.49650001525879,3.0554
2014-02-25,25.46999931335449,3.0586
2014-02-26,25.36829948425293,3.0708
2014-02-27,25.36529922485352,3.0712
2014-02-28,25.43269920349121,3.0631
2014-03-03,24.756500244140625,3.1467
2014-03-04,25.36240005493164,3.0716
2014-03-05,25.335599899291992,3.0748
2014-03-06,25.484399795532227,3.0569
2014-03-07,25.19239997863769,3.0923
2014-03-10,25.21789932250977,3.0892
2014-03-11,25.09600067138672,3.1042
2014-03-12,24.84530067443848,3.1355
2014-03-13,24.52359962463379,3.1766
2014-03-14,24.32659912109375,3.2023
2014-03-17,24.64739990234375,3.1607
2014-03-18,24.88559913635254,3.1304
2014-03-19,24.855600357055664,3.1342
2014-03-20,24.970199584960938,3.1198
2014-03-21,25.012699127197266,3.1145
2014-03-24,24.666200637817383,3.1496
2014-03-25,25.057100296020508,3.1005
2014-03-26,25.293800354003903,3.0714
2014-03-27,25.258699417114254,3.0757
2014-03-28,25.44440078735352,3.0533
2014-03-31,24.579200744628903,3.067
2014-04-01,24.77630043029785,3.0426
2014-04-02,24.79949951171875,3.0398
2014-04-03,24.90290069580078,3.0271
2014-04-04,25.100000381469727,3.0034
2014-04-08,24.76569938659668,3.0439
2014-04-09,24.8656005859375,3.0317
2014-04-10,24.702299118041992,3.0517
2014-04-11,24.435699462890625,3.085
2014-04-14,24.54030036926269,3.0751
2014-04-15,24.320899963378903,3.1028
