,PE_TTM,DIVIDENDYIELD2
2014-01-02,18.073699951171875,2.8754
2014-01-03,18.14119911193848,2.8647
2014-01-06,18.127500534057617,2.8669
2014-01-07,18.27779960632324,2.8433
2014-01-08,18.26180076599121,2.8458
2014-01-09,18.11520004272461,2.8688
2014-01-10,18.214500427246094,2.8532
2014-01-13,18.285499572753903,2.8421
2014-01-14,18.343799591064453,2.833
2014-01-15,18.715499877929688,2.7768
2014-01-16,18.684499740600582,2.7814
2014-01-17,18.73310089111328,2.7742
2014-01-20,18.68099975585937,2.7819
2014-01-21,18.70840072631836,2.7778
2014-01-22,18.68910026550293,2.7807
2014-01-23,18.517900466918945,2.8064
2014-01-24,18.058300018310547,2.8778
2014-01-27,17.97599983215332,2.891
2014-01-28,18.08690071105957,2.8733
2014-01-29,17.90060043334961,2.9043
2014-01-30,17.971099853515625,2.8929
2014-02-07,17.833900451660156,2.9151
2014-02-10,17.810800552368164,2.9189
2014-02-11,18.17300033569336,2.8608
2014-02-12,18.2903995513916,2.8424
2014-02-13,18.399200439453125,2.8256
2014-02-14,18.52280044555664,2.8066
2014-02-17,18.511999130249023,2.8083
2014-02-18,18.517799377441406,2.8074
2014-02-19,18.518299102783203,2.8073
2014-02-20,18.43930053710937,2.8193
2014-02-21,18.512300491333008,2.8082
2014-02-24,18.61199951171875,2.7932
2014-02-25,18.593599319458008,2.7959
2014-02-26,18.521499633789062,2.8068
2014-02-27,18.380800247192383,2.8283
2014-02-28,18.579700469970703,2.798
2014-03-03,17.94099998474121,2.8977
2014-03-04,18.382400512695312,2.8281
2014-03-05,18.29199981689453,2.842
2014-03-06,18.29360008239746,2.8418
2014-03-07,17.925399780273438,2.9002
2014-03-10,17.761899948120117,2.9269
2014-03-11,17.843000411987305,2.9136
2014-03-12,17.614700317382812,2.9513
2014-03-13,17.287099838256836,3.0073
2014-03-14,17.361099243164062,2.9944
2014-03-17,17.599700927734375,2.9538
2014-03-18,17.717899322509766,2.9341
2014-03-19,17.784099578857422,2.9232
2014-03-20,17.820600509643555,2.9172
2014-03-21,17.910400390625,2.9026
2014-03-24,17.61479949951172,2.9513
2014-03-25,18.02079963684082,2.8989
2014-03-26,18.23340034484864,2.8651
2014-03-27,18.238500595092773,2.8643
2014-03-28,18.500900268554688,2.8237
2014-03-31,18.37700080871582,2.8329
2014-04-01,18.468900680541992,2.8188
2014-04-02,18.50670051574707,2.813
2014-04-03,18.517200469970703,2.8115
2014-04-04,18.64590072631836,2.792
2014-04-08,18.24740028381348,2.8586
2014-04-09,18.277299880981445,2.854
2014-04-10,18.08489990234375,2.8851
2014-04-11,17.818599700927734,2.9282
2014-04-14,17.864299774169922,2.9207
2014-04-15,17.547800064086914,2.9734
2014-04-16,17.823400497436523,2.9274
2014-04-17,18.03949928283692,2.8403
2014-04-22,18.403499603271484,2.7841
2014-04-23,18.296300888061523,2.8004
2014-04-24,18.30489921569824,2.7991
2014-04-25,18.022899627685547,2.8429
2014-04-28,18.101900100708008,2.8333
2014-04-29,18.365800857543945,2.7926
2014-04-30,18.369600296020508,2.8374
2014-05-05,18.099300384521484,2.7803
2014-05-06,17.981599807739258,2.7985
2014-05-07,18.08370018005371,2.7827
2014-05-08,18.138500213623047,2.8178
2014-05-09,18.08429908752441,2.8301
2014-05-12,18.312599182128903,2.7964
2014-05-13,18.40830039978028,2.7817
2014-05-14,18.38360023498535,2.792
2014-05-15,18.19700050354004,2.7961
2014-05-16,18.076799392700195,2.7468
2014-05-19,18.13010025024414,2.7408
2014-05-20,18.09199905395508,2.7466
2014-05-21,18.19260025024414,2.7376
2014-05-22,18.216699600219727,2.7499
2014-05-23,18.304800033569336,2.734
2014-05-26,18.53870010375977,2.6995
2014-05-27,18.62859916687012,2.6865
2014-05-28,18.605300903320312,2.701
2014-05-29,18.604799270629883,2.701
2014-05-30,18.613000869750977,2.6999
2014-06-03,18.56889915466309,2.7063
2014-06-04,18.581899642944336,2.7044
2014-06-05,18.62150001525879,2.6986
2014-06-06,18.695199966430664,2.688
2014-06-09,18.73530006408692,2.6822
2014-06-10,18.773099899291992,2.6768
2014-06-11,18.625200271606445,2.6981
2014-06-12,18.604400634765625,2.7011
2014-06-13,18.55610084533692,2.7081
2014-06-16,18.50200080871582,2.716
2014-06-17,18.56999969482422,2.7061
2014-06-18,18.588699340820312,2.7034
2014-06-19,18.726600646972656,2.6835
2014-06-20,18.69529914855957,2.688
2014-06-23,18.572099685668945,2.6956
2014-06-24,18.60420036315918,2.6909
2014-06-25,18.47260093688965,2.7101
2014-06-26,18.354900360107425,2.7275
2014-06-27,18.37420082092285,2.7246
2014-06-30,18.298599243164062,2.7197
2014-07-01,18.427600860595703,2.7006
2014-07-02,18.44409942626953,2.6982
2014-07-03,18.66399955749512,2.6664
2014-07-04,18.626100540161133,2.6718
2014-07-07,18.43440055847168,2.6996
2014-07-08,18.186199188232425,2.7365
2014-07-09,18.25230026245117,2.7265
2014-07-10,17.974899291992188,2.7686
2014-07-11,17.988300323486328,2.7666
2014-07-14,18.205400466918945,2.7336
2014-07-15,18.087099075317383,2.7515
2014-07-16,18.347299575805664,2.7124
2014-07-17,18.151199340820312,2.7417
2014-07-18,18.08819961547852,2.7513
2014-07-21,17.887300491333008,2.7822
