,PE_TTM,DIVIDENDYIELD2
2023-09-18,10.399800300598145,5.027
2023-09-19,10.478899955749512,4.9927
2023-09-20,10.431699752807615,5.1801
2023-09-21,10.375399589538574,4.935
2023-09-22,10.46049976348877,4.8799
2023-09-25,10.36340045928955,4.928
2023-09-26,10.267000198364258,4.9813
2023-09-27,10.299099922180176,4.9621
2023-09-28,10.293499946594238,4.962
2023-10-09,10.281900405883787,4.9796
2023-10-10,10.165900230407717,5.0311
2023-10-11,10.1274995803833,5.0532
2023-10-12,10.20400047302246,5.0138
2023-10-13,10.178500175476074,5.0436
2023-10-16,10.194299697875977,4.9981
2023-10-17,10.31820011138916,4.9554
2023-10-18,10.268500328063965,4.9826
2023-10-19,10.064599990844728,5.0903
2023-10-20,9.95989990234375,5.132
2023-10-23,9.878199577331545,5.1809
2023-10-24,9.882800102233888,5.1664
2023-10-25,9.73840045928955,5.2185
2023-10-26,9.814900398254396,5.1772
2023-10-27,9.828700065612791,5.1471
2023-10-30,9.714099884033203,5.2194
2023-10-31,9.776599884033203,5.2232
2023-11-01,9.789600372314451,5.2231
2023-11-02,9.815899848937988,5.2075
2023-11-03,9.836199760437012,5.1934
2023-11-06,9.7322998046875,5.225
2023-11-07,9.716300010681152,5.2399
2023-11-08,9.684300422668455,5.2616
2023-11-09,9.724300384521484,5.2303
2023-11-10,9.688599586486816,5.2348
2023-11-13,9.737799644470217,5.2089
2023-11-14,9.72659969329834,5.2102
2023-11-15,9.819899559020996,5.1488
2023-11-16,9.781399726867676,5.1799
2023-11-17,9.68929958343506,5.2232
2023-11-20,9.725099563598633,5.192
2023-11-21,9.727399826049805,5.1879
2023-11-22,9.727899551391602,5.206
2023-11-23,9.790200233459473,5.1708
2023-11-24,9.777799606323242,5.1881
2023-11-27,9.722900390625,5.2045
2023-11-28,9.697999954223633,5.219
2023-11-29,9.655400276184082,5.2833
2023-11-30,9.773200035095217,5.2382
2023-12-01,9.774100303649902,5.2545
2023-12-04,9.760600090026855,5.261
2023-12-05,9.6274995803833,5.3374
2023-12-06,9.585599899291992,5.3555
2023-12-07,9.546099662780762,5.3811
2023-12-08,9.5802001953125,5.4046
2023-12-11,9.609600067138672,5.3823
2023-12-12,9.665900230407717,5.3449
2023-12-13,9.542699813842772,5.4221
2023-12-14,9.544099807739258,5.4299
2023-12-15,9.528400421142578,5.1936
2023-12-18,9.53969955444336,5.1968
2023-12-19,9.555100440979004,5.2015
2023-12-20,9.523500442504885,5.2786
2023-12-21,9.520000457763672,5.2638
2023-12-22,9.586700439453123,5.2426
2023-12-25,9.622599601745604,5.2288
2023-12-26,9.63659954071045,5.2331
2023-12-27,9.78499984741211,5.1654
2023-12-28,9.81149959564209,5.1349
2023-12-29,9.88379955291748,5.1141
2024-01-02,9.88539981842041,5.1085
2024-01-03,9.921899795532228,5.0768
2024-01-04,9.967499732971191,5.0618
2024-01-05,9.97469997406006,5.046
2024-01-08,9.914400100708008,5.086
2024-01-09,9.901900291442873,5.0844
2024-01-10,9.81060028076172,5.1256
2024-01-11,9.73610019683838,5.1589
2024-01-12,9.768400192260742,5.1401
2024-01-15,9.86110019683838,5.0986
2024-01-16,9.87380027770996,5.0902
2024-01-17,9.719300270080566,5.1788
2024-01-18,9.768799781799316,5.1645
2024-01-19,9.73390007019043,5.1834
2024-01-22,9.587599754333496,5.2791
2024-01-23,9.597800254821776,5.2579
