,PE_TTM,DIVIDENDYIELD2
2014-12-29,51.93519973754883,0.214
2014-12-30,51.789100646972656,0.2143
2014-12-31,51.27690124511719,0.2158
2015-01-05,50.97760009765625,0.2151
2015-01-06,52.18280029296875,0.2062
2015-01-07,52.6801986694336,0.201
2015-01-08,53.94390106201172,0.1966
2015-01-09,53.39910125732422,0.1975
2015-01-12,52.507598876953125,0.1988
2015-01-13,52.24909973144531,0.1984
2015-01-14,51.68999862670898,0.201
2015-01-15,50.85419845581055,0.2012
2015-01-16,50.76679992675781,0.2065
2015-01-19,50.88909912109375,0.2053
2015-01-20,51.88420104980469,0.2025
2015-01-21,53.4723014831543,0.1959
2015-01-22,53.92710113525391,0.1926
2015-01-23,54.164798736572266,0.1914
2015-01-26,54.78749847412109,0.1868
2015-01-27,54.43870162963867,0.188
2015-01-28,53.24409866333008,0.1885
2015-01-29,52.6963005065918,0.1936
2015-01-30,52.15739822387695,0.1968
2015-02-02,52.86899948120117,0.1924
2015-02-03,53.13219833374024,0.1926
2015-02-04,52.96139907836914,0.194
2015-02-05,52.4296989440918,0.1935
2015-02-06,51.6343002319336,0.1953
2015-02-09,51.72460174560547,0.1971
2015-02-10,52.60699844360352,0.196
2015-02-11,51.75640106201172,0.1981
2015-02-12,51.47829818725586,0.2004
2015-02-13,52.24779891967773,0.2033
2015-02-16,52.1327018737793,0.2029
2015-02-17,51.941200256347656,0.2029
2015-02-25,51.979000091552734,0.1903
2015-02-26,51.980201721191406,0.1905
2015-02-27,51.745601654052734,0.1907
2015-03-02,51.66249847412109,0.1902
2015-03-03,50.9197998046875,0.1925
2015-03-04,51.709999084472656,0.1934
2015-03-05,52.21680068969727,0.1938
2015-03-06,51.71820068359375,0.1945
2015-03-09,51.40729904174805,0.1946
2015-03-10,51.192501068115234,0.1961
2015-03-11,50.96599960327149,0.1996
2015-03-12,50.96839904785156,0.1995
2015-03-13,51.02349853515625,0.1977
2015-03-16,51.72610092163086,0.1948
2015-03-17,51.618900299072266,0.1966
2015-03-18,51.08520126342773,0.1938
2015-03-19,52.81809997558594,0.1842
2015-03-20,52.70249938964844,0.1862
2015-03-23,53.04499816894531,0.1834
2015-03-24,52.61830139160156,0.1855
2015-03-25,52.33110046386719,0.1859
2015-03-26,56.81829833984375,0.1875
2015-03-27,57.24919891357422,0.1862
2015-03-30,57.56269836425781,0.1829
2015-03-31,57.84370040893555,0.1806
2015-04-01,57.85290145874024,0.1798
2015-04-02,58.15570068359375,0.1777
2015-04-03,58.15570068359375,0.1777
2015-04-07,58.30699920654297,0.1775
2015-04-08,60.86389923095703,0.1717
2015-04-09,61.89759826660156,0.1671
2015-04-10,61.72719955444336,0.1658
2015-04-13,62.8213996887207,0.1591
2015-04-14,61.783199310302734,0.1664
2015-04-15,61.15470123291016,0.1696
2015-04-16,61.26359939575195,0.1676
2015-04-17,60.31719970703125,0.1696
2015-04-20,59.75469970703125,0.1744
2015-04-21,60.93519973754883,0.1687
2015-04-22,61.484500885009766,0.1656
2015-04-23,61.41049957275391,0.1669
2015-04-24,62.37120056152344,0.1657
2015-04-27,62.168701171875,0.1646
2015-04-28,62.08200073242188,0.164
2015-04-29,61.420501708984375,0.1641
2015-04-30,60.042598724365234,0.1674
2015-05-04,59.96289825439453,0.1695
2015-05-05,59.05680084228516,0.1707
2015-05-06,58.40530014038086,0.1726
2015-05-07,62.39419937133789,0.1738
2015-05-08,58.61309814453125,0.1722
2015-05-11,59.12350082397461,0.168
2015-05-12,58.87919998168945,0.1696
2015-05-13,58.77299880981445,0.1647
2015-05-14,59.445499420166016,0.1605
2015-05-15,59.718299865722656,0.3239
2015-05-18,59.28900146484375,0.2189
2015-05-19,59.91339874267578,0.2181
2015-05-20,60.44039916992188,0.2204
2015-05-21,61.16320037841797,0.2214
2015-05-22,61.71649932861328,0.2292
2015-05-25,62.20149993896485,0.2271
2015-05-26,61.72819900512695,0.2272
2015-05-27,61.70489883422852,0.233
2015-05-28,60.686798095703125,0.2469
2015-05-29,60.155799865722656,0.2415
2015-06-01,61.00350189208984,0.2216
2015-06-02,61.087398529052734,0.2208
2015-06-03,61.27270126342773,0.22
2015-06-04,61.00040054321289,0.221
2015-06-05,61.23310089111328,0.2237
2015-06-08,60.57070159912109,0.2243
2015-06-09,60.21849822998047,0.2255
2015-06-10,60.5797004699707,0.2265
2015-06-11,60.667999267578125,0.2249
2015-06-12,61.33319854736328,0.2213
2015-06-15,61.13999938964844,0.2249
2015-06-16,60.8739013671875,0.2264
2015-06-17,61.39039993286133,0.2253
2015-06-18,61.32519912719727,0.2251
2015-06-19,60.52439880371094,0.2263
2015-06-23,61.02640151977539,0.2269
2015-06-24,61.53570175170898,0.2215
2015-06-25,61.08000183105469,0.2236
2015-06-26,59.750301361083984,0.2275
2015-06-29,57.83259963989258,0.2374
2015-06-30,58.93050003051758,0.234
2015-07-01,58.73440170288086,0.2343
2015-07-02,58.60290145874024,0.2335
2015-07-03,58.351898193359375,0.2359
2015-07-06,55.80690002441406,0.2497
2015-07-07,54.75460052490234,0.2544
2015-07-08,53.0276985168457,0.2698
2015-07-09,55.78340148925781,0.2496
2015-07-10,56.37950134277344,0.2456
2015-07-13,57.43629837036133,0.2418
2015-07-14,57.50510025024414,0.2406
2015-07-15,56.338600158691406,0.2445
2015-07-16,57.15019989013672,0.2432
2015-07-17,58.54230117797852,0.2374
2015-07-20,58.56100082397461,0.2354
2015-07-21,58.90589904785156,0.2339
2015-07-22,59.082401275634766,0.236
2015-07-23,59.0536003112793,0.2358
2015-07-24,58.16790008544922,0.24
2015-07-27,56.00230026245117,0.2504
2015-07-28,55.022098541259766,0.2507
2015-07-29,55.09669876098633,0.253
2015-07-30,54.96469879150391,0.2547
2015-07-31,54.69710159301758,0.253
2015-08-03,54.27560043334961,0.2548
2015-08-04,54.81779861450195,0.255
2015-08-05,55.06119918823242,0.2553
2015-08-06,54.721900939941406,0.2579
2015-08-07,49.824100494384766,0.2565
2015-08-10,49.99509811401367,0.2545
2015-08-11,48.85359954833984,0.2603
2015-08-12,36.85020065307617,0.2714
2015-08-13,38.34880065917969,0.2575
2015-08-14,38.3307991027832,0.2584
2015-08-17,38.22209930419922,0.2571
2015-08-18,37.4557991027832,0.2621
2015-08-19,37.079200744628906,0.2628
2015-08-20,35.54600143432617,0.2709
2015-08-21,34.54629898071289,0.2796
2015-08-24,32.867000579833984,0.2951
2015-08-25,34.15510177612305,0.2828
2015-08-26,34.22549819946289,0.2897
2015-08-27,35.752899169921875,0.2801
2015-08-28,35.23619842529297,0.2765
2015-08-31,34.19409942626953,0.2822
2015-09-01,33.16669845581055,0.2917
2015-09-02,33.38199996948242,0.2908
2015-09-07,32.60419845581055,0.288
2015-09-08,32.65140151977539,0.2828
2015-09-09,33.69490051269531,0.2742
2015-09-10,33.195098876953125,0.2828
2015-09-11,33.184200286865234,0.2876
2015-09-14,32.62350082397461,0.2884
2015-09-15,33.392799377441406,0.2817
2015-09-16,34.840599060058594,0.2721
2015-09-17,34.4468994140625,0.2745
2015-09-18,34.245399475097656,0.2727
2015-09-21,33.74829864501953,0.2759
2015-09-22,33.04330062866211,0.2797
2015-09-23,32.3306999206543,0.2839
2015-09-24,32.45800018310547,0.284
2015-09-25,32.43669891357422,0.2837
2015-09-28,31.86359977722168,0.2851
2015-09-29,31.73590087890625,0.2911
2015-09-30,32.43920135498047,0.2862
2015-10-08,35.64030075073242,0.2795
2015-10-09,35.92509841918945,0.2791
2015-10-12,36.476200103759766,0.2747
2015-10-13,36.05030059814453,0.2769
2015-10-14,35.60060119628906,0.2788
2015-10-15,36.74440002441406,0.2729
2015-10-16,37.1682014465332,0.2698
2015-10-19,37.47800064086914,0.2688
2015-10-20,37.2859001159668,0.2697
2015-10-21,36.59170150756836,0.2711
2015-10-22,36.88290023803711,0.271
2015-10-23,38.28559875488281,0.2646
2015-10-26,38.18980026245117,0.2636
2015-10-27,32.13650131225586,0.2621
2015-10-28,32.62519836425781,0.2602
2015-10-29,32.67319869995117,0.2631
2015-10-30,33.218299865722656,0.2632
2015-11-02,33.45790100097656,0.2613
2015-11-03,33.69150161743164,0.2573
2015-11-04,34.33100128173828,0.2525
2015-11-05,34.175899505615234,0.2537
2015-11-06,34.31489944458008,0.2509
2015-11-09,33.71699905395508,0.2553
2015-11-10,33.01359939575195,0.2578
2015-11-11,32.6786003112793,0.2568
2015-11-12,32.91659927368164,0.2523
2015-11-13,31.80270004272461,0.2581
2015-11-16,32.29850006103516,0.2609
2015-11-17,32.389198303222656,0.2583
2015-11-18,32.28260040283203,0.2574
2015-11-19,32.6598014831543,0.2543
2015-11-20,33.33380126953125,0.2503
2015-11-23,33.831199645996094,0.249
2015-11-24,33.7411003112793,0.2524
2015-11-25,33.842899322509766,0.2518
2015-11-26,33.783599853515625,0.2529
2015-11-27,33.840599060058594,0.2541
2015-11-30,35.132301330566406,0.2507
2015-12-01,35.119998931884766,0.2509
2015-12-02,35.23460006713867,0.2512
2015-12-03,34.779598236083984,0.2515
2015-12-04,34.9552001953125,0.2548
2015-12-07,35.05009841918945,0.2548
2015-12-08,34.85940170288086,0.2568
2015-12-09,34.63809967041016,0.2565
2015-12-10,34.79140090942383,0.2566
2015-12-11,33.645999908447266,0.263
2015-12-14,33.94089889526367,0.26
2015-12-15,34.56740188598633,0.2574
2015-12-16,35.40629959106445,0.2507
2015-12-17,35.25859832763672,0.2513
2015-12-18,35.08300018310547,0.2523
2015-12-21,35.089698791503906,0.2533
2015-12-22,35.424198150634766,0.2519
2015-12-23,35.536800384521484,0.2501
2015-12-24,35.32160186767578,0.2512
2015-12-25,35.32160186767578,0.2512
2015-12-28,34.859798431396484,0.2533
2015-12-29,35.191200256347656,0.2527
2015-12-30,34.77330017089844,0.2537
2015-12-31,35.22779846191406,0.2508
2016-01-04,33.766700744628906,0.2586
2016-01-05,34.2140007019043,0.2597
2016-01-06,33.94440078735352,0.262
2016-01-07,32.35350036621094,0.2742
2016-01-08,32.13130187988281,0.2716
2016-01-11,31.37159919738769,0.28
2016-01-12,31.89380073547364,0.2812
2016-01-13,31.241199493408203,0.2812
2016-01-14,31.86260032653809,0.2798
2016-01-15,30.924299240112305,0.2828
