,PE_TTM,DIVIDENDYIELD2
2018-05-22,15.913299560546875,1.9807
2018-05-23,15.73840045928955,2.0188
2018-05-24,15.706899642944336,2.0037
2018-05-25,15.644700050354004,2.0102
2018-05-28,15.716400146484375,1.9967
2018-05-29,15.56879997253418,2.0168
2018-05-30,15.278300285339355,2.0572
2018-05-31,15.538800239562988,2.0813
2018-06-01,15.481800079345703,2.1077
2018-06-04,15.76990032196045,1.9836
2018-06-05,15.913900375366211,2.0048
2018-06-06,15.933500289916992,1.9743
2018-06-07,15.968500137329102,2.1101
2018-06-08,15.69890022277832,2.153
2018-06-11,15.76159954071045,2.0736
2018-06-12,15.847900390625,2.0797
2018-06-13,15.656200408935547,2.1044
2018-06-14,15.551899909973145,2.0922
2018-06-15,15.486599922180176,2.0365
2018-06-19,14.946200370788574,2.1098
2018-06-20,15.004599571228027,2.089
2018-06-21,14.832900047302246,2.0897
2018-06-22,14.865900039672852,2.0995
2018-06-25,14.554499626159668,2.1422
2018-06-26,14.430399894714355,2.1558
2018-06-27,14.078800201416016,2.2007
2018-06-28,13.976699829101562,2.1994
2018-06-29,14.361100196838379,2.1845
2018-07-02,14.169300079345703,2.1532
2018-07-03,14.053400039672852,2.163
2018-07-04,13.815699577331543,2.2263
2018-07-05,13.76099967956543,2.2601
2018-07-06,13.8503999710083,2.1581
2018-07-09,14.204899787902832,2.1034
2018-07-10,14.167099952697754,2.1145
2018-07-11,13.931400299072266,2.1669
2018-07-12,14.101499557495117,2.2055
2018-07-13,14.146699905395508,2.2116
2018-07-16,14.067399978637695,2.1775
2018-07-17,13.95580005645752,2.1965
2018-07-18,13.924099922180176,2.1962
2018-07-19,13.870699882507324,2.1993
2018-07-20,14.051300048828125,2.1626
2018-07-23,14.091400146484375,2.132
2018-07-24,14.296299934387207,2.1051
2018-07-25,14.391500473022461,2.0769
2018-07-26,14.272299766540527,2.1023
2018-07-27,14.261799812316895,2.0939
2018-07-30,14.239800453186035,2.1093
2018-07-31,14.102800369262695,2.1572
2018-08-01,13.912099838256836,2.1681
2018-08-02,13.470800399780273,2.23
2018-08-03,13.378499984741211,2.2394
2018-08-06,13.293100357055664,2.2373
2018-08-07,13.593299865722656,2.1782
2018-08-08,13.511300086975098,2.188
2018-08-09,13.843400001525879,2.15
2018-08-10,13.764800071716309,2.1517
2018-08-13,13.55840015411377,2.1616
2018-08-14,13.363699913024902,2.1945
2018-08-15,12.992400169372559,2.2653
