,PE_TTM,DIVIDENDYIELD2,CLOSE
2009-09-21,22.51000022888184,1.8454,3467.95
2009-09-22,22.05419921875,1.9401,3395.8
2009-09-23,21.72089958190918,1.9469,3324.8
2009-09-24,21.84119987487793,1.9406,3325.83
2009-09-25,21.76580047607422,1.9465,3310.82
2009-09-28,21.212799072265625,1.9638,3225.44
2009-09-29,21.221399307250977,1.9642,3222.31
2009-09-30,21.390199661254883,1.9482,3250.77
2009-10-09,22.314599990844727,1.8673,3406.14
2009-10-12,22.12540054321289,1.8854,3379.59
2009-10-13,22.41679954528809,1.8615,3426.69
2009-10-14,22.6254997253418,1.842,3456.09
2009-10-15,22.69289970397949,1.8359,3467.57
2009-10-16,22.59000015258789,1.8421,3466.26
2009-10-19,22.97599983215332,1.8086,3554.55
2009-10-20,23.346900939941406,1.7802,3602.79
2009-10-21,23.070899963378903,1.7895,3581.17
2009-10-22,22.81430053710937,1.8067,3542.18
2009-10-23,23.31859970092773,1.7739,3607.08
2009-10-26,23.159099578857425,1.7743,3604.16
2009-10-27,22.33769989013672,1.8259,3500.75
2009-10-28,22.29700088500977,1.8227,3511.21
2009-10-29,22.117599487304688,1.8646,3427.16
2009-10-30,21.86160087585449,1.8417,3457.79
2009-11-02,22.229400634765625,1.8036,3544.12
2009-11-03,22.399900436401367,1.7886,3578.8
2009-11-04,22.47929954528809,1.7817,3592.45
2009-11-05,22.67989921569824,1.7651,3612.25
2009-11-06,22.7091007232666,1.7616,3635.97
2009-11-09,22.731300354003903,1.7597,3645.88
2009-11-10,22.772499084472656,1.7576,3651.32
2009-11-11,22.702800750732425,1.7623,3640.63
2009-11-12,22.643699645996094,1.7657,3645.43
2009-11-13,22.7539005279541,1.7572,3664.47
2009-11-16,23.378400802612305,1.7102,3771.81
2009-11-17,23.468299865722656,1.7067,3770.29
2009-11-18,23.71689987182617,1.6801,3786.53
2009-11-19,23.77720069885254,1.6745,3801.84
2009-11-20,23.58130073547364,1.6875,3780.54
2009-11-23,23.71179962158203,1.6777,3804.91
2009-11-24,22.97010040283203,1.7319,3683.8
2009-11-25,23.27560043334961,1.7066,3754.66
2009-11-26,22.512500762939453,1.7649,3617.77
2009-11-27,22.10140037536621,1.7983,3525.91
2009-11-30,22.672700881958008,1.7501,3650.25
2009-12-01,22.83720016479492,1.7366,3694.38
2009-12-02,23.034900665283203,1.7222,3726.86
2009-12-03,22.926700592041016,1.7296,3711.32
2009-12-04,23.57929992675781,1.6849,3774.2
2009-12-07,23.60110092163086,1.6828,3801.66
2009-12-08,23.31329917907715,1.7018,3757.36
2009-12-09,22.977399826049805,1.7259,3697.78
2009-12-10,23.02549934387207,1.7236,3711.08
2009-12-11,22.955400466918945,1.7295,3701.72
2009-12-14,23.534400939941406,1.6861,3753.99
2009-12-15,23.25639915466309,1.706,3722.79
2009-12-16,23.073400497436523,1.72,3694.34
2009-12-17,22.651599884033203,1.7537,3628.46
2009-12-18,22.31170082092285,1.7747,3546.13
2009-12-21,22.361299514770508,1.7691,3564.1
2009-12-22,21.96139907836914,1.8015,3488.06
2009-12-23,22.07889938354492,1.7907,3516.85
2009-12-24,22.567800521850582,1.7505,3613.99
2009-12-25,22.44599914550781,1.76,3598.63
2009-12-28,22.744600296020508,1.7361,3641.5
2009-12-29,22.93120002746582,1.7225,3654.66
2009-12-30,23.45319938659668,1.6868,3727.89
2009-12-31,23.57010078430176,1.681,3752.26
2010-01-04,23.26440048217773,1.7029,3711.06
2010-01-05,23.549400329589844,1.6839,3739.87
2010-01-06,23.28470039367676,1.7021,3714.81
2010-01-07,22.840200424194336,1.7358,3631.42
2010-01-08,22.777700424194336,1.7422,3633.14
2010-01-11,22.951799392700195,1.7306,3639.24
2010-01-12,23.39570045471192,1.6925,3711.58
2010-01-13,22.507699966430664,1.7545,3597.55
2010-01-14,22.68980026245117,1.7397,3638.79
2010-01-15,22.69059944152832,1.7396,3646.66
2010-01-18,22.3966007232666,1.7389,3668.86
2010-01-19,22.44930076599121,1.7347,3664.84
2010-01-20,21.849000930786133,1.7831,3547.2
2010-01-21,21.891700744628903,1.7858,3546.83
2010-01-22,21.8617000579834,1.794,3507.8
2010-01-25,21.654300689697266,1.8091,3476.6
2010-01-26,21.27009963989257,1.8437,3407.73
2010-01-27,21.014799118041992,1.8603,3376.22
2010-01-28,20.98900032043457,1.8603,3386.63
2010-01-29,20.91119956970215,1.8685,3371.43
2010-02-01,20.532400131225582,1.9019,3318.78
2010-02-02,20.513900756835938,1.905,3306.94
2010-02-03,21.01059913635254,1.8608,3385.13
2010-02-04,20.822200775146484,1.8741,3372.79
2010-02-05,20.4596004486084,1.9067,3310.8
2010-02-08,20.41659927368164,1.9118,3300.32
2010-02-09,20.495100021362305,1.9037,3310.08
2010-02-10,20.693500518798828,1.8846,3349.59
2010-02-11,20.751399993896484,1.8786,3364.87
2010-02-12,20.983699798583984,1.8587,3397.47
2010-02-22,20.821399688720703,1.873,3369.68
2010-02-23,20.612199783325195,1.8904,3347.54
2010-02-24,20.827899932861328,1.8699,3395.43
2010-02-25,21.0310001373291,1.8527,3432.73
2010-02-26,20.9384994506836,1.8598,3419.69
2010-03-01,21.172100067138672,1.8407,3458.33
2010-03-02,21.02580070495605,1.8524,3440.25
2010-03-03,21.11840057373047,1.8432,3458.52
2010-03-04,20.75690078735352,1.8755,3388.08
2010-03-05,20.76849937438965,1.875,3391.35
2010-03-08,20.853900909423828,1.8661,3408.77
2010-03-09,20.9950008392334,1.8545,3427.4
2010-03-10,20.90340042114257,1.8627,3402.91
2010-03-11,20.98539924621582,1.8559,3403.63
2010-03-12,20.757200241088867,1.8766,3360.9
2010-03-15,20.468299865722656,1.9005,3312.55
2010-03-16,20.519100189208984,1.8956,3321.98
2010-03-17,20.828500747680664,1.8664,3382.39
2010-03-18,20.755599975585938,1.8716,3373.86
2010-03-19,20.91119956970215,1.8576,3406.63
2010-03-22,20.91279983520508,1.858,3406.86
2010-03-23,20.714399337768555,1.8686,3382.85
2010-03-24,20.185199737548828,1.8668,3386.57
2010-03-25,20.50189971923828,1.8923,3345.44
2010-03-26,20.56060028076172,1.8703,3385.34
2010-03-29,20.581499099731445,1.831,3459.66
2010-03-30,20.58530044555664,1.8309,3457.85
2010-03-31,20.256000518798828,1.8471,3436.26
2010-04-01,20.44580078125,1.8294,3479.78
2010-04-02,20.38120079040528,1.8252,3478.99
2010-04-06,20.3612003326416,1.8284,3471.88
2010-04-07,20.27899932861328,1.8365,3454.7
2010-04-08,19.54669952392578,1.8594,3409.81
2010-04-09,19.64800071716309,1.8481,3436.53
2010-04-12,19.472400665283203,1.8633,3410.11
2010-04-13,19.800500869750977,1.8315,3454.83
2010-04-14,19.722700119018555,1.8379,3452.43
2010-04-15,19.79640007019043,1.8292,3446.68
2010-04-16,19.55209922790528,1.8521,3415.01
2010-04-19,18.63759994506836,1.9434,3241.33
2010-04-20,18.380599975585938,1.9548,3226.6
2010-04-21,18.53580093383789,1.9274,3286.51
2010-04-22,18.18269920349121,1.9588,3236.65
2010-04-23,17.584299087524414,1.9725,3209.36
2010-04-26,17.417400360107422,1.9819,3190.89
2010-04-27,16.871299743652344,2.0212,3138.87
2010-04-28,16.362199783325195,2.0208,3134.81
2010-04-29,16.074499130249023,2.0273,3109.11
2010-04-30,15.66450023651123,2.0222,3121.74
2010-05-04,15.472900390625,2.0493,3075.82
2010-05-05,15.459400177001951,2.0444,3083.42
2010-05-06,14.859100341796877,2.1646,2954.21
2010-05-07,14.612199783325195,2.2061,2898.84
2010-05-10,14.745599746704102,2.1858,2923.32
2010-05-11,14.533100128173828,2.2172,2874.26
2010-05-12,14.722299575805664,2.1929,2891.83
2010-05-13,14.969499588012695,2.1543,2954.04
2010-05-14,14.85830020904541,2.1769,2938.56
2010-05-17,14.237899780273438,2.2759,2798.71
2010-05-18,14.413900375366213,2.2566,2849.1
2010-05-19,14.378399848937988,2.2605,2842.81
2010-05-20,14.288399696350098,2.2741,2817.75
2010-05-21,14.398300170898438,2.2563,2856.19
2010-05-24,14.778800010681152,2.2399,2949.52
2010-05-25,14.43809986114502,2.2922,2875.74
2010-05-26,14.448399543762209,2.2902,2877.5
2010-05-27,14.5378999710083,2.8199,2919.85
2010-05-28,14.539999961853027,2.7704,2912.64
2010-05-31,14.304499626159668,2.8184,2845.29
2010-06-01,14.225099563598633,2.8334,2818.19
2010-06-02,14.13070011138916,2.5405,2823.53
2010-06-03,14.04290008544922,2.8351,2807.59
2010-06-04,13.96780014038086,3.1724,2807.21
2010-06-07,13.667799949645996,2.664,2757.0
2010-06-08,13.606599807739258,2.6783,2753.31
2010-06-09,13.961400032043455,2.6064,2822.37
2010-06-10,13.834699630737305,2.6303,2803.24
2010-06-11,13.90089988708496,2.6187,2808.32
2010-06-17,13.908699989318848,2.5324,2799.6
2010-06-18,13.76039981842041,2.5625,2760.68
2010-06-21,14.150400161743164,2.4795,2836.32
2010-06-22,14.140700340270996,2.4973,2834.1
2010-06-23,14.021699905395508,2.3844,2810.32
2010-06-24,14.005499839782717,2.6122,2805.54
2010-06-25,13.988200187683104,2.5976,2799.75
2010-06-28,13.927900314331056,2.2914,2783.94
2010-06-29,13.437600135803224,2.3811,2672.84
2010-06-30,13.35099983215332,2.4016,2656.98
2010-07-01,13.269200325012209,2.4173,2627.16
2010-07-02,13.376700401306152,2.322,2643.71
2010-07-05,13.30090045928955,2.4752,2622.21
2010-07-06,13.53439998626709,2.4642,2666.87
2010-07-07,13.553199768066406,2.4579,2680.17
2010-07-08,13.466699600219728,2.4948,2672.4
2010-07-09,13.722200393676758,2.4437,2739.32
2010-07-12,13.805899620056152,2.4291,2769.23
2010-07-13,13.588500022888184,2.4876,2729.69
2010-07-14,13.67490005493164,2.4383,2746.2
2010-07-15,13.446700096130373,2.4772,2706.38
2010-07-16,13.41759967803955,2.4988,2712.48
2010-07-19,13.67169952392578,2.478,2773.02
2010-07-20,13.900799751281738,2.4997,2821.5
2010-07-21,13.923999786376951,2.4935,2833.17
2010-07-22,14.045100212097168,2.4585,2860.0
2010-07-23,14.11709976196289,2.4466,2871.04
2010-07-26,14.163200378417969,2.4362,2884.54
2010-07-27,14.078900337219238,2.4523,2868.41
2010-07-28,14.37119960784912,2.4008,2937.91
2010-07-29,14.428199768066406,2.39,2945.38
2010-07-30,14.359399795532228,2.3994,2938.04
2010-08-02,14.515199661254885,2.3736,2980.35
2010-08-03,14.267499923706056,2.4148,2926.3
2010-08-04,14.28090000152588,2.4112,2932.39
2010-08-05,14.10789966583252,2.4386,2901.08
2010-08-06,14.281000137329102,2.412,2947.26
2010-08-09,14.272899627685549,2.3841,2950.76
2010-08-10,13.929499626159668,2.4452,2876.46
2010-08-11,13.9375,2.4335,2889.65
2010-08-12,13.751099586486816,2.4671,2851.99
2010-08-13,13.862799644470217,2.4458,2885.67
2010-08-16,14.145500183105469,2.3951,2951.96
2010-08-17,14.154600143432615,2.3922,2969.64
2010-08-18,14.039600372314451,2.3999,2957.19
2010-08-19,14.163399696350098,2.3696,2974.92
2010-08-20,13.981499671936035,2.4029,2929.31
2010-08-23,13.847399711608888,2.4132,2921.66
2010-08-24,13.815299987792969,2.4117,2936.32
2010-08-25,13.542699813842772,2.4594,2868.66
2010-08-26,13.45639991760254,2.4546,2875.78
2010-08-27,13.19569969177246,2.4508,2882.86
2010-08-30,13.24839973449707,2.4214,2934.57
2010-08-31,13.104900360107422,2.4453,2911.15
2010-09-01,13.050100326538086,2.4569,2890.61
2010-09-02,13.170100212097168,2.4319,2926.49
2010-09-03,13.138699531555176,2.4386,2924.23
2010-09-06,13.489500045776367,2.3058,2981.84
2010-09-07,13.16919994354248,2.3843,2986.9
2010-09-08,13.1072998046875,2.3946,2981.54
2010-09-09,12.93570041656494,2.429,2932.01
2010-09-10,12.929400444030762,2.4285,2933.52
2010-09-13,13.008700370788574,2.5231,2957.19
2010-09-14,12.973899841308594,2.5286,2960.16
2010-09-15,12.82900047302246,2.5601,2911.94
2010-09-16,12.588000297546388,2.9594,2855.92
2010-09-17,12.574999809265137,2.9621,2859.5
2010-09-20,12.561800003051758,2.6938,2854.63
2010-09-21,12.611200332641602,2.6841,2868.49
2010-09-27,12.699700355529783,2.5639,2896.83
2010-09-28,12.614399909973145,2.5822,2874.04
2010-09-29,12.687999725341797,2.5679,2877.38
2010-09-30,12.850500106811523,2.5337,2921.24
2010-10-08,13.223400115966797,2.4574,3013.41
2010-10-11,13.586400032043455,2.3912,3083.0
2010-10-12,13.7878999710083,2.3516,3113.37
2010-10-13,13.855999946594238,2.3443,3144.1
2010-10-14,14.084500312805176,2.3079,3156.05
2010-10-15,14.618200302124023,2.2318,3250.7
2010-10-18,14.591400146484377,2.2381,3249.16
2010-10-19,14.751399993896484,2.213,3309.42
2010-10-20,14.71500015258789,2.2225,3308.67
2010-10-21,14.596799850463867,2.2366,3284.85
2010-10-22,14.506999969482422,2.2523,3297.29
2010-10-25,14.769399642944336,2.2018,3373.34
2010-10-26,14.648699760437012,2.214,3354.71
2010-10-27,14.43529987335205,2.2463,3306.15
2010-10-28,14.177800178527832,2.2552,3294.1
2010-10-29,13.714699745178224,2.2745,3269.8
2010-11-01,13.854100227355955,2.2237,3344.11
2010-11-02,13.809200286865234,2.2328,3332.42
2010-11-03,13.82509994506836,2.234,3310.43
2010-11-04,14.063400268554688,2.1936,3361.63
2010-11-05,14.26360034942627,2.1605,3398.66
2010-11-08,14.3125,2.151,3411.24
2010-11-09,14.146599769592283,2.1798,3378.25
2010-11-10,14.055500030517578,2.1946,3354.24
2010-11-11,14.322999954223633,2.1424,3376.28
2010-11-12,13.807900428771973,2.2304,3203.48
2010-11-15,13.840999603271484,2.2138,3236.34
2010-11-16,13.260000228881836,2.3097,3109.59
2010-11-17,13.096699714660645,2.3412,3053.76
2010-11-18,13.252599716186523,2.3128,3082.71
2010-11-19,13.267200469970703,2.309,3113.51
2010-11-22,13.173399925231934,2.3209,3107.7
2010-11-23,12.972599983215332,2.3583,3065.15
2010-11-24,12.907400131225586,2.3685,3104.59
2010-11-25,13.055999755859377,2.3394,3151.1
2010-11-26,12.923199653625488,2.3617,3130.91
2010-11-29,12.91219997406006,2.3639,3137.75
2010-11-30,12.80720043182373,2.3822,3083.19
2010-12-01,12.831899642944336,2.3825,3082.45
