,PE_TTM,DIVIDENDYIELD2
2002-07-01,8.483699798583984,3.5778
2002-07-02,8.47760009765625,3.5704
2002-07-03,8.720499992370605,3.4799
2002-07-04,8.794899940490723,3.4537
2002-07-05,8.663100242614746,3.4922
2002-07-08,8.698100090026855,3.4854
2002-07-09,8.743200302124023,3.4712
2002-07-10,8.692899703979492,3.4929
2002-07-11,8.613900184631348,3.5218
2002-07-12,8.713600158691406,3.4947
2002-07-15,8.589599609375,3.5352
2002-07-16,8.588500022888184,3.5506
2002-07-17,8.344300270080566,4.8153
2002-07-18,8.307900428771973,4.8414
2002-07-19,8.135000228881836,4.9333
2002-07-22,7.809299945831299,5.1618
2002-07-23,7.85669994354248,5.0873
2002-07-24,7.757699966430664,5.1624
2002-07-25,7.810400009155273,5.1723
2002-07-26,7.6921000480651855,5.2717
2002-07-29,7.832699775695801,5.1893
2002-07-30,8.022199630737305,5.0418
2002-07-31,8.116600036621094,4.9809
2002-08-01,8.038999557495117,5.0315
2002-08-02,7.783400058746338,5.2019
2002-08-05,7.5742998123168945,5.3248
2002-08-06,7.451700210571289,5.4413
2002-08-07,7.580900192260742,5.3289
2002-08-08,7.616099834442139,5.3103
2002-08-09,7.773900032043457,5.2368
2002-08-12,7.597899913787842,5.3694
2002-08-13,7.651999950408935,5.3446
2002-08-14,7.607600212097168,5.39
2002-08-15,7.723999977111816,5.3043
2002-08-16,8.23069953918457,5.2868
2002-08-19,8.322400093078613,5.2096
2002-08-20,8.429499626159668,5.1472
2002-08-21,8.465499877929688,5.0859
2002-08-22,8.45199966430664,5.0587
2002-08-23,8.355500221252441,5.107
2002-08-26,8.3927001953125,5.109
2002-08-27,8.293700218200684,5.1987
2002-08-28,8.173700332641602,5.251
2002-08-29,9.13070011138916,5.2849
2002-08-30,9.211899757385254,5.2573
2002-09-02,9.40880012512207,5.1738
2002-09-03,9.3572998046875,5.2025
2002-09-04,9.297699928283691,5.218
2002-09-05,9.257800102233888,5.2508
2002-09-06,9.244600296020508,5.2793
2002-09-09,9.36139965057373,5.2247
2002-09-10,9.544500350952148,5.1328
2002-09-11,9.345999717712402,6.0006
2002-09-12,9.324399948120115,6.3937
2002-09-13,9.268699645996094,5.3313
2002-09-16,9.214900016784668,5.3841
2002-09-17,9.21969985961914,5.3352
2002-09-18,9.121700286865234,5.3876
2002-09-19,9.288599967956545,5.35
2002-09-20,9.27589988708496,5.3639
2002-09-23,9.276399612426758,5.3808
2002-09-24,9.303299903869627,5.385
2002-09-25,9.284899711608888,5.3936
2002-09-26,9.285099983215332,5.3781
2002-09-27,9.225099563598633,5.3868
2002-10-08,8.760600090026855,5.7502
2002-10-09,8.816200256347656,5.7166
2002-10-10,8.642000198364258,5.8519
2002-10-11,8.71969985961914,5.8049
2002-10-14,8.71969985961914,5.8049
2002-10-15,8.710599899291992,5.7596
2002-10-16,8.894499778747559,5.6277
2002-10-17,9.029600143432615,5.4773
2002-10-18,8.958100318908691,5.4877
2002-10-21,8.82390022277832,5.5465
2002-10-22,8.717499732971191,5.5737
2002-10-23,8.877699851989746,5.4435
2002-10-24,8.826800346374512,5.4845
2002-10-25,8.819499969482422,5.4956
2002-10-28,8.89109992980957,5.4412
2002-10-29,8.596400260925293,5.6436
2002-10-30,8.693900108337402,5.5895
2002-10-31,8.67490005493164,5.6076
2002-11-01,8.65310001373291,5.6058
2002-11-04,8.799400329589844,5.51
2002-11-05,8.764900207519531,5.5175
2002-11-06,8.732500076293945,5.5442
2002-11-07,8.812600135803223,5.5204
2002-11-08,8.93239974975586,5.4294
2002-11-11,8.940400123596191,5.4445
2002-11-12,8.895500183105469,5.4836
2002-11-13,8.86989974975586,5.5079
2002-11-14,8.798299789428711,5.5158
2002-11-15,8.883299827575684,5.441
2002-11-18,8.844799995422363,5.4621
2002-11-19,8.850500106811523,5.4614
2002-11-20,8.814499855041504,5.4946
2002-11-21,8.807900428771973,5.5004
2002-11-22,8.839099884033203,5.4835
2002-11-25,8.871299743652344,5.4495
2002-11-26,8.86240005493164,5.4603
2002-11-27,8.828200340270996,5.486
2002-11-28,8.932100296020508,5.404
2002-11-29,8.961899757385254,5.3825
2002-12-02,9.076000213623049,5.2892
2002-12-03,9.264699935913086,5.1861
2002-12-04,9.110300064086914,5.2735
2002-12-05,9.240900039672852,5.216
2002-12-06,9.254799842834473,5.2034
2002-12-09,9.249500274658203,5.2045
2002-12-10,9.22070026397705,5.2223
2002-12-11,9.225199699401855,5.2087
2002-12-12,9.348799705505373,5.1411
2002-12-13,9.430700302124023,5.1072
2002-12-16,9.410699844360352,5.13
2002-12-17,9.567700386047363,5.0228
2002-12-18,9.536800384521484,5.0305
2002-12-19,9.46780014038086,5.0566
2002-12-20,9.543299674987791,5.0126
2002-12-23,9.485300064086914,5.0416
2002-12-24,9.569000244140623,5.0016
2002-12-25,9.569000244140623,5.0016
2002-12-26,9.569000244140623,5.0016
2002-12-27,9.59939956665039,4.9898
2002-12-30,9.378600120544434,5.1498
2002-12-31,9.35200023651123,5.1486
2003-01-02,9.425800323486328,5.1037
2003-01-03,9.522000312805176,5.0235
2003-01-06,9.569499969482422,5.0048
2003-01-07,9.595399856567385,4.963
2003-01-08,9.688400268554688,4.907
2003-01-09,9.797499656677246,4.8215
2003-01-10,9.908100128173828,4.7677
2003-01-13,10.056099891662598,4.6916
2003-01-14,10.02299976348877,4.7239
2003-01-15,9.929800033569336,4.7836
2003-01-16,9.985899925231934,4.7779
2003-01-17,9.909600257873535,4.8173
2003-01-20,9.878100395202637,4.8186
2003-01-21,9.951899528503418,4.7427
2003-01-22,9.931400299072266,4.7538
2003-01-23,9.871500015258787,4.795
2003-01-24,9.916999816894531,4.7967
2003-01-27,9.89109992980957,4.8305
2003-01-28,9.913200378417969,4.818
2003-01-29,10.021599769592283,4.7691
2003-02-10,10.21500015258789,4.6398
2003-02-11,10.113800048828123,4.6658
2003-02-12,10.332599639892578,4.5709
2003-02-13,10.231200218200684,4.6243
2003-02-14,10.107799530029297,4.6986
2003-02-17,10.04640007019043,4.7
2003-02-18,10.12600040435791,4.6727
2003-02-19,10.102399826049805,4.6723
2003-02-20,10.171899795532228,4.6482
2003-02-21,10.072400093078612,4.6908
2003-02-24,10.092300415039062,4.6842
2003-02-25,10.20709991455078,4.6469
2003-02-26,10.126700401306152,4.674
2003-02-27,10.11870002746582,4.6884
2003-02-28,10.158499717712402,4.6636
2003-03-03,10.679699897766112,4.0465
2003-03-04,10.543399810791016,4.1016
2003-03-05,10.402899742126465,4.1802
2003-03-06,10.169599533081056,4.3235
2003-03-07,10.115300178527832,4.3541
2003-03-10,10.14080047607422,4.3598
2003-03-11,10.15149974822998,4.343
2003-03-12,10.240599632263184,4.2859
2003-03-13,10.27560043334961,4.2708
2003-03-14,10.346500396728516,4.0389
2003-03-17,10.286499977111816,4.0634
2003-03-18,10.330900192260742,4.0408
2003-03-19,10.307100296020508,4.043
2003-03-20,10.36620044708252,4.0332
2003-03-21,10.371399879455566,4.0189
2003-03-24,10.388799667358398,3.8325
2003-03-25,10.377599716186523,3.8263
2003-03-26,10.378600120544434,3.7855
2003-03-27,10.39900016784668,3.9214
2003-03-28,10.012399673461914,3.7577
2003-03-31,8.944299697875977,3.8343
2003-04-01,8.951700210571289,3.8269
2003-04-02,8.983799934387207,3.8121
2003-04-03,8.923500061035156,3.8341
2003-04-04,8.964799880981445,3.8189
2003-04-07,9.015199661254885,3.7718
2003-04-08,8.95300006866455,3.7942
2003-04-09,8.89490032196045,3.818
2003-04-10,8.92199993133545,3.8071
2003-04-11,8.990099906921387,3.7809
2003-04-14,8.843999862670898,3.55
2003-04-15,8.855999946594238,3.5602
2003-04-16,8.93809986114502,3.5913
2003-04-17,8.943900108337402,3.5949
2003-04-18,8.943900108337402,3.5949
2003-04-21,8.943900108337402,3.5949
2003-04-22,8.840499877929688,3.7092
2003-04-23,8.613100051879883,3.8676
2003-04-24,7.684100151062012,5.3039
2003-04-25,7.784999847412109,5.1479
2003-04-28,7.92710018157959,5.0414
2003-04-29,8.181900024414062,4.878
2003-04-30,8.193599700927734,4.8251
2003-05-12,8.224599838256836,4.3313
2003-05-13,8.239100456237793,4.2965
2003-05-14,8.200499534606934,4.4296
2003-05-15,8.24470043182373,4.405
2003-05-16,8.242300033569336,4.4323
2003-05-19,8.304200172424316,4.3649
2003-05-20,8.340800285339355,4.3426
2003-05-21,8.54539966583252,4.2125
2003-05-22,8.845199584960938,4.119
2003-05-23,8.8503999710083,4.1325
2003-05-26,9.279500007629396,3.9839
2003-05-27,9.064499855041504,4.0604
2003-05-28,9.147000312805176,3.9239
2003-05-29,9.014900207519531,4.088
2003-05-30,9.057700157165527,4.0565
2003-06-02,9.294400215148926,3.9636
2003-06-03,9.290300369262695,3.9757
2003-06-04,9.290300369262695,3.9757
2003-06-05,9.386199951171877,3.9668
2003-06-06,9.412500381469728,3.9572
2003-06-09,9.576499938964844,3.91
2003-06-10,9.452799797058104,3.9384
2003-06-11,9.490500450134276,3.9152
2003-06-12,9.746000289916992,4.4063
2003-06-13,9.93000030517578,4.2929
2003-06-16,9.780500411987305,4.3471
2003-06-17,9.899399757385254,4.3227
2003-06-18,9.845800399780272,4.3539
2003-06-19,9.944499969482422,4.3009
2003-06-20,10.128299713134766,4.2542
2003-06-23,10.018500328063965,4.2964
2003-06-24,10.01710033416748,4.3172
2003-06-25,10.218600273132324,4.2443
2003-06-26,10.30780029296875,4.2385
2003-06-27,10.362099647521973,4.2042
2003-06-30,10.280500411987305,4.2401
2003-07-01,10.280500411987305,4.2401
2003-07-02,9.98799991607666,4.3097
2003-07-03,10.01010036468506,4.2657
2003-07-04,9.91189956665039,4.3078
2003-07-07,10.31470012664795,4.165
2003-07-08,10.37880039215088,4.122
2003-07-09,10.794899940490724,3.9513
2003-07-10,10.692500114440918,3.9753
2003-07-11,10.603400230407717,3.9935
2003-07-14,10.84160041809082,3.8773
2003-07-15,10.952500343322754,3.8428
2003-07-16,11.05840015411377,3.8085
2003-07-17,10.709500312805176,3.9388
2003-07-18,10.887399673461914,3.1679
2003-07-21,10.976699829101562,3.1587
2003-07-22,10.75730037689209,3.2222
2003-07-23,10.375,3.3468
2003-07-24,10.459699630737305,3.317
2003-07-25,10.49590015411377,3.3006
2003-07-28,10.800399780273438,3.1949
2003-07-29,11.14009952545166,3.1321
2003-07-30,10.98840045928955,3.172
2003-07-31,11.175399780273438,3.11
2003-08-01,11.428600311279297,3.0393
2003-08-04,11.66469955444336,2.97
2003-08-05,11.486000061035156,3.0062
2003-08-06,11.159500122070312,3.0844
2003-08-07,10.978300094604492,3.1366
2003-08-08,10.887700080871582,3.161
2003-08-11,11.24240016937256,3.0536
2003-08-12,11.413200378417969,3.0047
2003-08-13,11.52079963684082,2.9838
2003-08-14,11.535300254821776,2.9672
2003-08-15,11.375100135803224,2.9818
2003-08-18,11.552599906921388,2.926
2003-08-19,11.38129997253418,2.9607
2003-08-20,11.554699897766112,2.9139
2003-08-21,11.653499603271484,2.8997
2003-08-22,11.35789966583252,2.8502
2003-08-25,10.99429988861084,2.992
2003-08-26,10.69260025024414,3.0459
2003-08-27,9.050299644470217,3.0263
2003-08-28,9.514100074768066,2.9276
2003-08-29,9.862899780273438,2.829
2003-09-01,10.03689956665039,2.7932
2003-09-02,9.935199737548828,2.8194
2003-09-03,9.95139980316162,2.8139
2003-09-04,9.944000244140623,2.8213
2003-09-05,9.984999656677246,2.8584
2003-09-08,10.05519962310791,2.7692
2003-09-09,9.603500366210938,3.6929
2003-09-10,9.30090045928955,4.0419
2003-09-11,9.40089988708496,3.9791
2003-09-12,9.40089988708496,3.5591
2003-09-15,9.551400184631348,3.3224
2003-09-16,9.43910026550293,3.353
2003-09-17,9.218299865722656,3.4274
2003-09-18,8.893199920654297,3.5596
2003-09-19,8.751700401306152,3.6409
2003-09-22,8.748700141906738,3.6239
2003-09-23,9.09160041809082,3.491
2003-09-24,9.272700309753418,3.4089
2003-09-25,9.345199584960938,3.4001
2003-09-26,9.34000015258789,3.3956
2003-09-29,9.253499984741213,3.4155
2003-09-30,9.454299926757812,3.3499
2003-10-08,10.12279987335205,3.1026
2003-10-09,10.42549991607666,3.0063
2003-10-10,10.581299781799316,2.9746
2003-10-13,10.64009952545166,2.9581
2003-10-14,10.504300117492676,2.9936
2003-10-15,10.64739990234375,2.9528
2003-10-16,10.835800170898438,2.8764
2003-10-17,10.81029987335205,2.8797
2003-10-20,10.8233003616333,2.8498
2003-10-21,10.67430019378662,2.8752
2003-10-22,10.66230010986328,2.8718
2003-10-23,10.109000205993652,3.0407
2003-10-24,10.204999923706056,3.0075
2003-10-27,10.376700401306152,2.9484
2003-10-28,10.843099594116213,2.8277
2003-10-29,10.979700088500977,2.7955
2003-10-30,10.917200088500977,2.8072
2003-10-31,10.983400344848633,2.7843
2003-11-03,11.027199745178224,2.7708
2003-11-04,11.022899627685549,2.762
2003-11-05,10.93000030517578,2.7919
2003-11-06,10.800999641418455,2.8341
2003-11-07,10.797900199890137,2.834
2003-11-10,10.679200172424316,2.8715
2003-11-11,10.478099822998049,2.9203
2003-11-12,10.572099685668944,2.8817
2003-11-13,10.763799667358398,2.8326
2003-11-14,10.76389980316162,2.8328
2003-11-17,10.669699668884276,2.8576
2003-11-18,10.694700241088867,2.8588
2003-11-19,10.479599952697754,2.9294
2003-11-20,10.287099838256836,2.9814
2003-11-21,10.143600463867188,3.0242
2003-11-24,10.252400398254396,3.001
2003-11-25,10.42739963531494,2.9452
2003-11-26,10.476900100708008,2.9258
2003-11-27,10.612000465393066,2.8867
2003-11-28,10.904899597167969,2.798
2003-12-01,11.450200080871582,2.6782
2003-12-02,11.564800262451172,2.6545
2003-12-03,11.796799659729004,2.6135
2003-12-04,11.692399978637695,2.6369
2003-12-05,11.732600212097168,2.6286
2003-12-08,11.82919979095459,2.6086
2003-12-09,12.533900260925291,2.4732
2003-12-10,12.689200401306152,2.4329
2003-12-11,12.80519962310791,2.423
2003-12-12,12.87339973449707,2.4007
2003-12-15,12.345399856567385,2.4984
2003-12-16,12.24899959564209,2.5213
2003-12-17,12.16160011291504,2.547
2003-12-18,12.541199684143066,2.488
2003-12-19,13.23449993133545,2.3686
2003-12-22,13.578700065612791,2.3097
2003-12-23,13.490500450134276,2.3216
2003-12-24,13.642499923706056,2.2976
2003-12-25,13.642499923706056,2.2976
2003-12-26,13.642499923706056,2.2976
2003-12-29,13.963199615478516,2.2508
2003-12-30,14.52810001373291,2.1941
2003-12-31,15.01609992980957,2.1309
2004-01-02,16.147199630737305,1.9942
2004-01-05,16.127899169921875,1.984
2004-01-06,15.391799926757812,2.0623
2004-01-07,15.017499923706056,2.1057
2004-01-08,14.791799545288086,2.1269
2004-01-09,15.001999855041504,2.1063
2004-01-12,14.30049991607666,2.2053
2004-01-13,14.09220027923584,2.2228
2004-01-14,14.0108003616333,2.2368
2004-01-15,13.89430046081543,2.2613
2004-01-16,13.493599891662598,2.3181
2004-01-29,13.63599967956543,2.2815
2004-01-30,13.491700172424316,2.303
2004-02-02,13.190799713134766,2.3561
2004-02-03,13.641400337219238,2.2721
2004-02-04,13.38249969482422,2.3282
2004-02-05,13.361900329589844,2.3237
2004-02-06,13.909199714660645,2.2213
2004-02-09,14.530500411987305,2.1202
2004-02-10,14.071000099182127,2.1847
2004-02-11,14.039299964904783,2.1945
2004-02-12,14.129799842834473,2.1744
2004-02-13,14.309900283813477,2.141
2004-02-16,14.764399528503418,2.081
2004-02-17,14.733400344848633,2.0768
2004-02-18,14.815199851989746,2.0636
2004-02-19,14.340700149536133,2.124
2004-02-20,14.40659999847412,2.1139
2004-02-23,14.526700019836426,2.1016
2004-02-24,14.378199577331545,2.125
2004-02-25,14.180899620056152,2.1601
2004-02-26,14.486000061035156,2.11
2004-02-27,14.725899696350098,2.0749
2004-03-01,14.679400444030762,2.0769
2004-03-02,14.705499649047852,2.0622
2004-03-03,14.677499771118164,2.0597
2004-03-04,14.566800117492676,2.0792
2004-03-05,14.461000442504885,2.1035
2004-03-08,16.691999435424805,1.721
2004-03-09,16.681800842285156,1.7286
2004-03-10,16.38010025024414,1.7599
2004-03-11,15.777400016784668,1.8493
2004-03-12,15.955100059509276,1.819
2004-03-15,16.087799072265625,1.8056
2004-03-16,16.07040023803711,1.8109
2004-03-17,15.428400039672852,1.7753
2004-03-18,14.983200073242188,1.8221
2004-03-19,14.997599601745604,1.8276
2004-03-22,14.605199813842772,1.9159
2004-03-23,14.806400299072266,1.8876
2004-03-24,14.80109977722168,1.8554
2004-03-25,14.074700355529783,1.9431
2004-03-26,13.908300399780272,1.9592
2004-03-29,13.59119987487793,1.9441
2004-03-30,13.99370002746582,1.8854
2004-03-31,14.22189998626709,1.8608
2004-04-01,14.092499732971191,2.0204
2004-04-02,14.40060043334961,1.9717
2004-04-05,14.362500190734863,1.9717
2004-04-06,14.597700119018556,1.929
2004-04-07,14.204400062561035,2.1872
2004-04-08,14.351699829101562,2.1695
2004-04-09,14.351699829101562,2.1695
2004-04-12,14.351699829101562,2.1695
2004-04-13,14.102700233459473,2.2034
2004-04-14,13.471799850463867,2.3208
2004-04-15,13.224499702453612,2.6771
2004-04-16,13.175100326538086,2.6992
2004-04-19,13.007100105285645,2.766
2004-04-20,12.544500350952148,2.8773
2004-04-21,12.013699531555176,3.0012
2004-04-22,12.157099723815918,2.9618
2004-04-23,12.484600067138672,2.8246
2004-04-26,11.81130027770996,2.4484
2004-04-27,11.716099739074709,2.4642
2004-04-28,11.865699768066406,2.5523
2004-04-29,11.413999557495115,2.6614
2004-04-30,11.348899841308594,2.6689
2004-05-10,11.113100051879885,2.8993
2004-05-11,11.199799537658691,2.8614
2004-05-12,11.367300033569336,2.8174
2004-05-13,11.285900115966797,2.951
2004-05-14,10.81369972229004,3.1602
2004-05-17,10.278200149536133,3.2449
2004-05-18,10.636300086975098,3.1486
2004-05-19,11.215999603271484,2.9545
2004-05-20,11.072099685668944,3.0774
2004-05-21,11.356800079345703,2.985
2004-05-24,11.672300338745115,2.8141
2004-05-25,11.785099983215332,2.7962
2004-05-26,11.785099983215332,2.7962
2004-05-27,12.218899726867676,3.026
2004-05-28,12.23390007019043,3.015
2004-05-31,12.292200088500977,2.9602
2004-06-01,12.141400337219238,2.9973
2004-06-02,12.319299697875977,2.9609
2004-06-03,11.79170036315918,3.1052
2004-06-04,11.729999542236328,3.1056
2004-06-07,12.30109977722168,2.9506
2004-06-08,12.294599533081056,2.9445
2004-06-09,12.228300094604492,2.9625
2004-06-10,12.317700386047363,2.9503
2004-06-11,12.496999740600586,2.8956
2004-06-14,12.11520004272461,2.6991
2004-06-15,11.929699897766112,2.7345
2004-06-16,11.888099670410156,2.7506
2004-06-17,11.560500144958496,2.8379
2004-06-18,11.242600440979004,2.9232
2004-06-21,11.235899925231934,2.9191
2004-06-22,11.235899925231934,2.9191
2004-06-23,11.33650016784668,2.8807
2004-06-24,11.941399574279783,2.7352
2004-06-25,12.034000396728516,2.7114
2004-06-28,12.223999977111816,2.6615
2004-06-29,12.052800178527832,2.6939
2004-06-30,12.51509952545166,2.5758
2004-07-01,12.51509952545166,2.5758
2004-07-02,12.562199592590332,2.5619
2004-07-05,12.695300102233888,2.541
2004-07-06,12.84969997406006,2.5093
2004-07-07,12.875100135803224,2.5101
2004-07-08,12.60420036315918,2.5701
