,PE_TTM,DIVIDENDYIELD2
2015-08-17,16.12700080871582,3.3709
2015-08-18,15.882200241088867,3.4643
2015-08-19,15.96560001373291,3.5552
2015-08-20,15.539299964904783,3.6273
2015-08-21,15.82289981842041,3.7307
2015-08-24,14.811599731445312,3.9618
2015-08-25,14.757399559020996,3.9811
2015-08-26,14.50759983062744,3.9423
2015-08-27,15.156100273132324,3.79
2015-08-28,15.339300155639648,3.7731
2015-08-31,15.263099670410156,3.8514
2015-09-01,14.906299591064451,3.9577
2015-09-02,14.657999992370604,3.9784
2015-09-07,14.699999809265137,3.7862
2015-09-08,15.196399688720703,3.7357
2015-09-09,15.667799949645996,3.5597
2015-09-10,15.436800003051758,3.6234
2015-09-11,15.402299880981444,3.6258
2015-09-14,15.288000106811523,3.6246
2015-09-15,15.157099723815918,3.6645
2015-09-16,15.48859977722168,3.5825
2015-09-17,15.517000198364258,3.5741
2015-09-18,15.572199821472168,4.8508
2015-09-21,15.418100357055664,4.8159
2015-09-22,15.441499710083008,4.8116
2015-09-23,15.392200469970703,4.9662
2015-09-24,15.33180046081543,4.9113
2015-09-25,15.394100189208984,4.8827
2015-09-28,15.394100189208984,4.8665
2015-09-29,14.862500190734863,5.0571
2015-09-30,14.955900192260742,5.0331
2015-10-08,16.216899871826172,4.6667
2015-10-09,16.286300659179688,4.6297
2015-10-12,16.36829948425293,4.6166
2015-10-13,16.714599609375,4.584
2015-10-14,16.52039909362793,4.6187
2015-10-15,16.887500762939453,4.513
2015-10-16,16.990100860595703,4.5168
2015-10-19,16.85849952697754,4.5579
2015-10-20,16.7810001373291,4.588
2015-10-21,16.7810001373291,4.588
2015-10-22,16.82469940185547,4.6014
2015-10-23,17.06559944152832,4.5571
2015-10-26,17.17970085144043,4.5316
2015-10-27,17.2101993560791,4.5279
2015-10-28,17.070100784301758,4.5683
2015-10-29,16.922500610351562,4.5539
2015-10-30,17.158899307250977,4.5501
2015-11-02,16.975099563598633,4.6003
2015-11-03,17.2455997467041,4.5327
2015-11-04,17.54800033569336,4.4637
2015-11-05,17.43320083618164,4.4938
2015-11-06,17.434799194335938,4.5528
2015-11-09,17.32539939880371,4.5856
2015-11-10,16.907499313354492,4.6911
2015-11-11,16.886499404907227,4.6973
2015-11-12,17.175899505615234,4.6187
2015-11-13,16.948200225830078,4.6868
2015-11-16,16.628599166870117,4.7782
2015-11-17,16.711299896240234,4.7378
2015-11-18,16.64579963684082,4.7753
2015-11-19,16.888599395751953,4.7144
2015-11-20,16.933500289916992,4.7055
2015-11-23,16.819400787353516,4.7268
2015-11-24,16.847299575805664,4.7465
2015-11-25,16.827499389648438,4.7531
2015-11-26,16.7677001953125,4.7703
2015-11-27,16.49530029296875,4.6779
2015-11-30,16.56049919128418,4.6676
2015-12-01,16.725900650024414,4.6211
2015-12-02,16.780500411987305,4.61
2015-12-03,16.74090003967285,4.5753
2015-12-04,16.604299545288086,4.6128
2015-12-07,16.62150001525879,4.8345
2015-12-08,16.387100219726562,4.9038
2015-12-09,16.457500457763672,4.8801
2015-12-10,16.348400115966797,4.8518
2015-12-11,16.136199951171875,4.928
2015-12-14,15.984700202941896,4.9658
2015-12-15,15.913700103759766,4.9923
2015-12-16,16.099300384521484,4.9264
2015-12-17,16.233800888061523,4.9118
2015-12-18,15.993200302124023,4.9797
2015-12-21,16.040800094604492,4.9764
2015-12-22,16.073999404907227,4.961
2015-12-23,16.25189971923828,4.9038
2015-12-24,16.364900588989258,4.8738
2015-12-25,16.364900588989258,4.8738
2015-12-28,16.234100341796875,4.9082
2015-12-29,16.324600219726562,4.8768
2015-12-30,16.33650016784668,4.8739
2015-12-31,16.36009979248047,4.8675
2016-01-04,15.91100025177002,5.0018
2016-01-05,15.88539981842041,5.0023
2016-01-06,15.765899658203123,5.0425
2016-01-07,15.10509967803955,5.2528
2016-01-08,15.04930019378662,5.2806
2016-01-11,14.554800033569336,5.455
2016-01-12,14.569000244140623,5.455
2016-01-13,14.650500297546388,5.4241
2016-01-14,14.524900436401367,5.4768
2016-01-15,14.250399589538574,5.5776
2016-01-18,14.274800300598145,5.569
2016-01-19,14.571000099182127,5.4598
2016-01-20,14.090200424194336,5.6422
2016-01-21,13.70699977874756,5.7969
2016-01-22,14.174599647521973,5.6137
2016-01-25,14.332900047302246,5.55
2016-01-26,14.01990032196045,5.6774
2016-01-27,14.174500465393066,5.6069
2016-01-28,14.34220027923584,5.5367
2016-01-29,14.501299858093262,5.4559
2016-02-01,14.55720043182373,5.4321
2016-02-02,14.583200454711914,5.426
2016-02-03,14.23110008239746,5.557
2016-02-04,14.309200286865234,5.912
2016-02-05,14.327199935913086,5.9049
2016-02-15,14.274299621582031,5.4976
2016-02-16,14.34689998626709,5.4817
2016-02-17,14.403300285339355,5.4673
2016-02-18,14.878700256347656,5.3296
2016-02-19,14.923500061035156,5.3561
2016-02-22,15.1274995803833,5.2856
2016-02-23,15.18929958343506,5.3401
2016-02-24,14.996899604797363,5.403
2016-02-25,14.945300102233888,5.5124
2016-02-26,15.212200164794922,5.4188
2016-02-29,15.17140007019043,5.4606
2016-03-01,15.28660011291504,5.424
2016-03-02,15.818900108337402,5.2421
2016-03-03,15.753000259399414,5.2682
2016-03-04,16.03499984741211,5.1883
2016-03-07,16.09869956970215,5.0387
2016-03-08,15.891599655151367,5.0918
2016-03-09,15.789799690246582,5.1164
2016-03-10,15.763500213623049,5.1237
2016-03-11,15.936100006103516,5.0758
2016-03-14,16.631200790405273,4.7181
2016-03-15,16.52790069580078,4.7478
2016-03-16,16.38949966430664,4.7832
2016-03-17,16.70509910583496,4.7268
2016-03-18,16.957799911499023,4.3924
2016-03-21,17.008499145507812,4.3808
2016-03-22,17.162099838256836,4.3895
2016-03-23,17.237699508666992,4.3854
2016-03-24,17.32659912109375,4.4388
2016-03-25,17.32659912109375,4.4388
2016-03-28,17.208799362182617,4.4388
2016-03-29,17.160999298095703,4.3975
2016-03-30,17.947099685668945,4.2922
2016-03-31,18.1427001953125,4.2754
2016-04-01,17.833099365234375,4.3466
2016-04-05,17.638399124145508,4.3691
2016-04-06,17.729999542236328,4.3482
2016-04-07,17.762500762939453,4.3374
2016-04-08,17.831899642944336,4.3456
2016-04-11,17.972400665283203,4.3185
2016-04-12,18.05780029296875,4.2946
2016-04-13,18.410600662231445,4.3366
2016-04-14,18.5039005279541,4.3131
2016-04-15,18.479799270629883,4.311
2016-04-18,18.32830047607422,4.3473
2016-04-19,18.619400024414062,4.2764
2016-04-20,18.42340087890625,4.3463
2016-04-21,18.50200080871582,4.3423
2016-04-22,18.337099075317383,4.3838
2016-04-25,18.298799514770508,4.3333
2016-04-26,18.31369972229004,4.3333
2016-04-27,17.96809959411621,4.376
2016-04-28,17.830799102783203,4.3794
2016-04-29,17.73550033569336,4.4104
2016-05-03,17.596099853515625,4.4401
2016-05-04,17.500999450683594,4.4745
2016-05-05,17.424400329589844,4.4873
2016-05-06,17.045700073242188,4.5917
2016-05-09,17.042299270629883,4.5544
2016-05-10,17.027599334716797,4.6086
2016-05-11,17.082799911499023,4.5974
2016-05-12,17.024099349975586,4.6147
2016-05-13,16.892799377441406,4.5944
2016-05-16,17.01689910888672,4.4925
2016-05-17,17.130800247192383,4.4787
2016-05-18,16.930200576782227,4.535
2016-05-19,16.773399353027344,4.7257
2016-05-20,16.77199935913086,4.7932
2016-05-23,16.701900482177734,4.5966
2016-05-24,17.02720069885254,4.5874
2016-05-25,17.274200439453125,4.5466
2016-05-26,17.417600631713867,4.6177
2016-05-27,17.38360023498535,4.5646
2016-05-30,17.505699157714844,4.5252
2016-05-31,17.698400497436523,4.4929
2016-06-01,17.563199996948242,4.9205
2016-06-02,17.65880012512207,4.8046
