,PE_TTM,DIVIDENDYIELD2
2006-09-11,14.362000465393066,1.9663
2006-09-12,14.403599739074709,1.9738
2006-09-13,14.47760009765625,2.0978
2006-09-14,14.49020004272461,1.9839
2006-09-15,14.462900161743164,1.9868
2006-09-18,14.56070041656494,1.9713
2006-09-19,14.601400375366213,1.9744
2006-09-20,14.699700355529783,1.9495
2006-09-21,14.824000358581545,1.9436
2006-09-22,14.818699836730955,1.9455
2006-09-25,14.775799751281738,1.9245
2006-09-26,14.525500297546388,1.9637
2006-09-27,14.718299865722656,1.9323
2006-09-28,14.784299850463867,1.9349
2006-09-29,14.793700218200684,1.9328
2006-10-09,14.750699996948242,1.9154
2006-10-10,14.914600372314451,1.8921
2006-10-11,14.999500274658203,1.8798
2006-10-12,15.134200096130373,1.8653
2006-10-13,15.262499809265137,1.8443
2006-10-16,15.357500076293944,1.8397
2006-10-17,15.404399871826172,1.8339
2006-10-18,15.45829963684082,1.8291
2006-10-19,15.426799774169922,1.8351
2006-10-20,15.225700378417969,1.8217
2006-10-23,15.112000465393066,1.8345
2006-10-24,15.21339988708496,1.8215
2006-10-25,15.2322998046875,1.8186
2006-10-26,15.40470027923584,1.7874
2006-10-27,15.17590045928955,1.8108
2006-10-30,14.88860034942627,1.8108
2006-10-31,14.981300354003906,1.8029
2006-11-01,15.100099563598633,1.7908
2006-11-02,15.271599769592283,1.7587
2006-11-03,15.288000106811523,1.7545
2006-11-06,15.500699996948242,1.7288
2006-11-07,15.493200302124023,1.7394
2006-11-08,15.41409969329834,1.757
2006-11-09,15.69760036468506,1.721
2006-11-10,15.69950008392334,1.725
2006-11-13,15.919699668884276,1.7017
2006-11-14,16.01729965209961,1.6839
2006-11-15,16.32550048828125,1.6396
2006-11-16,16.488000869750977,1.621
2006-11-17,16.41390037536621,1.6313
2006-11-20,16.32029914855957,1.6444
2006-11-21,16.364900588989258,1.6407
2006-11-22,16.898300170898438,1.5952
2006-11-23,16.956199645996094,1.5963
2006-11-24,16.92340087890625,1.609
2006-11-27,16.727399826049805,1.6311
2006-11-28,15.97439956665039,1.7063
2006-11-29,16.43589973449707,1.6667
2006-11-30,16.74139976501465,1.644
2006-12-01,16.66119956970215,1.6668
2006-12-04,16.659299850463867,1.6674
2006-12-05,17.00200080871582,1.6331
2006-12-06,17.114099502563477,1.6104
2006-12-07,16.940399169921875,1.6337
2006-12-08,16.817800521850586,1.6496
2006-12-11,17.081100463867188,1.6206
2006-12-12,17.0625,1.6226
2006-12-13,16.840900421142578,1.6468
2006-12-14,17.14389991760254,1.6765
2006-12-15,17.324899673461914,1.6625
2006-12-18,17.680999755859375,1.634
2006-12-19,17.41200065612793,1.6558
2006-12-20,17.853300094604492,1.6142
2006-12-21,17.96430015563965,1.6027
2006-12-22,18.1200008392334,1.583
2006-12-25,18.1200008392334,1.583
2006-12-26,18.1200008392334,1.583
2006-12-27,19.18919944763184,1.4854
2006-12-28,19.488300323486328,1.4704
2006-12-29,19.42919921875,1.4839
2007-01-04,19.49519920349121,1.4704
2007-01-05,19.356199264526367,1.4692
2007-01-08,18.990100860595703,1.5037
2007-01-09,18.71689987182617,1.5327
2007-01-10,18.182100296020508,1.5679
2007-01-11,17.90329933166504,1.5896
2007-01-12,18.17410087585449,1.562
2007-01-15,18.702600479125977,1.5127
2007-01-16,18.674699783325195,1.5138
2007-01-17,18.45490074157715,1.5192
2007-01-18,18.593299865722656,1.5122
2007-01-19,18.47610092163086,1.5213
2007-01-22,18.836700439453125,1.4852
2007-01-23,18.773099899291992,1.4811
2007-01-24,18.98259925842285,1.4599
2007-01-25,18.77440071105957,1.4774
2007-01-26,18.30500030517578,1.5225
2007-01-29,18.25300025939941,1.5295
2007-01-30,18.438600540161133,1.5066
2007-01-31,18.132099151611328,1.5402
2007-02-01,18.13870048522949,1.5295
2007-02-02,18.216699600219727,1.5223
2007-02-05,18.21269989013672,1.5263
2007-02-06,18.28089904785156,1.5123
2007-02-07,18.558399200439453,1.4903
2007-02-08,18.748699188232425,1.47
2007-02-09,18.690900802612305,1.4757
2007-02-12,18.650400161743164,1.4803
2007-02-13,18.223499298095703,1.5216
2007-02-14,18.25329971313477,1.5164
2007-02-15,18.51759910583496,1.4885
2007-02-16,18.6117000579834,1.4825
2007-02-26,18.5049991607666,1.4933
2007-02-27,18.054800033569336,1.5301
2007-02-28,17.537500381469727,1.5778
2007-03-01,17.180700302124023,1.6193
2007-03-02,17.19409942626953,1.6154
2007-03-05,16.396699905395508,1.7026
