,PE_TTM,DIVIDENDYIELD2
2014-01-02,7.3892998695373535,4.4859
2014-01-03,7.210299968719482,4.587
2014-01-06,7.139100074768066,4.6071
2014-01-07,7.133500099182129,4.6078
2014-01-08,7.193600177764893,4.5596
2014-01-09,7.107600212097168,4.6042
2014-01-10,7.129300117492676,4.5895
2014-01-13,7.149700164794922,4.5756
2014-01-14,7.1128997802734375,4.5986
2014-01-15,7.113699913024902,4.6016
2014-01-16,7.118000030517578,4.5953
2014-01-17,7.111000061035156,4.5904
2014-01-20,7.042900085449219,4.6288
2014-01-21,7.112599849700928,4.6074
2014-01-22,7.143799781799316,4.5923
2014-01-23,7.0081000328063965,4.6649
2014-01-24,6.9430999755859375,4.7098
2014-01-27,6.840099811553955,4.808
2014-01-28,6.8246002197265625,4.8239
2014-01-29,6.89109992980957,4.7969
2014-01-30,6.839499950408936,4.8279
2014-02-07,6.742300033569336,4.8903
2014-02-10,6.719900131225586,4.9046
2014-02-11,6.855400085449219,4.8215
2014-02-12,6.954599857330322,4.7656
2014-02-13,6.888500213623047,4.802
2014-02-14,6.932799816131592,4.7696
2014-02-17,6.995500087738037,4.7399
2014-02-18,6.979400157928467,4.7448
2014-02-19,7.00059986114502,4.7268
2014-02-20,6.94890022277832,4.7764
2014-02-21,6.955699920654297,4.748
2014-02-24,6.8815999031066895,4.7895
2014-02-25,6.850399971008301,4.8066
2014-02-26,6.890900135040283,4.8066
2014-02-27,7.013899803161621,4.7425
2014-02-28,6.991899967193604,4.7457
2014-03-03,6.923900127410889,4.7815
2014-03-04,6.976900100708008,4.7625
2014-03-05,6.912799835205078,4.7905
2014-03-06,6.917900085449219,4.7976
2014-03-07,6.940499782562256,4.7918
2014-03-10,6.822500228881836,4.9006
2014-03-11,6.809700012207031,4.902
2014-03-12,6.707699775695801,5.3258
2014-03-13,6.692500114440918,5.3693
2014-03-14,6.65500020980835,5.3639
2014-03-17,6.654600143432617,5.3597
2014-03-18,6.6545000076293945,5.3538
2014-03-19,6.654600143432617,5.3098
2014-03-20,6.539400100708008,5.4119
2014-03-21,6.619999885559082,5.0935
2014-03-24,6.809800148010254,4.9982
2014-03-25,6.80079984664917,4.9902
2014-03-26,6.866700172424316,4.9426
2014-03-27,6.916800022125244,4.9162
2014-03-28,7.004499912261963,4.8794
2014-03-31,7.019499778747559,4.8582
2014-04-01,7.056099891662598,4.8255
2014-04-02,7.035200119018555,4.814
2014-04-03,7.075699806213379,4.7888
2014-04-04,7.0903000831604,4.7861
2014-04-08,7.210299968719482,4.7297
2014-04-09,7.276899814605713,4.7061
2014-04-10,7.307000160217285,4.6711
2014-04-11,7.269499778747559,4.6592
2014-04-14,7.276899814605713,4.6557
2014-04-15,7.147299766540527,4.7295
2014-04-16,7.149700164794922,4.7341
2014-04-17,7.185100078582764,4.7154
2014-04-18,7.185100078582764,4.7154
2014-04-21,7.185100078582764,4.7154
2014-04-22,7.178400039672852,4.7405
2014-04-23,7.093400001525879,4.7686
2014-04-24,7.098400115966797,4.7678
2014-04-25,6.979499816894531,4.8315
2014-04-28,6.995299816131592,4.8263
2014-04-29,7.082399845123291,4.7444
2014-04-30,7.044000148773193,4.7691
2014-05-05,6.979700088500977,5.1335
2014-05-06,6.979700088500977,5.1335
2014-05-07,6.937300205230713,5.1661
2014-05-08,7.001200199127197,5.1298
2014-05-09,7.000999927520752,5.1296
2014-05-12,7.093100070953369,5.0756
2014-05-13,7.125699996948242,5.0582
2014-05-14,7.216000080108643,4.9941
2014-05-15,7.226600170135498,4.9782
2014-05-16,7.2444000244140625,4.9746
2014-05-19,7.242300033569336,5.0169
2014-05-20,7.24970006942749,5.1066
2014-05-21,7.282999992370605,5.3229
2014-05-22,7.339799880981445,5.3121
2014-05-23,7.349800109863281,5.0516
2014-05-26,7.338399887084961,4.9473
2014-05-27,7.3196001052856445,5.3032
2014-05-28,7.361700057983398,5.3199
2014-05-29,7.357500076293945,5.3159
2014-05-30,7.3780999183654785,5.2916
2014-06-03,7.47569990158081,5.0035
2014-06-04,7.46120023727417,5.0413
2014-06-05,7.466499805450439,4.7499
2014-06-06,7.427199840545654,4.7782
2014-06-09,7.351500034332275,4.6455
2014-06-10,7.215799808502197,4.5743
2014-06-11,7.188799858093262,4.5431
2014-06-12,7.143099784851074,4.8768
2014-06-13,7.196700096130371,4.9048
2014-06-16,7.195700168609619,3.9978
2014-06-17,7.162199974060059,4.0304
2014-06-18,7.156799793243408,3.8235
2014-06-19,7.133500099182129,4.0591
2014-06-20,7.144599914550781,4.0425
2014-06-23,7.024799823760986,4.0539
2014-06-24,7.041200160980225,4.0441
2014-06-25,6.993100166320801,4.1197
2014-06-26,7.101500034332275,4.0634
2014-06-27,7.096499919891357,4.0639
2014-06-30,7.098100185394287,3.9447
2014-07-01,7.098100185394287,3.9447
2014-07-02,7.170199871063232,4.9513
2014-07-03,7.164000034332275,5.1222
2014-07-04,7.174300193786621,5.1163
2014-07-07,7.158100128173828,5.126
2014-07-08,7.177299976348877,5.1285
2014-07-09,7.072500228881836,5.189
2014-07-10,7.097099781036377,5.1967
2014-07-11,7.104100227355957,5.1934
2014-07-14,7.153299808502197,5.1556
2014-07-15,7.197199821472168,5.112
2014-07-16,7.21589994430542,5.0995
2014-07-17,7.214799880981445,5.0846
2014-07-18,7.205100059509277,5.0946
2014-07-21,7.19320011138916,5.0951
2014-07-22,7.322100162506103,5.0334
2014-07-23,7.421899795532227,4.9881
2014-07-24,7.252799987792969,4.9412
2014-07-25,7.261099815368652,4.9361
2014-07-28,7.322299957275391,4.8956
2014-07-29,7.329299926757812,4.8728
2014-07-30,7.355800151824951,4.8484
2014-07-31,7.348400115966797,4.8443
2014-08-01,7.272799968719482,4.8879
2014-08-04,7.339499950408935,4.8824
2014-08-05,7.321800231933594,4.8819
2014-08-06,7.299900054931641,4.8993
2014-08-07,7.263299942016602,4.9184
2014-08-08,7.248799800872803,4.9337
2014-08-11,7.344799995422363,4.8867
2014-08-12,7.365200042724609,4.8857
2014-08-13,7.440800189971924,4.8325
2014-08-14,7.433800220489502,4.8276
2014-08-15,7.50629997253418,4.7587
2014-08-18,7.514599800109863,4.7679
2014-08-19,7.532599925994873,4.759
2014-08-20,7.503900051116943,4.8978
2014-08-21,7.452199935913086,4.9095
2014-08-22,7.48330020904541,4.7307
2014-08-25,7.526100158691406,4.7227
2014-08-26,7.497900009155273,4.7537
2014-08-27,7.474800109863281,4.7638
2014-08-28,7.366300106048584,4.7738
2014-08-29,7.360400199890137,4.7558
