,PE_TTM,DIVIDENDYIELD2
2014-01-02,9.266200065612793,3.3911
2014-01-03,9.042699813842773,3.4676
2014-01-06,8.969200134277344,3.4887
2014-01-07,8.965700149536133,3.4831
2014-01-08,9.070500373840332,3.4401
2014-01-09,8.968600273132324,3.4717
2014-01-10,8.992199897766113,3.4635
2014-01-13,9.008999824523926,3.4565
2014-01-14,8.979299545288086,3.4718
2014-01-15,9.012200355529785,3.4595
2014-01-16,9.028300285339355,3.4516
2014-01-17,9.065899848937988,3.4302
2014-01-20,8.979999542236328,3.461
2014-01-21,9.047200202941895,3.4479
2014-01-22,9.074199676513672,3.4422
2014-01-23,8.918600082397461,3.4956
2014-01-24,8.82040023803711,3.5373
2014-01-27,8.639900207519531,3.611
2014-01-28,8.621399879455566,3.6145
2014-01-29,8.693400382995605,3.5882
2014-01-30,8.649900436401367,3.6009
2014-02-07,8.506400108337402,3.6633
2014-02-10,8.47920036315918,3.6754
2014-02-11,8.641200065612793,3.7141
2014-02-12,8.765999794006348,3.663
2014-02-13,8.691499710083008,3.6845
2014-02-14,8.741100311279297,3.6605
2014-02-17,8.842700004577637,3.5889
2014-02-18,8.839699745178223,3.5843
2014-02-19,8.85830020904541,3.5756
2014-02-20,8.778200149536133,3.6226
2014-02-21,8.84689998626709,3.5911
2014-02-24,8.759699821472168,3.6198
2014-02-25,8.737299919128418,3.6252
2014-02-26,8.82390022277832,3.606
2014-02-27,8.991100311279297,3.5444
2014-02-28,8.963399887084961,3.5438
2014-03-03,8.83650016784668,3.5916
2014-03-04,8.898599624633789,3.5683
2014-03-05,8.841699600219727,3.5818
2014-03-06,8.87969970703125,3.5735
2014-03-07,8.883399963378906,3.5833
2014-03-10,8.746999740600586,3.6451
2014-03-11,8.742899894714355,3.6418
2014-03-12,8.594300270080566,3.9383
2014-03-13,8.545000076293945,3.982
2014-03-14,8.477999687194824,3.9929
2014-03-17,8.460200309753418,3.9979
2014-03-18,8.48859977722168,3.9782
2014-03-19,8.483599662780762,3.9506
2014-03-20,8.337900161743164,4.0264
2014-03-21,8.436200141906738,3.7871
2014-03-24,8.676899909973145,3.7145
2014-03-25,8.657699584960938,3.7306
2014-03-26,8.707300186157227,3.7036
2014-03-27,8.723199844360352,3.7112
2014-03-28,8.864399909973145,3.6712
2014-03-31,8.881400108337402,3.6529
2014-04-01,8.980600357055664,3.6034
2014-04-02,8.977800369262695,3.5965
2014-04-03,9.004199981689453,3.5863
2014-04-04,8.996999740600586,3.5969
2014-04-08,9.079000473022461,3.5794
2014-04-09,9.175700187683105,3.5543
2014-04-10,9.276399612426758,3.5009
2014-04-11,9.172599792480469,3.5178
2014-04-14,9.1875,3.5125
2014-04-15,9.031800270080566,3.5706
2014-04-16,9.031100273132324,3.5733
2014-04-17,9.05780029296875,3.5613
2014-04-18,9.05780029296875,3.5613
2014-04-21,9.05780029296875,3.5613
2014-04-22,9.042900085449219,3.5828
2014-04-23,8.9483003616333,3.636
2014-04-24,8.96500015258789,3.6264
2014-04-25,8.861100196838379,3.6805
2014-04-28,8.822699546813965,3.6978
2014-04-29,8.932700157165527,3.6404
2014-04-30,8.843400001525879,3.6791
2014-05-05,8.763400077819824,4.0609
2014-05-06,8.763400077819824,4.0609
2014-05-07,8.68529987335205,4.1026
2014-05-08,8.746199607849121,4.0824
2014-05-09,8.754599571228027,4.0788
2014-05-12,8.899900436401367,4.0379
2014-05-13,8.939299583435059,4.0489
2014-05-14,9.024700164794922,3.9805
2014-05-15,9.057100296020508,3.9283
2014-05-16,9.052599906921387,3.9534
2014-05-19,9.044599533081055,3.9705
2014-05-20,9.078700065612793,3.995
2014-05-21,9.109000205993652,4.1877
2014-05-22,9.175200462341309,4.1876
2014-05-23,9.181099891662598,4.0742
2014-05-26,9.171600341796875,3.9526
2014-05-27,9.155200004577637,4.1995
2014-05-28,9.205599784851074,4.2055
2014-05-29,9.178299903869629,4.2166
2014-05-30,9.209099769592285,4.1906
2014-06-03,9.306500434875488,3.9979
2014-06-04,9.255800247192383,4.0261
2014-06-05,9.251899719238281,3.9153
2014-06-06,9.196399688720703,3.9093
2014-06-09,9.25629997253418,3.7113
2014-06-10,9.345800399780273,3.6995
2014-06-11,9.32349967956543,3.6974
2014-06-12,9.262100219726562,3.908
2014-06-13,9.328100204467773,3.9191
2014-06-16,9.32450008392334,3.3519
2014-06-17,9.292099952697754,3.3642
2014-06-18,9.287799835205078,3.1791
2014-06-19,9.270099639892578,3.3263
2014-06-20,9.288399696350098,3.3208
2014-06-23,9.126500129699707,3.3692
2014-06-24,9.148300170898438,3.3589
2014-06-25,9.136899948120117,3.3724
2014-06-26,9.287799835205078,3.3214
2014-06-27,9.290800094604492,3.3176
2014-06-30,9.288100242614746,3.2132
2014-07-01,9.288100242614746,3.2132
2014-07-02,9.413900375366211,3.8181
2014-07-03,9.389900207519531,3.9313
2014-07-04,9.395999908447266,3.9435
2014-07-07,9.385000228881836,3.9461
2014-07-08,9.394499778747559,3.9451
2014-07-09,9.25059986114502,4.0055
2014-07-10,9.284899711608887,3.9932
2014-07-11,9.28950023651123,3.9939
2014-07-14,9.347299575805664,3.9695
2014-07-15,9.402099609375,3.9433
2014-07-16,9.416799545288086,3.9338
2014-07-17,9.414299964904785,3.934
2014-07-18,9.389800071716309,3.9462
2014-07-21,9.360400199890137,3.9445
2014-07-22,9.534500122070312,3.8819
2014-07-23,9.647600173950195,3.8531
2014-07-24,9.495800018310547,3.8248
2014-07-25,9.524900436401367,3.8184
2014-07-28,9.601400375366211,3.7829
2014-07-29,9.66100025177002,3.7498
2014-07-30,9.70460033416748,3.732
2014-07-31,9.589099884033203,3.7277
2014-08-01,9.485600471496582,3.7623
2014-08-04,9.583800315856934,3.7508
2014-08-05,9.575599670410156,3.7456
2014-08-06,9.544899940490723,3.7606
2014-08-07,9.478099822998047,3.7882
2014-08-08,9.461299896240234,3.8072
2014-08-11,9.624199867248535,3.7506
2014-08-12,9.652000427246094,3.7589
2014-08-13,9.72599983215332,3.7261
2014-08-14,9.698800086975098,3.7363
2014-08-15,9.762200355529785,3.7023
2014-08-18,9.774700164794922,3.7126
2014-08-19,9.79990005493164,3.7033
2014-08-20,9.7878999710083,3.7785
2014-08-21,9.721099853515625,3.8008
2014-08-22,9.763699531555176,3.6888
2014-08-25,9.936100006103516,3.6067
2014-08-26,9.924400329589844,3.6228
2014-08-27,9.846099853515625,3.6409
2014-08-28,9.712400436401367,3.6697
2014-08-29,9.710200309753418,3.6638
2014-09-01,9.710200309753418,3.6527
2014-09-02,9.713199615478516,3.6545
2014-09-03,9.967300415039062,3.5686
2014-09-04,9.9822998046875,3.7658
2014-09-05,9.95740032196045,3.751
2014-09-09,9.956700325012207,3.4364
2014-09-10,9.73550033569336,3.5251
2014-09-11,9.687700271606445,3.6658
2014-09-12,9.667699813842773,3.6728
2014-09-15,9.553899765014648,3.6864
2014-09-16,9.454299926757812,3.7356
2014-09-17,9.57699966430664,3.6943
2014-09-18,9.484299659729004,3.7306
2014-09-19,9.513400077819824,3.7173
2014-09-22,9.370400428771973,3.7618
2014-09-23,9.32960033416748,3.7949
2014-09-24,9.38640022277832,3.7867
2014-09-25,9.322999954223633,3.8078
2014-09-26,9.276000022888184,3.8188
2014-09-29,9.111800193786621,3.8822
2014-09-30,8.979599952697754,3.9446
2014-10-08,9.092700004577637,3.8828
2014-10-09,9.195300102233887,3.8322
2014-10-10,9.021200180053711,3.908
2014-10-13,9.031999588012695,3.8972
2014-10-14,8.992799758911133,3.9159
2014-10-15,9.010600090026855,3.9004
2014-10-16,8.920900344848633,3.9418
2014-10-17,8.982000350952148,3.9156
2014-10-20,9.009699821472168,3.9189
2014-10-21,8.998800277709961,3.9212
2014-10-22,9.123200416564941,3.8743
2014-10-23,9.089099884033203,3.9814
2014-10-24,9.062000274658203,3.8798
2014-10-27,8.99940013885498,3.9085
2014-10-28,9.124799728393555,3.8423
2014-10-29,9.258099555969238,3.7904
2014-10-30,9.176799774169922,3.8071
2014-10-31,9.298700332641602,3.7546
2014-11-03,9.248800277709961,3.7671
2014-11-04,9.237700462341309,3.7776
2014-11-05,9.153499603271484,3.8055
2014-11-06,9.126999855041504,3.8107
2014-11-07,9.083100318908691,3.8281
2014-11-10,9.142200469970703,3.7991
2014-11-11,9.149700164794922,3.7932
2014-11-12,9.19379997253418,3.7733
2014-11-13,9.201800346374512,3.7623
2014-11-14,9.212699890136719,3.7453
2014-11-17,9.103400230407715,3.7894
2014-11-18,9.010600090026855,3.8747
2014-11-19,8.945599555969238,3.8642
2014-11-20,8.942000389099121,3.869
2014-11-21,8.995800018310547,3.865
2014-11-24,9.21049976348877,3.7778
2014-11-25,9.17959976196289,3.7836
2014-11-26,9.288999557495117,3.7782
2014-11-27,9.252699851989746,3.7966
2014-11-28,9.263199806213379,3.7951
2014-12-01,9.006999969482422,3.8959
2014-12-02,9.15530014038086,3.8621
2014-12-03,9.055800437927246,3.8967
2014-12-04,9.291999816894531,3.8296
2014-12-05,9.366800308227539,3.8017
2014-12-08,9.373200416564941,3.7863
2014-12-09,9.09220027923584,3.8812
2014-12-10,9.102100372314453,3.8729
2014-12-11,9.025699615478516,3.9064
2014-12-12,8.999799728393555,3.9167
2014-12-15,8.93529987335205,3.957
2014-12-16,8.81190013885498,4.0163
2014-12-17,8.829700469970703,4.0303
2014-12-18,8.923700332641602,3.9878
2014-12-19,9.009599685668945,3.9407
2014-12-22,9.187199592590332,3.8896
2014-12-23,9.134499549865723,3.905
2014-12-24,9.121399879455566,3.9024
2014-12-25,9.121399879455566,3.9024
2014-12-26,9.121399879455566,3.9024
2014-12-29,9.322699546813965,3.8348
2014-12-30,9.197500228881836,3.8795
2014-12-31,9.259300231933594,3.8646
2015-01-05,9.358699798583984,3.8445
2015-01-06,9.263400077819824,3.8849
2015-01-07,9.342599868774414,3.8447
2015-01-08,9.401900291442871,3.8174
2015-01-09,9.439599990844727,3.7988
2015-01-12,9.457200050354004,3.7834
2015-01-13,9.529199600219727,3.7513
2015-01-14,9.486200332641602,3.7691
2015-01-15,9.59689998626709,3.7324
2015-01-16,9.508500099182129,3.7699
2015-01-19,9.28439998626709,3.8276
2015-01-20,9.397100448608398,3.7932
2015-01-21,9.57960033416748,3.7201
2015-01-22,9.646200180053711,3.6927
2015-01-23,9.785900115966797,3.6457
2015-01-26,9.766300201416016,3.6412
2015-01-27,9.712900161743164,3.657
2015-01-28,9.71679973602295,3.6468
2015-01-29,9.601400375366211,3.6792
2015-01-30,9.56190013885498,3.6963
2015-02-02,9.539899826049805,3.6941
2015-02-03,9.606100082397461,3.6864
2015-02-04,9.673299789428711,3.6589
2015-02-05,9.713000297546387,3.6389
2015-02-06,9.65880012512207,3.6545
2015-02-09,9.59630012512207,3.6807
2015-02-10,9.605799674987793,3.733
2015-02-11,9.53279972076416,3.7661
2015-02-12,9.611700057983398,3.6527
2015-02-13,9.722999572753906,3.614
2015-02-16,9.746000289916992,3.6081
2015-02-17,9.7701997756958,3.5989
2015-02-25,9.853099822998047,3.6087
2015-02-26,9.72719955444336,3.595
2015-02-27,9.69789981842041,3.6091
2015-03-02,9.708399772644043,3.6168
2015-03-03,9.595100402832031,3.649
2015-03-04,9.476099967956543,3.6864
2015-03-05,9.376799583435059,3.9156
2015-03-06,9.351499557495117,3.9294
2015-03-09,9.3641996383667,3.952
2015-03-10,9.263699531555176,3.992
2015-03-11,9.18589973449707,4.0139
2015-03-12,9.250100135803223,4.0139
2015-03-13,9.289299964904785,3.7971
2015-03-16,9.292799949645996,3.8496
2015-03-17,9.27750015258789,3.8573
2015-03-18,9.357199668884277,3.8279
2015-03-19,9.530400276184082,3.7888
2015-03-20,9.510600090026855,3.8044
2015-03-23,9.644700050354004,3.7884
2015-03-24,9.406999588012695,3.7955
2015-03-25,9.418800354003906,3.7754
2015-03-26,9.527799606323242,3.7812
2015-03-27,9.480299949645996,3.7837
2015-03-30,9.651800155639648,3.7322
2015-03-31,9.684399604797363,3.7238
2015-04-01,9.76710033416748,3.6957
2015-04-02,9.857000350952148,3.6633
2015-04-03,9.857000350952148,3.6592
2015-04-07,9.857000350952148,3.6592
2015-04-08,10.266900062561035,3.5265
2015-04-09,10.553400039672852,3.4399
2015-04-10,10.685199737548828,3.389
2015-04-13,10.984700202941895,3.3055
2015-04-14,10.804499626159668,3.3592
2015-04-15,10.892600059509277,3.3688
2015-04-16,10.976300239562988,3.36
2015-04-17,10.921699523925781,3.3684
2015-04-20,10.674699783325195,3.431
2015-04-21,11.015800476074219,3.3248
2015-04-22,11.041899681091309,3.3174
2015-04-23,10.964099884033203,3.325
2015-04-24,11.05109977722168,3.2697
2015-04-27,11.414899826049805,3.2321
2015-04-28,11.365599632263184,3.2278
2015-04-29,11.347399711608887,3.2421
2015-04-30,11.215999603271484,3.2793
2015-05-04,11.255200386047363,3.3006
2015-05-05,11.09060001373291,3.3385
2015-05-06,11.039899826049805,3.0732
2015-05-07,10.872400283813477,3.1183
2015-05-08,10.991399765014648,3.0861
2015-05-11,11.045100212097168,3.0723
2015-05-12,10.913100242614746,3.1372
2015-05-13,10.84689998626709,3.1674
2015-05-14,10.844099998474121,3.1439
2015-05-15,11.048700332641602,3.1033
2015-05-18,10.97130012512207,3.1079
2015-05-19,11.050000190734863,3.1338
2015-05-20,11.015199661254883,3.2022
2015-05-21,10.978799819946289,3.268
2015-05-22,11.185199737548828,3.0714
2015-05-25,11.185199737548828,3.0172
2015-05-26,11.324199676513672,3.0053
2015-05-27,11.33590030670166,3.0377
2015-05-28,11.03849983215332,2.9104
2015-05-29,10.999600410461426,2.882
2015-06-01,11.084099769592285,2.8642
2015-06-02,11.03380012512207,2.8883
2015-06-03,11.109800338745117,2.8495
2015-06-04,11.086799621582031,3.1612
2015-06-05,10.953800201416016,3.1913
2015-06-08,11.033499717712402,3.0543
2015-06-09,10.890199661254883,3.0997
2015-06-10,10.760100364685059,3.1572
