,PE_TTM,DIVIDENDYIELD2
2024-09-06,8.963399887084961,4.2366
2024-09-09,8.843899726867676,4.3385
2024-09-10,8.843799591064453,4.3404
2024-09-11,8.79800033569336,4.3628
2024-09-12,8.856599807739258,4.3005
2024-09-13,8.92770004272461,4.2788
2024-09-18,9.065099716186523,4.2019
2024-09-19,9.235300064086914,4.0951
2024-09-20,9.341300010681152,4.0562
2024-09-23,9.34220027923584,4.0606
2024-09-24,9.755000114440918,3.9141
2024-09-25,9.83839988708496,3.8911
2024-09-26,10.337200164794922,3.7109
2024-09-27,10.649900436401367,3.5912
2024-09-30,10.882800102233888,3.5079
2024-10-08,10.7431001663208,3.573
2024-10-09,10.585700035095217,3.6189
2024-10-10,10.88759994506836,3.5247
2024-10-11,10.887499809265137,3.5247
2024-10-14,10.854900360107422,3.546
2024-10-15,10.463500022888184,3.6794
2024-10-16,10.454700469970703,3.6872
2024-10-17,10.336899757385254,3.7267
2024-10-18,10.714699745178224,3.597
2024-10-21,10.39579963684082,3.6484
2024-10-22,10.392800331115724,3.6581
2024-10-23,10.518600463867188,3.6148
2024-10-24,10.382800102233888,3.6669
2024-10-25,10.427499771118164,3.6502
2024-10-28,10.426799774169922,3.6547
2024-10-29,10.447400093078612,3.6368
2024-10-30,9.8125,3.6934
2024-10-31,9.773900032043455,3.7188
2024-11-01,9.87880039215088,3.6797
2024-11-04,9.92080020904541,3.6644
2024-11-05,10.13479995727539,3.5993
2024-11-06,9.91450023651123,3.6758
2024-11-07,10.123000144958496,3.6245
2024-11-08,10.00450038909912,3.6663
2024-11-11,9.857000350952148,3.6833
2024-11-12,9.594400405883787,3.7849
2024-11-13,9.51159954071045,3.7889
2024-11-14,9.34280014038086,3.8535
2024-11-15,9.273599624633787,3.8513
2024-11-18,9.362500190734863,3.8389
2024-11-19,9.383099555969238,3.8235
2024-11-20,9.397700309753418,3.8137
2024-11-21,9.336299896240234,3.8165
2024-11-22,9.158499717712402,3.8867
2024-11-25,9.114999771118164,3.8835
2024-11-26,9.121100425720217,3.8796
2024-11-27,9.315600395202637,3.8026
2024-11-28,9.202500343322754,3.8558
2024-11-29,9.20300006866455,3.8381
2024-12-02,9.287400245666504,3.7963
2024-12-03,9.391900062561035,3.7597
2024-12-04,9.381099700927734,3.7646
2024-12-05,9.315299987792969,3.7894
2024-12-06,9.469400405883787,3.7315
2024-12-09,9.696100234985352,3.5836
2024-12-10,9.630900382995604,3.6182
2024-12-11,9.566900253295898,3.6418
2024-12-12,9.700300216674805,3.5942
2024-12-13,9.49590015411377,3.6658
2024-12-16,9.429200172424316,3.6962
2024-12-17,9.38029956817627,3.7174
2024-12-18,9.465800285339355,3.685
2024-12-19,9.432900428771973,3.6961
2024-12-20,9.43850040435791,3.6928
2024-12-23,9.52910041809082,3.5757
2024-12-24,9.626700401306152,3.543
2024-12-25,9.626700401306152,3.543
2024-12-26,9.626500129699709,3.5431
2024-12-27,9.606300354003906,3.5494
2024-12-30,9.578200340270996,3.5519
2024-12-31,9.583499908447266,3.552
2025-01-02,9.342900276184082,3.9402
2025-01-03,9.3858003616333,3.9235
2025-01-06,9.348799705505373,3.9396
2025-01-07,9.213800430297852,4.0113
2025-01-08,9.138500213623049,4.0516
2025-01-09,9.135199546813965,4.0499
2025-01-10,9.044500350952148,4.0875
2025-01-13,8.955900192260742,4.1838
2025-01-14,9.11750030517578,4.1129
2025-01-15,9.175700187683104,4.0901
2025-01-16,9.274700164794922,4.0481
2025-01-17,9.278400421142578,4.0425
2025-01-20,9.450499534606934,3.9666
2025-01-21,9.52560043334961,3.9391
2025-01-22,9.373499870300291,4.0023
2025-01-23,9.364399909973145,4.0153
2025-01-24,9.56070041656494,3.9375
2025-01-27,9.64109992980957,3.9051
2025-02-05,9.815500259399414,3.8229
2025-02-06,9.955900192260742,3.7749
2025-02-07,10.059000015258787,3.7321
2025-02-10,10.24209976196289,3.6603
2025-02-11,10.121999740600586,3.7088
2025-02-12,10.425000190734863,3.6004
2025-02-13,10.382100105285645,3.6087
2025-02-14,10.788999557495115,3.4662
2025-02-17,10.82069969177246,3.4499
2025-02-18,10.965800285339355,3.3966
2025-02-19,10.923199653625488,3.4047
2025-02-20,10.758000373840332,3.4618
2025-02-21,11.02869987487793,3.3166
2025-02-24,10.942099571228027,3.3561
2025-02-25,10.765899658203125,3.4137
2025-02-26,11.09529972076416,3.3107
2025-02-27,11.060700416564941,3.3256
2025-02-28,10.718199729919434,3.4369
