,PE_TTM,DIVIDENDYIELD2
2015-08-17,29.170299530029297,0.8113
2015-08-18,28.41390037536621,0.8312
2015-08-19,28.37290000915528,0.8126
2015-08-20,27.481199264526367,0.8371
2015-08-21,25.627899169921875,0.8657
2015-08-24,24.04949951171875,0.9175
2015-08-25,24.92690086364746,0.8845
2015-08-26,24.572099685668945,0.9011
2015-08-27,25.62689971923828,0.8692
2015-08-28,25.52470016479492,0.8689
2015-08-31,25.49029922485352,0.8653
2015-09-01,24.70549964904785,0.8927
2015-09-02,24.656299591064453,0.894
2015-09-07,24.608299255371094,0.8879
2015-09-08,25.346399307250977,0.8622
2015-09-09,26.105100631713867,0.8373
2015-09-10,25.336299896240234,0.8838
2015-09-11,25.17449951171875,0.8918
2015-09-14,25.4734001159668,0.866
2015-09-15,25.855300903320312,0.8521
2015-09-16,26.67460060119629,0.8263
2015-09-17,26.66270065307617,0.825
2015-09-18,26.944299697875977,0.8162
2015-09-21,26.77589988708496,0.8218
2015-09-22,26.53190040588379,0.8297
2015-09-23,26.104700088500977,0.8432
2015-09-24,26.045799255371094,0.8447
2015-09-25,26.023700714111328,0.8452
2015-09-28,26.023700714111328,0.8452
2015-09-29,25.27039909362793,0.8707
2015-09-30,25.704599380493164,0.8562
2015-10-08,27.766300201416016,0.7904
2015-10-09,27.785999298095703,0.7893
2015-10-12,28.344600677490234,0.7742
2015-10-13,28.214399337768555,0.7787
2015-10-14,28.048200607299805,0.7835
2015-10-15,28.55459976196289,0.7698
2015-10-16,28.8612003326416,0.7614
2015-10-19,28.87719917297364,0.7612
2015-10-20,28.83390045166016,0.7626
2015-10-21,28.83390045166016,0.7626
2015-10-22,28.75749969482422,0.7645
2015-10-23,29.228200912475582,0.7518
2015-10-26,29.214599609375,0.752
2015-10-27,29.10759925842285,0.7525
2015-10-28,29.1289005279541,0.7522
2015-10-29,29.118200302124023,0.7586
2015-10-30,28.951499938964844,0.7631
2015-11-02,28.99169921875,0.7616
2015-11-03,29.54949951171875,0.7479
2015-11-04,30.163799285888672,0.7323
2015-11-05,30.045799255371094,0.7353
2015-11-06,30.3971004486084,0.7261
2015-11-09,30.033700942993164,0.7355
2015-11-10,29.112499237060547,0.7461
2015-11-11,29.188600540161133,0.7433
2015-11-12,33.382198333740234,0.725
2015-11-13,33.05289840698242,0.7329
2015-11-16,32.494598388671875,0.7454
2015-11-17,33.03900146484375,0.7363
2015-11-18,33.11980056762695,0.7363
2015-11-19,33.65650177001953,0.7258
2015-11-20,34.19499969482422,0.682
2015-11-23,34.33319854736328,0.6802
2015-11-24,34.46260070800781,0.6781
2015-11-25,34.482601165771484,0.7109
2015-11-26,34.20429992675781,0.7162
2015-11-27,33.58250045776367,0.7296
2015-11-30,33.746700286865234,0.7258
2015-12-01,33.91859817504883,0.7226
2015-12-02,33.7952995300293,0.7207
2015-12-03,33.815799713134766,0.7199
2015-12-04,33.21630096435547,0.7364
2015-12-07,32.47129821777344,0.7323
2015-12-08,32.21730041503906,0.7385
2015-12-09,32.23149871826172,0.7373
2015-12-10,32.01559829711914,0.7417
2015-12-11,31.44109916687012,0.7548
2015-12-14,31.2317008972168,0.7603
2015-12-15,31.417400360107425,0.7559
2015-12-16,32.164398193359375,0.7378
2015-12-17,32.225101470947266,0.7378
2015-12-18,31.993799209594727,0.7424
2015-12-21,31.886199951171875,0.7459
2015-12-22,32.00429916381836,0.7428
2015-12-23,32.24290084838867,0.7369
2015-12-24,32.15650177001953,0.7386
2015-12-25,32.15650177001953,0.7386
2015-12-28,31.958999633789062,0.7435
2015-12-29,31.93409919738769,0.7439
2015-12-30,31.98500061035156,0.7436
2015-12-31,32.26169967651367,0.7372
2016-01-04,31.3838005065918,0.7575
2016-01-05,31.079700469970703,0.7642
2016-01-06,30.806400299072266,0.771
2016-01-07,29.545499801635746,0.8035
2016-01-08,30.07900047302246,0.7897
2016-01-11,28.97949981689453,0.8182
2016-01-12,28.54990005493164,0.8293
2016-01-13,28.760099411010746,0.8224
2016-01-14,28.671499252319336,0.8253
2016-01-15,28.41580009460449,0.8314
2016-01-18,28.22130012512207,0.8373
2016-01-19,29.111400604248047,0.8123
2016-01-20,28.15410041809082,0.8398
2016-01-21,27.56469917297364,0.8571
2016-01-22,28.74340057373047,0.8221
2016-01-25,29.70159912109375,0.7946
2016-01-26,29.126399993896484,0.8093
2016-01-27,28.981000900268555,0.8146
2016-01-28,29.028499603271484,0.813
2016-01-29,29.778499603271484,0.7933
2016-02-01,30.13039970397949,0.7829
2016-02-02,30.0585994720459,0.7846
2016-02-03,29.01320075988769,0.8087
2016-02-04,29.135400772094727,0.8048
2016-02-05,29.399900436401367,0.7968
2016-02-15,28.43219947814941,0.8205
2016-02-16,28.70450019836425,0.8129
2016-02-17,28.49690055847168,0.8187
2016-02-18,29.3789005279541,0.7944
2016-02-19,29.32110023498535,0.7965
2016-02-22,29.408700942993164,0.7942
2016-02-23,29.357500076293945,0.7949
2016-02-24,29.19860076904297,0.8023
2016-02-25,28.79910087585449,0.8127
2016-02-26,29.55610084533692,0.792
2016-02-29,29.36590003967285,0.7972
2016-03-01,29.880199432373047,0.7835
2016-03-02,30.733800888061523,0.7627
2016-03-03,30.51679992675781,0.7676
2016-03-04,30.559499740600582,0.7676
2016-03-07,30.47620010375977,0.7704
2016-03-08,30.46299934387207,0.773
2016-03-09,30.310699462890625,0.7772
2016-03-10,30.094900131225582,0.7827
2016-03-11,30.64780044555664,0.7684
2016-03-14,31.10199928283692,0.7547
2016-03-15,30.893299102783203,0.7615
2016-03-16,30.83049964904785,0.7635
2016-03-17,30.77580070495605,0.7549
2016-03-18,31.985599517822266,0.7329
2016-03-21,32.129398345947266,0.729
2016-03-22,32.36529922485352,0.7238
2016-03-23,32.2140007019043,0.7233
2016-03-24,32.40700149536133,0.7263
2016-03-25,32.40700149536133,0.7263
2016-03-28,32.40190124511719,0.7146
2016-03-29,32.105201721191406,0.7211
2016-03-30,32.3838996887207,0.7149
2016-03-31,32.36859893798828,0.7132
2016-04-01,32.43450164794922,0.7148
2016-04-05,32.04119873046875,0.7237
2016-04-06,32.561500549316406,0.7154
2016-04-07,32.887699127197266,0.8791
2016-04-08,32.55720138549805,0.8872
2016-04-11,32.59859848022461,0.8986
2016-04-12,32.76530075073242,0.8944
2016-04-13,33.579200744628906,0.8721
2016-04-14,33.709999084472656,0.8697
2016-04-15,33.78390121459961,0.8683
2016-04-18,33.785701751708984,0.8677
2016-04-19,33.7843017578125,0.8674
2016-04-20,33.17539978027344,0.8864
2016-04-21,33.480201721191406,0.8776
2016-04-22,33.45130157470703,0.8804
2016-04-25,33.06909942626953,0.8915
2016-04-26,33.291099548339844,0.8857
2016-04-27,32.862701416015625,0.8975
2016-04-28,33.01319885253906,0.8902
2016-04-29,32.58449935913086,0.9022
2016-05-03,31.95789909362793,0.9038
2016-05-04,31.819499969482425,0.9077
2016-05-05,31.51930046081543,0.9187
2016-05-06,31.285999298095703,0.9229
2016-05-09,31.456600189208984,0.918
2016-05-10,31.56609916687012,0.9148
2016-05-11,31.71389961242676,0.9119
2016-05-12,31.3435001373291,0.9308
2016-05-13,31.38660049438477,0.941
2016-05-16,32.19279861450195,0.713
2016-05-17,32.76020050048828,0.7101
2016-05-18,30.98360061645508,0.7182
2016-05-19,30.452899932861328,0.7282
2016-05-20,30.593599319458008,0.9487
2016-05-23,30.644800186157227,0.8966
2016-05-24,30.81679916381836,0.8904
2016-05-25,31.440900802612305,0.8962
2016-05-26,31.077299118041992,0.9018
2016-05-27,32.20349884033203,0.8624
2016-05-30,32.128299713134766,0.8458
2016-05-31,32.695098876953125,0.9123
2016-06-01,32.29859924316406,0.9239
2016-06-02,32.321800231933594,0.9211
2016-06-03,32.49850082397461,0.8388
2016-06-06,32.92509841918945,0.834
2016-06-07,33.46179962158203,0.8201
2016-06-08,33.237098693847656,0.8848
2016-06-13,32.02399826049805,0.9128
2016-06-14,31.85169982910156,0.9176
2016-06-15,32.682498931884766,0.8947
2016-06-16,31.94930076599121,0.9149
2016-06-17,32.05139923095703,0.9123
2016-06-20,32.36220169067383,0.8962
2016-06-21,32.72140121459961,0.8865
2016-06-22,33.379398345947266,0.8691
2016-06-23,33.24700164794922,0.8743
2016-06-24,32.73040008544922,0.8873
2016-06-27,32.31100082397461,0.8998
2016-06-28,32.20159912109375,0.9027
2016-06-29,32.57559967041016,0.8923
2016-06-30,33.172698974609375,0.8845
2016-07-01,33.172698974609375,0.8845
2016-07-04,33.55929946899414,0.8776
2016-07-05,33.153499603271484,0.903
2016-07-06,32.786399841308594,0.9135
2016-07-07,33.117401123046875,0.7833
2016-07-08,33.22980117797852,0.7806
2016-07-11,33.6515007019043,0.8748
2016-07-12,33.925899505615234,0.8682
2016-07-13,33.976200103759766,0.8668
2016-07-14,34.36330032348633,0.8566
2016-07-15,34.525901794433594,0.8523
2016-07-18,34.627498626708984,0.7973
2016-07-19,34.36439895629883,0.8254
2016-07-20,34.78739929199219,0.8152
2016-07-21,34.75450134277344,0.8163
2016-07-22,34.826900482177734,0.8144
2016-07-25,35.16299819946289,0.8064
2016-07-26,34.90570068359375,0.8247
2016-07-27,35.28889846801758,0.8149
2016-07-28,35.31269836425781,0.8145
2016-07-29,35.032798767089844,0.8213
2016-08-01,34.85150146484375,0.8262
2016-08-02,34.84149932861328,0.8262
2016-08-03,34.49829864501953,0.8354
2016-08-04,34.66699981689453,0.8311
2016-08-05,35.05839920043945,0.8218
2016-08-08,35.838600158691406,0.8039
2016-08-09,35.658599853515625,0.8068
2016-08-10,35.58720016479492,0.808
2016-08-11,36.195499420166016,0.8044
2016-08-12,36.26639938354492,0.806
2016-08-15,36.81480026245117,0.808
2016-08-16,37.50410079956055,0.7938
2016-08-17,35.17879867553711,0.8025
2016-08-18,35.91619873046875,0.7539
2016-08-19,36.34410095214844,0.7572
2016-08-22,36.825801849365234,0.7462
2016-08-23,36.70349884033203,0.7534
2016-08-24,36.32989883422852,0.7614
2016-08-25,36.05080032348633,0.7676
2016-08-26,36.04209899902344,0.7629
2016-08-29,36.19449996948242,0.7496
2016-08-30,39.47150039672852,0.7366
2016-08-31,38.78839874267578,0.7467
2016-09-01,38.59109878540039,0.7491
2016-09-02,38.54869842529297,0.7515
2016-09-05,40.42539978027344,0.7237
2016-09-06,41.30220031738281,0.7079
2016-09-07,40.97560119628906,0.7135
2016-09-08,41.31330108642578,0.7316
2016-09-09,41.08660125732422,0.736
2016-09-12,39.68740081787109,0.7454
2016-09-13,39.84149932861328,0.7443
2016-09-14,39.98260116577149,0.7418
2016-09-19,40.42470169067383,0.7351
2016-09-20,40.305999755859375,0.7371
2016-09-21,40.69900131225586,0.7296
2016-09-22,41.249000549316406,0.7196
2016-09-23,41.91450119018555,0.704
2016-09-26,40.86140060424805,0.7222
2016-09-27,41.34980010986328,0.7135
2016-09-28,41.50120162963867,0.7111
2016-09-29,41.76559829711914,0.7067
2016-09-30,40.94060134887695,0.7211
2016-10-10,41.60319900512695,0.7098
2016-10-11,41.47639846801758,0.7122
2016-10-12,41.07989883422852,0.7191
2016-10-13,40.42229843139648,0.7301
2016-10-14,40.36040115356445,0.7316
2016-10-17,40.241798400878906,0.7339
2016-10-18,40.94869995117188,0.7214
2016-10-19,40.97330093383789,0.7206
2016-10-20,41.23640060424805,0.7156
2016-10-21,41.23640060424805,0.7156
2016-10-24,41.40190124511719,0.7133
2016-10-25,41.26459884643555,0.7155
2016-10-26,40.84080123901367,0.7229
2016-10-27,40.17910003662109,0.729
2016-10-28,39.7588996887207,0.7369
2016-10-31,39.39419937133789,0.744
2016-11-01,39.67010116577149,0.7383
2016-11-02,39.15240097045898,0.7482
2016-11-03,35.19729995727539,0.7558
2016-11-04,34.96049880981445,0.7612
2016-11-07,35.51139831542969,0.7473
2016-11-08,35.74549865722656,0.7426
2016-11-09,35.19160079956055,0.7543
2016-11-10,36.29290008544922,0.7334
2016-11-11,35.102901458740234,0.7596
2016-11-14,33.9213981628418,0.7847
2016-11-15,33.94350051879883,0.784
2016-11-16,32.95389938354492,0.7985
2016-11-17,32.660099029541016,0.8055
2016-11-18,32.81930160522461,0.8012
2016-11-21,32.535499572753906,0.8073
2016-11-22,32.848201751708984,0.7999
2016-11-23,32.63869857788086,0.8051
2016-11-24,31.97509956359864,0.8131
2016-11-25,32.05780029296875,0.8108
2016-11-28,32.51919937133789,0.772
2016-11-29,32.235801696777344,0.7792
2016-11-30,32.343299865722656,0.7767
2016-12-01,32.41709899902344,0.7754
2016-12-02,31.85090065002441,0.7887
2016-12-05,31.66399955749512,0.8051
2016-12-06,31.654800415039062,0.8079
2016-12-07,31.681299209594727,0.8071
2016-12-08,31.77580070495605,0.7911
2016-12-09,31.36230087280273,0.8023
2016-12-12,30.78840065002441,0.817
2016-12-13,30.988399505615234,0.8112
2016-12-14,31.078500747680664,0.8084
2016-12-15,30.66679954528809,0.8195
2016-12-16,30.69939994812012,0.8182
2016-12-19,30.416000366210938,0.8254
2016-12-20,30.34959983825684,0.8276
2016-12-21,30.442699432373047,0.8253
2016-12-22,30.358299255371094,0.8281
2016-12-23,30.245899200439453,0.8327
2016-12-26,30.245899200439453,0.8327
2016-12-27,30.245899200439453,0.8327
2016-12-28,30.857500076293945,0.8163
2016-12-29,31.426300048828125,0.8011
2016-12-30,31.79719924926757,0.7915
2017-01-03,31.668800354003903,0.7939
2017-01-04,31.727399826049805,0.7935
2017-01-05,32.3390007019043,0.7774
2017-01-06,32.553199768066406,0.7722
2017-01-09,32.549800872802734,0.772
2017-01-10,32.88589859008789,0.764
2017-01-11,33.21110153198242,0.7558
2017-01-12,32.993900299072266,0.7613
2017-01-13,33.04990005493164,0.7595
2017-01-16,32.608299255371094,0.77
2017-01-17,32.81169891357422,0.765
2017-01-18,33.18280029296875,0.7572
2017-01-19,33.10049819946289,0.759
2017-01-20,32.81919860839844,0.7654
2017-01-23,32.827301025390625,0.7653
2017-01-24,32.92919921875,0.7632
2017-01-25,33.301998138427734,0.7537
2017-01-26,33.86100006103516,0.7406
2017-02-03,33.81060028076172,0.741
2017-02-06,34.2400016784668,0.7322
2017-02-07,34.0442008972168,0.7361
2017-02-08,33.986900329589844,0.738
2017-02-09,34.06560134887695,0.7367
2017-02-10,33.84590148925781,0.7418
2017-02-13,34.0984992980957,0.7362
2017-02-14,33.992801666259766,0.7377
2017-02-15,34.4453010559082,0.7271
2017-02-16,35.744998931884766,0.7142
2017-02-17,35.67399978637695,0.7152
2017-02-20,35.967098236083984,0.7095
2017-02-21,35.500301361083984,0.7189
2017-02-22,36.08039855957031,0.7071
2017-02-23,36.02289962768555,0.7084
2017-02-24,35.41630172729492,0.7207
2017-02-27,35.323699951171875,0.7229
2017-02-28,34.83209991455078,0.7335
2017-03-01,34.89189910888672,0.7328
2017-03-02,34.783599853515625,0.7345
2017-03-03,34.71200180053711,0.7323
2017-03-06,37.14149856567383,0.7025
2017-03-07,37.5088005065918,0.695
2017-03-08,37.6349983215332,0.694
2017-03-09,37.13150024414063,0.7018
2017-03-10,37.34429931640625,0.6948
2017-03-13,37.980899810791016,0.6837
2017-03-14,37.967098236083984,0.6845
2017-03-15,38.05289840698242,0.682
2017-03-16,39.033599853515625,0.6646
2017-03-17,39.5536994934082,0.6579
2017-03-20,40.159400939941406,0.6445
2017-03-21,40.1431999206543,0.6443
2017-03-22,38.26190185546875,0.6517
2017-03-23,41.791900634765625,0.653
2017-03-24,44.16239929199219,0.647
2017-03-27,43.36429977416992,0.6536
2017-03-28,43.41130065917969,0.6499
2017-03-29,43.51800155639648,0.6461
2017-03-30,43.1349983215332,0.6538
2017-03-31,42.87950134277344,0.658
2017-04-05,43.84999847412109,0.6498
2017-04-06,43.70190048217773,0.6522
2017-04-07,43.60469818115234,0.6536
2017-04-10,43.37149810791016,0.5324
2017-04-11,43.049800872802734,0.536
2017-04-12,43.95270156860352,0.5165
2017-04-13,43.84180068969727,0.5176
2017-04-14,43.84180068969727,0.5176
2017-04-17,43.66490173339844,0.5176
2017-04-18,43.12049865722656,0.524
2017-04-19,43.59030151367188,0.5183
2017-04-20,44.58369827270508,0.5065
2017-04-21,44.2509994506836,0.5059
2017-04-24,44.4567985534668,0.5033
2017-04-25,45.214500427246094,0.4945
2017-04-26,45.11920166015625,0.4961
2017-04-27,45.57059860229492,0.4907
2017-04-28,45.58610153198242,0.4905
2017-05-02,46.29560089111328,0.4828
2017-05-03,46.29560089111328,0.4828
2017-05-04,45.42570114135742,0.4922
2017-05-05,45.292701721191406,0.4933
2017-05-08,45.56700134277344,0.4889
2017-05-09,46.510101318359375,0.4801
2017-05-10,46.461700439453125,0.4793
2017-05-11,46.68479919433594,0.4908
2017-05-12,46.66109848022461,0.4869
2017-05-15,46.78829956054688,0.4715
2017-05-16,46.735599517822266,0.4832
2017-05-17,43.010501861572266,0.4816
2017-05-18,43.22460174560547,0.4738
2017-05-19,43.82460021972656,0.6482
2017-05-22,44.6953010559082,0.5045
2017-05-23,44.46879959106445,0.5056
2017-05-24,44.21839904785156,0.5153
2017-05-25,45.01430130004883,0.5103
2017-05-26,45.20479965209961,0.5082
2017-05-31,43.955299377441406,0.5581
2017-06-01,44.38690185546875,0.5043
2017-06-02,44.32780075073242,0.5063
2017-06-05,44.46260070800781,0.5502
2017-06-06,44.63560104370117,0.5479
2017-06-07,44.82210159301758,0.5391
2017-06-08,45.11589813232422,0.5359
2017-06-09,45.66630172729492,0.49
2017-06-12,44.5796012878418,0.5023
2017-06-13,44.798099517822266,0.5063
2017-06-14,45.48379898071289,0.4964
2017-06-15,44.81529998779297,0.5038
2017-06-16,44.71820068359375,0.5048
2017-06-19,45.66450119018555,0.4949
2017-06-20,45.80030059814453,0.4931
2017-06-21,45.757598876953125,0.4942
2017-06-22,46.0099983215332,0.4909
2017-06-23,45.922000885009766,0.4923
2017-06-26,46.53570175170898,0.4861
2017-06-27,46.98630142211914,0.481
2017-06-28,46.120399475097656,0.4901
2017-06-29,46.31969833374024,0.4952
2017-06-30,45.73059844970703,0.5017
2017-07-03,45.9015998840332,0.4957
2017-07-04,44.27920150756836,0.5257
2017-07-05,44.65890121459961,0.5186
2017-07-06,44.87070083618164,0.5066
2017-07-07,44.52370071411133,0.5105
2017-07-10,44.81719970703125,0.5774
2017-07-11,44.00870132446289,0.5667
2017-07-12,44.44540023803711,0.4926
2017-07-13,45.01689910888672,0.4862
2017-07-14,45.0531005859375,0.4859
2017-07-17,45.087100982666016,0.4855
2017-07-18,45.49810028076172,0.4807
2017-07-19,47.117000579833984,0.4639
2017-07-20,47.18119812011719,0.4501
2017-07-21,46.90250015258789,0.4528
2017-07-24,47.472900390625,0.4473
2017-07-25,47.37639999389648,0.4481
2017-07-26,46.86389923095703,0.48
2017-07-27,47.6781005859375,0.471
2017-07-28,47.2150993347168,0.4758
2017-07-31,48.24869918823242,0.465
2017-08-01,48.23899841308594,0.4646
2017-08-02,48.18949890136719,0.4653
2017-08-03,47.54869842529297,0.4717
2017-08-04,47.999298095703125,0.4674
2017-08-07,49.25080108642578,0.4552
2017-08-08,50.35969924926758,0.4452
2017-08-09,50.42499923706055,0.4441
2017-08-10,49.87459945678711,0.4618
2017-08-11,48.60329818725586,0.4844
2017-08-14,50.55580139160156,0.4654
2017-08-15,49.925201416015625,0.4713
2017-08-16,44.93330001831055,0.4571
2017-08-17,45.41939926147461,0.4505
2017-08-18,45.997100830078125,0.455
2017-08-21,46.10639953613281,0.4538
2017-08-22,45.30120086669922,0.4567
2017-08-23,45.31069946289063,0.4567
2017-08-24,44.464500427246094,0.4521
2017-08-25,44.33219909667969,0.4497
2017-08-28,43.06600189208984,0.4546
2017-08-29,43.21060180664063,0.4577
2017-08-30,44.79909896850586,0.4495
2017-08-31,45.10860061645508,0.446
2017-09-01,44.81129837036133,0.4489
2017-09-04,44.42710113525391,0.4499
2017-09-05,44.46889877319336,0.4495
2017-09-06,44.666500091552734,0.4474
2017-09-07,44.23899841308594,0.4668
2017-09-08,44.35150146484375,0.4664
2017-09-11,45.37919998168945,0.4371
2017-09-12,45.674598693847656,0.4468
2017-09-13,45.8922004699707,0.4449
2017-09-14,46.14020156860352,0.4408
2017-09-15,46.27389907836914,0.4396
2017-09-18,47.212100982666016,0.4319
2017-09-19,46.930999755859375,0.4343
2017-09-20,47.24359893798828,0.4315
2017-09-21,47.40069961547852,0.4303
2017-09-22,47.220699310302734,0.4324
