,PE_TTM,DIVIDENDYIELD2
2018-08-20,10.158699989318848,3.6769
2018-08-21,10.12090015411377,3.6856
2018-08-22,10.20110034942627,3.6738
2018-08-23,10.139800071716309,3.6727
2018-08-24,10.10890007019043,3.6972
2018-08-27,10.30490016937256,3.6257
2018-08-28,10.408499717712402,3.6138
2018-08-29,10.432299613952637,3.6113
2018-08-30,10.350600242614746,3.8512
2018-08-31,10.20989990234375,3.9024
2018-09-03,10.134300231933594,3.4391
2018-09-04,10.232000350952148,3.4036
2018-09-05,9.965200424194336,3.4478
2018-09-06,9.87320041656494,3.5927
2018-09-07,9.885499954223633,3.5861
2018-09-10,9.864800453186035,3.5229
2018-09-11,9.781999588012695,3.5642
2018-09-12,9.738200187683104,3.6057
2018-09-13,9.997699737548828,3.5086
2018-09-14,10.108699798583984,3.4453
2018-09-17,9.976900100708008,3.5209
2018-09-18,10.029199600219728,3.5303
2018-09-19,10.155099868774414,3.4434
2018-09-20,10.15060043334961,3.427
2018-09-21,10.32129955291748,3.3811
2018-09-25,10.14799976348877,3.4236
2018-09-26,10.271699905395508,3.3797
2018-09-27,10.22599983215332,3.395
2018-09-28,10.261199951171877,3.3877
2018-10-08,9.698800086975098,3.5765
2018-10-09,9.697199821472168,3.584
2018-10-10,9.701499938964844,3.5859
2018-10-11,9.355199813842772,3.8254
2018-10-12,9.556599617004396,3.7363
2018-10-15,9.421199798583984,3.7094
2018-10-16,9.444299697875977,3.7031
2018-10-17,9.444299697875977,3.7031
2018-10-18,9.415800094604492,3.6907
2018-10-19,9.457599639892578,3.6785
2018-10-22,9.661999702453612,3.5993
2018-10-23,9.410300254821776,3.7183
2018-10-24,9.388699531555176,3.7321
2018-10-25,9.353400230407717,3.773
2018-10-26,9.249600410461426,3.822
2018-10-29,9.285499572753906,3.8279
2018-10-30,9.166600227355955,3.8704
2018-10-31,9.328100204467772,3.7803
2018-11-01,9.4822998046875,3.7117
2018-11-02,9.87119960784912,3.555
2018-11-05,9.679800033569336,3.635
2018-11-06,9.750900268554688,3.6104
2018-11-07,9.75510025024414,3.6115
2018-11-08,9.804400444030762,3.5955
2018-11-09,9.55239963531494,3.6952
2018-11-12,9.541099548339844,3.7611
2018-11-13,9.590299606323242,3.7359
2018-11-14,9.520899772644045,3.7011
2018-11-15,9.69569969177246,3.623
2018-11-16,9.744500160217283,3.6085
2018-11-19,9.805299758911133,3.5816
2018-11-20,9.6225004196167,3.6559
2018-11-21,9.661499977111816,3.6339
2018-11-22,9.671799659729004,3.6437
2018-11-23,9.634699821472168,3.6579
2018-11-26,9.787699699401855,3.5752
2018-11-27,9.787099838256836,3.5747
2018-11-28,9.928400039672852,3.5201
2018-11-29,9.84939956665039,3.5516
2018-11-30,9.887399673461914,3.538
2018-12-03,10.140000343322754,3.4635
2018-12-04,10.165599822998049,3.4527
2018-12-05,10.013299942016602,3.4977
2018-12-06,9.763699531555176,3.5919
2018-12-07,9.728500366210938,3.5909
2018-12-10,9.628700256347656,3.6333
2018-12-11,9.618300437927246,3.6315
2018-12-12,9.779800415039062,3.5715
