,PE_TTM,DIVIDENDYIELD2,CLOSE
2024-09-06,8.07129955291748,5.0494,3375.12
2024-09-09,7.952199935913086,5.182,3337.2
2024-09-10,7.961400032043457,5.176,3325.24
2024-09-11,7.905600070953369,5.2149,3307.95
2024-09-12,7.957699775695801,5.1387,3336.66
2024-09-13,8.024900436401367,5.1125,3360.08
2024-09-18,8.150300025939941,5.019,3415.15
2024-09-19,8.295999526977539,4.8941,3500.73
2024-09-20,8.410300254821777,4.8343,3570.43
2024-09-23,8.416099548339844,4.8375,3560.25
2024-09-24,8.797599792480469,4.6612,3703.21
2024-09-25,8.874699592590332,4.6357,3731.91
2024-09-26,9.252300262451172,4.4355,3932.43
2024-09-27,9.548999786376951,4.2791,4144.85
2024-09-30,9.765999794006348,4.1731,4265.04
2024-10-08,9.659500122070312,4.2465,4220.72
2024-10-09,9.509300231933594,4.3038,4146.44
2024-10-10,9.812800407409668,4.1758,4275.7
2024-10-11,9.812700271606444,4.1759,4275.7
2024-10-14,9.791999816894531,4.1996,4218.96
2024-10-15,9.45460033416748,4.3487,4058.07
2024-10-16,9.450799942016602,4.3568,4057.01
2024-10-17,9.338500022888184,4.4063,3999.93
2024-10-18,9.668499946594238,4.2601,4154.96
2024-10-21,9.382800102233888,4.314,4096.2
2024-10-22,9.380800247192385,4.3256,4095.86
2024-10-23,9.489500045776367,4.2776,4154.25
2024-10-24,9.370599746704102,4.3385,4091.71
2024-10-25,9.42169952392578,4.312,4138.32
2024-10-28,9.433600425720217,4.3091,4145.03
2024-10-29,9.450900077819824,4.287,4157.3
2024-10-30,8.850500106811523,4.3512,4091.66
2024-10-31,8.832900047302246,4.3708,4081.44
2024-11-01,8.891799926757812,4.3473,4106.81
2024-11-04,8.937600135803223,4.3251,4128.55
2024-11-05,9.133000373840332,4.2485,4235.44
2024-11-06,8.92959976196289,4.3407,4149.5
2024-11-07,9.118800163269045,4.2828,4235.95
2024-11-08,9.021499633789062,4.326,4201.16
2024-11-11,8.894100189208984,4.3393,4137.44
2024-11-12,8.65250015258789,4.4626,4012.62
2024-11-13,8.644200325012207,4.4679,4002.3
2024-11-14,8.468000411987305,4.5601,3913.04
2024-11-15,8.407500267028809,4.5514,3898.79
2024-11-18,8.492300033569336,4.5372,3912.72
2024-11-19,8.506199836730957,4.5208,3926.28
2024-11-20,8.504300117492676,4.5185,3939.23
2024-11-21,8.455100059509277,4.518,3915.1
2024-11-22,8.297599792480469,4.5984,3832.7
2024-11-25,8.269399642944336,4.615,3815.47
2024-11-26,8.276900291442871,4.6077,3812.76
2024-11-27,8.451700210571289,4.5174,3908.22
2024-11-28,8.342300415039062,4.5849,3859.82
2024-11-29,8.35319995880127,4.555,3876.8
2024-12-02,8.435500144958496,4.5021,3911.79
2024-12-03,8.529800415039062,4.4606,3956.95
2024-12-04,8.523200035095215,4.4644,3946.24
2024-12-05,8.444999694824219,4.5062,3906.31
2024-12-06,8.582500457763672,4.4399,3973.14
2024-12-09,8.888099670410156,4.2397,4108.69
2024-12-10,8.846599578857422,4.27,4091.86
2024-12-11,8.782500267028809,4.3011,4047.32
2024-12-12,8.90369987487793,4.2462,4094.98
2024-12-13,8.704099655151367,4.3368,3997.23
2024-12-16,8.646699905395508,4.3714,3946.98
2024-12-17,8.60569953918457,4.3946,3918.43
2024-12-18,8.684399604797363,4.3564,3955.83
2024-12-19,8.619400024414062,4.3925,3918.1
2024-12-20,8.587400436401367,4.4135,3907.7
2024-12-23,8.704999923706055,4.2493,3939.25
2024-12-24,8.810199737548828,4.2014,3988.05
2024-12-25,8.810199737548828,4.2014,3988.05
2024-12-26,8.8100004196167,4.2015,3988.05
2024-12-27,8.798199653625488,4.2045,3989.46
2024-12-30,8.770400047302246,4.2092,3972.05
2024-12-31,8.784500122070312,4.2042,3968.95
2025-01-02,8.52970027923584,4.6998,3882.98
2025-01-03,8.582300186157227,4.6707,3914.37
2025-01-06,8.559900283813477,4.6819,3898.82
2025-01-07,8.521200180053711,4.7083,3861.66
2025-01-08,8.477800369262695,4.7382,3827.71
2025-01-09,8.460200309753418,4.7461,3823.73
2025-01-10,8.376899719238281,4.7891,3781.07
2025-01-13,8.295900344848633,4.9039,3738.0
2025-01-14,8.436599731445312,4.8283,3801.09
2025-01-15,8.48069953918457,4.8098,3802.87
