,PE_TTM,DIVIDENDYIELD2
2006-09-11,11.213600158691406,2.7589
2006-09-12,11.264599800109863,2.7468
2006-09-13,11.446200370788574,2.7086
2006-09-14,11.48840045928955,2.7183
2006-09-15,11.44890022277832,2.71
2006-09-18,11.470800399780273,2.671
2006-09-19,11.54419994354248,2.7031
2006-09-20,11.531800270080566,2.7059
2006-09-21,11.706000328063965,2.6744
2006-09-22,11.677800178527832,2.6427
2006-09-25,11.631099700927734,2.6682
2006-09-26,11.55049991607666,2.6871
2006-09-27,11.656800270080566,2.7007
2006-09-28,11.729399681091309,2.6841
2006-09-29,11.770099639892578,2.7105
2006-10-09,11.96679973602295,2.7502
2006-10-10,12.413100242614746,2.7366
2006-10-11,12.409000396728516,2.6532
2006-10-12,12.368499755859375,2.6988
2006-10-13,12.408499717712402,2.6908
2006-10-16,12.387399673461914,2.6947
2006-10-17,12.360600471496582,2.701
2006-10-18,12.412699699401855,2.6871
2006-10-19,12.471199989318848,2.7811
2006-10-20,12.59000015258789,2.7542
2006-10-23,12.552800178527832,2.7627
2006-10-24,12.573699951171875,2.7597
2006-10-25,12.526300430297852,2.7694
2006-10-26,12.562800407409668,2.7629
2006-10-27,12.539999961853027,2.7676
2006-10-30,12.539999961853027,2.7676
2006-10-31,12.517000198364258,2.7721
2006-11-01,12.584400177001953,2.5971
2006-11-02,12.664899826049805,2.7455
2006-11-03,12.744799613952637,2.7295
2006-11-06,12.794099807739258,2.7181
2006-11-07,12.940899848937988,2.6879
2006-11-08,12.87559986114502,2.7027
2006-11-09,13.024399757385254,2.7767
2006-11-10,13.053199768066406,2.7695
2006-11-13,13.065099716186523,2.7269
2006-11-14,13.024499893188477,2.7609
2006-11-15,13.213299751281738,2.7802
2006-11-16,13.328900337219238,2.7566
2006-11-17,13.459099769592285,2.7285
2006-11-20,13.299599647521973,2.7617
2006-11-21,13.373000144958496,2.7469
2006-11-22,13.508099555969238,2.6655
2006-11-23,13.518099784851074,2.5749
2006-11-24,13.594900131225586,2.5576
2006-11-27,13.629500389099121,2.553
2006-11-28,13.683799743652344,2.6165
2006-11-29,13.738499641418457,2.5714
2006-11-30,14.006999969482422,2.5226
