,PE_TTM,DIVIDENDYIELD2
2019-01-21,18.821399688720703,1.4804
2019-01-22,18.473499298095703,1.5078
2019-01-23,18.60009956359864,1.4979
2019-01-24,18.838600158691406,1.4772
2019-01-25,18.92779922485352,1.4689
2019-01-28,18.651599884033203,1.4972
2019-01-29,18.91419982910156,1.4697
2019-01-30,18.65139961242676,1.4846
2019-01-31,19.316499710083008,1.4326
2019-02-01,19.623899459838867,1.4132
2019-02-11,19.46050071716309,1.4264
2019-02-12,20.07859992980957,1.3838
2019-02-13,20.28300094604492,1.3711
2019-02-14,20.38450050354004,1.3617
2019-02-15,19.80279922485352,1.4016
2019-02-18,20.125200271606445,1.3798
2019-02-19,19.299699783325195,1.4451
2019-02-20,18.947099685668945,1.4678
2019-02-21,19.197900772094727,1.4466
2019-02-22,19.330699920654297,1.4346
2019-02-25,19.45940017700196,1.4277
2019-02-26,20.00079917907715,1.3972
2019-02-27,19.769899368286133,1.4094
2019-02-28,19.66349983215332,1.4206
2019-03-01,19.85059928894043,1.3984
2019-03-04,20.31940078735352,1.363
2019-03-05,20.617700576782227,1.3442
2019-03-06,20.7544002532959,1.3401
2019-03-07,20.28459930419922,1.3668
2019-03-08,19.69989967346192,1.4067
2019-03-11,20.24970054626465,1.3429
2019-03-12,20.690099716186523,1.2403
2019-03-13,20.278200149536133,1.2638
2019-03-14,19.946399688720703,1.2844
2019-03-15,20.139799118041992,1.2675
2019-03-18,20.42889976501465,1.2406
2019-03-19,20.603599548339844,1.2193
2019-03-20,20.36529922485352,1.2296
2019-03-21,20.652999877929688,1.2085
2019-03-22,20.499399185180664,1.2138
2019-03-25,19.60650062561035,1.2588
2019-03-26,19.282100677490234,1.2709
2019-03-27,19.687000274658203,1.2573
2019-03-28,19.79780006408692,1.262
2019-03-29,19.867599487304688,1.2289
2019-04-01,16.77589988708496,1.2184
2019-04-02,16.757699966430664,1.2203
2019-04-03,16.86050033569336,1.2128
2019-04-04,16.853900909423828,1.212
2019-04-08,17.14579963684082,1.1857
2019-04-09,17.46109962463379,1.1616
2019-04-10,17.492599487304688,1.1611
2019-04-11,17.27829933166504,1.177
2019-04-12,17.219600677490234,1.1809
2019-04-15,16.9552001953125,1.1971
2019-04-16,17.130199432373047,1.184
2019-04-17,17.053800582885742,1.1917
2019-04-18,16.88719940185547,1.2023
2019-04-19,16.88719940185547,1.2023
2019-04-22,16.88719940185547,1.2023
2019-04-23,16.58169937133789,1.224
2019-04-24,16.660400390625,1.2179
2019-04-25,16.35689926147461,1.2407
2019-04-26,16.114500045776367,1.2373
2019-04-29,16.173599243164062,1.2994
2019-04-30,16.10059928894043,1.3062
2019-05-06,15.677800178527832,1.2657
2019-05-07,15.809100151062012,1.2549
2019-05-08,15.511899948120115,1.2804
2019-05-09,15.018400192260742,1.3259
2019-05-10,15.406700134277344,1.3141
2019-05-13,15.406700134277344,1.3141
2019-05-14,15.123600006103516,1.3422
