,PE_TTM,DIVIDENDYIELD2
2019-11-18,6.956099987030029,5.4619
2019-11-19,7.037799835205078,5.3979
2019-11-20,7.008500099182129,5.4168
2019-11-21,6.897299766540527,5.5435
2019-11-22,6.930500030517578,5.5086
2019-11-25,7.0167999267578125,5.4074
2019-11-26,7.01140022277832,5.4197
2019-11-27,7.018400192260742,5.4226
2019-11-28,6.987100124359131,5.4508
2019-11-29,6.843599796295166,5.5539
2019-12-02,6.857100009918213,5.5578
2019-12-03,6.837399959564209,5.573
2019-12-04,6.7743000984191895,5.6143
2019-12-05,6.798600196838379,5.5903
2019-12-06,6.850900173187256,5.5493
2019-12-09,6.87529993057251,5.531
2019-12-10,6.867199897766113,5.5392
2019-12-11,6.914999961853027,5.52
2019-12-12,6.967700004577637,5.4748
2019-12-13,7.121500015258789,5.3339
2019-12-16,7.0868000984191895,5.3526
2019-12-17,7.196300029754639,5.2905
2019-12-18,7.236299991607666,5.2799
2019-12-19,7.236899852752685,5.3053
2019-12-20,7.269400119781494,5.282
2019-12-23,7.282199859619141,5.2475
2019-12-24,7.27269983291626,5.2541
2019-12-25,7.27269983291626,5.2541
2019-12-26,7.27269983291626,5.2541
2019-12-27,7.359499931335449,5.1917
2019-12-30,7.367700099945068,5.1788
2019-12-31,7.351600170135498,5.19
2020-01-02,7.413300037384033,5.1566
2020-01-03,7.374599933624268,5.1834
2020-01-06,7.319300174713135,5.1896
2020-01-07,7.307400226593018,5.1963
2020-01-08,7.250500202178955,5.2253
2020-01-09,7.347400188446045,5.1568
2020-01-10,7.341599941253662,5.1543
2020-01-13,7.400800228118896,5.1062
2020-01-14,7.385200023651123,5.1041
2020-01-15,7.362899780273437,5.1164
2020-01-16,7.361899852752685,5.1045
2020-01-17,7.408999919891357,5.0698
2020-01-20,7.346399784088135,5.105
2020-01-21,7.154600143432617,5.2406
2020-01-22,7.250699996948242,5.1662
2020-01-23,7.130300045013428,5.252
2020-02-03,6.681399822235107,5.5954
2020-02-04,6.731500148773193,5.5562
2020-02-05,6.769100189208984,5.5278
2020-02-06,6.958199977874756,5.3685
2020-02-07,6.932799816131592,5.3827
2020-02-10,6.9045000076293945,5.4016
2020-02-11,6.984000205993652,5.3486
2020-02-12,7.042200088500977,5.3004
2020-02-13,7.020400047302246,5.3125
2020-02-14,7.058899879455566,5.2931
2020-02-17,7.085599899291992,5.2753
2020-02-18,7.001800060272217,5.3412
2020-02-19,7.245999813079834,5.3076
2020-02-20,7.236499786376953,5.3184
2020-02-21,7.171500205993652,5.3691
2020-02-24,7.069900035858154,5.0872
