,PE_TTM,DIVIDENDYIELD2
2018-11-21,17.68120002746582,1.8833
2018-11-22,17.749000549316406,1.8669
2018-11-23,17.62540054321289,1.8795
2018-11-26,17.906099319458008,1.8487
2018-11-27,18.00749969482422,1.8381
2018-11-28,18.40089988708496,1.7963
2018-11-29,18.25830078125,1.8101
2018-11-30,18.322200775146484,1.8035
2018-12-03,18.61359977722168,1.773
2018-12-04,18.7775993347168,1.762
2018-12-05,18.457199096679688,1.7901
2018-12-06,17.799400329589844,1.8571
2018-12-07,17.871599197387695,1.8442
2018-12-10,18.029699325561523,1.854
2018-12-11,18.109399795532227,1.8461
2018-12-12,18.373300552368164,1.8199
2018-12-13,18.55340003967285,1.803
2018-12-14,18.060699462890625,1.8552
2018-12-17,18.03499984741211,1.8597
2018-12-18,17.787099838256836,1.8871
2018-12-19,17.7893009185791,1.885
2018-12-20,17.672399520874023,1.8968
2018-12-21,17.91390037536621,1.8701
2018-12-24,17.746700286865234,1.8921
2018-12-25,17.746700286865234,1.8921
2018-12-26,17.746700286865234,1.8921
2018-12-27,17.614200592041016,1.9042
2018-12-28,17.66990089416504,1.8978
2019-01-02,17.4325008392334,1.9215
2019-01-03,17.259700775146484,1.9395
2019-01-04,17.629499435424805,1.8966
2019-01-07,17.914899826049805,1.8665
2019-01-08,17.964399337768555,1.866
2019-01-09,18.391300201416016,1.8169
2019-01-10,18.55299949645996,1.8006
2019-01-11,18.65749931335449,1.7912
2019-01-14,18.32229995727539,1.8234
2019-01-15,18.78660011291504,1.78
2019-01-16,18.865100860595703,1.7718
2019-01-17,18.778200149536133,1.7772
2019-01-18,19.09510040283203,1.748
2019-01-21,19.234899520874023,1.7363
2019-01-22,19.03689956665039,1.7563
2019-01-23,19.1289005279541,1.7537
2019-01-24,19.20039939880371,1.7471
2019-01-25,19.555700302124023,1.7139
2019-01-28,19.48040008544922,1.7194
2019-01-29,19.457300186157227,1.7196
2019-01-30,19.491899490356445,1.7151
2019-01-31,19.66370010375977,1.6999
2019-02-01,19.80820083618164,1.6861
2019-02-11,19.94339942932129,1.6754
2019-02-12,20.090599060058597,1.6654
2019-02-13,20.312400817871094,1.6542
2019-02-14,20.194599151611328,1.6663
2019-02-15,19.768699645996094,1.7011
2019-02-18,20.084800720214844,1.675
2019-02-19,19.81679916381836,1.6989
2019-02-20,20.01000022888184,1.6826
2019-02-21,20.05139923095703,1.6654
2019-02-22,20.3218994140625,1.6447
2019-02-25,20.28400039672852,1.653
2019-02-26,20.2539005279541,1.6558
2019-02-27,20.07859992980957,1.6696
2019-02-28,19.891000747680664,1.6856
2019-03-01,20.15970039367676,1.6638
2019-03-04,20.32349967956543,1.6446
2019-03-05,20.65410041809082,1.6149
2019-03-06,20.67449951171875,1.6132
2019-03-07,20.329099655151367,1.6387
2019-03-08,19.896499633789062,1.6737
2019-03-11,20.2947998046875,1.6354
2019-03-12,20.179000854492188,1.6136
2019-03-13,19.8567008972168,1.6242
2019-03-14,19.819700241088867,1.6269
2019-03-15,19.911699295043945,1.6178
2019-03-18,20.285499572753903,1.585
2019-03-19,19.75510025024414,1.5775
2019-03-20,19.82659912109375,1.5838
2019-03-21,19.971200942993164,1.6145
2019-03-22,20.0442008972168,1.6132
2019-03-25,19.653499603271484,1.6498
2019-03-26,19.69440078735352,1.656
2019-03-27,19.933300018310547,1.6475
2019-03-28,19.930299758911133,1.6489
2019-03-29,20.525299072265625,1.6309
2019-04-01,20.44729995727539,1.628
2019-04-02,20.5393009185791,1.6217
2019-04-03,20.94770050048828,1.5874
2019-04-04,20.90509986877441,1.5896
2019-04-08,21.022899627685547,1.577
2019-04-09,21.2731990814209,1.5613
2019-04-10,21.428300857543945,1.5486
2019-04-11,21.29030036926269,1.5561
2019-04-12,21.319000244140625,1.5539
2019-04-15,21.14240074157715,1.5688
2019-04-16,21.311199188232425,1.5555
2019-04-17,21.46430015563965,1.5466
2019-04-18,21.32749938964844,1.5569
2019-04-19,21.32749938964844,1.5569
2019-04-22,21.32749938964844,1.5569
2019-04-23,21.19409942626953,1.563
2019-04-24,21.127099990844727,1.5675
2019-04-25,20.686399459838867,1.6124
2019-04-26,20.75069999694824,1.6061
2019-04-29,20.907899856567383,1.5995
2019-04-30,20.79700088500977,1.608
2019-05-06,20.21190071105957,1.65
2019-05-07,20.350099563598636,1.6382
2019-05-08,20.230199813842773,1.646
2019-05-09,19.77869987487793,1.6835
2019-05-10,20.02910041809082,1.6638
2019-05-13,20.02910041809082,1.6566
2019-05-14,19.6643009185791,1.7228
2019-05-15,19.566600799560547,1.6852
2019-05-16,19.296199798583984,1.7521
2019-05-17,18.972400665283203,1.9013
2019-05-20,18.52829933166504,1.8256
2019-05-21,18.53059959411621,1.823
2019-05-22,18.488399505615234,1.8546
2019-05-23,17.95870018005371,1.9255
2019-05-24,18.03350067138672,1.9076
