,PE_TTM,DIVIDENDYIELD2
2024-09-13,5.883200168609619,7.579
2024-09-18,6.001399993896484,7.3571
2024-09-19,6.018499851226807,7.3272
2024-09-20,6.082300186157227,7.3063
2024-09-23,6.140999794006348,7.2672
2024-09-24,6.389999866485596,7.0128
2024-09-25,6.483399868011475,6.9589
2024-09-26,6.508500099182129,6.9426
2024-09-27,6.447700023651123,6.9969
2024-09-30,6.455599784851074,6.9531
2024-10-08,6.508900165557861,6.8362
2024-10-09,6.346799850463867,7.0372
2024-10-10,6.571700096130371,6.7762
2024-10-11,6.568299770355225,6.7819
2024-10-14,6.656499862670898,6.7136
2024-10-15,6.51669979095459,6.8559
2024-10-16,6.548299789428711,6.8044
2024-10-17,6.473599910736084,6.8728
2024-10-18,6.599899768829346,6.7458
2024-10-21,6.505799770355225,6.8556
2024-10-22,6.506899833679199,6.8361
2024-10-23,6.537499904632568,6.7984
2024-10-24,6.540200233459473,6.8362
2024-10-25,6.495500087738037,6.9516
2024-10-28,6.45419979095459,6.9183
2024-10-29,6.432899951934815,6.9789
2024-10-30,6.31850004196167,7.0551
2024-10-31,6.199999809265137,7.0762
2024-11-01,6.300300121307373,7.0025
2024-11-04,6.291800022125244,7.0214
2024-11-05,6.384799957275391,6.9463
2024-11-06,6.268899917602539,7.0679
2024-11-07,6.374000072479248,6.8975
2024-11-08,6.317800045013428,6.9734
2024-11-11,6.205699920654297,7.0603
2024-11-12,6.096799850463867,7.1717
2024-11-13,6.102700233459473,7.1488
2024-11-14,6.035900115966797,7.241
2024-11-15,6.072100162506104,7.1956
2024-11-18,6.195799827575684,7.1496
2024-11-19,6.188499927520752,7.1454
2024-11-20,6.188700199127197,7.1494
2024-11-21,6.1570000648498535,7.1086
2024-11-22,6.0625,7.2061
2024-11-25,6.065000057220459,7.2119
2024-11-26,6.051599979400635,7.2217
2024-11-27,6.110300064086914,7.1351
2024-11-28,6.043399810791016,7.2163
2024-11-29,6.059599876403809,7.2062
2024-12-02,6.099400043487549,7.1739
2024-12-03,6.204500198364258,7.0581
2024-12-04,6.265999794006348,7.0122
2024-12-05,6.232699871063232,7.0512
2024-12-06,6.291500091552734,6.9916
2024-12-09,6.408400058746338,6.8648
2024-12-10,6.374199867248535,6.8879
2024-12-11,6.352099895477295,6.9471
2024-12-12,6.39900016784668,6.8854
2024-12-13,6.314300060272217,6.9705
2024-12-16,6.373899936676025,6.9216
2024-12-17,6.366399765014648,6.9186
2024-12-18,6.401500225067139,6.8766
2024-12-19,6.373899936676025,6.902
2024-12-20,6.340099811553955,6.9388
2024-12-23,6.480599880218506,6.8114
2024-12-24,6.581900119781494,6.7181
2024-12-25,6.581999778747559,6.7165
2024-12-26,6.580599784851074,6.7166
2024-12-27,6.59149980545044,6.7162
2024-12-30,6.605299949645996,6.705
2024-12-31,6.645699977874756,6.6648
2025-01-02,6.418900012969971,7.8386
2025-01-03,6.4593000411987305,7.8188
2025-01-06,6.467800140380859,7.8111
2025-01-07,6.442599773406982,7.8417
2025-01-08,6.451499938964844,7.8359
2025-01-09,6.40339994430542,7.9078
2025-01-10,6.358399868011475,7.9651
2025-01-13,6.331999778747559,8.1594
2025-01-14,6.378300189971924,8.0911
2025-01-15,6.410099983215332,8.0496
2025-01-16,6.469699859619141,8.0685
2025-01-17,6.418099880218506,8.1214
2025-01-20,6.436800003051758,8.0885
2025-01-21,6.461299896240234,8.0867
2025-01-22,6.397299766540527,8.1668
2025-01-23,6.470300197601318,8.0963
2025-01-24,6.532199859619141,8.0328
2025-01-27,6.621699810028076,7.941
2025-02-05,6.586299896240234,7.992
2025-02-06,6.6296000480651855,7.9468
2025-02-07,6.606500148773193,7.9616
2025-02-10,6.662199974060059,7.8962
2025-02-11,6.684599876403809,7.8811
2025-02-12,6.807499885559082,7.7351
2025-02-13,6.779399871826172,7.7642
2025-02-14,6.870100021362305,7.6539
2025-02-17,6.9257001876831055,7.5927
2025-02-18,6.940499782562256,7.5709
2025-02-19,6.8968000411987305,7.5824
