,PE_TTM,DIVIDENDYIELD2
2020-03-31,48.587501525878906,0.5015
2020-04-01,47.82809829711914,0.5089
2020-04-02,48.6963996887207,0.5003
2020-04-03,49.27370071411133,0.4943
2020-04-07,50.888301849365234,0.4787
2020-04-08,50.75230026245117,0.4798
2020-04-09,52.42990112304688,0.4643
2020-04-10,52.012298583984375,0.4682
2020-04-13,52.22990036010742,0.4636
2020-04-14,53.06029891967773,0.4565
2020-04-15,52.61389923095703,0.4602
2020-04-16,52.91830062866211,0.4578
2020-04-17,52.57400131225586,0.4603
2020-04-20,53.62889862060547,0.4521
2020-04-21,53.00579833984375,0.4588
2020-04-22,53.62879943847656,0.4519
2020-04-23,53.522098541259766,0.4519
2020-04-24,52.29309844970703,0.4609
2020-04-27,53.40489959716797,0.4764
2020-04-28,53.95349884033203,0.4741
2020-04-29,53.02690124511719,0.4837
2020-04-30,50.99480056762695,0.4879
2020-05-06,51.69469833374024,0.4754
2020-05-07,51.88970184326172,0.4783
2020-05-08,52.398399353027344,0.4737
2020-05-11,51.95100021362305,0.4578
2020-05-12,52.59550094604492,0.4522
2020-05-13,53.63629913330078,0.4438
2020-05-14,53.35340118408203,0.4461
2020-05-15,53.0619010925293,0.4486
2020-05-18,53.97209930419922,0.4203
2020-05-19,54.278099060058594,0.426
2020-05-20,53.81119918823242,0.4327
2020-05-21,53.96329879760742,0.4314
2020-05-22,52.02159881591797,0.456
2020-05-25,52.63840103149414,0.4721
2020-05-26,53.68379974365234,0.4759
2020-05-27,52.38719940185547,0.4857
2020-05-28,51.21110153198242,0.5223
2020-05-29,52.4557991027832,0.5046
2020-06-01,53.880401611328125,0.4531
2020-06-02,53.63019943237305,0.4554
2020-06-03,54.21950149536133,0.452
2020-06-04,54.67570114135742,0.4973
2020-06-05,55.39540100097656,0.49
2020-06-08,59.776100158691406,0.48
2020-06-09,62.172401428222656,0.4409
2020-06-10,63.25699996948242,0.4336
2020-06-11,62.86299896240234,0.4463
2020-06-12,63.46179962158203,0.4713
2020-06-15,63.345699310302734,0.4391
2020-06-16,65.05120086669922,0.4388
2020-06-17,66.67549896240234,0.4657
2020-06-18,65.7738037109375,0.5079
2020-06-19,67.3572006225586,0.4962
2020-06-22,67.01210021972656,0.4881
2020-06-23,68.50460052490234,0.4774
2020-06-24,68.31919860839844,0.4828
2020-06-29,68.86229705810547,0.5046
2020-06-30,69.0009994506836,0.5026
2020-07-01,68.24490356445312,0.5086
2020-07-02,68.08059692382812,0.5043
