,PE_TTM,DIVIDENDYIELD2
2014-01-06,21.638900756835938,1.4021
2014-01-07,21.51129913330078,1.4105
2014-01-08,21.930099487304688,1.3836
2014-01-09,21.6023006439209,1.4046
2014-01-10,21.646299362182617,1.4018
2014-01-14,20.980600357055664,1.4463
2014-01-15,21.50629997253418,1.411
2014-01-16,21.42350006103516,1.4165
2014-01-17,21.404800415039062,1.4177
2014-01-20,21.279699325561523,1.4261
2014-01-21,21.488300323486328,1.4121
2014-01-22,21.523799896240234,1.4099
2014-01-23,21.35400009155273,1.4211
2014-01-24,20.940200805664062,1.4492
2014-01-27,20.415700912475582,1.4868
2014-01-28,20.37779998779297,1.4893
2014-01-29,20.925800323486328,1.452
2014-01-30,20.412900924682617,1.4882
2014-02-07,19.64389991760254,1.5445
2014-02-10,19.991600036621094,1.5177
2014-02-12,20.103099822998047,1.5093
2014-02-13,19.744199752807617,1.5376
2014-02-14,19.444299697875977,1.5615
2014-02-17,19.55220031738281,1.5528
2014-02-18,20.16309928894043,1.5052
2014-02-19,20.05940055847168,1.513
2014-02-20,19.62969970703125,1.5462
2014-02-21,20.1963005065918,1.5029
2014-02-24,20.15830039978028,1.5057
2014-02-25,20.44960021972656,1.4843
2014-02-26,20.34029960632324,1.496
2014-02-27,20.2775993347168,1.5008
2014-02-28,20.18560028076172,1.5091
2014-03-03,19.929399490356445,1.5285
2014-03-04,20.023399353027344,1.5213
2014-03-05,20.26289939880371,1.5034
2014-03-06,20.586700439453125,1.4798
2014-03-07,20.77639961242676,1.4663
2014-03-10,20.56800079345703,1.4812
2014-03-11,20.70809936523437,1.4711
2014-03-12,20.17280006408692,1.5102
2014-03-13,20.154199600219727,1.5116
2014-03-14,19.49049949645996,1.5632
2014-03-17,19.42280006408692,1.5686
2014-03-18,19.60429954528809,1.5544
2014-03-19,19.67399978637696,1.5489
2014-03-20,19.34040069580078,1.5748
2014-03-24,19.684200286865234,1.5475
2014-03-25,19.613500595092773,1.5531
2014-03-26,19.68939971923828,1.5473
