,PE_TTM,DIVIDENDYIELD2
2014-01-02,22.18400001525879,1.3862
2014-01-03,22.026100158691406,1.3962
2014-01-06,21.978099822998047,1.4001
2014-01-07,22.10110092163086,1.3892
2014-01-08,22.15839958190918,1.3869
2014-01-09,22.062700271606445,1.3914
2014-01-10,22.137300491333008,1.3868
2014-01-13,21.805200576782227,1.4078
2014-01-14,22.226600646972656,1.3813
2014-01-15,22.39739990234375,1.3723
2014-01-16,22.384599685668945,1.3719
2014-01-17,22.2721004486084,1.3779
2014-01-20,22.2721004486084,1.3779
2014-01-21,22.39929962158203,1.3683
2014-01-22,22.417299270629883,1.3646
2014-01-23,22.292400360107425,1.3702
2014-01-24,21.834199905395508,1.3986
2014-01-27,21.60219955444336,1.4139
2014-01-28,21.528499603271484,1.4142
2014-01-29,21.21269989013672,1.4387
2014-01-30,21.55940055847168,1.4114
2014-02-07,21.858800888061523,1.4687
2014-02-10,21.967100143432617,1.4013
2014-02-11,22.25320053100586,1.3998
2014-02-12,22.3218994140625,1.397
2014-02-13,22.390399932861328,1.3848
2014-02-14,22.409400939941406,1.3833
2014-02-17,22.408899307250977,1.3777
2014-02-18,22.508899688720703,1.4324
2014-02-19,22.347900390625,1.4424
2014-02-20,22.510400772094727,1.3889
2014-02-21,22.43980026245117,1.3884
2014-02-24,22.16909980773925,1.406
2014-02-25,22.12800025939941,1.4098
2014-02-26,22.104799270629883,1.4157
2014-02-27,22.241600036621094,1.4053
2014-02-28,22.285400390625,1.4012
2014-03-03,22.10740089416504,1.4263
2014-03-04,22.33370018005371,1.412
2014-03-05,22.382699966430664,1.4107
2014-03-06,22.88719940185547,1.414
2014-03-07,22.76300048828125,1.4067
2014-03-10,22.76420021057129,1.4108
2014-03-11,22.65920066833496,1.417
2014-03-12,22.75909996032715,1.416
2014-03-13,22.41010093688965,1.4399
2014-03-14,22.26210021972656,1.4443
2014-03-17,22.4778995513916,1.434
2014-03-18,22.74250030517578,1.419
2014-03-19,22.59499931335449,1.4231
2014-03-20,22.65390014648437,1.4191
2014-03-21,22.40850067138672,1.4347
2014-03-24,22.178199768066406,1.4476
2014-03-25,22.131799697875977,1.443
2014-03-26,21.835899353027344,1.4655
2014-03-27,21.71249961853028,1.4689
2014-03-28,21.76469993591309,1.4596
2014-03-31,23.83340072631836,1.3424
2014-04-01,24.24519920349121,1.3412
2014-04-02,24.292499542236328,1.3283
2014-04-03,22.14559936523437,1.4492
2014-04-04,21.5442008972168,1.4891
2014-04-08,21.54170036315918,1.47
2014-04-09,21.94409942626953,1.4514
2014-04-10,21.25670051574707,1.4979
2014-04-11,21.00219917297364,1.515
2014-04-14,21.180700302124023,1.5023
2014-04-15,21.27720069885254,1.4969
2014-04-16,21.526100158691406,1.4782
2014-04-17,21.52949905395508,1.4778
2014-04-18,21.53089904785156,1.4777
2014-04-21,21.68779945373535,1.4669
2014-04-22,21.70319938659668,1.4547
2014-04-23,21.35070037841797,1.4697
2014-04-24,21.56450080871582,1.4566
2014-04-25,21.21269989013672,1.4802
2014-04-28,21.26189994812012,1.4315
2014-04-29,21.76609992980957,1.4192
2014-04-30,21.80820083618164,1.4163
2014-05-05,20.132400512695312,1.3407
2014-05-06,19.83749961853028,1.3661
2014-05-07,19.80990028381348,1.3701
2014-05-08,19.75200080871582,1.4409
2014-05-09,19.84079933166504,1.4347
2014-05-12,20.167499542236328,1.3453
2014-05-13,20.16270065307617,1.417
2014-05-14,20.079200744628903,1.4235
2014-05-15,19.8799991607666,1.3829
2014-05-16,19.994199752807617,1.3696
2014-05-19,20.184200286865234,1.3565
2014-05-20,20.0757999420166,1.3685
2014-05-21,20.296600341796875,1.3567
2014-05-22,22.11669921875,1.3433
2014-05-23,22.05430030822754,1.3308
2014-05-26,21.98819923400879,1.3308
2014-05-27,21.955299377441406,1.313
2014-05-28,21.979999542236328,1.3206
2014-05-29,21.61989974975586,1.3141
2014-05-30,21.52589988708496,1.3114
2014-06-03,22.02199935913086,1.333
2014-06-04,21.910999298095703,1.317
2014-06-05,21.93000030517578,1.3045
2014-06-06,21.8981990814209,1.301
2014-06-09,22.0280990600586,1.2986
2014-06-10,21.94799995422364,1.2972
2014-06-11,22.04899978637696,1.3827
2014-06-12,22.04899978637696,1.3967
2014-06-13,21.97050094604492,1.2673
2014-06-16,21.884700775146484,1.2642
2014-06-17,21.71139907836914,1.2655
2014-06-18,21.70560073852539,1.2531
2014-06-19,21.693500518798828,1.2551
2014-06-20,21.795700073242188,1.2543
2014-06-23,21.89620018005371,1.2513
2014-06-24,21.99679946899414,1.2531
2014-06-25,22.131500244140625,1.244
2014-06-26,22.317699432373047,1.2496
2014-06-27,22.15570068359375,1.2427
2014-06-30,20.274799346923828,1.252
2014-07-01,20.222299575805664,1.2371
2014-07-02,20.293399810791016,1.2264
2014-07-03,20.437700271606445,1.2192
2014-07-04,20.62420082092285,1.2192
2014-07-07,20.730899810791016,1.2228
2014-07-08,20.581100463867188,1.2405
2014-07-09,20.44860076904297,1.2333
2014-07-10,20.54800033569336,1.2363
2014-07-11,20.44099998474121,1.2275
2014-07-14,20.23159980773925,1.2183
2014-07-15,20.24250030517578,1.2221
2014-07-16,20.24250030517578,1.2152
2014-07-17,20.34119987487793,1.2313
2014-07-18,20.298799514770508,1.2097
2014-07-21,20.363399505615234,1.2124
2014-07-22,20.3488998413086,1.204
2014-07-23,20.41699981689453,1.198
2014-07-24,20.40800094604492,1.1993
2014-07-25,20.40699958801269,1.2033
2014-07-28,20.291200637817383,1.2021
2014-07-29,20.291200637817383,1.213
2014-07-30,20.34189987182617,1.2049
2014-07-31,20.33370018005371,1.2289
2014-08-01,20.42140007019043,1.2345
2014-08-04,20.729900360107425,1.2258
2014-08-05,20.657699584960938,1.2671
2014-08-06,20.58359909057617,1.2405
2014-08-07,20.601900100708008,1.3126
2014-08-08,20.380199432373047,1.3027
2014-08-11,20.606199264526367,1.2305
2014-08-12,20.685699462890625,1.2433
2014-08-13,20.69389915466309,1.2298
2014-08-14,20.91530036926269,1.1838
2014-08-15,20.75979995727539,1.1677
2014-08-18,20.81629943847656,1.1572
2014-08-19,20.979700088500977,1.2091
2014-08-20,21.02070045471192,1.2094
2014-08-21,21.02070045471192,1.2016
2014-08-22,21.129100799560547,1.2006
2014-08-25,21.129100799560547,1.2002
2014-08-26,21.168399810791016,1.2
2014-08-27,21.2101993560791,1.1973
2014-08-28,21.03319931030273,1.1995
2014-08-29,20.88559913635254,1.2078
2014-09-01,20.9822006225586,1.1949
2014-09-02,21.049999237060547,1.1903
2014-09-03,21.344600677490234,1.2021
2014-09-04,21.338600158691406,1.203
2014-09-05,21.51469993591309,1.1946
2014-09-09,21.48530006408692,1.203
2014-09-10,21.364200592041016,1.1986
2014-09-11,21.332500457763672,1.201
2014-09-12,21.331899642944336,1.204
2014-09-15,21.154600143432617,1.2139
2014-09-16,21.210899353027344,1.2028
2014-09-17,21.363000869750977,1.202
2014-09-18,21.52680015563965,1.1919
2014-09-19,21.52680015563965,1.1908
2014-09-22,21.50489997863769,1.2028
2014-09-23,21.480499267578125,1.2064
2014-09-24,21.72769927978516,1.1935
2014-09-25,21.54800033569336,1.2195
2014-09-26,21.4507999420166,1.2121
2014-09-29,21.462799072265625,1.2244
2014-09-30,21.206600189208984,1.244
2014-10-08,20.92300033569336,1.2213
2014-10-09,20.970199584960938,1.2434
2014-10-10,20.869600296020508,1.2761
2014-10-13,20.289400100708008,1.297
2014-10-14,20.22529983520508,1.2954
2014-10-15,20.3567008972168,1.3057
2014-10-16,20.465499877929688,1.3142
2014-10-17,20.391700744628903,1.3006
2014-10-20,20.54980087280273,1.2813
2014-10-21,20.580400466918945,1.2501
2014-10-22,20.83139991760254,1.2578
2014-10-23,20.72050094604492,1.2469
2014-10-24,20.683799743652344,1.2372
2014-10-27,20.683799743652344,1.2325
2014-10-28,20.57670021057129,1.2094
2014-10-29,20.65399932861328,1.222
2014-10-30,20.880199432373047,1.2158
2014-10-31,21.01049995422364,1.1963
2014-11-03,21.29330062866211,1.1962
2014-11-04,21.02879905700684,1.1997
2014-11-05,20.99029922485352,1.2244
2014-11-06,21.0713005065918,1.2608
2014-11-07,20.981300354003903,1.2076
2014-11-10,20.941699981689453,1.2157
2014-11-11,20.9778995513916,1.2105
2014-11-12,21.06040000915528,1.2135
