,PE_TTM,DIVIDENDYIELD2
2022-03-21,27.132699966430664,0.4572
2022-03-22,27.686599731445312,0.4481
2022-03-23,27.336700439453125,0.4539
2022-03-24,28.10280036926269,0.4414
2022-03-25,28.08169937133789,0.4417
2022-03-28,28.31089973449707,0.4382
2022-03-29,28.66270065307617,0.4313
2022-03-30,28.329099655151367,0.4364
2022-03-31,27.77400016784668,0.445
2022-04-01,27.788299560546875,0.4449
2022-04-06,26.973100662231445,0.4584
2022-04-07,26.988100051879883,0.4586
2022-04-08,26.51799964904785,0.4692
2022-04-11,25.73699951171875,0.4817
2022-04-12,25.610599517822266,0.484
2022-04-13,26.08930015563965,0.4751
2022-04-14,25.364999771118164,0.4887
2022-04-15,25.35709953308105,0.4889
2022-04-18,25.47649955749512,0.4865
2022-04-19,25.964099884033203,0.4775
2022-04-20,25.73970031738281,0.4822
2022-04-21,25.122499465942383,0.4939
2022-04-22,24.34709930419922,0.5095
2022-04-25,24.82150077819824,0.4998
2022-04-26,23.860200881958008,0.5195
2022-04-27,23.798900604248047,0.5214
2022-04-28,24.576000213623047,0.4985
2022-04-29,23.59779930114746,0.5194
2022-05-05,23.712099075317383,0.5519
2022-05-06,23.5137996673584,0.591
2022-05-09,22.570899963378903,0.5664
2022-05-10,22.97130012512207,0.5561
2022-05-11,22.258399963378903,0.5741
2022-05-12,22.032400131225582,0.5801
2022-05-13,22.837900161743164,0.5612
2022-05-16,22.57379913330078,0.5664
2022-05-17,23.152700424194336,0.552
2022-05-18,21.9955997467041,0.6264
2022-05-19,21.78809928894043,0.635
2022-05-20,21.710100173950195,0.5938
2022-05-23,22.22920036315918,0.5787
2022-05-24,21.53700065612793,0.5971
2022-05-25,21.70330047607422,0.593
2022-05-26,22.211000442504883,0.5784
2022-05-27,23.02330017089844,0.5585
2022-05-30,23.02330017089844,0.5561
2022-05-31,22.979799270629883,0.5572
2022-06-01,22.876399993896484,0.5677
2022-06-02,23.53339958190918,0.552
2022-06-06,23.01099967956543,0.5575
2022-06-07,23.26490020751953,0.5514
2022-06-08,23.118600845336918,0.5559
2022-06-09,22.467100143432617,0.572
2022-06-10,21.59029960632324,0.5942
2022-06-13,20.57150077819824,0.6235
2022-06-14,20.68910026550293,0.6244
2022-06-15,21.229700088500977,0.6071
2022-06-16,20.35759925842285,0.631
2022-06-17,20.58650016784668,0.6241
2022-06-20,20.58650016784668,0.6241
2022-06-21,21.183900833129883,0.6232
2022-06-22,21.10099983215332,0.6106
2022-06-23,21.399900436401367,0.6021
2022-06-24,22.281099319458008,0.5785
2022-06-27,22.032100677490234,0.585
2022-06-28,21.305400848388672,0.6048
2022-06-29,21.357500076293945,0.6034
2022-06-30,20.944900512695312,0.6139
2022-07-01,20.95039939880371,0.6138
2022-07-04,20.951099395751957,0.6138
2022-07-05,21.483400344848636,0.5989
2022-07-06,21.682600021362305,0.5934
2022-07-07,22.273099899291992,0.5789
2022-07-08,22.322399139404297,0.5801
2022-07-11,21.796499252319336,0.5918
2022-07-12,21.50149917602539,0.5999
2022-07-13,21.351900100708008,0.6039
2022-07-14,21.44129943847656,0.601
2022-07-15,21.784400939941406,0.5916
2022-07-18,21.48290061950684,0.5999
2022-07-19,22.23909950256348,0.5797
2022-07-20,22.56839942932129,0.5712
2022-07-21,22.82469940185547,0.5646
2022-07-22,22.037399291992188,0.5843
2022-07-25,21.87800025939941,0.5881
2022-07-26,21.59959983825684,0.6011
2022-07-27,22.89590072631836,0.5695
2022-07-28,23.49570083618164,0.5639
2022-07-29,23.90139961242676,0.5543
2022-08-01,23.77639961242676,0.5568
2022-08-02,23.68709945678711,0.5591
2022-08-03,24.39780044555664,0.5428
2022-08-04,24.465999603271484,0.5592
2022-08-05,24.35860061645508,0.5954
2022-08-08,24.2101993560791,0.5532
2022-08-09,23.96339988708496,0.5584
2022-08-10,24.702999114990234,0.5418
2022-08-11,24.55769920349121,0.5449
2022-08-12,25.11949920654297,0.5343
2022-08-15,25.245500564575195,0.5303
2022-08-16,25.134300231933597,0.5326
2022-08-17,24.85070037841797,0.5793
2022-08-18,24.938100814819336,0.5801
2022-08-19,24.385099411010746,0.555
2022-08-22,23.69230079650879,0.5688
2022-08-23,23.69440078735352,0.5692
2022-08-24,23.85330009460449,0.5713
2022-08-25,24.37529945373535,0.5585
2022-08-26,23.229900360107425,0.584
2022-08-29,22.90530014038086,0.5925
2022-08-30,22.686399459838867,0.5983
