,PE_TTM,DIVIDENDYIELD2
2014-12-24,21.161699295043945,1.3684
2014-12-25,21.161699295043945,1.3666
2014-12-26,21.25239944458008,1.3606
2014-12-29,21.097299575805664,1.37
2014-12-30,20.962299346923828,1.3869
2014-12-31,20.697799682617188,1.4047
2015-01-05,20.29850006103516,1.4338
2015-01-06,19.965499877929688,1.4531
2015-01-07,20.113000869750977,1.4448
2015-01-08,20.52549934387207,1.411
2015-01-09,20.44230079650879,1.4149
2015-01-12,20.186899185180664,1.4332
2015-01-13,20.18819999694824,1.4331
2015-01-14,20.10639953613281,1.4388
2015-01-15,19.738000869750977,1.4584
2015-01-16,19.93149948120117,1.4443
2015-01-19,19.93149948120117,1.4443
2015-01-20,20.150999069213867,1.4339
2015-01-21,20.20709991455078,1.4297
2015-01-22,20.62420082092285,1.4011
2015-01-23,20.673599243164062,1.3981
2015-01-26,20.55780029296875,1.4051
2015-01-27,19.44510078430176,1.4515
2015-01-28,19.354900360107425,1.4642
2015-01-29,19.250099182128903,1.4532
2015-01-30,19.09670066833496,1.4581
2015-02-02,19.245399475097656,1.4434
2015-02-03,19.433500289916992,1.4296
2015-02-04,19.44529914855957,1.4588
2015-02-05,19.643999099731445,1.5123
2015-02-06,19.534400939941406,1.5254
2015-02-09,19.547700881958008,1.43
2015-02-10,19.84630012512207,1.4076
2015-02-11,19.813100814819336,1.4123
2015-02-12,20.12829971313477,1.3919
2015-02-13,20.267000198364254,1.377
2015-02-16,20.267000198364254,1.372
2015-02-17,20.238000869750977,1.4377
2015-02-25,20.37980079650879,1.3789
2015-02-26,20.54910087585449,1.3683
2015-02-27,20.45929908752441,1.3666
2015-03-02,20.683799743652344,1.3687
2015-03-03,20.545499801635746,1.3781
2015-03-04,20.490800857543945,1.3679
2015-03-05,20.484899520874023,1.3685
2015-03-06,20.23579978942871,1.3863
2015-03-09,20.328500747680664,1.3874
2015-03-10,19.87800025939941,1.4187
2015-03-11,19.742599487304688,1.4287
2015-03-12,19.893800735473636,1.4166
2015-03-13,19.768199920654297,1.4213
2015-03-16,20.013599395751957,1.4004
2015-03-17,20.007099151611328,1.4013
2015-03-18,20.271299362182617,1.3854
2015-03-19,19.99090003967285,1.3858
2015-03-20,20.095800399780277,1.3787
2015-03-23,20.19700050354004,1.3845
2015-03-24,20.18930053710937,1.3856
2015-03-25,19.668500900268555,1.4224
2015-03-26,19.6658992767334,1.4231
2015-03-27,19.669300079345703,1.4229
2015-03-30,19.83989906311035,1.4092
2015-03-31,19.629600524902344,1.4527
2015-04-01,19.51320075988769,1.4599
2015-04-02,19.472700119018555,1.4547
2015-04-03,19.469900131225582,1.455
2015-04-07,19.624399185180664,1.4348
2015-04-08,19.68429946899414,1.446
2015-04-09,19.74839973449707,1.4386
2015-04-10,19.813100814819336,1.4194
2015-04-13,19.75200080871582,1.424
2015-04-14,19.65570068359375,1.4305
2015-04-15,19.837299346923828,1.4185
2015-04-16,19.78300094604492,1.4223
2015-04-17,19.4960994720459,1.4437
2015-04-20,19.85099983215332,1.4181
2015-04-21,19.861499786376957,1.4192
2015-04-22,19.878400802612305,1.404
2015-04-23,19.985300064086918,1.3996
2015-04-24,20.214599609375,1.3839
2015-04-27,19.933399200439453,1.3817
2015-04-28,19.944499969482425,1.3881
2015-04-29,19.83270072937012,1.3912
2015-04-30,19.52280044555664,1.4159
2015-05-04,19.786399841308597,1.3952
2015-05-05,19.473899841308597,1.445
2015-05-06,19.31419944763184,1.4614
2015-05-07,19.453100204467773,1.5282
2015-05-08,19.74370002746582,1.4791
2015-05-11,19.633699417114254,1.4168
2015-05-12,19.51449966430664,1.4259
2015-05-13,19.577800750732425,1.4218
2015-05-14,19.914400100708008,1.345
2015-05-15,19.835100173950195,1.344
2015-05-18,19.906700134277344,1.337
2015-05-19,19.874500274658203,1.4043
2015-05-20,19.87989997863769,1.4035
2015-05-21,20.02280044555664,1.3942
2015-05-22,20.015899658203125,1.3969
2015-05-25,20.015899658203125,1.3969
2015-05-26,19.7317008972168,1.4196
2015-05-27,20.080400466918945,1.4064
2015-05-28,20.042299270629883,1.4053
2015-05-29,19.87579917907715,1.4065
2015-06-01,19.943099975585938,1.4204
2015-06-02,19.912599563598636,1.4228
2015-06-03,19.952800750732425,1.4036
2015-06-04,19.77549934387207,1.4163
2015-06-05,19.73209953308105,1.4194
2015-06-08,19.489599227905277,1.4467
2015-06-09,19.45599937438965,1.4493
2015-06-10,19.77510070800781,1.4237
2015-06-11,19.75300025939941,1.4261
2015-06-12,19.641300201416016,1.4292
2015-06-15,19.514299392700195,1.4351
2015-06-16,19.62070083618164,1.4273
2015-06-17,19.745500564575195,1.4266
2015-06-18,19.909799575805664,1.4128
2015-06-19,19.77639961242676,1.4225
2015-06-23,19.923799514770508,1.4129
2015-06-24,19.83880043029785,1.4192
2015-06-25,19.80590057373047,1.4236
2015-06-26,19.62779998779297,1.4364
2015-06-29,19.15519905090332,1.4698
2015-06-30,19.16010093688965,1.4718
2015-07-01,19.27829933166504,1.489
2015-07-02,19.31839942932129,1.4861
2015-07-03,19.325000762939453,1.4617
2015-07-06,19.243000030517575,1.4841
2015-07-07,19.261499404907227,1.487
2015-07-08,18.945899963378903,1.4985
2015-07-09,18.91209983825684,1.4988
2015-07-10,19.21689987182617,1.4753
2015-07-13,19.554500579833984,1.4501
2015-07-14,19.667999267578125,1.4419
2015-07-15,19.691699981689453,1.4407
2015-07-16,20.024999618530277,1.42
2015-07-17,20.686199188232425,1.377
2015-07-20,20.59469985961914,1.3883
2015-07-21,21.015399932861328,1.394
2015-07-22,20.86409950256348,1.4141
2015-07-23,20.82110023498535,1.4065
2015-07-24,20.675199508666992,1.4183
2015-07-27,20.496999740600582,1.4306
2015-07-28,20.640399932861328,1.4183
2015-07-29,20.809600830078125,1.4171
2015-07-30,20.782100677490234,1.4124
2015-07-31,20.682300567626957,1.4169
2015-08-03,20.63089942932129,1.419
2015-08-04,20.48699951171875,1.4316
2015-08-05,20.78339958190918,1.4408
2015-08-06,20.631200790405277,1.5298
2015-08-07,20.632999420166016,1.5052
2015-08-10,20.899099349975582,1.4178
2015-08-11,20.71299934387207,1.4325
2015-08-12,20.799400329589844,1.4332
2015-08-13,20.73819923400879,1.4391
2015-08-14,20.84000015258789,1.4259
2015-08-17,20.959199905395508,1.4153
