,PE_TTM,DIVIDENDYIELD2
2018-05-25,24.23909950256348,1.6201
2018-05-28,24.23909950256348,1.5593
2018-05-29,24.0226993560791,1.6404
2018-05-30,23.96419906616211,1.6509
2018-05-31,23.810199737548828,1.6531
2018-06-01,24.31529998779297,1.6187
2018-06-04,24.50079917907715,1.6065
2018-06-05,24.57950019836425,1.6142
2018-06-06,24.71080017089844,1.6004
2018-06-07,23.2091007232666,1.6244
2018-06-08,23.006999969482425,1.6268
2018-06-11,22.915000915527344,1.6333
2018-06-12,23.00539970397949,1.6269
2018-06-13,22.972000122070312,1.6293
2018-06-14,23.077800750732425,1.6218
2018-06-15,23.04290008544922,1.6242
2018-06-19,22.442800521850582,1.6928
2018-06-20,21.84160041809082,1.679
2018-06-21,21.555400848388672,1.7013
2018-06-22,21.5049991607666,1.7053
2018-06-25,20.707000732421875,2.1957
2018-06-26,20.70820045471192,2.1955
2018-06-27,20.23310089111328,1.8712
2018-06-28,20.41010093688965,1.8531
2018-06-29,20.492000579833984,1.8451
2018-07-02,20.54400062561035,1.838
2018-07-03,20.1968002319336,1.8696
2018-07-04,20.1968002319336,1.8696
2018-07-05,20.65080070495605,1.8285
2018-07-06,20.78689956665039,1.8171
2018-07-09,20.93980026245117,1.8039
2018-07-10,21.15019989013672,1.7859
2018-07-11,20.63549995422364,1.8304
2018-07-12,20.772600173950195,1.8184
2018-07-13,20.73660087585449,1.8215
2018-07-16,20.6825008392334,1.8263
2018-07-17,20.909099578857425,1.8065
2018-07-18,21.086599349975582,1.7921
2018-07-19,21.23940086364746,1.7883
2018-07-20,21.269899368286133,1.7857
2018-07-23,21.32489967346192,1.7811
2018-07-24,21.03030014038086,1.7982
2018-07-25,21.07559967041016,1.7831
2018-07-26,20.310800552368164,1.7723
2018-07-27,20.015600204467773,1.7984
2018-07-30,19.80500030517578,1.8241
2018-07-31,19.90019989013672,1.8154
2018-08-01,19.938100814819336,1.8119
2018-08-02,20.10199928283692,1.7971
2018-08-03,20.16390037536621,1.7916
2018-08-06,20.082000732421875,1.8074
2018-08-07,20.22920036315918,1.8007
2018-08-08,20.32360076904297,1.7918
2018-08-09,20.211299896240234,1.7989
2018-08-10,19.76609992980957,1.8394
2018-08-13,19.71629905700684,1.844
2018-08-14,19.71199989318848,1.8444
2018-08-15,19.423799514770508,1.8718
2018-08-16,19.173599243164062,1.8744
2018-08-17,18.979700088500977,1.8936
2018-08-20,18.963499069213867,1.8953
2018-08-21,19.337099075317383,1.8587
2018-08-22,19.28899955749512,1.8691
2018-08-23,19.26309967041016,1.8568
2018-08-24,19.51919937133789,1.8325
2018-08-27,19.78899955749512,1.8075
2018-08-28,19.90679931640625,1.7968
2018-08-29,20.08130073547364,1.7349
2018-08-30,19.894500732421875,1.7569
2018-08-31,19.989500045776367,1.7486
2018-09-03,19.989500045776367,1.7486
2018-09-04,20.010900497436523,1.816
2018-09-05,19.9197998046875,1.8243
2018-09-06,19.35330009460449,1.8622
2018-09-07,19.35420036315918,1.8611
2018-09-10,19.46249961853028,1.8381
2018-09-11,19.1825008392334,1.8783
2018-09-12,18.88969993591309,1.9075
2018-09-13,19.16860008239746,1.8741
2018-09-14,19.34569931030273,1.8569
2018-09-17,19.102500915527344,1.8805
2018-09-18,19.27580070495605,1.9193
2018-09-19,19.38159942626953,1.877
2018-09-20,19.01440048217773,1.8593
2018-09-21,18.92140007019043,1.8684
2018-09-25,18.74650001525879,1.8925
2018-09-26,18.62929916381836,1.9074
2018-09-27,18.722400665283203,1.8989
2018-09-28,18.918800354003903,1.8764
2018-10-08,17.74489974975586,2.0007
2018-10-09,17.704999923706055,2.0052
2018-10-10,16.912799835205078,2.0991
2018-10-11,16.682100296020508,2.1282
2018-10-12,17.01020050048828,2.0871
2018-10-15,16.770299911499023,2.117
2018-10-16,17.334800720214844,2.0497
2018-10-17,17.21660041809082,2.059
2018-10-18,16.791200637817383,2.1109
2018-10-19,16.579599380493164,2.1379
