,PE_TTM,DIVIDENDYIELD2
2016-07-08,12.983099937438965,4.0244
2016-07-11,13.184200286865234,3.968
2016-07-12,13.392499923706055,3.9655
2016-07-13,13.423600196838379,3.962
2016-07-14,13.47760009765625,3.8931
2016-07-15,13.519399642944336,3.8883
2016-07-18,13.506099700927734,3.8868
2016-07-19,13.440600395202637,3.8964
2016-07-20,13.517800331115723,3.8685
2016-07-21,13.56820011138916,3.852
2016-07-22,13.499500274658203,3.8696
2016-07-25,13.479100227355957,3.8791
2016-07-26,13.538599967956543,3.8607
2016-07-27,13.48449993133545,3.8736
2016-07-28,13.441300392150879,3.8915
2016-07-29,13.224100112915039,3.9603
2016-08-01,13.365500450134277,3.9114
2016-08-02,13.318900108337402,3.9114
2016-08-03,13.256099700927734,3.9327
2016-08-04,13.361599922180176,3.9144
2016-08-05,13.552499771118164,3.8653
2016-08-08,13.748900413513184,3.8118
2016-08-09,13.793100357055664,3.7921
2016-08-10,13.773500442504883,3.7951
2016-08-11,13.903800010681152,3.7567
2016-08-12,13.906999588012695,3.7408
2016-08-15,13.986700057983398,3.7632
2016-08-16,13.968199729919434,3.7654
2016-08-17,13.978799819946289,3.7594
2016-08-18,14.155500411987305,3.731
2016-08-19,14.149999618530273,3.7328
2016-08-22,14.087499618530273,3.6993
2016-08-23,13.951299667358398,3.7236
2016-08-24,13.9753999710083,3.7153
2016-08-25,13.977999687194824,3.7334
2016-08-26,14.429200172424316,3.697
2016-08-29,14.28339958190918,3.6453
2016-08-30,15.0246000289917,3.5963
2016-08-31,14.91450023651123,3.6189
2016-09-01,14.90310001373291,3.6517
2016-09-02,15.015999794006348,3.6414
2016-09-05,15.25629997253418,3.5551
2016-09-06,15.529399871826172,3.4969
2016-09-07,15.494799613952637,3.5263
2016-09-08,15.561599731445312,3.5387
2016-09-09,15.589200019836426,3.532
2016-09-12,15.04069995880127,3.6871
2016-09-13,15.01710033416748,3.6872
2016-09-14,14.99940013885498,3.6913
2016-09-19,15.736499786376953,2.6317
2016-09-20,15.753899574279785,2.6338
2016-09-21,15.873000144958496,2.6159
2016-09-22,15.958100318908691,2.6012
2016-09-23,15.848699569702148,2.6305
2016-09-26,15.538299560546875,2.6422
2016-09-27,15.652199745178223,2.6206
2016-09-28,15.595199584960938,2.6286
2016-09-29,15.73169994354248,2.683
2016-09-30,15.454099655151367,2.7427
2016-10-10,15.849499702453613,2.7191
2016-10-11,15.748000144958496,2.7416
2016-10-12,15.631799697875977,2.7604
2016-10-13,15.422300338745117,2.7762
2016-10-14,15.475199699401855,2.7719
2016-10-17,15.423999786376953,2.7803
2016-10-18,15.66569995880127,2.7389
2016-10-19,15.606599807739258,2.7475
2016-10-20,15.644100189208984,2.7379
2016-10-21,15.583800315856934,2.7379
2016-10-24,15.738499641418457,2.7091
2016-10-25,15.695099830627441,2.7151
2016-10-26,15.386799812316895,2.7423
2016-10-27,15.680399894714355,2.7573
2016-10-28,15.60319995880127,2.7702
2016-10-31,15.497200012207031,2.7832
2016-11-01,15.626799583435059,2.7575
2016-11-02,15.454099655151367,2.7884
2016-11-03,15.37909984588623,2.8038
2016-11-04,15.36989974975586,2.8107
2016-11-07,15.571800231933594,2.7738
2016-11-08,15.668600082397461,2.7589
2016-11-09,15.473099708557129,2.794
2016-11-10,15.712200164794922,2.7544
2016-11-11,15.577500343322754,2.7841
2016-11-14,15.439599990844727,2.8105
2016-11-15,15.44950008392334,2.8093
2016-11-16,15.490599632263184,2.802
2016-11-17,15.515299797058105,2.801
2016-11-18,15.540300369262695,2.7096
2016-11-21,15.591699600219727,2.6983
2016-11-22,15.755499839782715,2.6759
2016-11-23,15.714799880981445,2.6828
2016-11-24,15.733400344848633,2.6829
2016-11-25,15.842100143432617,2.6648
2016-11-28,15.982000350952148,2.6404
2016-11-29,15.886199951171875,2.6579
2016-11-30,15.909700393676758,2.6459
2016-12-01,15.936599731445312,2.6473
2016-12-02,15.764699935913086,2.6758
2016-12-05,15.613900184631348,2.7099
2016-12-06,15.651399612426758,2.7003
2016-12-07,15.708100318908691,2.6945
2016-12-08,15.842399597167969,2.6659
2016-12-09,15.684599876403809,2.6994
2016-12-12,15.424500465393066,2.7405
2016-12-13,15.538000106811523,2.7163
2016-12-14,15.454500198364258,2.7294
2016-12-15,15.255999565124512,2.7618
2016-12-16,15.318599700927734,2.7462
2016-12-19,15.156800270080566,2.759
2016-12-20,15.02239990234375,2.8061
2016-12-21,15.075799942016602,2.7933
2016-12-22,14.925299644470215,2.8186
2016-12-23,14.85420036315918,2.7815
2016-12-26,14.85420036315918,2.7815
2016-12-27,14.85420036315918,2.7815
2016-12-28,15.015700340270996,2.7512
2016-12-29,15.076499938964844,2.7411
2016-12-30,15.266400337219238,2.7085
2017-01-03,15.275799751281738,2.7072
2017-01-04,15.35770034790039,2.6954
2017-01-05,15.514399528503418,2.6722
2017-01-06,15.454700469970703,2.6839
2017-01-09,15.510199546813965,2.6665
2017-01-10,15.648300170898438,2.6438
2017-01-11,15.742799758911133,2.6272
2017-01-12,15.728699684143066,2.6297
2017-01-13,15.737500190734863,2.6262
2017-01-16,15.597999572753906,2.6496
2017-01-17,15.733699798583984,2.6234
2017-01-18,15.9483003616333,2.5908
2017-01-19,15.93280029296875,2.5957
2017-01-20,15.89579963684082,2.5995
2017-01-23,16.000200271606445,2.5864
2017-01-24,16.12350082397461,2.572
2017-01-25,16.17169952392578,2.5607
2017-01-26,16.30069923400879,2.5422
2017-02-03,16.239900588989258,2.5435
2017-02-06,16.375900268554688,2.518
