date,openrecovered,closerecovered,outstandingshares
2005-01-04,996.278,989.984,
2005-01-05,989.873,1013.583,
2005-01-06,1014.965,1005.465,
2005-01-07,1005.515,1011.74,
2005-01-10,1011.925,1023.638,
2005-01-11,1024.036,1027.159,
2005-01-12,1026.741,1024.92,
2005-01-13,1024.132,1029.298,
2005-01-14,1028.99,1011.875,
2005-01-17,1002.333,986.661,
2005-01-18,985.674,1008.107,
2005-01-19,1007.109,1002.46,
2005-01-20,999.93,989.441,
2005-01-21,987.432,1006.25,
2005-01-24,1028.014,1028.011,
2005-01-25,1023.096,1015.1,
2005-01-26,1014.253,1006.84,
2005-01-27,1005.889,989.414,
2005-01-28,989.414,963.005,
2005-01-31,954.944,924.166,
2005-02-01,917.296,905.802,
2005-02-02,904.128,958.392,
2005-02-03,956.729,936.861,
2005-02-04,937.15,952.392,
2005-02-16,959.281,966.385,
2005-02-17,966.036,973.808,
2005-02-18,973.19,964.005,
2005-02-21,963.578,983.608,
2005-02-22,983.96,1015.658,
2005-02-23,1016.768,1032.895,
2005-02-24,1031.754,1035.348,
2005-02-25,1034.536,1032.413,
2005-02-28,1032.182,1029.384,
2005-03-01,1028.613,1030.815,
2005-03-02,1031.502,1014.527,
2005-03-03,1011.26,1020.248,
2005-03-04,1020.55,1011.361,
2005-03-07,1011.808,1013.594,
2005-03-08,1014.257,1037.029,
2005-03-09,1039.514,1042.182,
2005-03-10,1042.737,1011.791,
2005-03-11,1009.981,1017.453,
2005-03-14,1016.721,1005.987,
2005-03-15,1005.509,993.476,
2005-03-16,991.748,982.837,
2005-03-17,980.918,967.593,
2005-03-18,965.175,946.705,
2005-03-21,945.762,950.792,
2005-03-22,950.797,915.939,
2005-03-23,915.037,915.974,
2005-03-24,914.468,928.54,
2005-03-25,928.734,923.196,
2005-03-28,921.887,911.354,
2005-03-29,910.674,904.823,
2005-03-30,902.009,869.583,
2005-03-31,868.266,880.901,
2005-04-01,880.26,913.851,
2005-04-04,904.544,896.287,
2005-04-05,894.29,886.196,
2005-04-06,886.196,898.875,
2005-04-07,898.602,913.657,
2005-04-08,913.339,931.379,
2005-04-11,930.516,931.969,
2005-04-12,930.972,905.866,
2005-04-13,908.757,929.111,
2005-04-14,931.785,916.35,
2005-04-15,912.675,887.932,
2005-04-18,882.408,868.325,
2005-04-19,867.351,867.228,
2005-04-20,866.654,844.932,
2005-04-21,843.569,826.053,
2005-04-22,823.621,806.645,
2005-04-25,792.106,789.538,
2005-04-26,784.953,806.944,
2005-04-27,809.899,790.244,
2005-04-28,787.364,813.628,
2005-04-29,812.836,802.279,
2005-05-09,803.668,771.082,
2005-05-10,767.784,773.196,
2005-05-11,771.406,772.078,
2005-05-12,772.158,769.018,
2005-05-13,766.125,779.491,
2005-05-16,778.481,776.542,
2005-05-17,775.239,785.44,
2005-05-18,785.245,794.572,
2005-05-19,795.206,794.49,
2005-05-20,794.711,787.901,
2005-05-23,784.476,758.679,
2005-05-24,756.407,777.766,
2005-05-25,778.169,781.991,
2005-05-26,781.519,772.871,
2005-05-27,771.069,767.274,
2005-05-30,764.931,776.405,
2005-05-31,776.24,775.742,
2005-06-01,775.549,760.507,
2005-06-02,759.99,756.823,
2005-06-03,755.929,756.907,
2005-06-06,755.118,766.725,
2005-06-07,767.275,767.906,
2005-06-08,770.456,826.234,
2005-06-09,825.584,836.831,
