date,openrecovered,closerecovered,outstandingshares
2010-12-31,35.18,34.66,28000000.0
2011-01-04,34.7,34.85,28000000.0
2011-01-05,34.58,34.43,28000000.0
2011-01-06,35.71,34.72,28000000.0
2011-01-07,34.39,33.83,28000000.0
2011-01-10,33.83,34.02,28000000.0
2011-01-11,33.65,32.9,28000000.0
2011-01-12,32.71,33.19,28000000.0
2011-01-13,33.16,32.79,28000000.0
2011-01-14,32.58,31.46,28000000.0
2011-01-17,31.44,30.3,28000000.0
2011-01-18,30.03,30.26,28000000.0
2011-01-19,30.4,30.78,28000000.0
2011-01-20,30.68,29.6,28000000.0
2011-01-21,29.51,29.97,28000000.0
2011-01-24,29.9,29.9,28000000.0
2011-01-25,30.3,31.11,28000000.0
2011-01-26,30.62,31.14,28000000.0
2011-01-27,30.86,31.28,28000000.0
2011-01-28,31.28,31.35,28000000.0
2011-01-31,31.38,31.53,28000000.0
2011-02-01,31.53,31.2,28000000.0
2011-02-09,30.85,30.78,28000000.0
2011-02-10,30.65,31.71,28000000.0
2011-02-11,31.69,32.1,28000000.0
2011-02-14,31.99,32.35,28000000.0
2011-02-15,32.2,32.12,28000000.0
2011-02-16,31.98,32.56,28000000.0
2011-02-17,32.57,32.3,28000000.0
2011-02-18,32.32,31.99,28000000.0
2011-02-21,31.98,32.48,28000000.0
2011-02-22,32.44,31.67,28000000.0
2011-02-23,31.51,31.83,28000000.0
2011-02-24,31.86,31.89,28000000.0
2011-02-25,31.86,31.82,28000000.0
2011-02-28,31.82,32.24,28000000.0
2011-03-01,32.38,32.05,28000000.0
2011-03-02,32.0,31.66,28000000.0
2011-03-03,31.6,31.2,28000000.0
2011-03-04,31.35,31.62,28000000.0
2011-03-07,31.74,31.64,28000000.0
2011-03-08,31.7,32.12,28000000.0
2011-03-09,32.17,32.09,28000000.0
2011-03-10,32.09,32.14,28000000.0
2011-03-11,31.98,32.19,28000000.0
2011-03-14,32.0,32.42,28000000.0
2011-03-15,32.4,32.3,28000000.0
2011-03-16,32.3,32.35,28000000.0
2011-03-17,32.14,32.14,28000000.0
2011-03-18,32.21,32.98,28000000.0
2011-03-21,32.91,33.22,28000000.0
2011-03-22,33.2,33.11,28000000.0
2011-03-23,33.09,33.73,28000000.0
2011-03-24,33.9,33.72,28000000.0
2011-03-25,34.2,33.84,28000000.0
2011-03-28,33.99,33.6,28000000.0
2011-03-29,33.4,32.7,28000000.0
2011-03-30,32.68,32.82,28000000.0
2011-03-31,33.0,32.5,35000000.0
2011-04-01,32.5,32.82,35000000.0
2011-04-06,32.72,32.32,35000000.0
2011-04-07,32.46,32.56,35000000.0
2011-04-08,32.65,33.25,35000000.0
2011-04-11,33.29,32.9,35000000.0
2011-04-12,32.73,32.8,35000000.0
2011-04-13,32.7,33.17,35000000.0
2011-04-14,33.17,33.17,35000000.0
2011-04-15,33.17,33.17,35000000.0
2011-04-18,33.17,33.17,35000000.0
2011-04-19,33.82,33.7,35000000.0
2011-04-20,33.62,33.8,35000000.0
2011-04-21,33.8,34.17,35000000.0
2011-04-22,34.37,35.09,35000000.0
2011-04-25,34.2856404,32.21442576,70000000.0
2011-04-26,31.7720304,31.08832848,70000000.0
2011-04-27,31.43017944,30.18342888,70000000.0
2011-04-28,30.30408216,29.11765824,70000000.0
2011-04-29,29.11765824,29.37907368,70000000.0
2011-05-03,29.53994472,29.9622312,70000000.0
2011-05-04,29.8616868,28.87635168,70000000.0
2011-05-05,28.49428296,28.7556984,70000000.0
2011-05-06,28.5546096,28.91656944,70000000.0
2011-05-09,28.9567872,29.157876,70000000.0
2011-05-10,29.157876,29.13776712,70000000.0
2011-05-11,29.13776712,29.17798488,70000000.0
2011-05-12,29.13776712,29.29863816,70000000.0
2011-05-13,29.31874704,29.49972696,70000000.0
2011-05-16,29.41929144,29.03722272,70000000.0
2011-05-17,28.8562428,29.47961808,70000000.0
2011-05-18,29.3589648,29.4595092,70000000.0
2011-05-19,29.4595092,29.27852928,70000000.0
2011-05-20,29.37907368,28.93667832,70000000.0
2011-05-23,28.83613392,26.3426328,70000000.0
2011-05-24,26.18176176,26.5437216,70000000.0
2011-05-25,26.56383048,25.49805984,70000000.0
2011-05-26,25.638822,24.75403128,70000000.0
2011-05-27,24.8344668,23.9295672,70000000.0
2011-05-30,24.07032936,24.31163592,70000000.0
2011-05-31,24.31163592,24.85457568,70000000.0
2011-06-01,24.89479344,25.0355556,70000000.0
2011-06-02,24.7339224,24.61326912,70000000.0
2011-06-03,24.37196256,24.95512008,70000000.0
2011-06-07,24.79424904,25.11599112,70000000.0
2011-06-08,25.09588224,25.0355556,70000000.0
2011-06-09,25.01544672,24.29152704,70000000.0
2011-06-10,24.3317448,24.09043824,70000000.0
2011-06-13,23.9295672,24.07032936,70000000.0
2011-06-14,24.07032936,24.633378,70000000.0
2011-06-15,24.67359576,25.15620888,70000000.0
2011-06-16,24.87468456,24.55294248,70000000.0
2011-06-17,24.55294248,23.94967608,70000000.0
2011-06-20,23.94967608,23.80891392,70000000.0
2011-06-21,23.80891392,24.47250696,70000000.0
2011-06-22,24.47250696,24.77414016,70000000.0
2011-06-23,24.7339224,25.19642664,70000000.0
2011-06-24,25.09588224,25.81980192,70000000.0
2011-06-27,25.71925752,25.9404552,70000000.0
2011-06-28,25.98067296,25.98067296,70000000.0
2011-06-29,25.8399108,26.0409996,70000000.0
2011-06-30,26.10132624,26.32252392,70000000.0
2011-07-01,26.30241504,26.40295944,70000000.0
2011-07-04,26.52361272,27.08666136,70000000.0
2011-07-05,27.146988,28.03177872,70000000.0
2011-07-06,27.8507988,29.157876,70000000.0
2011-07-07,29.17798488,28.79591616,70000000.0
2011-07-08,28.57471848,28.51439184,70000000.0
2011-07-11,28.51439184,28.8562428,70000000.0
2011-07-12,28.47417408,27.91112544,70000000.0
2011-07-13,27.91112544,28.43395632,70000000.0
2011-07-14,28.43395632,28.9567872,70000000.0
2011-07-15,28.9567872,29.9622312,70000000.0
2011-07-18,30.16332,29.3589648,70000000.0
2011-07-19,29.13776712,28.51439184,70000000.0
2011-07-20,28.59482736,28.67526288,70000000.0
2011-07-21,28.59482736,28.09210536,70000000.0
2011-07-22,28.41384744,28.2529764,70000000.0
2011-07-25,28.21275864,26.38285056,70000000.0
2011-07-26,26.2420884,26.46328608,70000000.0
2011-07-27,26.42306832,26.92579032,70000000.0
2011-07-28,26.66437488,27.08666136,70000000.0
2011-07-29,27.2475324,26.66437488,70000000.0
2011-08-01,26.62415712,26.82524592,70000000.0
2011-08-02,26.60404824,26.5437216,70000000.0
2011-08-03,26.141544,26.92579032,70000000.0
2011-08-04,27.08666136,26.90568144,70000000.0
2011-08-05,26.02089072,26.3426328,70000000.0
2011-08-08,25.8399108,25.638822,70000000.0
2011-08-09,24.87468456,25.41762432,70000000.0
2011-08-10,25.9404552,25.8399108,70000000.0
2011-08-11,25.3371888,26.0409996,70000000.0
2011-08-12,26.30241504,26.48339496,70000000.0
2011-08-15,26.58393936,27.16709688,70000000.0
2011-08-16,27.146988,26.68448376,70000000.0
2011-08-17,26.72470152,26.66437488,70000000.0
2011-08-18,26.52361272,25.96056408,70000000.0
2011-08-19,25.2366444,25.88012856,70000000.0
2011-08-22,25.9404552,26.5437216,70000000.0
2011-08-23,26.48339496,27.00622584,70000000.0
2011-08-24,27.10677024,26.50350384,70000000.0
2011-08-25,26.68448376,26.9458992,70000000.0
2011-08-26,26.90568144,27.06655248,70000000.0
2011-08-29,27.0464436,26.644266,70000000.0
2011-08-30,26.78502816,26.08121736,70000000.0
2011-08-31,26.0409996,25.79969304,70000000.0
2011-09-01,25.8399108,25.8399108,70000000.0
2011-09-02,25.638822,25.45784208,70000000.0
2011-09-05,25.3371888,24.59316024,70000000.0
2011-09-06,24.17087376,24.71381352,70000000.0
2011-09-07,24.71381352,25.21653552,70000000.0
2011-09-08,25.4377332,24.7339224,70000000.0
2011-09-09,24.79424904,24.5328336,70000000.0
2011-09-13,24.09043824,24.3317448,70000000.0
2011-09-14,24.27141816,24.55294248,70000000.0
2011-09-15,24.55294248,24.77414016,70000000.0
2011-09-16,24.9350112,25.15620888,70000000.0
2011-09-19,25.11599112,24.47250696,70000000.0
2011-09-20,24.29152704,24.45239808,70000000.0
2011-09-21,24.71381352,25.2366444,70000000.0
2011-09-22,24.99533784,24.55294248,70000000.0
2011-09-23,24.2312004,24.47250696,70000000.0
2011-09-26,24.4322892,24.130656,70000000.0
2011-09-27,24.17087376,24.15076488,70000000.0
2011-09-28,24.3317448,23.94967608,70000000.0
2011-09-29,23.9295672,23.2257564,70000000.0
2011-09-30,23.3263008,23.30619192,70000000.0
2011-10-10,23.30619192,23.04477648,70000000.0
2011-10-11,23.66815176,22.86379656,70000000.0
