date,openrecovered,closerecovered,outstandingshares
2017-03-31,24.41,29.29,311183100.0
2017-04-05,29.29,32.22,311183100.0
2017-04-06,34.5,35.44,311183100.0
2017-04-07,38.98,38.98,311183100.0
2017-04-10,42.37,35.27,311183100.0
2017-04-11,33.97,33.79,311183100.0
2017-04-12,32.9,30.41,311183100.0
2017-04-13,29.73,31.66,311183100.0
2017-04-14,31.02,32.33,311183100.0
2017-04-17,31.2,30.68,311183100.0
2017-04-18,30.94,31.67,311183100.0
2017-04-19,31.15,33.09,311183100.0
2017-04-20,32.7,32.23,672331296.0
2017-04-21,32.08,31.3,311183100.0
2017-04-24,30.7,29.16,311183100.0
2017-04-25,29.16,29.36,311183100.0
2017-04-26,29.15,29.72,311183100.0
2017-04-27,29.3,30.57,311183100.0
2017-04-28,30.2,30.21,311183100.0
2017-05-02,30.26,30.28,311183100.0
2017-05-03,30.2,29.69,311183100.0
2017-05-04,29.69,29.74,311183100.0
2017-05-05,29.51,28.8,311183100.0
2017-05-08,28.65,27.17,311183100.0
2017-05-09,27.39,27.75,672331296.0
2017-05-10,27.5,26.56,672331296.0
2017-05-11,26.29,26.79,672331296.0
2017-05-12,26.7,27.85,672331296.0
2017-05-15,27.75,27.38,672331296.0
2017-05-16,27.01,29.41,672331296.0
2017-05-17,29.1,28.76,672331296.0
2017-05-18,28.3,28.64,672331296.0
2017-05-19,28.51,27.95,672331296.0
2017-05-22,27.8,26.94,672331296.0
2017-05-23,27.0,26.17,672331296.0
2017-05-24,26.02,27.06,672331296.0
2017-05-25,26.9,27.29,672331296.0
2017-05-26,27.35,27.42,672331296.0
2017-05-31,28.45,27.21,672331296.0
2017-06-01,27.01,26.21,672331296.0
2017-06-02,26.16,27.03,672331296.0
2017-06-05,27.26,27.19,672331296.0
2017-06-06,27.08,27.31,672331296.0
2017-06-07,27.32,28.09,672331296.0
2017-06-08,28.11,27.77,672331296.0
2017-06-09,27.76,27.83,672331296.0
2017-06-12,27.55,26.73,672331296.0
2017-06-13,26.86,27.18,672331296.0
2017-06-14,27.26,26.94,672331296.0
2017-06-15,26.9,27.7,672331296.0
2017-06-16,27.69,27.45,672331296.0
2017-06-19,27.4,27.71,672331296.0
2017-06-20,27.73,27.81,672331296.0
2017-06-21,27.85,27.72,672331296.0
2017-06-22,27.61,27.08,672331296.0
2017-06-23,27.01,26.84,672331296.0
2017-06-26,26.8,27.04,672331296.0
