,OPEN,HIGH,LOW,CLOSE,VWAP,VOLUME,AMT,TURN,TOTAL_SHARES,FREE_FLOAT_SHARES,MKT_CAP_ARD,MKT_FREESHARES,PE_TTM,VAL_PB_WGT,DIVIDENDYIELD2
2005-04-08,984.665,1003.699,979.529,1003.445,6.19904060321384,1476252600.0,9151349808.0,1.3953,439003984831.0,104708975910.0,2580696043112.0,627479264908.86,15.604999542236328,2.0622,1.8341
2005-04-11,1003.879,1008.735,992.773,995.421,6.548813394723641,1593606600.0,10436232248.0,1.5062,439003994809.0,104708985888.0,2558621202270.0,622298785655.4102,15.499099731445312,2.0377,1.8482
2005-04-12,993.711,993.711,978.204,978.697,6.336242133313932,1022619300.0,6479563495.0,0.9665,439252213987.0,104708985888.0,2518147425432.0,611657144749.9004,15.128299713134766,2.0008,1.9026
2005-04-13,987.95,1006.499,987.95,1000.9,6.240540976812204,1607168700.0,10029602129.0,1.519,439252213987.0,104708985888.0,2572077637506.0,625562180992.9705,15.573399543762209,2.0453,1.8531
2005-04-14,1004.64,1006.416,985.578,986.975,6.03553185881655,1294571000.0,7813424514.0,1.2224,439594773335.0,104811432986.0,2548099621029.0,616985077952.7999,15.443099975585938,2.0256,1.8396
2005-04-15,982.613,982.613,971.93,974.082,6.284661098064118,1040895500.0,6541675456.0,0.9828,439594774930.0,104811434581.0,2515270858664.0,608744213903.5498,15.240400314331056,1.9993,1.8637
2005-04-18,970.907,970.907,958.649,963.772,6.1978260048381095,859840000.0,5329138712.0,0.8119,440631719617.0,104811434581.0,2479917832364.0,602261407169.0,15.437000274658203,1.9738,1.884
2005-04-19,962.916,968.867,957.91,965.886,6.261960089976546,921262300.0,5768907755.0,0.8673,440631719617.0,105124100834.0,2482141542356.0,603379279497.9,15.407500267028809,1.9715,1.8936
2005-04-20,964.151,964.151,946.197,950.867,5.988227733270965,885070500.0,5300003714.0,0.8332,440631719617.0,105124100834.0,2453878405183.0,594401922633.6499,15.212499618530272,1.9448,1.9021
2005-04-21,948.861,955.553,938.595,943.981,6.173895622877004,994614500.0,6140646108.0,0.9364,440631719617.0,105124100834.0,2438027093901.0,589929079318.3502,15.119000434875488,1.9328,1.9189
2005-04-22,942.908,947.909,934.957,939.101,5.961110637751027,1069188400.0,6373550345.0,1.0066,440631719617.0,105118788638.0,2434895184710.0,586936746365.6901,15.175999641418455,1.9284,1.9291
2005-04-25,935.993,935.993,920.162,930.07,5.812576539530436,1147047800.0,6667303132.0,1.0798,441642619218.0,105123869958.0,2417495068328.0,581341724693.53,15.026800155639648,1.908,1.9315
2005-04-26,928.428,939.696,924.655,937.083,6.012908363572349,1169047100.0,7029373085.0,1.1006,441642619218.0,105123869958.0,2425196075011.0,585684261122.5,15.19909954071045,1.908,1.9243
2005-04-27,938.57,938.91,925.896,926.604,5.9670513164791865,1078061100.0,6432845906.0,1.0137,441872182538.0,105252154958.0,2396311430443.0,578954811324.8801,15.027700424194336,1.8828,1.9514
2005-04-28,923.529,945.504,914.829,942.073,5.797623912345995,1434348600.0,8315813742.0,1.3449,441872182538.0,105543091220.0,2434314714087.0,588613223585.27,15.370800018310549,1.9097,1.9329
2005-04-29,940.806,942.453,929.81,932.395,6.0996322816265245,1123541900.0,6853192443.0,1.0524,442708653674.0,105651737347.0,2411836186424.0,582208775988.51,15.1673002243042,1.875,1.9671
2005-05-09,934.65,937.39,909.174,909.174,5.732947024398194,852911500.0,4889696446.0,0.7849,448127884924.0,107440251408.0,2382810140089.0,576125573770.69,14.872300148010254,1.8084,1.9969
2005-05-10,905.543,913.388,892.313,913.076,5.680124556772604,1049433100.0,5960910722.0,0.9646,448127884924.0,107575251408.0,2399130589492.0,578749829155.53,14.97410011291504,1.8208,1.9845
2005-05-11,911.838,917.223,900.438,901.851,5.671650687062344,904204700.0,5128333208.0,0.8304,449099180029.0,107575251408.0,2369645533160.0,571336330614.2,14.79010009765625,1.7991,2.0279
2005-05-12,899.968,900.063,883.511,885.82,5.970763854128376,1022872000.0,6107327165.0,0.9378,449165180029.0,107842146513.0,2316089148007.0,561127548349.5701,14.45580005645752,1.7593,2.0735
2005-05-13,883.505,898.505,875.576,887.543,5.538881021326457,1124490600.0,6228419643.0,1.0308,449165180029.0,107863266513.0,2318053083258.0,562232576599.3899,14.468099594116213,1.7608,2.0724
2005-05-16,885.389,885.389,869.334,875.271,5.62977423577579,822428800.0,4630088469.0,0.7539,449352380029.0,107863266513.0,2287780330786.0,554337224446.27,14.279199600219728,1.7381,2.1101
2005-05-17,873.077,888.281,868.212,881.462,5.283919704733312,877227300.0,4635198616.0,0.8037,449352380029.0,107930866513.0,2287797522206.0,558058333213.7601,14.27929973602295,1.7386,2.1245
2005-05-18,881.141,890.403,871.821,883.196,5.858151729810207,787861000.0,4615409280.0,0.7191,449352380029.0,108330866513.0,2288899653128.0,562058059895.79,14.286100387573242,1.7406,2.1444
2005-05-19,882.842,888.016,871.289,884.171,5.231522377279917,814958300.0,4263472583.0,0.7429,449756380029.0,108474866513.0,2288481206505.0,562244448062.5298,14.283499717712402,1.7417,2.2062
2005-05-20,883.513,891.02,879.18,882.763,5.307386532895622,722667600.0,3835476288.0,0.6587,450219453616.0,108489074984.00002,2282566437070.0,561147699380.12,14.246600151062012,1.7381,2.2266
2005-05-23,880.281,880.281,862.098,863.341,5.11798902716354,727979500.0,3725791093.0,0.6635,450219453616.0,108489074984.00002,2226489052207.0,547939299272.53015,13.896599769592283,1.6994,2.3929
2005-05-24,861.195,871.767,855.587,868.456,5.189539177504247,920692900.0,4777971875.0,0.8392,450219453616.0,108489075644.0,2222829311192.0,550677694489.2699,13.87380027770996,1.6988,2.479
2005-05-25,867.658,876.305,861.659,868.451,5.169778598107136,723855600.0,3742173189.0,0.6591,450219453616.0,108607077327.0,2217722388624.0,550700462033.11,13.841899871826172,1.6949,2.3535
2005-05-26,867.758,872.835,854.956,857.331,5.239563956920849,662278600.0,3470051082.0,0.603,450219453616.0,108607077327.0,2189750546043.0,543496391723.4203,13.6673002243042,1.6737,2.3799
2005-05-27,855.595,864.963,848.398,849.508,5.471855569231572,774998300.0,4240678764.000001,0.7056,450869941324.0,108607077327.0,2174621404240.0,537874753455.4502,13.57289981842041,1.6634,2.4217
2005-05-30,847.634,858.462,842.102,855.612,5.324639082687533,697158300.0,3712116331.0,0.6334,451116506190.0,108607077327.0,2190851519579.0,541698141440.1099,13.674200057983398,1.6761,2.397
2005-05-31,856.561,863.198,853.291,855.946,5.109390103693042,704782100.0,3601006687.0,0.6403,451116506190.0,108708810686.00002,2192833334123.0,541866997802.66,13.68649959564209,1.6777,2.3998
2005-06-01,855.206,857.657,836.04,837.532,5.408645369412609,790230200.0,4274074912.0,0.7176,451116506190.0,108762393685.0,2144003757938.0,530013522480.0899,13.381799697875977,1.6404,2.412
2005-06-02,835.467,835.493,812.989,818.379,5.490561105527311,950865700.0,5220786229.0,0.8635,451116506190.0,108762393685.0,2093822790834.0,517787652762.9699,13.068599700927734,1.6025,2.4252
2005-06-03,816.546,823.86,807.965,818.033,5.247889479358513,793605600.0,4164754479.0,0.7207,451116506190.0,108762393685.0,2087514354722.0,517376422779.34,13.029199600219728,1.5984,2.4486
