,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-01-02,6.706900119781494,4.4413,955.549
2014-01-03,6.627299785614014,4.4948,939.761
2014-01-06,6.595600128173828,4.5216,923.262
2014-01-07,6.568900108337402,4.5334,922.343
2014-01-08,6.544600009918213,4.55,921.802
2014-01-09,6.494900226593018,4.5794,916.864
2014-01-10,6.472300052642822,4.5965,911.659
2014-01-13,6.4969000816345215,4.5849,912.213
2014-01-14,6.515399932861328,4.5669,915.217
2014-01-15,6.480299949645996,4.5931,910.68
2014-01-16,6.462800025939941,4.6039,910.182
2014-01-17,6.456500053405762,4.6075,902.134
2014-01-20,6.407899856567383,4.6423,896.84
2014-01-21,6.433199882507324,4.6236,904.182
2014-01-22,6.528299808502197,4.5521,924.618
2014-01-23,6.472300052642822,4.5956,915.996
2014-01-24,6.484700202941895,4.5849,918.907
2014-01-27,6.413099765777588,4.6396,905.793
2014-01-28,6.438700199127197,4.6228,908.848
2014-01-29,6.481599807739258,4.5926,914.731
2014-01-30,6.42609977722168,4.6329,904.79
2014-02-07,6.417099952697754,4.6369,906.336
2014-02-10,6.4959001541137695,4.5759,923.9
2014-02-11,6.565000057220459,4.5324,931.624
2014-02-12,6.558599948883057,4.5364,930.314
2014-02-13,6.556000232696533,4.5437,924.94
2014-02-14,6.562399864196777,4.5386,927.282
2014-02-17,6.592800140380859,4.5091,934.668
2014-02-18,6.500899791717529,4.5568,920.654
2014-02-19,6.617800235748291,4.4808,931.873
2014-02-20,6.656899929046631,4.4451,926.075
2014-02-21,6.575099945068359,4.5049,918.249
2014-02-24,6.439899921417236,4.6014,898.537
2014-02-25,6.389400005340576,4.6407,883.275
2014-02-26,6.406899929046631,4.6245,887.051
2014-02-27,6.493100166320801,4.5612,892.089
2014-02-28,6.4710001945495605,4.5721,895.264
2014-03-03,6.442399978637695,4.5644,896.623
2014-03-04,6.428500175476074,4.5756,894.289
2014-03-05,6.354499816894531,4.6339,884.036
2014-03-06,6.385799884796143,4.6114,887.118
2014-03-07,6.390900135040283,4.6029,883.314
2014-03-10,6.268199920654297,4.6961,858.574
2014-03-11,6.256400108337402,4.7064,859.012
2014-03-12,6.236100196838379,4.7264,861.768
2014-03-13,6.297699928283691,4.6796,870.795
2014-03-14,6.243599891662598,4.7206,862.414
2014-03-17,6.271900177001953,4.6976,867.472
2014-03-18,6.259200096130371,4.7038,866.187
2014-03-19,6.25439977645874,4.7104,861.595
2014-03-20,6.228600025177002,4.7316,854.202
2014-03-21,6.366799831390381,4.6091,881.87
2014-03-24,6.445099830627441,4.573,891.634
2014-03-25,6.422599792480469,4.5864,890.277
2014-03-26,6.427199840545654,4.5927,888.25
2014-03-27,6.382500171661377,4.6217,882.343
2014-03-28,6.412000179290772,4.5921,886.685
2014-03-31,6.392000198364258,4.5918,885.103
2014-04-01,6.411699771881104,4.5785,890.545
2014-04-02,6.449999809265137,4.5472,899.513
2014-04-03,6.386600017547607,4.5883,890.261
2014-04-04,6.414100170135498,4.5702,895.493
2014-04-08,6.532199859619141,4.4839,916.794
2014-04-09,6.546199798583984,4.4727,916.549
2014-04-10,6.658400058746338,4.3961,939.191
2014-04-11,6.644400119781494,4.4048,936.321
2014-04-14,6.626999855041504,4.4154,932.36
2014-04-15,6.5177998542785645,4.4903,913.953
2014-04-16,6.537099838256836,4.4788,916.174
2014-04-17,6.511199951171875,4.494,911.591
2014-04-18,6.489999771118164,4.508,909.503
2014-04-21,6.407599925994873,4.569,892.848
2014-04-22,6.450799942016602,4.5387,897.767
2014-04-23,6.432499885559082,4.546,896.93
2014-04-24,6.408299922943115,4.5586,896.594
2014-04-25,6.371500015258789,4.5739,892.038
2014-04-28,6.30649995803833,4.6006,884.173
2014-04-29,6.3190999031066895,4.5877,890.015
2014-04-30,6.274700164794922,4.5913,889.515
2014-05-05,6.255199909210205,4.6058,887.524
2014-05-06,6.243199825286865,4.6135,887.007
2014-05-07,6.224299907684326,4.6297,882.77
2014-05-08,6.241600036621094,4.6177,884.647
2014-05-09,6.254199981689453,4.617,885.089
2014-05-12,6.349400043487549,4.5439,902.472
2014-05-13,6.342599868774414,4.545,900.44
2014-05-14,6.344399929046631,4.5425,901.042
2014-05-15,6.317999839782715,4.5661,893.747
2014-05-16,6.323100090026856,4.5621,894.027
2014-05-19,6.272299766540527,4.6024,882.481
2014-05-20,6.289899826049805,4.5879,884.847
2014-05-21,6.335100173950195,4.5535,891.711
2014-05-22,6.330900192260742,4.5645,889.747
2014-05-23,6.367300033569336,4.5662,897.058
2014-05-26,6.362500190734863,4.5473,897.311
2014-05-27,6.355199813842773,4.5553,895.431
2014-05-28,6.400599956512451,4.5095,903.907
2014-05-29,6.40310001373291,4.5053,899.968
2014-05-30,6.385300159454346,4.516,899.253
2014-06-03,6.406499862670898,4.5027,899.487
2014-06-04,6.37939977645874,4.7017,892.206
2014-06-05,6.417399883270264,4.679,900.588
2014-06-06,6.381199836730957,5.0904,893.971
2014-06-09,6.412199974060059,4.7104,896.288
2014-06-10,6.484799861907959,4.658,907.557
2014-06-11,6.4791998863220215,4.6623,906.03
2014-06-12,6.4704999923706055,4.6693,904.287
2014-06-13,6.5335001945495605,4.6241,913.643
2014-06-16,6.598299980163574,4.395,922.904
2014-06-17,6.535399913787842,4.4561,912.519
2014-06-18,6.498799800872803,4.553,906.915
2014-06-19,6.435200214385986,4.0121,896.539
2014-06-20,6.4095001220703125,3.8245,898.315
