,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-06-06,19.73819923400879,0.8565,5328.3156
2014-06-09,19.792299270629883,0.8455,5311.3744
2014-06-10,20.034900665283203,0.8469,5366.744
2014-06-11,20.041900634765625,0.8458,5391.7903
2014-06-12,19.992000579833984,0.8477,5397.5925
2014-06-13,20.17259979248047,0.8428,5423.9543
2014-06-16,20.49239921569824,0.8278,5436.349
2014-06-17,20.26959991455078,0.8366,5386.0693
2014-06-18,20.10980033874512,0.8502,5347.9821
2014-06-19,19.77120018005371,0.7207,5230.4582
2014-06-20,19.87120056152344,0.7428,5253.675
2014-06-23,19.864999771118164,0.7462,5296.7887
2014-06-24,20.015100479125977,0.7466,5341.6677
2014-06-25,19.858699798583984,0.7735,5324.5491
2014-06-26,20.012300491333008,1.0543,5379.8324
2014-06-27,19.936899185180664,1.0934,5385.8102
2014-06-30,20.079599380493164,1.1937,5423.5786
2014-07-01,20.117799758911133,1.1931,5453.7162
2014-07-02,20.18600082397461,1.1848,5476.2606
2014-07-03,20.300500869750977,1.1757,5520.9546
2014-07-04,20.335599899291992,1.1748,5513.9926
2014-07-07,20.280799865722656,1.1756,5470.0382
2014-07-08,20.301000595092773,1.177,5481.3247
2014-07-09,19.957799911499023,1.1981,5383.7344
2014-07-10,19.83810043334961,1.2008,5360.1558
2014-07-11,19.86949920654297,1.2013,5368.2017
2014-07-14,20.069900512695312,1.1949,5415.4745
2014-07-15,20.085599899291992,1.1936,5421.5414
2014-07-16,19.952899932861328,1.2074,5366.2601
2014-07-17,19.792999267578125,1.3059,5315.2726
2014-07-18,19.80780029296875,1.3045,5315.3635
2014-07-21,19.933500289916992,1.4247,5341.0953
2014-07-22,20.136199951171875,1.4117,5384.201
2014-07-23,20.140499114990234,1.3444,5321.394
2014-07-24,20.329099655151367,1.3507,5316.5527
2014-07-25,20.482500076293945,1.3204,5376.7728
2014-07-28,20.965999603271484,1.26,5487.128
2014-07-29,21.027700424194336,1.2544,5524.7463
2014-07-30,21.06319999694824,1.2306,5548.59
2014-07-31,21.40060043334961,1.2278,5595.6958
2014-08-01,21.27519989013672,1.2337,5577.1167
2014-08-04,21.64080047607422,1.2151,5630.3996
2014-08-05,21.60009956359864,1.2154,5654.6902
2014-08-06,21.42510032653809,1.2438,5638.2456
2014-08-07,21.17350006103516,1.2379,5592.5714
2014-08-08,21.171600341796875,1.2346,5623.0472
2014-08-11,21.48340034484864,1.1941,5693.9873
2014-08-12,21.418800354003903,1.198,5700.3381
2014-08-13,21.51499938964844,1.1948,5688.4664
2014-08-14,21.28569984436035,1.2159,5646.5902
2014-08-15,21.51359939575196,1.1983,5713.7755
2014-08-18,21.738100051879883,1.1832,5823.1424
2014-08-19,21.768699645996094,1.182,5841.2465
2014-08-20,21.613100051879883,1.169,5819.196
2014-08-21,21.648500442504883,1.1648,5867.7733
2014-08-22,21.79050064086914,1.1694,5902.6664
2014-08-25,21.470600128173828,1.1818,5845.4229
2014-08-26,21.23579978942871,1.1921,5773.9226
2014-08-27,21.01469993591309,1.192,5783.1596
2014-08-28,20.09140014648437,1.1965,5749.3398
2014-08-29,20.214399337768555,1.1893,5782.484
2014-09-01,20.44619941711425,1.1767,5867.1676
2014-09-02,20.6382999420166,1.166,5923.7772
2014-09-03,20.85460090637207,1.154,5982.2853
2014-09-04,21.054800033569336,1.1446,6000.8347
2014-09-05,21.14800071716309,1.1395,6019.5144
2014-09-09,21.143699645996094,1.1387,6045.707
2014-09-10,21.0403995513916,1.1431,6054.5404
2014-09-11,20.90699958801269,1.1102,6040.8019
2014-09-12,21.01160049438477,1.1044,6083.181
2014-09-15,20.98699951171875,1.1537,6116.495
2014-09-16,20.49340057373047,1.1828,5931.7385
2014-09-17,20.67169952392578,1.1722,5980.131
2014-09-18,20.786800384521484,1.1651,6021.8512
2014-09-19,20.948999404907227,1.1564,6070.8925
2014-09-22,20.555099487304688,1.1768,5991.7765
2014-09-23,20.721200942993164,1.1671,6048.3054
2014-09-24,21.029800415039062,1.1516,6111.6378
2014-09-25,20.993799209594727,1.1531,6102.2537
2014-09-26,21.027700424194336,1.1509,6105.1952
2014-09-29,21.05610084533692,1.1486,6124.9506
2014-09-30,21.106800079345703,1.145,6161.5133
2014-10-08,21.401899337768555,1.1282,6264.9877
2014-10-09,21.40489959716797,1.1284,6253.5892
2014-10-10,21.26619911193848,1.1349,6235.66
2014-10-13,21.109899520874023,1.142,6222.3527
2014-10-14,21.051000595092773,1.1452,6210.5847
2014-10-15,21.31570053100586,1.1316,6283.6979
2014-10-16,21.119199752807617,1.1432,6205.0683
2014-10-17,21.03300094604492,1.1502,6154.6105
2014-10-20,21.151100158691406,1.1432,6217.3324
2014-10-21,20.983999252319336,1.1535,6159.7681
2014-10-22,20.910499572753903,1.1612,6085.9242
2014-10-23,20.69750022888184,1.1733,6024.9322
2014-10-24,20.699499130249023,1.1685,6040.4896
2014-10-27,20.51449966430664,1.1719,6072.6146
2014-10-28,20.743200302124023,1.1547,6179.4905
2014-10-29,20.01639938354492,1.1301,6232.7977
2014-10-30,19.98349952697754,1.1289,6243.2146
2014-10-31,20.258899688720703,1.1173,6247.9794
2014-11-03,20.19260025024414,1.1199,6263.9656
2014-11-04,20.000099182128903,1.131,6209.1948
2014-11-05,19.991600036621094,1.1322,6189.8276
2014-11-06,19.988000869750977,1.1309,6216.8243
2014-11-07,19.93400001525879,1.1355,6175.1882
2014-11-10,20.284900665283203,1.117,6240.4366
2014-11-11,20.09980010986328,1.1293,6117.138
2014-11-12,20.32010078430176,1.1172,6194.1086
2014-11-13,20.31130027770996,1.1201,6136.8771
2014-11-14,20.42770004272461,1.1233,6163.934
2014-11-17,20.284299850463867,1.128,6203.8293
2014-11-18,20.080400466918945,1.1381,6197.2575
2014-11-19,20.16629981994629,1.1326,6253.6882
2014-11-20,20.28199958801269,1.1286,6241.2375
2014-11-21,20.66530036926269,1.1095,6304.615
2014-11-24,21.33060073852539,1.0794,6394.5777
2014-11-25,21.6210994720459,1.064,6507.6448
2014-11-26,22.32159996032715,1.036,6547.3662
2014-11-27,22.7588005065918,1.0195,6570.915
2014-11-28,22.86840057373047,1.0156,6566.5333
2014-12-01,22.78809928894043,1.0182,6582.5496
2014-12-02,23.58799934387207,0.9885,6670.9575
2014-12-03,23.66069984436035,0.9833,6729.7191
2014-12-04,24.816999435424805,0.9436,6862.1517
2014-12-05,24.499000549316406,0.9577,6704.2954
2014-12-08,25.353099822998047,0.9371,6743.482
2014-12-09,24.29850006103516,0.9735,6570.2757
2014-12-10,24.865800857543945,0.9466,6850.4408
2014-12-11,24.250600814819336,0.9668,6836.6689
2014-12-12,24.47669982910156,0.9581,6903.5591
2014-12-15,24.209800720214844,0.96,6994.9666
2014-12-16,24.94440078735352,0.9391,6974.2225
2014-12-17,24.88689994812012,0.9433,6885.1136
2014-12-18,25.03199958801269,0.9398,6873.1518
2014-12-19,24.63559913635254,0.9551,6752.4633
2014-12-22,24.4783992767334,0.965,6558.7133
2014-12-23,24.69370079040528,0.9579,6542.0704
2014-12-24,24.018699645996094,0.978,6579.1854
2014-12-25,24.9463005065918,0.9466,6635.1286
2014-12-26,26.151599884033203,0.9085,6723.8451
2014-12-29,27.074800491333008,0.8831,6688.4144
2014-12-30,27.01619911193848,0.8878,6580.8601
2014-12-31,27.301700592041016,0.8758,6630.0943
2015-01-05,27.72590065002441,0.8618,6749.2788
2015-01-06,27.688100814819336,0.859,6947.3316
2015-01-07,27.664899826049805,0.8608,6892.9208
2015-01-08,27.122800827026367,0.8755,6872.6092
2015-01-09,27.57749938964844,0.8626,6838.6546
2015-01-12,28.000600814819336,0.8506,6896.3998
2015-01-13,28.091699600219727,0.8476,6972.3347
2015-01-14,27.6476993560791,0.8605,6904.0896
2015-01-15,28.95560073852539,0.8269,6960.9034
2015-01-16,29.378999710083008,0.814,7091.0813
2015-01-19,27.47439956665039,0.8637,6881.3758
2015-01-20,28.11709976196289,0.8425,7098.097
2015-01-21,29.725500106811523,0.8007,7276.509
2015-01-22,30.01880073547364,0.7923,7338.2195
2015-01-23,30.32150077819824,0.7872,7261.2497
2015-01-26,30.54030036926269,0.7772,7427.4636
2015-01-27,30.57150077819824,0.776,7432.6379
2015-01-28,29.89509963989257,0.7915,7383.7673
2015-01-29,29.47699928283692,0.8021,7304.596
