,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-01-02,7.263299942016602,3.9418,7032.85
2014-01-03,7.168700218200684,3.9949,6913.72
2014-01-06,7.116899967193604,4.0204,6806.95
2014-01-07,7.094699859619141,4.0262,6787.13
2014-01-08,7.08650016784668,4.0297,6813.09
2014-01-09,7.043300151824951,4.0446,6772.71
2014-01-10,7.026400089263916,4.0522,6756.57
2014-01-13,7.037600040435791,4.0514,6738.24
2014-01-14,7.069799900054932,4.028,6778.68
2014-01-15,7.02810001373291,4.0531,6742.17
2014-01-16,7.020400047302246,4.0556,6753.71
2014-01-17,7.011899948120117,4.0609,6682.26
2014-01-20,6.950900077819824,4.0964,6653.1
2014-01-21,6.985499858856201,4.0761,6708.07
2014-01-22,7.100399971008301,4.0043,6866.21
2014-01-23,7.031199932098389,4.0423,6801.57
2014-01-24,7.041100025177002,4.0348,6815.96
2014-01-27,6.943699836730957,4.0951,6711.74
2014-01-28,6.984799861907959,4.0717,6750.11
2014-01-29,7.014800071716309,4.057,6773.49
2014-01-30,6.942999839782715,4.1016,6687.95
2014-02-07,6.92609977722168,4.1105,6676.75
2014-02-10,7.023200035095215,4.0506,6795.57
2014-02-11,7.1057000160217285,4.0058,6881.54
2014-02-12,7.102399826049805,4.0072,6888.5
2014-02-13,7.12529993057251,3.9962,6911.04
2014-02-14,7.1331000328063965,3.9905,6918.14
2014-02-17,7.159299850463867,3.9698,6935.91
2014-02-18,7.030399799346924,4.029,6809.46
2014-02-19,7.157100200653076,3.9584,6940.54
2014-02-20,7.19890022277832,3.9273,6872.71
2014-02-21,7.107200145721436,3.9834,6810.8
2014-02-24,6.943399906158447,4.0834,6624.71
2014-02-25,6.8632001876831055,4.1345,6496.63
2014-02-26,6.888000011444092,4.1187,6503.41
2014-02-27,6.982500076293945,4.0618,6534.59
2014-02-28,6.98769998550415,4.0554,6589.7
2014-03-03,6.982699871063232,4.0523,6579.17
2014-03-04,6.966400146484375,4.0635,6577.51
2014-03-05,6.888299942016602,4.1123,6508.39
2014-03-06,6.940700054168701,4.0785,6568.08
2014-03-07,6.94350004196167,4.0665,6556.68
2014-03-10,6.807899951934815,4.1552,6378.16
2014-03-11,6.806600093841553,4.1544,6413.72
2014-03-12,6.782199859619141,4.174,6430.89
2014-03-13,6.846499919891357,4.1341,6512.56
2014-03-14,6.771999835968018,4.1783,6447.28
2014-03-17,6.818999767303467,4.1467,6489.45
2014-03-18,6.8003997802734375,4.158,6454.66
2014-03-19,6.78249979019165,4.1647,6400.53
2014-03-20,6.727399826049805,4.2032,6334.41
2014-03-21,6.896500110626221,4.0769,6591.96
2014-03-24,6.98799991607666,4.0738,6638.42
2014-03-25,6.939799785614014,4.0904,6602.78
2014-03-26,6.950300216674805,4.0979,6583.05
2014-03-27,6.924099922180176,4.1194,6574.73
2014-03-28,6.941699981689453,4.0927,6615.2
2014-03-31,6.913000106811523,4.0952,6611.85
2014-04-01,6.940100193023682,4.08,6650.96
2014-04-02,6.990200042724609,4.0477,6717.83
2014-04-03,6.930200099945068,4.0795,6655.16
2014-04-04,6.968299865722656,4.0587,6713.62
2014-04-08,7.116399765014648,3.9693,6905.72
2014-04-09,7.123700141906738,3.9645,6887.72
2014-04-10,7.265699863433838,3.8871,7057.88
2014-04-11,7.253499984741211,3.8889,7065.4
2014-04-14,7.225100040435791,3.9059,7020.73
2014-04-15,7.096399784088135,3.9789,6864.59
2014-04-16,7.1118998527526855,3.9725,6879.28
2014-04-17,7.083899974822998,3.9846,6844.9
2014-04-18,7.058499813079834,3.9944,6838.0
2014-04-21,6.960999965667725,4.0529,6717.3
2014-04-22,7.02209997177124,4.0154,6786.05
2014-04-23,7.00439977645874,4.0232,6789.04
2014-04-24,6.97760009765625,4.0783,6789.51
2014-04-25,6.940599918365479,4.1034,6732.43
2014-04-28,6.8730998039245605,4.1367,6668.55
2014-04-29,6.867400169372559,4.1135,6741.52
2014-04-30,6.7778000831604,4.1632,6734.79
2014-05-05,6.754000186920166,4.1556,6710.05
2014-05-06,6.736499786376953,4.1666,6703.09
2014-05-07,6.701900005340576,4.1901,6658.16
2014-05-08,6.712600231170654,4.2476,6654.93
2014-05-09,6.714799880981445,4.246,6655.12
2014-05-12,6.814700126647949,4.1794,6764.76
2014-05-13,6.804900169372559,4.1829,6755.63
2014-05-14,6.801199913024902,4.1849,6746.48
2014-05-15,6.765100002288818,4.2132,6695.9
2014-05-16,6.768700122833252,4.2107,6698.74
2014-05-19,6.686399936676025,4.2406,6585.08
2014-05-20,6.697999954223633,4.2336,6590.08
2014-05-21,6.758399963378906,4.1702,6643.57
2014-05-22,6.759799957275391,4.1708,6643.8
2014-05-23,6.797699928283691,4.1712,6696.94
2014-05-26,6.80210018157959,4.1444,6710.3
2014-05-27,6.78849983215332,4.1731,6686.92
2014-05-28,6.843900203704834,4.1469,6757.79
2014-05-29,6.834499835968018,4.1529,6733.71
2014-05-30,6.819399833679199,4.1632,6729.53
2014-06-03,6.825399875640869,4.3778,6709.13
2014-06-04,6.793000221252441,4.2356,6652.82
2014-06-05,6.83650016784668,4.6138,6727.81
2014-06-06,6.801199913024902,4.5459,6668.54
2014-06-09,6.831200122833252,4.0427,6683.22
2014-06-10,6.91480016708374,3.9935,6773.7
2014-06-11,6.902200222015381,4.0015,6753.08
2014-06-12,6.8815999031066895,4.0387,6737.61
2014-06-13,6.958399772644043,3.9933,6831.73
2014-06-16,7.025700092315674,3.7691,6891.03
2014-06-17,6.954899787902832,3.8891,6811.53
2014-06-18,6.928699970245361,3.9255,6774.68
2014-06-19,6.8643999099731445,3.8822,6701.88
2014-06-20,6.828499794006348,4.775,6718.68
2014-06-23,6.788700103759766,4.8168,6675.46
2014-06-24,6.807300090789795,4.9944,6694.65
2014-06-25,6.772600173950195,5.2328,6661.22
2014-06-26,6.797500133514404,5.213,6702.7
2014-06-27,6.7845001220703125,4.2734,6685.21
2014-06-30,6.810400009155273,4.2305,6716.44
2014-07-01,6.781599998474121,4.2925,6684.27
2014-07-02,6.806700229644775,4.1771,6700.89
2014-07-03,6.838799953460693,4.1597,6721.53
2014-07-04,6.846399784088135,4.0463,6739.06
2014-07-07,6.860300064086914,4.0052,6748.82
2014-07-08,6.874499797821045,3.9996,6755.99
2014-07-09,6.792699813842773,3.7861,6660.06
2014-07-10,6.726500034332275,3.8951,6635.74
2014-07-11,6.723299980163574,4.33,6622.67
2014-07-14,6.7677001953125,4.2818,6694.78
2014-07-15,6.785200119018555,4.2716,6714.92
2014-07-16,6.821100234985352,4.2492,6706.35
2014-07-17,6.782199859619141,4.3982,6667.99
2014-07-18,6.787899971008301,4.6093,6701.88
2014-07-21,6.767399787902832,4.5486,6710.25
2014-07-22,6.828499794006348,4.4985,6786.4
2014-07-23,6.874899864196777,4.4361,6841.2
2014-07-24,7.005499839782715,4.3524,7002.96
2014-07-25,7.067299842834473,4.221,7065.04
2014-07-28,7.272500038146973,4.0629,7301.26
2014-07-29,7.274199962615967,4.1236,7315.66
2014-07-30,7.264999866485596,4.3147,7266.15
2014-07-31,7.32889986038208,4.2796,7362.17
2014-08-01,7.284599781036377,4.3057,7299.86
2014-08-04,7.406700134277344,4.2297,7457.59
2014-08-05,7.36299991607666,4.2573,7400.5
2014-08-06,7.3059000968933105,4.2901,7326.02
2014-08-07,7.188399791717529,4.3606,7201.2
2014-08-08,7.2052001953125,4.3493,7219.52
2014-08-11,7.303100109100342,4.2456,7323.9
2014-08-12,7.25540018081665,4.2723,7263.16
2014-08-13,7.2555999755859375,4.2774,7271.19
2014-08-14,7.180300235748291,4.308,7214.75
2014-08-15,7.2382001876831055,4.2923,7277.57
2014-08-18,7.239500045776367,4.2895,7282.3
2014-08-19,7.250899791717529,4.2808,7270.34
2014-08-20,7.207200050354004,4.3078,7226.77
2014-08-21,7.15500020980835,4.3402,7172.48
2014-08-22,7.160600185394287,4.3278,7208.63
2014-08-25,7.099100112915039,4.3487,7130.76
2014-08-26,7.083499908447266,4.361,7115.04
2014-08-27,7.078800201416016,4.3584,7115.38
2014-08-28,7.016900062561035,4.3772,7054.9
2014-08-29,7.014200210571289,4.3424,7143.8
2014-09-01,6.988699913024902,4.3271,7168.25
2014-09-02,7.066500186920166,4.2822,7260.99
2014-09-03,7.147900104522705,4.2319,7338.54
2014-09-04,7.202600002288818,4.1989,7397.41
2014-09-05,7.267000198364258,4.1591,7472.15
2014-09-09,7.228899955749512,4.1821,7416.32
2014-09-10,7.161499977111816,4.2211,7341.85
2014-09-11,7.13070011138916,4.1769,7306.42
2014-09-12,7.162600040435791,4.1752,7331.35
2014-09-15,7.136600017547607,3.7034,7288.97
2014-09-16,7.063199996948242,3.7451,7202.03
2014-09-17,7.077600002288818,3.7369,7217.99
2014-09-18,7.094699859619141,3.7276,7245.93
2014-09-19,7.102000236511231,4.1122,7285.35
2014-09-22,6.94920015335083,4.2035,7117.17
2014-09-23,6.974699974060059,4.186,7165.15
2014-09-24,7.072700023651123,4.2466,7289.61
2014-09-25,7.059999942779541,4.2544,7258.09
2014-09-26,7.048799991607666,4.2626,7237.56
2014-09-29,7.038400173187256,4.2646,7245.56
2014-09-30,7.032299995422363,4.2671,7237.98
2014-10-08,7.06820011138916,4.2443,7308.85
2014-10-09,7.079599857330322,4.2373,7318.19
2014-10-10,7.033100128173828,4.266,7262.11
2014-10-13,6.967800140380859,4.3071,7181.95
2014-10-14,6.954699993133545,4.3191,7153.77
2014-10-15,6.991700172424316,4.2936,7208.58
2014-10-16,6.991000175476074,4.2974,7196.24
2014-10-17,6.9730000495910645,4.3086,7197.56
2014-10-20,6.98769998550415,4.3002,7211.7
2014-10-21,6.946499824523926,4.3239,7162.62
2014-10-22,6.944699764251709,4.3264,7163.85
2014-10-23,6.912499904632568,4.3498,7126.7
2014-10-24,6.874599933624268,4.3608,7098.4
2014-10-27,6.792500019073486,4.4194,6975.39
2014-10-28,6.879799842834473,4.361,7090.28
2014-10-29,6.917900085449219,4.31,7194.48
2014-10-30,6.930699825286865,4.2775,7245.29
2014-10-31,7.047999858856201,4.1919,7421.12
2014-11-03,7.011799812316895,4.2091,7392.51
2014-11-04,6.999499797821045,4.2202,7366.43
2014-11-05,6.964700222015381,4.2415,7326.77
2014-11-06,6.952400207519531,4.2479,7319.33
2014-11-07,6.955999851226807,4.2485,7343.11
2014-11-10,7.134799957275391,4.1349,7568.53
2014-11-11,7.248000144958496,4.0828,7667.72
2014-11-12,7.25600004196167,4.0721,7742.1
2014-11-13,7.255899906158447,4.0725,7718.3
2014-11-14,7.271299839019775,4.0688,7748.69
2014-11-17,7.197299957275391,4.1018,7651.38
2014-11-18,7.083399772644043,4.1644,7502.13
2014-11-19,7.04449987411499,4.1905,7460.16
2014-11-20,7.05709981918335,4.1811,7478.22
2014-11-21,7.16480016708374,4.1175,7638.09
2014-11-24,7.286600112915039,4.0451,7820.27
2014-11-25,7.353400230407715,4.0079,7902.49
2014-11-26,7.50570011138916,3.9311,8067.23
2014-11-27,7.590400218963623,3.8913,8186.3
2014-11-28,7.881999969482422,3.7646,8480.03
2014-12-01,7.89900016784668,3.7642,8519.27
2014-12-02,8.265199661254883,3.6095,8953.21
2014-12-03,8.237700462341309,3.6078,8993.53
2014-12-04,8.774900436401367,3.383,9525.12
2014-12-05,9.147700309753418,3.2648,9708.23
2014-12-08,9.46280002593994,3.1752,10135.08
2014-12-09,8.790900230407715,3.4014,9577.51
2014-12-10,8.982799530029297,3.3236,9904.24
2014-12-11,8.759900093078613,3.4016,9666.54
2014-12-12,8.766500473022461,3.3989,9651.66
2014-12-15,8.708499908447266,3.4119,9681.0
2014-12-16,9.05519962310791,3.2961,10076.44
2014-12-17,9.370800018310549,3.1935,10477.1
2014-12-18,9.291099548339844,3.2113,10433.42
2014-12-19,9.513699531555176,3.1446,10579.28
2014-12-22,9.998700141906738,2.9521,10794.62
2014-12-23,9.657299995422363,3.0526,10559.22
2014-12-24,9.245599746704102,3.181,10066.21
2014-12-25,9.652600288391112,3.0571,10477.87
2014-12-26,10.02649974822998,2.9419,10935.12
2014-12-29,10.150500297546388,2.9023,11036.6
2014-12-30,10.322500228881836,2.8597,11242.48
2014-12-31,10.585800170898438,2.7839,11517.68
2015-01-05,11.03600025177002,2.6628,11860.36
2015-01-06,10.91670036315918,2.6863,11769.39
2015-01-07,10.987299919128418,2.6558,11760.97
2015-01-08,10.64389991760254,2.736,11391.75
2015-01-09,10.6697998046875,2.7505,11431.36
2015-01-12,10.507399559020996,2.7943,11308.53
2015-01-13,10.473999977111816,2.8015,11242.34
2015-01-14,10.455699920654297,2.8163,11255.96
2015-01-15,10.978699684143066,2.6799,11696.5
2015-01-16,11.08430004119873,2.6532,11756.48
2015-01-19,10.035400390625,2.9265,10665.01
2015-01-20,10.123700141906738,2.8956,10656.59
2015-01-21,10.734700202941896,2.7328,11254.32
2015-01-22,10.723600387573242,2.7329,11237.48
2015-01-23,10.817299842834473,2.7039,11334.26
2015-01-26,10.81070041656494,2.7005,11289.83
2015-01-27,10.611599922180176,2.7496,11110.88
2015-01-28,10.387299537658691,2.8034,10955.17
2015-01-29,10.20580005645752,2.8533,10775.6
2015-01-30,10.01949977874756,2.9095,10622.76
2015-02-02,9.683300018310549,3.0084,10289.89
2015-02-03,10.014699935913086,2.908,10607.59
2015-02-04,9.86680030822754,2.9492,10473.16
2015-02-05,9.737899780273438,2.9871,10369.92
2015-02-06,9.575799942016602,3.0351,10257.36
2015-02-09,9.715900421142578,2.9903,10429.87
2015-02-10,9.857199668884276,2.9461,10593.0
2015-02-11,9.918499946594238,2.937,10629.44
2015-02-12,9.950799942016602,2.9245,10639.19
2015-02-13,10.006199836730955,2.9116,10684.78
2015-02-16,10.00730037689209,2.9151,10680.78
2015-02-17,10.077500343322754,2.8947,10768.42
2015-02-25,9.98040008544922,2.9201,10609.69
2015-02-26,10.217100143432615,2.8523,10901.77
2015-02-27,10.222100257873535,2.8508,10875.82
2015-03-02,10.217900276184082,2.8544,10883.07
2015-03-03,9.857500076293944,2.9577,10510.57
2015-03-04,9.86240005493164,2.9543,10504.63
2015-03-05,9.68280029296875,3.0051,10324.83
2015-03-06,9.708900451660156,2.9998,10321.95
2015-03-09,9.991000175476074,2.9258,10608.2
2015-03-10,9.828800201416016,2.9716,10434.44
2015-03-11,9.876500129699709,2.9605,10491.74
2015-03-12,10.18869972229004,2.8708,10838.27
2015-03-13,10.196999549865724,2.8634,10876.81
2015-03-16,10.375200271606444,2.813,11115.44
2015-03-17,10.506600379943848,2.776,11261.53
2015-03-18,10.729299545288086,2.722,11527.66
2015-03-19,10.655500411987305,2.7373,11458.94
2015-03-20,10.749099731445312,2.7093,11646.16
2015-03-23,11.13640022277832,2.6399,11838.85
2015-03-24,11.042400360107422,2.6646,11731.52
2015-03-25,10.81410026550293,2.7126,11536.61
2015-03-26,11.002300262451172,2.6603,11672.46
2015-03-27,11.149299621582031,2.6754,11679.44
2015-03-30,11.50510025024414,2.5919,12112.35
2015-03-31,11.361599922180176,2.6221,11980.06
2015-04-01,11.50160026550293,2.5884,12160.67
2015-04-02,11.442299842834473,2.6008,12063.92
2015-04-03,11.48610019683838,2.5877,12184.44
2015-04-07,11.836999893188477,2.5098,12491.81
2015-04-08,12.07759952545166,2.4578,12766.88
2015-04-09,11.995800018310549,2.4774,12666.19
2015-04-10,12.195300102233888,2.4391,12901.09
2015-04-13,12.538100242614746,2.399,13182.21
2015-04-14,12.504300117492676,2.4025,13220.83
2015-04-15,12.605799674987791,2.3871,13286.45
2015-04-16,13.104399681091309,2.2925,13810.55
2015-04-17,13.328100204467772,2.2466,14074.23
2015-04-20,12.919500350952148,2.3082,13756.79
2015-04-21,13.054800033569336,2.2838,13920.1
2015-04-22,13.300800323486328,2.2364,14268.84
2015-04-23,13.21049976348877,2.2457,14128.69
2015-04-24,13.03030014038086,2.2711,13888.64
2015-04-27,13.668700218200684,2.171,14347.31
2015-04-28,13.954899787902832,2.1737,14402.52
2015-04-29,13.628700256347656,2.2077,14316.85
2015-04-30,13.296899795532228,2.266,14158.26
2015-05-04,13.41219997406006,2.2467,14272.45
2015-05-05,12.88659954071045,2.3371,13710.5
2015-05-06,12.76099967956543,2.3646,13607.99
2015-05-07,12.116999626159668,2.5018,13380.35
2015-05-08,12.26959991455078,2.4691,13500.15
2015-05-11,12.51609992980957,2.3861,13772.53
2015-05-12,12.574600219726562,2.3744,13842.92
2015-05-13,12.40839958190918,2.4126,13647.59
2015-05-14,12.366299629211426,2.4445,13556.33
2015-05-15,12.065799713134766,2.5098,13270.45
2015-05-18,11.830300331115724,2.5606,12998.31
2015-05-19,12.249699592590332,2.47,13507.28
2015-05-20,12.240300178527832,2.471,13534.26
2015-05-21,12.315400123596191,2.4669,13653.11
2015-05-22,12.712300300598145,2.3874,14071.91
2015-05-25,13.07009983062744,2.3075,14501.94
2015-05-26,13.14150047302246,2.3067,14632.03
2015-05-27,13.069100379943848,2.4032,14430.24
2015-05-28,12.18179988861084,2.5719,13503.75
2015-05-29,12.06820011138916,2.6046,13444.67
2015-06-01,12.676400184631348,2.4882,14022.76
2015-06-02,12.660599708557127,2.4897,14013.85
2015-06-03,12.647500038146973,2.5787,14009.01
2015-06-04,12.931400299072266,2.4205,14280.45
2015-06-05,13.00160026550293,2.4031,14357.81
2015-06-08,13.62660026550293,2.1059,15047.55
2015-06-09,13.500499725341797,2.1255,14795.37
2015-06-10,13.296199798583984,2.1682,14559.73
2015-06-11,13.192299842834473,2.1844,14436.27
2015-06-12,13.254199981689451,2.2386,14452.95
2015-06-15,12.883399963378906,2.3886,14065.22
2015-06-16,12.606499671936035,2.4913,13726.18
2015-06-17,12.781000137329102,2.4597,13886.19
2015-06-18,12.223199844360352,2.5229,13289.21
2015-06-19,11.571599960327148,2.8373,12612.8
2015-06-23,12.118200302124023,2.1698,13083.95
2015-06-24,12.399700164794922,2.0662,13292.29
2015-06-25,12.034500122070312,2.0408,12918.93
2015-06-26,11.333600044250488,2.0531,12069.46
2015-06-29,11.37279987335205,2.0317,11892.75
2015-06-30,12.071999549865724,1.9736,12732.98
2015-07-01,11.503100395202637,2.0707,12176.6
2015-07-02,11.687999725341797,2.0509,12091.88
2015-07-03,11.236200332641602,2.2707,11475.58
2015-07-06,12.087599754333496,2.1312,12183.33
2015-07-07,12.560999870300291,2.6819,12488.84
2015-07-08,11.70829963684082,2.8715,11601.54
2015-07-09,12.297699928283691,2.8568,12334.14
2015-07-10,12.60569953918457,2.7783,12791.1
2015-07-13,12.261300086975098,2.6205,12647.36
2015-07-14,11.861200332641602,2.7007,12203.6
2015-07-15,12.064000129699709,2.5223,12145.61
2015-07-16,11.957500457763672,2.5409,12081.69
2015-07-17,12.051600456237791,2.6113,12335.26
2015-07-20,12.034000396728516,2.3872,12254.33
2015-07-21,11.92710018157959,2.4484,12184.97
2015-07-22,11.81779956817627,2.5975,12033.63
2015-07-23,11.98349952697754,2.5616,12249.59
2015-07-24,11.730799674987791,2.5986,12029.49
2015-07-27,10.719300270080566,2.8722,10986.24
2015-07-28,10.672800064086914,2.8952,11028.86
2015-07-29,10.753899574279783,2.8688,11186.87
2015-07-30,10.59689998626709,2.9232,10909.71
2015-07-31,10.51449966430664,2.8151,10911.36
2015-08-03,10.570799827575684,2.8066,11027.96
2015-08-04,10.710800170898438,2.7651,11212.0
2015-08-05,10.49489974975586,2.8211,11005.33
2015-08-06,10.40590000152588,2.846,10927.0
2015-08-07,10.529999732971191,2.7997,11063.25
2015-08-10,10.920700073242188,2.6931,11517.86
2015-08-11,10.852999687194824,2.7068,11425.47
2015-08-12,10.725299835205078,2.7359,11293.21
2015-08-13,10.772899627685549,2.7222,11370.27
2015-08-14,10.744500160217283,2.7519,11369.13
2015-08-17,10.590900421142578,2.7753,11221.74
2015-08-18,10.233099937438965,2.8713,10660.21
