,PE_TTM,DIVIDENDYIELD2,CLOSE
2017-11-06,15.86340045928955,1.7603,3857.2143
2017-11-07,16.077800750732422,1.7368,3911.0899
2017-11-08,15.983799934387209,1.7391,3894.7619
2017-11-09,16.284900665283203,1.7112,3965.6491
2017-11-10,16.470500946044922,1.6929,4002.9106
2017-11-13,16.483400344848633,1.6688,4021.1179
2017-11-14,16.372900009155273,1.6718,3999.0405
2017-11-15,16.03529930114746,1.7067,3918.2651
2017-11-16,16.443300247192383,1.6667,4011.648
2017-11-17,16.47439956665039,1.6602,4018.198
2017-11-20,16.32430076599121,1.6732,3981.6477
2017-11-21,17.200700759887695,1.5855,4194.8056
2017-11-22,17.12529945373535,1.588,4195.946
2017-11-23,16.71190071105957,1.6252,4094.4621
2017-11-24,17.01099967956543,1.5955,4163.6796
2017-11-27,16.721599578857422,1.6237,4089.0306
2017-11-28,16.589099884033203,1.6404,4056.3853
2017-11-29,16.436599731445312,1.6536,4023.6404
2017-11-30,15.984800338745115,1.7063,3912.635
2017-12-01,15.877900123596191,1.7169,3891.5743
2017-12-04,16.053600311279297,1.699,3930.0682
2017-12-05,15.921500205993652,1.7193,3889.104
2017-12-06,15.392200469970703,1.7746,3757.1995
2017-12-07,15.453399658203123,1.7717,3771.0138
2017-12-08,15.838199615478516,1.7286,3861.935
2017-12-11,15.662699699401855,1.747,3929.9595
2017-12-12,15.434399604797363,1.7674,3876.1415
2017-12-13,15.502699851989746,1.7603,3892.3213
2017-12-14,15.417699813842772,1.7727,3871.0182
2017-12-15,15.230600357055664,1.7951,3820.7147
2017-12-18,15.26669979095459,1.7826,3853.2384
2017-12-19,15.543399810791016,1.7554,3907.4887
2017-12-20,15.452099800109863,1.7661,3884.6915
2017-12-21,15.656100273132324,1.7431,3931.6502
2017-12-22,15.73989963531494,1.7315,3951.0658
2017-12-25,15.73989963531494,1.7315,3951.0658
2017-12-26,15.73989963531494,1.7315,3951.0658
2017-12-27,15.57260036468506,1.744,3919.4536
2017-12-28,15.732500076293944,1.7254,3961.4639
2017-12-29,15.776900291442873,1.7162,3974.1486
2018-01-02,16.264299392700195,1.668,4097.9912
2018-01-03,16.25429916381836,1.6669,4097.5343
2018-01-04,16.295499801635742,1.6604,4117.9052
2018-01-05,16.152000427246094,1.6762,4079.4941
2018-01-08,16.203800201416016,1.6697,4104.4253
2018-01-09,16.331499099731445,1.6557,4143.4197
2018-01-10,16.26919937133789,1.6585,4136.147
2018-01-11,16.257299423217773,1.6593,4127.2337
2018-01-12,16.53619956970215,1.6302,4197.381
2018-01-15,16.619300842285156,1.6221,4209.6284
2018-01-16,17.04170036315918,1.5801,4335.8311
2018-01-17,17.222299575805664,1.5684,4391.565
2018-01-18,17.40239906311035,1.5596,4427.8537
2018-01-19,17.513200759887695,1.5535,4440.4612
2018-01-22,17.772499084472656,1.5361,4495.1251
2018-01-23,17.899499893188477,1.5236,4533.1084
2018-01-24,17.975299835205078,1.5258,4552.0338
2018-01-25,17.56060028076172,1.5589,4446.3084
2018-01-26,17.777099609375,1.5415,4501.5637
2018-01-29,17.35140037536621,1.5771,4404.6524
2018-01-30,17.12470054626465,1.5954,4354.9002
2018-01-31,17.392499923706055,1.573,4434.6047
2018-02-01,17.08169937133789,1.6592,4354.9734
2018-02-02,17.1875,1.6513,4382.1067
2018-02-05,16.996000289916992,1.6735,4336.1612
2018-02-06,16.046899795532227,1.7736,4090.2193
2018-02-07,15.821900367736816,1.7933,4045.1423
2018-02-08,15.864999771118164,1.7822,4057.4701
2018-02-09,15.099599838256836,1.8706,3865.9638
2018-02-12,15.148200035095217,1.8589,3883.9518
2018-02-13,15.396100044250488,1.8213,3951.3701
2018-02-14,15.640899658203123,1.7882,4023.2792
2018-02-22,15.952899932861328,1.7573,4105.6187
2018-02-23,16.165700912475586,1.734,4167.4354
2018-02-26,16.31060028076172,1.7203,4212.9569
2018-02-27,15.80500030517578,1.7269,4176.4036
2018-02-28,15.53600025177002,1.7485,4115.5012
2018-03-01,15.658599853515623,1.7354,4150.8072
2018-03-02,15.348799705505373,1.7713,4068.422
2018-03-05,15.04699993133545,1.8126,3980.7113
2018-03-06,15.474599838256836,1.7618,4085.0503
2018-03-07,15.190999984741213,1.7972,4010.3863
2018-03-08,15.477399826049805,1.7596,4083.6266
2018-03-09,15.657099723815918,1.7384,4131.4982
2018-03-12,15.78950023651123,1.7283,4217.1088
2018-03-13,15.744600296020508,1.7316,4207.3412
2018-03-14,15.597700119018556,1.7438,4179.5029
2018-03-15,15.80210018157959,1.7234,4223.8267
2018-03-16,15.77079963684082,1.7281,4202.3944
2018-03-19,15.825499534606934,1.7204,4204.427
2018-03-20,14.866499900817873,1.7233,4182.7444
2018-03-21,14.566100120544434,1.7597,4098.9572
2018-03-22,14.404800415039062,1.7757,4063.8338
2018-03-23,13.83329963684082,1.8212,3958.5322
2018-03-26,13.857399940490724,1.8078,3977.5465
2018-03-27,13.767200469970703,1.8418,3986.529
2018-03-28,13.379400253295898,1.9027,3861.765
2018-03-29,13.148900032043455,1.9022,3851.3784
2018-03-30,13.148900032043455,1.9022,3851.3784
