,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-12-15,11.994500160217283,3.1663,4355.3589
2014-12-16,11.79740047454834,3.2199,4280.4101
2014-12-17,11.67080020904541,3.257,4227.1004
2014-12-18,11.81309986114502,3.2176,4282.0278
2014-12-19,11.926300048828123,3.1861,4331.4383
2014-12-22,12.00220012664795,3.1686,4347.3422
2014-12-23,11.979100227355955,3.1755,4343.1062
2014-12-24,12.03090000152588,3.1603,4363.9976
2014-12-25,12.03090000152588,3.1603,4363.9976
2014-12-26,12.03090000152588,3.1603,4363.9976
2014-12-29,12.164199829101562,3.1267,4411.2783
2014-12-30,12.06980037689209,3.1481,4378.0972
2014-12-31,12.086700439453123,3.1438,4382.8859
2015-01-05,12.126999855041504,3.1348,4392.7752
2015-01-06,12.033699989318848,3.1584,4363.9741
2015-01-07,12.137700080871582,3.1289,4401.3213
2015-01-08,12.257800102233888,3.0969,4443.4433
2015-01-09,12.328399658203123,3.0799,4466.8445
2015-01-12,12.351200103759766,3.0733,4496.9993
2015-01-13,12.476099967956545,3.0437,4538.1216
2015-01-14,12.423500061035156,3.0558,4521.5096
2015-01-15,12.503000259399414,3.0362,4550.4176
2015-01-16,12.361000061035156,3.0695,4496.7805
2015-01-19,12.244600296020508,3.0943,4466.1671
2015-01-20,12.330100059509276,3.0754,4490.6871
2015-01-21,12.565400123596191,3.0196,4560.2622
2015-01-22,12.65019989013672,2.9996,4587.797
2015-01-23,12.812000274658203,2.9644,4644.0545
2015-01-26,12.802000045776367,2.9554,4662.4639
2015-01-27,12.826600074768066,2.9489,4668.992
2015-01-28,12.853699684143066,2.941,4683.7661
2015-01-29,12.774499893188477,2.9566,4652.341
2015-01-30,12.719400405883787,2.9706,4636.2541
2015-02-02,12.746399879455566,2.9642,4646.7016
2015-02-03,12.73610019683838,2.9677,4639.494
2015-02-04,12.837499618530272,2.9442,4661.9552
2015-02-05,12.88379955291748,2.9336,4669.1159
2015-02-06,12.871999740600586,2.9361,4669.2237
2015-02-09,12.779199600219728,2.9586,4637.1943
2015-02-10,12.788000106811523,3.0125,4640.8758
2015-02-11,12.698100090026855,3.0339,4611.0678
2015-02-12,12.764300346374512,2.9282,4617.5921
2015-02-13,12.906499862670898,2.8975,4661.991
2015-02-16,12.922499656677246,2.8934,4671.6123
2015-02-17,12.944600105285645,2.8892,4679.3837
2015-02-25,13.170599937438965,2.8937,4690.2336
2015-02-26,12.995699882507324,2.8878,4705.0201
2015-02-27,12.95930004119873,2.9002,4690.0626
2015-03-02,12.989800453186035,2.9049,4710.1253
