,PE_TTM,DIVIDENDYIELD2,CLOSE
2019-06-24,6.638899803161621,6.8109,3920.842
2019-06-25,6.59499979019165,6.8565,3888.1873
2019-06-26,6.6244001388549805,6.8194,3891.4973
2019-06-27,6.702300071716309,6.7864,3946.898
2019-06-28,6.690700054168701,6.7896,3951.2566
2019-07-01,6.690800189971924,6.7895,3951.2566
2019-07-02,6.721199989318848,6.7137,4031.6718
2019-07-03,6.724100112915039,6.7693,4022.9889
2019-07-04,6.71999979019165,6.781,4010.8724
2019-07-05,6.707900047302246,6.7146,4009.6689
2019-07-08,6.6381001472473145,6.2099,3931.7174
2019-07-09,6.595799922943115,6.2471,3893.2935
2019-07-10,6.603099822998047,6.2337,3904.7247
2019-07-11,6.620399951934815,6.2006,3921.8827
2019-07-12,6.627299785614014,6.1932,3929.1379
2019-07-15,6.618599891662598,6.1578,3930.1361
2019-07-16,6.630499839782715,6.1798,3930.2207
2019-07-17,6.648799896240234,6.1779,3951.7437
2019-07-18,6.612299919128418,6.2139,3925.29
2019-07-19,6.64900016784668,6.1771,3950.4748
2019-07-22,6.593400001525879,6.2501,3899.7971
2019-07-23,6.577700138092041,6.2825,3855.6759
2019-07-24,6.589200019836426,6.2782,3861.0011
2019-07-25,6.5954999923706055,6.263,3871.6537
2019-07-26,6.565499782562256,6.2963,3857.2356
2019-07-29,6.50600004196167,6.3491,3826.4587
2019-07-30,6.509200096130371,6.3534,3823.8954
2019-07-31,6.447000026702881,6.4112,3786.8139
2019-08-01,6.404099941253662,6.4746,3730.045
2019-08-02,6.28980016708374,6.5914,3651.1034
2019-08-05,6.104400157928467,6.7718,3513.9564
2019-08-06,6.053199768066406,6.861,3451.907
2019-08-07,6.088900089263916,6.8451,3473.2064
2019-08-08,6.109499931335449,6.8154,3510.415
2019-08-09,6.089300155639648,6.8623,3470.864
2019-08-12,6.0680999755859375,6.917,3472.978
2019-08-13,5.966400146484375,7.0946,3375.9916
2019-08-14,5.983099937438965,7.0263,3395.4821
2019-08-15,5.983500003814697,7.6659,3413.5477
2019-08-16,5.9704999923706055,7.678,3427.7289
2019-08-19,6.081399917602539,6.8681,3550.3344
2019-08-20,6.0782999992370605,6.9501,3541.1686
2019-08-21,6.084700107574463,6.9206,3570.2487
2019-08-22,6.019199848175049,6.9721,3549.574
2019-08-23,6.0278000831604,6.9804,3538.8454
2019-08-26,5.9720001220703125,7.074,3467.3245
2019-08-27,5.972099781036377,7.0882,3490.6872
2019-08-28,5.946199893951416,7.1019,3474.8228
2019-08-29,5.959400177001953,7.1379,3467.2798
2019-08-30,5.942699909210205,7.1162,3494.5663
2019-09-02,5.964099884033203,7.0482,3507.3787
2019-09-03,5.921800136566162,7.0828,3487.6007
2019-09-04,6.065299987792969,6.7375,3574.1178
2019-09-05,6.098999977111816,6.7926,3599.3554
2019-09-06,6.118299961090088,6.8676,3627.8256
2019-09-09,6.110000133514404,6.9253,3604.0529
2019-09-10,6.165800094604492,6.8715,3634.2497
2019-09-11,6.302999973297119,6.6635,3662.8053
2019-09-12,6.289599895477295,6.9236,3676.6184
2019-09-16,6.342899799346924,6.5692,3718.083
2019-09-17,6.260300159454346,6.6835,3653.6535
2019-09-18,6.228400230407715,6.688,3664.1156
2019-09-19,6.189499855041504,6.7311,3626.0655
2019-09-20,6.208499908447266,6.7002,3624.3602
2019-09-23,6.158999919891357,6.8112,3569.8651
2019-09-24,6.131999969482422,6.819,3536.7295
2019-09-25,6.080100059509277,6.8803,3501.7821
2019-09-26,6.101600170135498,6.8471,3514.9347
2019-09-27,6.08080005645752,6.8517,3493.0804
2019-09-30,6.124100208282471,6.8042,3501.4729
2019-10-08,6.0756001472473145,6.8847,3521.7011
2019-10-09,6.063399791717529,6.8998,3516.3627
2019-10-10,6.054599761962891,7.5267,3524.0844
2019-10-11,6.201499938964844,7.3423,3605.1021
2019-10-14,6.272299766540527,6.6662,3651.9839
2019-10-15,6.260499954223633,6.67,3637.8103
2019-10-16,6.29670000076294,6.6134,3682.0331
2019-10-17,6.32289981842041,6.569,3692.3379
2019-10-18,6.294400215148926,6.5746,3694.5554
2019-10-21,6.315700054168701,6.5472,3716.8944
2019-10-22,6.329800128936768,6.5399,3711.1659
2019-10-23,6.320400238037109,6.5625,3694.9288
2019-10-24,6.401500225067139,6.4945,3728.9546
2019-10-25,6.358699798583984,6.5014,3735.8971
2019-10-28,6.369999885559082,6.545,3734.5202
2019-10-29,6.360000133514404,6.5792,3737.3416
2019-10-30,6.299499988555908,6.6127,3719.9021
2019-10-31,6.346700191497803,6.5994,3720.2847
2019-11-01,6.40339994430542,6.4787,3776.1138
2019-11-04,6.480199813842773,6.3903,3842.6166
2019-11-05,6.527299880981445,6.3525,3887.7166
2019-11-06,6.513000011444092,6.3305,3907.5022
2019-11-07,6.528200149536133,6.3244,3923.1837
2019-11-08,6.49560022354126,6.3503,3911.2747
2019-11-11,6.326300144195557,6.5821,3789.7199
2019-11-12,6.354700088500977,6.5463,3833.7035
2019-11-13,6.254899978637695,6.6515,3771.7377
2019-11-14,6.220300197601318,6.7723,3738.2926
2019-11-15,6.204100131988525,6.7954,3726.7525
2019-11-18,6.268700122833252,6.7119,3787.0371
2019-11-19,6.357699871063232,6.6104,3852.2964
2019-11-20,6.326099872589111,6.6486,3837.6635
2019-11-21,6.25600004196167,6.7279,3793.4512
2019-11-22,6.299699783325195,6.7036,3789.162
2019-11-25,6.383500099182129,6.6016,3855.5038
2019-11-26,6.374899864196777,6.6108,3855.9178
2019-11-27,6.392899990081787,6.5938,3865.7993
2019-11-28,6.370200157165527,6.6098,3850.7363
2019-11-29,6.249499797821045,6.7165,3796.8889
2019-12-02,6.283299922943115,6.6578,3827.2957
2019-12-03,6.254899978637695,6.6972,3832.4745
2019-12-04,6.206900119781494,6.7988,3789.2346
2019-12-05,6.2378997802734375,6.7561,3804.7834
2019-12-06,6.265699863433838,6.713,3824.3857
2019-12-09,6.303400039672852,6.664,3868.991
2019-12-10,6.296299934387207,6.6729,3858.2914
2019-12-11,6.357500076293945,6.5966,3903.8758
2019-12-12,6.396500110626221,6.5559,3911.2099
2019-12-13,6.328400135040283,6.3039,3964.8309
2019-12-16,6.320899963378906,6.264,4009.0313
2019-12-17,6.418399810791016,6.1884,4054.5345
2019-12-18,6.439000129699707,6.1843,4062.4007
2019-12-19,6.40910005569458,6.2287,4029.0486
2019-12-20,6.430500030517578,6.1953,4031.9214
2019-12-23,6.460999965667725,6.173,4028.0265
2019-12-24,6.458099842071533,6.1934,4022.1943
2019-12-25,6.458099842071533,6.1934,4022.1943
2019-12-26,6.458099842071533,6.1934,4022.1943
2019-12-27,6.520299911499023,6.0917,4080.3367
