,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-01-02,6.534999847412109,5.0236,4628.2166
2014-01-03,6.463600158691406,5.0797,4561.2103
2014-01-06,6.408899784088135,5.1191,4447.2971
2014-01-07,6.382500171661377,5.1319,4433.7786
2014-01-08,6.352399826049805,5.1565,4417.6966
2014-01-09,6.316999912261963,5.184,4386.0054
2014-01-10,6.298500061035156,5.198,4352.1971
2014-01-13,6.323599815368652,5.1853,4341.3606
2014-01-14,6.350299835205078,5.1572,4393.1766
2014-01-15,6.307600021362305,5.1912,4383.2099
2014-01-16,6.285699844360352,5.205,4395.7246
2014-01-17,6.270500183105469,5.2173,4355.2412
2014-01-20,5.945700168609619,5.4644,4345.3996
2014-01-21,5.9653000831604,5.4467,4382.3054
2014-01-22,6.05049991607666,5.365,4472.3871
2014-01-23,5.997399806976318,5.4156,4441.252
2014-01-24,6.012800216674805,5.3987,4467.179
2014-01-27,5.96649980545044,5.4433,4434.2748
2014-01-28,6.000999927520752,5.4212,4435.6221
2014-01-29,6.038700103759766,5.3902,4445.1217
2014-01-30,5.98769998550415,5.4384,4387.8684
2014-02-07,5.979800224304199,5.4434,4413.0948
2014-02-10,6.0441999435424805,5.3809,4503.2806
2014-02-11,6.11959981918335,5.3177,4560.4469
2014-02-12,6.118299961090088,5.3175,4565.4097
2014-02-13,6.140600204467773,5.3008,4545.9178
2014-02-14,6.160699844360352,5.278,4609.5331
2014-02-17,6.179500102996826,5.2525,4655.2699
2014-02-18,6.101600170135498,5.3018,4609.8078
2014-02-19,6.219900131225586,5.2032,4676.6763
2014-02-20,6.263800144195557,5.1562,4684.0888
2014-02-21,6.1834001541137695,5.2322,4618.547
2014-02-24,6.057199954986572,5.3431,4526.3537
2014-02-25,6.005300045013428,5.3949,4428.9667
2014-02-26,6.021100044250488,5.3769,4452.2581
2014-02-27,6.101099967956543,5.3045,4449.7625
2014-02-28,6.080699920654297,5.3178,4463.1003
2014-03-03,6.084199905395508,5.3069,4504.2542
2014-03-04,6.07390022277832,5.3167,4486.9215
2014-03-05,6.019800186157227,5.3662,4475.4697
2014-03-06,6.051700115203857,5.3375,4482.7755
2014-03-07,6.065400123596191,5.3205,4456.1586
2014-03-10,5.9517998695373535,5.4328,4297.5632
2014-03-11,5.950099945068359,5.4331,4319.2448
2014-03-12,5.932600021362305,5.4538,4356.2151
2014-03-13,6.006899833679199,5.3823,4428.54
2014-03-14,5.960400104522705,5.4237,4401.7826
2014-03-17,5.982399940490723,5.4006,4445.0867
2014-03-18,5.979700088500977,5.4008,4464.9397
2014-03-19,5.986700057983398,5.397,4459.9302
2014-03-20,5.948299884796143,5.4355,4401.4208
2014-03-21,6.08620023727417,5.2893,4529.5799
2014-03-24,6.14330005645752,5.252,4579.9671
2014-03-25,6.113399982452393,5.2751,4565.633
2014-03-26,6.093100070953369,5.2899,4563.6217
2014-03-27,6.063000202178955,5.3104,4523.3566
2014-03-28,6.082099914550781,5.2808,4514.5584
2014-03-31,6.065899848937988,5.281,4503.0809
2014-04-01,6.091700077056885,5.2572,4541.2159
2014-04-02,6.127900123596191,5.2097,4590.9171
2014-04-03,6.061200141906738,5.2636,4525.2723
2014-04-04,6.088900089263916,5.2439,4549.9758
2014-04-08,6.197700023651123,5.1484,4630.8095
2014-04-09,6.209099769592285,5.1368,4643.9919
2014-04-10,6.289999961853027,5.0721,4691.4958
2014-04-11,6.295199871063232,5.064,4721.9593
2014-04-14,6.280399799346924,5.076,4718.3643
2014-04-15,6.182799816131592,5.1598,4635.4254
2014-04-16,6.19789981842041,5.1422,4644.0409
2014-04-17,6.183800220489502,5.1518,4630.9378
2014-04-18,6.165599822998047,5.1626,4628.2451
2014-04-21,6.093100070953369,5.2396,4543.9524
2014-04-22,6.136899948120117,5.2013,4554.5105
2014-04-23,6.133900165557861,5.1927,4559.2136
2014-04-24,6.118000030517578,5.2088,4549.5645
2014-04-25,6.082799911499023,5.237,4487.6546
2014-04-28,6.020699977874756,5.267,4390.3913
2014-04-29,6.038400173187256,5.2481,4433.5245
2014-04-30,5.987500190734863,5.2641,4441.4613
2014-05-05,5.9633002281188965,5.2642,4452.7392
2014-05-06,5.945400238037109,5.2822,4449.3179
2014-05-07,5.924300193786621,5.2949,4416.8461
2014-05-08,5.944499969482422,5.2763,4429.4935
2014-05-09,5.954999923706055,5.2672,4424.7052
2014-05-12,6.043600082397461,5.1832,4546.8329
2014-05-13,6.039999961853027,5.1834,4530.1154
2014-05-14,6.031899929046631,5.1906,4509.6648
2014-05-15,6.009399890899658,5.2291,4455.2404
2014-05-16,6.017600059509277,5.2207,4460.0841
2014-05-19,5.964200019836426,5.2843,4427.6784
2014-05-20,5.970799922943115,5.2905,4421.2825
2014-05-21,6.014599800109863,5.2307,4458.6324
2014-05-22,6.011799812316895,5.2358,4448.3162
2014-05-23,6.038000106811523,5.2037,4457.0462
2014-05-26,6.040200233459473,5.1776,4472.2884
2014-05-27,6.033899784088135,5.1844,4458.8913
2014-05-28,6.067500114440918,5.1309,4488.0904
2014-05-29,6.0594000816345215,5.133,4449.9908
2014-05-30,6.043600082397461,5.145,4452.2846
2014-06-03,6.061100006103516,5.1255,4454.433
2014-06-04,6.036799907684326,5.1964,4423.1326
2014-06-05,6.071400165557861,5.1562,4460.1281
2014-06-06,6.036499977111816,5.4781,4438.9495
2014-06-09,6.062699794769287,4.97,4443.4051
2014-06-10,6.128900051116943,4.9189,4486.5081
2014-06-11,6.125999927520752,4.9233,4488.0782
2014-06-12,6.113100051879883,4.9372,4471.0533
2014-06-13,6.171199798583984,4.8958,4503.1079
