,PE_TTM,DIVIDENDYIELD2,CLOSE
2019-07-22,10.253899574279783,2.9735,332.72
2019-07-23,10.247300148010254,3.0354,332.59
2019-07-24,10.32450008392334,3.0151,335.33
2019-07-25,10.370100021362305,3.0113,338.69
2019-07-26,10.386799812316896,3.0111,339.52
2019-07-29,10.369000434875488,3.015,338.96
2019-07-30,10.412099838256836,3.0034,340.15
2019-07-31,10.33780002593994,3.0315,336.65
2019-08-01,10.247099876403809,3.0591,333.58
2019-08-02,10.103899955749512,3.111,328.31
2019-08-05,9.932600021362305,3.173,321.7
2019-08-06,9.852999687194824,3.1972,318.91
2019-08-07,9.81630039215088,3.2094,317.29
2019-08-08,9.923800468444824,3.1783,322.26
2019-08-09,9.88510036468506,3.1594,319.65
2019-08-12,10.032600402832031,3.0996,325.68
2019-08-13,9.9399995803833,3.127,321.97
2019-08-14,9.969400405883787,3.1134,323.33
2019-08-15,10.000300407409668,3.1981,324.28
2019-08-16,9.910200119018556,3.194,325.35
2019-08-19,10.02929973602295,3.1519,331.88
2019-08-20,10.010600090026855,3.1554,331.83
2019-08-21,9.992899894714355,3.1595,331.47
2019-08-22,9.994500160217283,3.17,332.32
2019-08-23,10.034000396728516,3.1452,335.61
2019-08-26,9.870100021362305,3.0927,329.49
2019-08-27,9.963199615478516,3.0609,332.85
2019-08-28,9.878299713134766,3.0753,331.22
2019-08-29,9.839099884033203,3.0806,329.77
2019-08-30,9.845100402832031,3.0695,331.42
2019-09-02,9.875300407409668,3.047,334.92
2019-09-03,9.875100135803224,3.047,335.15
2019-09-04,9.97659969329834,3.0724,338.16
2019-09-05,10.065500259399414,3.0464,341.79
2019-09-06,10.12619972229004,3.0281,344.57
2019-09-09,10.131999969482422,2.9813,345.85
2019-09-10,10.088199615478516,2.9938,344.16
2019-09-11,10.063899993896484,3.0099,342.03
2019-09-12,10.158900260925291,2.9798,346.34
2019-09-16,10.140299797058104,2.8848,344.5
2019-09-17,10.00790023803711,2.9965,339.2
2019-09-18,10.039999961853027,2.9833,340.99
2019-09-19,10.04290008544922,2.9817,341.84
2019-09-20,10.07830047607422,2.971,342.72
2019-09-23,9.973899841308594,2.9071,338.83
2019-09-24,9.991000175476074,2.9814,339.85
2019-09-25,9.946800231933594,2.9974,337.73
2019-09-26,9.946700096130373,3.0012,336.62
2019-09-27,9.940600395202637,3.0033,337.21
2019-09-30,9.854599952697754,3.0285,333.52
2019-10-08,9.928400039672852,3.0065,336.53
2019-10-09,9.960599899291992,2.9993,336.77
2019-10-10,9.975299835205078,2.9942,338.6
2019-10-11,10.11139965057373,2.9534,342.68
2019-10-14,10.202199935913086,2.9286,346.15
2019-10-15,10.19509983062744,2.9319,345.29
2019-10-16,10.14050006866455,2.9461,344.14
2019-10-17,10.16189956665039,2.9392,344.75
2019-10-18,10.03689956665039,2.9784,339.55
2019-10-21,10.112500190734863,2.9608,340.71
