,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-01-02,18.4738998413086,1.3676,10296.62
2014-01-03,18.37879943847656,1.3753,10243.19
2014-01-06,18.37019920349121,1.3754,10237.9
2014-01-07,18.54789924621582,1.3621,10338.32
2014-01-08,18.46050071716309,1.3687,10288.57
2014-01-09,18.417499542236328,1.3721,10262.65
2014-01-10,18.417499542236328,1.3718,10264.79
2014-01-13,17.99850082397461,1.404,10029.44
2014-01-14,18.354700088500977,1.3767,10228.92
2014-01-15,18.299999237060547,1.3814,10199.16
2014-01-16,18.361400604248047,1.3767,10234.44
2014-01-17,18.23209953308105,1.3884,10161.81
2014-01-21,18.49180030822754,1.3704,10309.81
2014-01-22,18.70770072937012,1.3544,10432.08
2014-01-23,18.55010032653809,1.3667,10343.09
2014-01-24,18.118900299072266,1.3992,10102.64
2014-01-27,17.9237003326416,1.4147,9992.17
2014-01-28,18.181900024414062,1.3943,10138.31
2014-01-29,18.097299575805664,1.4016,10090.26
2014-01-30,18.12290000915528,1.3995,10105.83
2014-02-07,18.14349937438965,1.3841,10123.47
2014-02-10,18.00629997253418,1.4002,10047.29
2014-02-11,18.2106990814209,1.3845,10161.21
2014-02-12,18.2150993347168,1.3841,10166.16
2014-02-13,18.326499938964844,1.3886,10230.82
2014-02-14,18.52879905700684,1.3789,10343.39
2014-02-18,18.74860000610352,1.362,10461.16
2014-02-19,18.68819999694824,1.3666,10426.4
2014-02-20,18.7101993560791,1.3648,10439.71
2014-02-21,18.602399826049805,1.3763,10379.64
2014-02-24,18.96380043029785,1.3499,10582.95
2014-02-25,18.98649978637696,1.3485,10593.94
2014-02-26,18.76129913330078,1.3661,10469.38
2014-02-27,18.73579978942871,1.37,10453.93
2014-02-28,18.824800491333008,1.3634,10504.38
2014-03-03,18.781099319458008,1.3664,10480.1
2014-03-04,19.01289939880371,1.3496,10610.52
2014-03-05,18.905000686645508,1.3582,10550.28
2014-03-06,19.08810043334961,1.3454,10650.1
2014-03-07,19.099000930786133,1.345,10655.61
2014-03-10,19.105199813842773,1.3517,10657.25
2014-03-11,18.88680076599121,1.3676,10533.54
2014-03-12,18.92259979248047,1.3662,10552.91
2014-03-13,18.728099822998047,1.3803,10445.46
2014-03-14,18.903499603271484,1.3674,10544.32
2014-03-17,18.93230056762696,1.3654,10560.33
2014-03-18,19.18050003051757,1.3476,10699.63
2014-03-19,18.97719955444336,1.3618,10588.13
2014-03-20,19.10580062866211,1.3526,10660.03
2014-03-21,19.14620018005371,1.3497,10682.88
2014-03-24,19.09709930419922,1.3507,10613.56
2014-03-25,19.206600189208984,1.3429,10675.14
2014-03-26,19.076799392700195,1.3523,10601.33
2014-03-27,19.2238998413086,1.3417,10685.25
2014-03-28,19.48889923095703,1.3235,10831.8
2014-03-31,18.762800216674805,1.3264,10821.86
2014-04-01,18.98649978637696,1.3115,10948.85
2014-04-02,19.085599899291992,1.3043,11009.2
2014-04-03,19.361799240112305,1.2861,11165.31
2014-04-04,19.254199981689453,1.2933,11102.88
2014-04-08,19.06609916687012,1.3059,10996.06
2014-04-09,19.2455997467041,1.2936,11100.55
2014-04-10,18.917200088500977,1.3162,10910.35
2014-04-11,18.884899139404297,1.3185,10890.74
2014-04-14,19.109600067138672,1.3057,11018.5
2014-04-15,19.39419937133789,1.2865,11183.6
2014-04-16,19.70450019836425,1.2662,11362.41
2014-04-17,19.9375,1.2543,11496.06
2014-04-21,20.01160049438477,1.2497,11538.27
2014-04-22,19.970399856567383,1.252,11516.87
2014-04-23,20.095199584960938,1.2444,11587.26
2014-04-24,20.17329978942871,1.2402,11632.37
2014-04-25,19.87730026245117,1.259,11458.71
2014-04-28,19.930400848388672,1.2554,11481.6
2014-04-29,20.07939910888672,1.2457,11571.41
2014-04-30,19.96150016784668,1.253,11504.16
2014-05-05,20.11389923095703,1.2464,11593.47
2014-05-06,20.213600158691406,1.2408,11645.35
2014-05-07,20.379199981689453,1.2305,11742.61
2014-05-08,19.93630027770996,1.258,11486.73
2014-05-09,19.93199920654297,1.2581,11485.19
2014-05-12,20.1205997467041,1.2462,11595.28
2014-05-13,20.22260093688965,1.2407,11654.7
2014-05-14,20.158899307250977,1.2447,11617.47
2014-05-15,19.93600082397461,1.2739,11490.73
2014-05-16,19.846900939941406,1.2794,11440.75
2014-05-19,19.943199157714844,1.2815,11495.6
2014-05-20,19.882200241088867,1.2856,11459.5
2014-05-21,20.082399368286133,1.2776,11577.69
2014-05-22,20.041099548339844,1.2835,11552.26
2014-05-23,19.97360038757324,1.2879,11513.33
2014-05-27,20.09129905700684,1.2673,11572.91
