,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-01-02,24.38960075378418,3.1931,4227.28
2014-01-03,24.507099151611328,3.1778,4247.65
2014-01-06,24.39109992980957,3.1929,4227.54
2014-01-07,24.593799591064453,3.1666,4262.68
2014-01-08,24.58390045166016,3.1679,4260.96
2014-01-09,24.37719917297364,3.1947,4225.14
2014-01-10,24.524099349975582,3.1756,4250.6
2014-01-13,24.59720039367676,3.1662,4263.27
2014-01-14,24.66029930114746,3.1581,4274.2
2014-01-15,24.994199752807617,3.1159,4332.07
2014-01-16,24.920299530029297,3.1251,4319.27
2014-01-17,24.96780014038086,3.1192,4327.5
2014-01-20,24.94099998474121,3.1235,4322.86
2014-01-21,24.9468994140625,3.1227,4323.87
2014-01-22,24.95330047607422,3.1219,4324.98
2014-01-23,24.69930076599121,3.154,4280.96
2014-01-24,24.009899139404297,3.2446,4161.47
2014-01-27,23.91230010986328,3.2578,4144.56
2014-01-28,24.147300720214844,3.2261,4185.29
2014-01-29,23.983999252319336,3.2481,4156.98
2014-01-30,24.116899490356445,3.2302,4180.02
2014-02-07,24.394800186157227,3.1934,4228.18
2014-02-10,24.446399688720703,3.1866,4237.13
2014-02-11,24.712900161743164,3.1523,4283.32
2014-02-12,24.84090042114257,3.136,4305.5
2014-02-13,24.882999420166016,3.1307,4312.8
2014-02-14,25.040700912475582,3.111,4340.14
2014-02-17,25.01210021972656,3.1146,4335.17
2014-02-18,24.986299514770508,3.1178,4330.71
2014-02-19,25.046300888061523,3.1103,4341.1
2014-02-20,25.12929916381836,3.1001,4355.49
2014-02-21,25.27680015563965,3.082,4381.06
2014-02-24,25.49650001525879,3.0554,4419.13
2014-02-25,25.46999931335449,3.0586,4414.55
2014-02-26,25.36829948425293,3.0708,4396.91
2014-02-27,25.36529922485352,3.0712,4396.39
2014-02-28,25.43269920349121,3.0631,4408.08
2014-03-03,24.756500244140625,3.1467,4290.87
2014-03-04,25.36240005493164,3.0716,4395.9
2014-03-05,25.335599899291992,3.0748,4391.25
2014-03-06,25.484399795532227,3.0569,4417.04
2014-03-07,25.19239997863769,3.0923,4366.42
2014-03-10,25.21789932250977,3.0892,4370.84
2014-03-11,25.09600067138672,3.1042,4349.72
2014-03-12,24.84530067443848,3.1355,4306.26
2014-03-13,24.52359962463379,3.1766,4250.51
2014-03-14,24.32659912109375,3.2023,4216.37
2014-03-17,24.64739990234375,3.1607,4271.96
2014-03-18,24.88559913635254,3.1304,4313.26
2014-03-19,24.855600357055664,3.1342,4308.06
2014-03-20,24.970199584960938,3.1198,4327.91
2014-03-21,25.012699127197266,3.1145,4335.28
2014-03-24,24.666200637817383,3.1496,4276.34
2014-03-25,25.057100296020508,3.1005,4344.12
2014-03-26,25.293800354003903,3.0714,4385.15
2014-03-27,25.25869941711425,3.0757,4379.06
2014-03-28,25.44440078735352,3.0533,4411.26
2014-03-31,24.579200744628903,3.067,4391.5
2014-04-01,24.77630043029785,3.0426,4426.72
2014-04-02,24.79949951171875,3.0398,4430.86
2014-04-03,24.90290069580078,3.0271,4449.33
2014-04-04,25.100000381469727,3.0034,4484.55
2014-04-08,24.76569938659668,3.0439,4424.83
2014-04-09,24.8656005859375,3.0317,4442.68
2014-04-10,24.702299118041992,3.0517,4413.49
2014-04-11,24.435699462890625,3.085,4365.86
2014-04-14,24.54030036926269,3.0751,4384.56
2014-04-15,24.320899963378903,3.1028,4345.35
2014-04-16,24.65839958190918,3.0604,4405.66
2014-04-17,24.804800033569336,3.0423,4431.81
2014-04-22,25.098100662231445,3.0067,4484.21
2014-04-23,24.91259956359864,3.0291,4451.08
2014-04-24,25.0718994140625,3.0127,4479.54
2014-04-25,24.870899200439453,3.037,4443.63
2014-04-28,24.965499877929688,3.0255,4460.53
2014-04-29,25.17350006103516,3.0059,4497.68
2014-04-30,25.11590003967285,3.0128,4487.39
2014-05-05,24.97760009765625,3.05,4462.69
2014-05-06,24.783899307250977,3.0738,4428.07
2014-05-07,24.886699676513672,3.0611,4446.44
2014-05-08,25.22699928283692,3.0198,4507.24
2014-05-09,25.05929946899414,3.0408,4477.28
2014-05-12,25.15089988708496,3.0178,4493.65
2014-05-13,25.214500427246094,3.0102,4505.02
2014-05-14,25.19230079650879,3.0128,4501.04
2014-05-15,24.87820053100586,3.0499,4444.93
2014-05-16,24.941699981689453,3.0456,4456.28
2014-05-19,25.017200469970703,3.0364,4469.76
2014-05-20,24.9197998046875,3.0504,4452.35
2014-05-21,25.01309967041016,3.039,4469.03
2014-05-22,25.06450080871582,3.0341,4478.21
2014-05-23,25.148099899291992,3.0243,4493.15
2014-05-26,25.33720016479492,3.0017,4526.93
2014-05-27,25.35300064086914,3.0441,4530.51
2014-05-28,25.363500595092773,3.0428,4531.63
