,PE_TTM,DIVIDENDYIELD2,CLOSE
2023-09-18,10.399800300598145,5.027,1435.95
2023-09-19,10.478899955749512,4.9927,1451.03
2023-09-20,10.431699752807615,5.1801,1443.18
2023-09-21,10.375399589538574,4.935,1431.78
2023-09-22,10.46049976348877,4.8799,1450.01
2023-09-25,10.36340045928955,4.928,1433.47
2023-09-26,10.267000198364258,4.9813,1420.9
2023-09-27,10.299099922180176,4.9621,1428.57
2023-09-28,10.293499946594238,4.962,1425.99
2023-10-09,10.281900405883787,4.9796,1420.06
2023-10-10,10.165900230407717,5.0311,1389.24
2023-10-11,10.1274995803833,5.0532,1382.82
2023-10-12,10.20400047302246,5.0138,1394.58
2023-10-13,10.178500175476074,5.0436,1389.19
2023-10-16,10.194299697875977,4.9981,1392.06
2023-10-17,10.31820011138916,4.9554,1408.65
2023-10-18,10.268500328063965,4.9826,1401.41
2023-10-19,10.064599990844728,5.0903,1371.29
2023-10-20,9.95989990234375,5.132,1358.55
2023-10-23,9.878199577331545,5.1809,1343.63
2023-10-24,9.882800102233888,5.1664,1348.71
2023-10-25,9.73840045928955,5.2185,1331.42
2023-10-26,9.814900398254396,5.1772,1342.23
2023-10-27,9.828700065612791,5.1471,1347.15
2023-10-30,9.714099884033203,5.2194,1320.44
2023-10-31,9.776599884033203,5.2232,1321.81
2023-11-01,9.789600372314451,5.2231,1322.48
2023-11-02,9.815899848937988,5.2075,1327.25
2023-11-03,9.836199760437012,5.1934,1330.54
2023-11-06,9.7322998046875,5.225,1316.93
2023-11-07,9.716300010681152,5.2399,1311.89
2023-11-08,9.684300422668455,5.2616,1304.92
2023-11-09,9.724300384521484,5.2303,1313.5
2023-11-10,9.688599586486816,5.2348,1314.27
2023-11-13,9.737799644470217,5.2089,1321.73
2023-11-14,9.72659969329834,5.2102,1318.77
2023-11-15,9.819899559020996,5.1488,1330.89
2023-11-16,9.781399726867676,5.1799,1323.04
2023-11-17,9.68929958343506,5.2232,1312.05
2023-11-20,9.725099563598633,5.192,1317.72
2023-11-21,9.727399826049805,5.1879,1319.83
2023-11-22,9.727899551391602,5.206,1316.78
2023-11-23,9.790200233459473,5.1708,1321.85
2023-11-24,9.777799606323242,5.1881,1319.57
2023-11-27,9.722900390625,5.2045,1310.75
2023-11-28,9.697999954223633,5.219,1308.0
2023-11-29,9.655400276184082,5.2833,1299.07
2023-11-30,9.773200035095217,5.2382,1314.76
2023-12-01,9.774100303649902,5.2545,1317.58
2023-12-04,9.760600090026855,5.261,1316.9
2023-12-05,9.6274995803833,5.3374,1297.38
2023-12-06,9.585599899291992,5.3555,1288.72
2023-12-07,9.546099662780762,5.3811,1283.88
2023-12-08,9.5802001953125,5.4046,1291.22
2023-12-11,9.609600067138672,5.3823,1292.09
2023-12-12,9.665900230407717,5.3449,1300.21
2023-12-13,9.542699813842772,5.4221,1282.42
2023-12-14,9.544099807739258,5.4299,1281.18
2023-12-15,9.528400421142578,5.1936,1276.65
2023-12-18,9.53969955444336,5.1968,1276.71
2023-12-19,9.555100440979004,5.2015,1275.8
2023-12-20,9.523500442504885,5.2786,1272.3
2023-12-21,9.520000457763672,5.2638,1272.66
2023-12-22,9.586700439453123,5.2426,1284.61
2023-12-25,9.622599601745604,5.2288,1287.71
2023-12-26,9.63659954071045,5.2331,1289.43
2023-12-27,9.78499984741211,5.1654,1310.25
2023-12-28,9.81149959564209,5.1349,1313.35
2023-12-29,9.88379955291748,5.1141,1321.37
2024-01-02,9.88539981842041,5.1085,1325.37
2024-01-03,9.921899795532228,5.0768,1337.74
2024-01-04,9.967499732971191,5.0618,1342.23
2024-01-05,9.97469997406006,5.046,1342.79
2024-01-08,9.914400100708008,5.086,1331.54
2024-01-09,9.901900291442873,5.0844,1332.58
2024-01-10,9.81060028076172,5.1256,1320.5
2024-01-11,9.73610019683838,5.1589,1305.74
2024-01-12,9.768400192260742,5.1401,1310.29
2024-01-15,9.86110019683838,5.0986,1323.06
2024-01-16,9.87380027770996,5.0902,1323.67
2024-01-17,9.719300270080566,5.1788,1301.24
2024-01-18,9.768799781799316,5.1645,1300.67
2024-01-19,9.73390007019043,5.1834,1296.69
2024-01-22,9.587599754333496,5.2791,1275.15
2024-01-23,9.597800254821776,5.2579,1277.44
2024-01-24,9.885899543762209,5.0969,1326.43
2024-01-25,10.343799591064451,4.8692,1406.07
2024-01-26,10.462300300598145,4.8188,1423.46
2024-01-29,10.524499893188477,4.7967,1434.53
2024-01-30,10.42389965057373,4.8383,1427.63
2024-01-31,10.410099983215332,4.8554,1423.13
2024-02-01,10.246000289916992,4.9255,1396.7
2024-02-02,10.279199600219728,4.9186,1401.68
2024-02-05,10.352800369262695,4.8978,1409.62
2024-02-06,10.428400039672852,4.8316,1417.35
2024-02-07,10.499300003051758,4.7946,1432.15
2024-02-08,10.500699996948242,4.7883,1428.77
2024-02-19,10.777099609375,4.6853,1469.65
2024-02-20,10.84689998626709,4.6591,1475.66
2024-02-21,10.89330005645752,4.6325,1483.78
2024-02-22,11.12679958343506,4.5354,1521.12
2024-02-23,11.04599952697754,4.5559,1512.15
2024-02-26,10.873299598693848,4.6355,1484.18
2024-02-27,10.931500434875488,4.6173,1490.16
2024-02-28,10.829299926757812,4.6485,1479.39
2024-02-29,10.853699684143066,4.6419,1484.52
2024-03-01,10.835399627685549,4.648,1481.48
2024-03-04,11.02180004119873,4.5927,1502.92
2024-03-05,11.079700469970703,4.5688,1510.13
2024-03-06,11.078499794006348,4.5737,1507.53
2024-03-07,11.126999855041504,4.5631,1515.38
2024-03-08,11.31350040435791,4.5257,1534.9
2024-03-11,11.17020034790039,4.5648,1516.74
2024-03-12,10.94569969177246,4.6251,1480.98
2024-03-13,10.92490005493164,4.6389,1475.68
2024-03-14,10.99489974975586,4.6196,1488.75
2024-03-15,10.961999893188477,4.6224,1487.28
2024-03-18,11.020700454711914,4.6021,1498.28
2024-03-19,10.975199699401855,4.6223,1490.36
2024-03-20,11.075200080871582,4.5772,1506.16
2024-03-21,11.108099937438965,4.558,1507.88
2024-03-22,11.092399597167969,4.5952,1494.51
2024-03-25,11.15410041809082,4.5677,1504.36
2024-03-26,11.177499771118164,4.5539,1505.26
2024-03-27,11.18649959564209,4.5708,1501.67
2024-03-28,11.253100395202637,4.546,1507.87
2024-03-29,11.491299629211426,4.4741,1540.61
2024-04-01,11.406200408935549,4.4749,1539.91
2024-04-02,11.512499809265137,4.4343,1554.39
2024-04-03,11.537400245666504,4.4231,1562.64
2024-04-08,11.574999809265137,4.4068,1564.28
2024-04-09,11.472100257873535,4.4412,1543.95
2024-04-10,11.524100303649902,4.4181,1547.8
2024-04-11,11.536800384521484,4.4033,1552.28
2024-04-12,11.450599670410156,4.4304,1542.2
2024-04-15,11.76159954071045,4.3187,1599.9
2024-04-16,11.745800018310549,4.3283,1600.0
2024-04-17,11.86620044708252,4.2786,1616.38
2024-04-18,11.748499870300291,4.3142,1598.82
2024-04-19,11.852499961853027,4.2789,1619.03
2024-04-22,11.67039966583252,4.331,1593.51
2024-04-23,11.502599716186523,4.3873,1565.72
2024-04-24,11.579899787902832,4.3524,1580.33
2024-04-25,11.603099822998049,4.3255,1589.03
2024-04-26,11.629899978637695,4.2889,1601.88
2024-04-29,11.41800022125244,4.3451,1574.68
2024-04-30,11.505000114440918,4.3351,1574.72
2024-05-06,11.46090030670166,4.331,1572.61
2024-05-07,11.496399879455566,4.3194,1577.35
2024-05-08,11.483099937438965,4.324,1575.25
2024-05-09,11.531000137329102,4.2945,1583.32
2024-05-10,11.698699951171877,4.2266,1602.07
2024-05-13,11.708399772644045,4.2037,1608.88
2024-05-14,11.63759994506836,4.2282,1599.97
2024-05-15,11.571200370788574,4.2499,1590.86
2024-05-16,11.547800064086914,4.252,1592.22
2024-05-17,11.634900093078612,4.1953,1608.06
2024-05-20,11.736200332641602,4.1133,1622.06
2024-05-21,11.693400382995604,4.2032,1614.52
2024-05-22,11.661399841308594,4.2141,1615.69
2024-05-23,11.56410026550293,4.2686,1597.79
2024-05-24,11.556900024414062,4.2673,1596.82
2024-05-27,11.79259967803955,4.1621,1625.87
2024-05-28,11.81089973449707,4.1701,1629.25
2024-05-29,11.859600067138672,4.1929,1634.61
2024-05-30,11.733599662780762,4.2418,1614.12
2024-05-31,11.722299575805664,4.2318,1608.35
2024-06-03,11.832300186157228,4.1814,1615.36
2024-06-04,11.855199813842772,4.1776,1616.52
2024-06-05,11.740099906921388,4.2531,1596.92
2024-06-06,11.82069969177246,4.5437,1610.83
2024-06-07,11.895400047302246,4.5373,1617.74
2024-06-11,11.727499961853027,3.8514,1586.65
2024-06-12,11.812399864196776,3.9171,1598.32
2024-06-13,11.78339958190918,4.2205,1587.19
2024-06-14,11.72920036315918,4.2685,1586.54
2024-06-17,11.577099800109863,4.292,1560.49
2024-06-18,11.669699668884276,4.2634,1578.65
2024-06-19,11.809700012207031,4.2579,1596.04
2024-06-20,11.890600204467772,4.2104,1604.98
2024-06-21,11.864100456237791,4.2175,1601.73
2024-06-24,11.852800369262695,4.0757,1596.17
2024-06-25,11.859299659729004,4.1067,1598.26
2024-06-26,11.81190013885498,4.4057,1589.88
2024-06-27,11.786399841308594,4.5152,1580.44
2024-06-28,12.080499649047852,4.4112,1624.5
2024-07-01,12.218799591064451,3.847,1643.89
2024-07-02,12.362500190734863,3.8108,1661.49
2024-07-03,12.34980010986328,3.8179,1660.03
2024-07-04,12.335000038146973,3.8187,1659.8
2024-07-05,12.234800338745115,3.8517,1645.27
2024-07-08,12.25510025024414,3.7591,1641.51
2024-07-09,12.268799781799316,3.7494,1642.6
2024-07-10,12.047800064086914,3.8733,1610.93
2024-07-11,12.107399940490724,4.1446,1626.34
2024-07-12,12.11750030517578,4.1617,1621.11
2024-07-15,12.198800086975098,3.8162,1632.78
2024-07-16,12.223699569702148,3.9966,1632.18
2024-07-17,11.981300354003906,4.077,1604.55
2024-07-18,12.166000366210938,4.0388,1624.01
2024-07-19,12.038000106811523,4.2359,1608.85
2024-07-22,11.891900062561035,4.0914,1590.71
2024-07-23,11.811699867248535,4.1916,1578.1
2024-07-24,11.901700019836426,4.1593,1598.71
2024-07-25,11.696800231933594,4.2362,1571.5
2024-07-26,11.540900230407717,4.3312,1555.11
2024-07-29,11.631199836730955,4.2206,1573.44
2024-07-30,11.452099800109863,4.3669,1546.49
2024-07-31,11.491100311279297,4.3435,1553.81
2024-08-01,11.550200462341309,4.3257,1566.28
