,PE_TTM,DIVIDENDYIELD2,CLOSE
2018-05-22,15.913299560546877,1.9807,4558.31
2018-05-23,15.73840045928955,2.0188,4515.87
2018-05-24,15.706899642944336,2.0037,4499.12
2018-05-25,15.644700050354004,2.0102,4486.9
2018-05-28,15.716400146484377,1.9967,4512.34
2018-05-29,15.56879997253418,2.0168,4479.33
2018-05-30,15.278300285339355,2.0572,4399.42
2018-05-31,15.538800239562988,2.0813,4469.55
2018-06-01,15.481800079345703,2.1077,4452.88
2018-06-04,15.76990032196045,1.9836,4530.4
2018-06-05,15.913900375366213,2.0048,4565.33
2018-06-06,15.933500289916992,1.9743,4562.11
2018-06-07,15.968500137329102,2.1101,4572.86
2018-06-08,15.69890022277832,2.153,4509.48
2018-06-11,15.76159954071045,2.0736,4529.08
2018-06-12,15.847900390625,2.0797,4554.9
2018-06-13,15.656200408935549,2.1044,4504.35
2018-06-14,15.551899909973145,2.0922,4470.14
2018-06-15,15.486599922180176,2.0365,4464.47
2018-06-19,14.946200370788574,2.1098,4328.46
2018-06-20,15.004599571228027,2.089,4349.89
2018-06-21,14.832900047302246,2.0897,4312.68
2018-06-22,14.865900039672852,2.0995,4322.27
2018-06-25,14.554499626159668,2.1422,4240.42
2018-06-26,14.430399894714355,2.1558,4213.68
2018-06-27,14.078800201416016,2.2007,4125.42
2018-06-28,13.976699829101562,2.1994,4103.54
2018-06-29,14.36110019683838,2.1845,4213.77
2018-07-02,14.169300079345703,2.1532,4145.9
2018-07-03,14.053400039672852,2.163,4125.09
2018-07-04,13.815699577331545,2.2263,4042.34
2018-07-05,13.76099967956543,2.2601,4025.27
2018-07-06,13.8503999710083,2.1581,4062.7
2018-07-09,14.204899787902832,2.1034,4158.78
2018-07-10,14.167099952697754,2.1145,4153.81
2018-07-11,13.931400299072266,2.1669,4096.99
2018-07-12,14.101499557495115,2.2055,4153.84
2018-07-13,14.146699905395508,2.2116,4175.35
2018-07-16,14.067399978637695,2.1775,4157.93
2018-07-17,13.95580005645752,2.1965,4123.2
2018-07-18,13.924099922180176,2.1962,4120.01
2018-07-19,13.870699882507324,2.1993,4122.77
2018-07-20,14.051300048828123,2.1626,4189.37
2018-07-23,14.091400146484377,2.132,4206.71
2018-07-24,14.296299934387209,2.1051,4276.74
2018-07-25,14.39150047302246,2.0769,4298.81
2018-07-26,14.272299766540527,2.1023,4261.47
2018-07-27,14.261799812316896,2.0939,4266.18
2018-07-30,14.239800453186035,2.1093,4251.17
2018-07-31,14.102800369262695,2.1572,4232.24
2018-08-01,13.912099838256836,2.1681,4157.85
2018-08-02,13.470800399780272,2.23,4057.38
2018-08-03,13.378499984741213,2.2394,4039.7
2018-08-06,13.293100357055664,2.2373,4004.95
2018-08-07,13.593299865722656,2.1782,4112.77
2018-08-08,13.511300086975098,2.188,4088.43
2018-08-09,13.84340000152588,2.15,4171.48
2018-08-10,13.764800071716309,2.1517,4173.98
2018-08-13,13.55840015411377,2.1616,4129.71
2018-08-14,13.363699913024902,2.1945,4084.79
2018-08-15,12.99240016937256,2.2653,3986.87
2018-08-16,12.933899879455566,2.2727,3977.83
2018-08-17,12.928000450134276,2.3018,3956.5
2018-08-20,13.172900199890137,2.2413,4017.13
2018-08-21,13.127699851989746,2.2535,4061.58
2018-08-22,13.15470027923584,2.2742,4076.17
2018-08-23,13.151399612426758,2.3212,4081.14
2018-08-24,13.084699630737305,2.3479,4083.91
2018-08-27,13.409299850463867,2.2705,4168.44
2018-08-28,13.373900413513184,2.2821,4169.91
2018-08-29,13.387499809265137,2.2846,4172.42
2018-08-30,13.300999641418455,2.2656,4134.38
2018-08-31,13.119799613952637,2.2899,4095.6
2018-09-03,12.982199668884276,2.3098,4057.39
2018-09-04,13.159299850463867,2.29,4115.99
2018-09-05,12.793800354003906,2.2954,4008.68
2018-09-06,12.602800369262695,2.4138,3949.0
2018-09-07,12.63539981842041,2.4022,3961.69
2018-09-10,12.518600463867188,2.4312,3912.3
2018-09-11,12.357799530029297,2.4758,3882.91
2018-09-12,12.293999671936035,2.4915,3864.26
2018-09-13,12.63659954071045,2.4343,3946.16
2018-09-14,12.789799690246582,2.408,3986.81
2018-09-17,12.61359977722168,2.4638,3941.91
2018-09-18,12.73550033569336,2.4649,3988.17
2018-09-19,12.934300422668455,2.3912,4047.18
2018-09-20,12.87969970703125,2.3974,4049.11
2018-09-21,13.26509952545166,2.3479,4168.77
2018-09-25,13.030500411987305,2.3407,4107.34
2018-09-26,13.120699882507324,2.3123,4137.77
2018-09-27,13.022600173950195,2.3267,4108.51
2018-09-28,13.036700248718262,2.423,4116.32
2018-10-08,12.336600303649902,2.561,3914.0
2018-10-09,12.316499710083008,2.5631,3915.37
2018-10-10,12.237899780273438,2.5813,3892.64
2018-10-11,11.639100074768066,2.71,3710.4
2018-10-12,11.958800315856934,2.6391,3793.9
2018-10-15,11.775500297546388,2.6923,3740.26
2018-10-16,11.728799819946287,2.7084,3720.61
2018-10-17,11.741399765014648,2.7061,3727.12
2018-10-18,11.613100051879885,2.7181,3686.95
2018-10-19,11.834400177001951,2.6672,3762.65
2018-10-22,12.23859977722168,2.577,3892.04
2018-10-23,11.862899780273438,2.6563,3778.46
2018-10-24,11.870400428771973,2.6566,3783.67
2018-10-25,11.824999809265137,2.6695,3777.41
2018-10-26,11.732799530029297,2.7118,3736.77
2018-10-29,11.538200378417969,2.781,3657.42
2018-10-30,11.512700080871582,2.7875,3660.4
2018-10-31,11.775099754333496,2.7069,3734.02
2018-11-01,11.982099533081056,2.6488,3795.68
