,PE_TTM,DIVIDENDYIELD2,CLOSE
2002-07-01,8.483699798583984,3.5778,2167.39
2002-07-02,8.47760009765625,3.5704,2171.88
2002-07-03,8.720499992370605,3.4799,2228.27
2002-07-04,8.794899940490723,3.4537,2245.2
2002-07-05,8.663100242614746,3.4922,2220.41
2002-07-08,8.698100090026855,3.4854,2224.86
2002-07-09,8.743200302124023,3.4712,2233.78
2002-07-10,8.692899703979492,3.4929,2220.09
2002-07-11,8.613900184631348,3.5218,2201.83
2002-07-12,8.713600158691406,3.4947,2218.8
2002-07-15,8.589599609375,3.5352,2193.49
2002-07-16,8.588500022888184,3.5506,2183.83
2002-07-17,8.344300270080566,4.8153,2117.01
2002-07-18,8.307900428771973,4.8414,2105.4
2002-07-19,8.135000228881836,4.9333,2066.24
2002-07-22,7.809299945831299,5.1618,1974.73
2002-07-23,7.85669994354248,5.0873,2003.89
2002-07-24,7.757699966430664,5.1624,1974.72
2002-07-25,7.810400009155273,5.1723,1970.68
2002-07-26,7.6921000480651855,5.2717,1933.53
2002-07-29,7.832699775695801,5.1893,1964.25
2002-07-30,8.022199630737305,5.0418,2021.68
2002-07-31,8.116600036621094,4.9809,2046.5
2002-08-01,8.038999557495117,5.0315,2026.23
2002-08-02,7.783400058746338,5.2019,1959.94
2002-08-05,7.5742998123168945,5.3248,1914.05
2002-08-06,7.451700210571289,5.4413,1873.34
2002-08-07,7.580900192260742,5.3289,1912.72
2002-08-08,7.616099834442139,5.3103,1919.29
2002-08-09,7.773900032043457,5.2368,1946.6
2002-08-12,7.597899913787842,5.3694,1898.28
2002-08-13,7.651999950408935,5.3446,1907.18
2002-08-14,7.607600212097168,5.39,1891.01
2002-08-15,7.723999977111816,5.3043,1921.93
2002-08-16,8.23069953918457,5.2868,1928.27
2002-08-19,8.322400093078613,5.2096,1956.72
2002-08-20,8.429499626159668,5.1472,1980.57
2002-08-21,8.465499877929688,5.0859,1994.31
2002-08-22,8.45199966430664,5.0587,2005.32
2002-08-23,8.355500221252441,5.107,1986.05
2002-08-26,8.3927001953125,5.109,1985.45
2002-08-27,8.293700218200684,5.1987,1951.4
2002-08-28,8.173700332641602,5.251,1916.43
2002-08-29,9.13070011138916,5.2849,1903.69
2002-08-30,9.211899757385254,5.2573,1923.63
2002-09-02,9.40880012512207,5.1738,1954.62
2002-09-03,9.3572998046875,5.2025,1943.73
2002-09-04,9.297699928283691,5.218,1937.95
2002-09-05,9.257800102233888,5.2508,1925.97
2002-09-06,9.244600296020508,5.2793,1915.49
2002-09-09,9.36139965057373,5.2247,1935.3
2002-09-10,9.544500350952148,5.1328,1970.02
2002-09-11,9.345999717712402,6.0006,1952.05
2002-09-12,9.324399948120115,6.3937,1952.71
2002-09-13,9.268699645996094,5.3313,1924.71
2002-09-16,9.214900016784668,5.3841,1905.87
2002-09-17,9.21969985961914,5.3352,1923.31
2002-09-18,9.121700286865234,5.3876,1904.55
2002-09-19,9.288599967956545,5.35,1926.09
2002-09-20,9.27589988708496,5.3639,1914.07
2002-09-23,9.276399612426758,5.3808,1908.21
2002-09-24,9.303299903869627,5.385,1906.87
2002-09-25,9.284899711608888,5.3936,1903.51
2002-09-26,9.285099983215332,5.3781,1908.98
2002-09-27,9.225099563598633,5.3868,1905.87
2002-10-08,8.760600090026855,5.7502,1785.33
2002-10-09,8.816200256347656,5.7166,1795.81
2002-10-10,8.642000198364258,5.8519,1754.22
2002-10-11,8.71969985961914,5.8049,1768.58
2002-10-14,8.71969985961914,5.8049,1768.58
2002-10-15,8.710599899291992,5.7596,1782.56
2002-10-16,8.894499778747559,5.6277,1824.37
2002-10-17,9.029600143432615,5.4773,1874.42
2002-10-18,8.958100318908691,5.4877,1871.03
2002-10-21,8.82390022277832,5.5465,1852.25
2002-10-22,8.717499732971191,5.5737,1842.21
2002-10-23,8.877699851989746,5.4435,1886.31
2002-10-24,8.826800346374512,5.4845,1872.19
2002-10-25,8.819499969482422,5.4956,1868.42
2002-10-28,8.89109992980957,5.4412,1886.92
2002-10-29,8.596400260925293,5.6436,1819.36
2002-10-30,8.693900108337402,5.5895,1836.98
2002-10-31,8.67490005493164,5.6076,1830.95
2002-11-01,8.65310001373291,5.6058,1831.42
2002-11-04,8.799400329589844,5.51,1863.6
2002-11-05,8.764900207519531,5.5175,1860.88
2002-11-06,8.732500076293945,5.5442,1852.0
2002-11-07,8.812600135803223,5.5204,1859.96
2002-11-08,8.93239974975586,5.4294,1891.15
2002-11-11,8.940400123596191,5.4445,1885.99
2002-11-12,8.895500183105469,5.4836,1872.45
2002-11-13,8.86989974975586,5.5079,1864.37
2002-11-14,8.798299789428711,5.5158,1861.49
2002-11-15,8.883299827575684,5.441,1887.1
2002-11-18,8.844799995422363,5.4621,1880.06
2002-11-19,8.850500106811523,5.4614,1880.07
2002-11-20,8.814499855041504,5.4946,1868.73
2002-11-21,8.807900428771973,5.5004,1866.71
2002-11-22,8.839099884033203,5.4835,1872.55
2002-11-25,8.871299743652344,5.4495,1883.96
2002-11-26,8.86240005493164,5.4603,1880.49
2002-11-27,8.828200340270996,5.486,1871.75
2002-11-28,8.932100296020508,5.404,1900.26
2002-11-29,8.961899757385254,5.3825,1907.97
2002-12-02,9.076000213623049,5.2892,1941.68
2002-12-03,9.264699935913086,5.1861,1980.32
2002-12-04,9.110300064086914,5.2735,1947.16
2002-12-05,9.240900039672852,5.216,1968.97
2002-12-06,9.254799842834473,5.2034,1973.81
2002-12-09,9.249500274658203,5.2045,1973.42
2002-12-10,9.22070026397705,5.2223,1966.51
2002-12-11,9.225199699401855,5.2087,1971.56
2002-12-12,9.348799705505373,5.1411,1997.45
2002-12-13,9.430700302124023,5.1072,2010.83
2002-12-16,9.410699844360352,5.13,2001.84
2002-12-17,9.567700386047363,5.0228,2044.53
2002-12-18,9.536800384521484,5.0305,2041.74
2002-12-19,9.46780014038086,5.0566,2030.9
2002-12-20,9.543299674987791,5.0126,2048.68
2002-12-23,9.485300064086914,5.0416,2036.99
2002-12-24,9.569000244140623,5.0016,2053.14
2002-12-25,9.569000244140623,5.0016,2053.14
2002-12-26,9.569000244140623,5.0016,2053.14
2002-12-27,9.59939956665039,4.9898,2057.98
2002-12-30,9.378600120544434,5.1498,1993.26
2002-12-31,9.35200023651123,5.1486,1990.44
2003-01-02,9.425800323486328,5.1037,2007.53
2003-01-03,9.522000312805176,5.0235,2039.6
2003-01-06,9.569499969482422,5.0048,2047.64
2003-01-07,9.595399856567385,4.963,2064.27
2003-01-08,9.688400268554688,4.907,2088.43
2003-01-09,9.797499656677246,4.8215,2125.41
2003-01-10,9.908100128173828,4.7677,2149.4
2003-01-13,10.056099891662598,4.6916,2184.25
2003-01-14,10.02299976348877,4.7239,2169.39
2003-01-15,9.929800033569336,4.7836,2142.33
2003-01-16,9.985899925231934,4.7779,2144.89
2003-01-17,9.909600257873535,4.8173,2127.34
2003-01-20,9.878100395202637,4.8186,2127.39
2003-01-21,9.951899528503418,4.7427,2160.71
2003-01-22,9.931400299072266,4.7538,2155.48
2003-01-23,9.871500015258787,4.795,2137.5
2003-01-24,9.916999816894531,4.7967,2135.3
2003-01-27,9.89109992980957,4.8305,2121.51
2003-01-28,9.913200378417969,4.818,2127.65
2003-01-29,10.021599769592283,4.7691,2148.85
2003-02-10,10.21500015258789,4.6398,2208.81
2003-02-11,10.113800048828123,4.6658,2196.49
2003-02-12,10.332599639892578,4.5709,2242.0
2003-02-13,10.231200218200684,4.6243,2216.21
2003-02-14,10.107799530029297,4.6986,2180.73
2003-02-17,10.04640007019043,4.7,2180.65
2003-02-18,10.12600040435791,4.6727,2193.12
2003-02-19,10.102399826049805,4.6723,2193.09
2003-02-20,10.171899795532228,4.6482,2204.33
2003-02-21,10.072400093078612,4.6908,2184.72
2003-02-24,10.092300415039062,4.6842,2187.88
2003-02-25,10.20709991455078,4.6469,2205.08
2003-02-26,10.126700401306152,4.674,2192.83
2003-02-27,10.11870002746582,4.6884,2185.92
2003-02-28,10.158499717712402,4.6636,2197.43
2003-03-03,10.679699897766112,4.0465,2211.01
2003-03-04,10.543399810791016,4.1016,2181.27
2003-03-05,10.402899742126465,4.1802,2140.17
2003-03-06,10.169599533081056,4.3235,2084.53
2003-03-07,10.115300178527832,4.3541,2069.69
2003-03-10,10.14080047607422,4.3598,2067.4
2003-03-11,10.15149974822998,4.343,2075.29
2003-03-12,10.240599632263184,4.2859,2102.94
2003-03-13,10.27560043334961,4.2708,2110.36
2003-03-14,10.346500396728516,4.0389,2136.96
2003-03-17,10.286499977111816,4.0634,2123.73
2003-03-18,10.330900192260742,4.0408,2135.89
2003-03-19,10.307100296020508,4.043,2135.24
2003-03-20,10.36620044708252,4.0332,2140.04
2003-03-21,10.371399879455566,4.0189,2147.53
2003-03-24,10.388799667358398,3.8325,2152.22
2003-03-25,10.377599716186523,3.8263,2155.68
2003-03-26,10.378600120544434,3.7855,2178.6
2003-03-27,10.39900016784668,3.9214,2179.14
2003-03-28,10.012399673461914,3.7577,2232.03
2003-03-31,8.944299697875977,3.8343,2187.04
2003-04-01,8.951700210571289,3.8269,2191.7
2003-04-02,8.983799934387207,3.8121,2200.23
2003-04-03,8.923500061035156,3.8341,2187.77
2003-04-04,8.964799880981445,3.8189,2196.2
2003-04-07,9.015199661254885,3.7718,2199.85
2003-04-08,8.95300006866455,3.7942,2186.72
2003-04-09,8.89490032196045,3.818,2173.21
2003-04-10,8.92199993133545,3.8071,2179.38
2003-04-11,8.990099906921387,3.7809,2194.36
2003-04-14,8.843999862670898,3.55,2176.73
2003-04-15,8.855999946594238,3.5602,2180.21
2003-04-16,8.93809986114502,3.5913,2194.27
2003-04-17,8.943900108337402,3.5949,2192.47
2003-04-18,8.943900108337402,3.5949,2192.47
2003-04-21,8.943900108337402,3.5949,2192.47
2003-04-22,8.840499877929688,3.7092,2162.22
2003-04-23,8.613100051879883,3.8676,2081.93
2003-04-24,7.684100151062012,5.3039,2071.91
2003-04-25,7.784999847412109,5.1479,2088.17
2003-04-28,7.92710018157959,5.0414,2133.41
2003-04-29,8.181900024414062,4.878,2205.03
2003-04-30,8.193599700927734,4.8251,2204.85
2003-05-12,8.224599838256836,4.3313,2192.07
2003-05-13,8.239100456237793,4.2965,2209.91
2003-05-14,8.200499534606934,4.4296,2206.87
2003-05-15,8.24470043182373,4.405,2218.94
2003-05-16,8.242300033569336,4.4323,2221.08
2003-05-19,8.304200172424316,4.3649,2244.17
2003-05-20,8.340800285339355,4.3426,2255.69
2003-05-21,8.54539966583252,4.2125,2325.3
2003-05-22,8.845199584960938,4.119,2397.99
2003-05-23,8.8503999710083,4.1325,2397.63
2003-05-26,9.279500007629396,3.9839,2504.81
2003-05-27,9.064499855041504,4.0604,2457.59
2003-05-28,9.147000312805176,3.9239,2474.51
2003-05-29,9.014900207519531,4.088,2441.2
2003-05-30,9.057700157165527,4.0565,2460.23
2003-06-02,9.294400215148926,3.9636,2517.57
2003-06-03,9.290300369262695,3.9757,2510.19
2003-06-04,9.290300369262695,3.9757,2510.19
2003-06-05,9.386199951171877,3.9668,2516.2
2003-06-06,9.412500381469728,3.9572,2521.71
2003-06-09,9.576499938964844,3.91,2552.12
2003-06-10,9.452799797058104,3.9384,2533.81
2003-06-11,9.490500450134276,3.9152,2549.0
2003-06-12,9.746000289916992,4.4063,2623.41
2003-06-13,9.93000030517578,4.2929,2692.81
2003-06-16,9.780500411987305,4.3471,2658.98
2003-06-17,9.899399757385254,4.3227,2673.86
2003-06-18,9.845800399780272,4.3539,2655.28
