,PE_TTM,DIVIDENDYIELD2,CLOSE
2006-09-11,14.362000465393066,1.9663,4501.98
2006-09-12,14.403599739074709,1.9738,4523.13
2006-09-13,14.47760009765625,2.0978,4550.36
2006-09-14,14.49020004272461,1.9839,4551.1
2006-09-15,14.462900161743164,1.9868,4543.03
2006-09-18,14.56070041656494,1.9713,4584.88
2006-09-19,14.601400375366213,1.9744,4597.32
2006-09-20,14.699700355529783,1.9495,4637.53
2006-09-21,14.824000358581545,1.9436,4673.7
2006-09-22,14.818699836730955,1.9455,4675.26
2006-09-25,14.775799751281738,1.9245,4668.73
2006-09-26,14.525500297546388,1.9637,4579.8
2006-09-27,14.718299865722656,1.9323,4651.2
2006-09-28,14.784299850463867,1.9349,4665.44
2006-09-29,14.793700218200684,1.9328,4670.21
2006-10-09,14.750699996948242,1.9154,4656.93
2006-10-10,14.914600372314451,1.8921,4713.6
2006-10-11,14.999500274658203,1.8798,4747.12
2006-10-12,15.134200096130373,1.8653,4781.3
2006-10-13,15.262499809265137,1.8443,4814.12
2006-10-16,15.357500076293944,1.8397,4840.09
2006-10-17,15.404399871826172,1.8339,4858.62
2006-10-18,15.45829963684082,1.8291,4884.06
2006-10-19,15.426799774169922,1.8351,4872.09
2006-10-20,15.225700378417969,1.8217,4909.35
2006-10-23,15.112000465393066,1.8345,4875.06
2006-10-24,15.21339988708496,1.8215,4906.6
2006-10-25,15.2322998046875,1.8186,4918.86
2006-10-26,15.40470027923584,1.7874,4972.44
2006-10-27,15.17590045928955,1.8108,4901.11
2006-10-30,14.88860034942627,1.8108,4901.11
2006-10-31,14.981300354003906,1.8029,4930.86
2006-11-01,15.100099563598633,1.7908,4965.85
2006-11-02,15.271599769592283,1.7587,5024.91
2006-11-03,15.288000106811523,1.7545,5027.53
2006-11-06,15.500699996948242,1.7288,5097.91
2006-11-07,15.493200302124023,1.7394,5099.87
2006-11-08,15.41409969329834,1.757,5083.89
2006-11-09,15.69760036468506,1.721,5190.39
2006-11-10,15.69950008392334,1.725,5187.8
