,PE_TTM,DIVIDENDYIELD2,CLOSE
2015-08-17,22.55590057373047,1.2382,3676.96
2015-08-18,21.943199157714844,1.2675,3590.23
2015-08-19,21.725400924682617,1.2746,3574.56
2015-08-20,20.60930061340332,1.3427,3399.89
2015-08-21,19.813899993896484,1.3897,3282.8
2015-08-24,18.20190048217773,1.4794,3085.18
2015-08-25,18.05290031433105,1.4613,3126.45
2015-08-26,18.100400924682617,1.4445,3160.95
2015-08-27,19.01129913330078,1.4522,3312.49
2015-08-28,19.29490089416504,1.4381,3355.76
2015-08-31,19.1884994506836,1.3724,3365.81
2015-09-01,18.463499069213867,1.4246,3248.12
2015-09-02,18.39699935913086,1.4295,3241.81
2015-09-07,18.78709983825684,1.3892,3312.93
2015-09-08,19.23859977722168,1.3608,3388.63
2015-09-09,19.710399627685547,1.3292,3467.1
2015-09-10,19.36230087280273,1.3836,3406.95
2015-09-11,19.32570075988769,1.3432,3400.28
2015-09-14,20.186500549316406,1.2306,3398.06
2015-09-15,19.824800491333008,1.2819,3309.24
2015-09-16,20.23940086364746,1.2859,3374.34
2015-09-17,20.39119911193848,1.2419,3391.65
2015-09-18,20.7101993560791,1.2248,3440.7
2015-09-21,20.65900039672852,1.2098,3439.95
2015-09-22,20.57740020751953,1.2131,3430.11
2015-09-23,20.175199508666992,1.2357,3369.49
2015-09-24,20.43950080871582,1.2197,3407.67
2015-09-25,20.19729995727539,1.3548,3378.17
2015-09-28,20.19729995727539,1.3421,3378.17
2015-09-29,19.77720069885254,1.3679,3307.29
2015-09-30,19.644699096679688,1.3682,3307.16
2015-10-08,20.8710994720459,1.2875,3522.92
2015-10-09,20.98660087585449,1.2806,3548.88
2015-10-12,21.168500900268555,1.2695,3578.73
2015-10-13,20.97319984436035,1.3098,3544.4
2015-10-14,20.79750061035156,1.3205,3515.63
2015-10-15,20.988300323486328,1.2809,3546.56
2015-10-16,20.982999801635746,1.2806,3553.02
2015-10-19,21.260299682617188,1.2613,3602.1
2015-10-20,21.39900016784668,1.2534,3628.11
2015-10-21,21.39900016784668,1.2534,3628.11
2015-10-22,21.36590003967285,1.2594,3614.96
2015-10-23,21.34910011291504,1.2847,3599.51
2015-10-26,21.392099380493164,1.2829,3608.97
2015-10-27,21.34760093688965,1.2839,3609.06
2015-10-28,21.29789924621582,1.2874,3600.88
2015-10-29,21.39419937133789,1.2888,3598.04
2015-10-30,21.447599411010746,1.2873,3600.36
2015-11-02,21.32869911193848,1.2961,3579.57
2015-11-03,21.29389953613281,1.2942,3585.72
2015-11-04,21.61669921875,1.2766,3635.63
2015-11-05,21.79899978637696,1.2664,3655.5
2015-11-06,21.952999114990234,1.2577,3677.66
2015-11-09,21.81800079345703,1.2626,3661.24
2015-11-10,21.57080078125,1.2773,3619.09
2015-11-11,21.65880012512207,1.2706,3638.38
2015-11-12,21.882999420166016,1.2592,3670.26
2015-11-13,21.667600631713867,1.271,3636.33
2015-11-16,21.27359962463379,1.2968,3564.8
2015-11-17,21.373699188232425,1.2873,3592.76
2015-11-18,21.17790031433105,1.301,3557.96
2015-11-19,21.14430046081543,1.2977,3565.41
2015-11-20,21.3439998626709,1.2871,3593.5
2015-11-23,21.45479965209961,1.2617,3611.95
2015-11-24,21.69750022888184,1.2477,3653.56
2015-11-25,21.781299591064453,1.2394,3674.24
2015-11-26,21.69059944152832,1.2444,3663.35
2015-11-27,21.300600051879883,1.2671,3598.92
2015-11-30,21.40439987182617,1.2537,3632.03
2015-12-01,21.714399337768555,1.2355,3690.91
2015-12-02,22.3341007232666,1.198,3812.24
2015-12-03,22.48469924926757,1.1906,3842.49
2015-12-04,22.32390022277832,1.1987,3813.02
2015-12-07,22.44099998474121,1.1887,3851.4
2015-12-08,22.10449981689453,1.2068,3792.08
2015-12-09,21.71430015563965,1.2312,3716.85
2015-12-10,21.598800659179688,1.2376,3694.25
2015-12-11,20.96649932861328,1.2753,3578.28
2015-12-14,20.749500274658203,1.2806,3561.56
2015-12-15,20.64200019836425,1.2769,3560.29
2015-12-16,20.80730056762696,1.2675,3586.87
2015-12-17,21.04400062561035,1.2569,3619.61
2015-12-18,20.973499298095703,1.2621,3600.88
2015-12-21,21.293800354003903,1.2539,3635.76
2015-12-22,21.312599182128903,1.2489,3649.03
2015-12-23,21.527299880981445,1.234,3686.6
2015-12-24,21.521699905395508,1.2338,3685.43
2015-12-25,21.521699905395508,1.2338,3685.43
2015-12-28,21.249000549316406,1.2955,3652.49
2015-12-29,21.32939910888672,1.2913,3667.27
2015-12-30,21.33329963684082,1.289,3668.63
2015-12-31,21.65279960632324,1.2686,3719.16
2016-01-04,20.896299362182617,1.2717,3591.22
2016-01-05,20.923099517822266,1.2691,3597.18
2016-01-06,21.02630043029785,1.2588,3623.5
2016-01-07,20.31049919128418,1.3264,3502.61
2016-01-08,20.05220031738281,1.3569,3443.96
2016-01-11,19.244400024414062,1.4065,3312.01
2016-01-12,19.16399955749512,1.4158,3295.63
2016-01-13,19.22520065307617,1.416,3295.32
2016-01-14,19.050600051879883,1.4306,3260.3
2016-01-15,18.88500022888184,1.4382,3238.68
2016-01-18,18.42140007019043,1.469,3164.32
2016-01-19,18.679800033569336,1.4506,3206.25
2016-01-20,17.889400482177734,1.5127,3074.35
2016-01-21,17.36039924621582,1.564,2984.31
2016-01-22,17.774499893188477,1.532,3049.89
2016-01-25,17.956499099731445,1.5126,3092.16
2016-01-26,17.640499114990234,1.5403,3034.45
2016-01-27,17.651399612426758,1.542,3033.6
2016-01-28,17.34939956665039,1.5881,2976.67
2016-01-29,17.70840072631836,1.5665,3029.11
2016-02-01,17.78070068359375,1.5564,3044.16
2016-02-02,17.750900268554688,1.5531,3049.78
2016-02-03,17.266300201416016,1.5938,2973.8
2016-02-04,17.36039924621582,1.5871,2989.03
2016-02-05,17.781299591064453,1.5345,3024.29
2016-02-15,17.632400512695312,1.5452,2999.15
2016-02-16,17.94860076904297,1.5192,3050.11
2016-02-17,17.767000198364258,1.5382,3016.43
2016-02-18,18.424999237060547,1.4848,3124.72
2016-02-19,18.53199958801269,1.4738,3143.79
2016-02-22,18.702600479125977,1.4596,3173.71
2016-02-23,18.58880043029785,1.4713,3150.5
2016-02-24,18.304000854492188,1.4922,3107.85
2016-02-25,17.890399932861328,1.5282,3036.3
2016-02-26,18.151899337768555,1.5,3093.32
2016-02-29,17.9325008392334,1.5196,3056.98
2016-03-01,18.11720085144043,1.5086,3081.55
2016-03-02,18.47170066833496,1.4818,3136.52
2016-03-03,18.4143009185791,1.4887,3125.88
2016-03-04,18.515199661254883,1.4868,3136.78
2016-03-07,18.699800491333008,1.4784,3159.01
2016-03-08,18.440399169921875,1.4974,3119.36
2016-03-09,18.36720085144043,1.4973,3113.69
2016-03-10,18.222299575805664,1.5102,3088.59
2016-03-11,18.77389907836914,1.4991,3116.91
2016-03-14,19.12190055847168,1.4556,3146.32
2016-03-15,18.83639907836914,1.4778,3099.62
2016-03-16,18.63610076904297,1.4955,3067.36
2016-03-17,18.825899124145508,1.4773,3102.99
2016-03-18,19.02140045166016,1.47,3120.21
2016-03-21,19.39119911193848,1.4446,3176.66
2016-03-22,19.895000457763672,1.4222,3229.02
2016-03-23,19.7283992767334,1.43,3208.99
2016-03-24,19.75659942626953,1.4243,3218.74
2016-03-25,19.75659942626953,1.4243,3218.74
2016-03-28,19.62929916381836,1.4243,3218.74
2016-03-29,19.44409942626953,1.4339,3201.17
2016-03-30,20.01129913330078,1.4143,3246.67
2016-03-31,21.323400497436523,1.4023,3280.57
2016-04-01,20.98760032653809,1.4255,3231.95
2016-04-05,20.96489906311035,1.427,3226.16
2016-04-06,21.111400604248047,1.4171,3248.41
2016-04-07,21.29290008544922,1.4049,3276.68
2016-04-08,21.29700088500977,1.4008,3284.13
2016-04-11,21.60980033874512,1.382,3333.71
2016-04-12,21.537900924682617,1.3871,3321.7
2016-04-13,21.69939994812012,1.3796,3341.84
2016-04-14,21.622100830078125,1.3854,3326.39
2016-04-15,21.79360008239746,1.3756,3348.01
2016-04-18,21.61030006408692,1.3841,3326.71
2016-04-19,21.71540069580078,1.381,3334.3
2016-04-20,21.26140022277832,1.411,3263.39
2016-04-21,21.435800552368164,1.3952,3298.43
2016-04-22,21.24180030822754,1.4105,3265.69
2016-04-25,21.021299362182617,1.4139,3258.28
2016-04-26,20.667800903320312,1.4998,3211.93
2016-04-27,20.761699676513672,1.4937,3225.1
2016-04-28,20.40019989013672,1.5007,3210.8
2016-04-29,20.403600692749023,1.4992,3218.12
2016-05-03,20.425600051879883,1.5013,3217.93
2016-05-04,20.447200775146484,1.5013,3219.31
2016-05-05,20.42770004272461,1.5015,3217.13
2016-05-06,19.915700912475582,1.4772,3138.99
2016-05-09,19.882999420166016,1.4786,3131.51
2016-05-10,20.045000076293945,1.4663,3154.79
2016-05-11,20.11479949951172,1.4667,3158.62
2016-05-12,19.87809944152832,1.3431,3118.07
2016-05-13,19.75690078735352,1.3094,3104.46
2016-05-16,19.819499969482425,1.2933,3114.71
2016-05-17,20.18589973449707,1.2686,3152.72
2016-05-18,19.819700241088867,1.3059,3118.73
2016-05-19,19.799999237060547,1.3128,3103.69
2016-05-20,19.79680061340332,1.3284,3097.5
2016-05-23,19.7283992767334,1.2988,3077.1
2016-05-24,19.80649948120117,1.3385,3086.11
2016-05-25,19.788799285888672,1.3371,3086.03
2016-05-26,19.66710090637207,1.3406,3080.6
2016-05-27,19.93199920654297,1.3234,3122.96
2016-05-30,20.074199676513672,1.1027,3148.52
2016-05-31,20.20490074157715,1.1197,3169.3
2016-06-01,20.10759925842285,1.128,3145.44
2016-06-02,20.167200088500977,1.3629,3155.29
2016-06-03,20.22529983520508,1.3868,3159.53
2016-06-06,20.38949966430664,1.3065,3177.28
2016-06-07,20.53779983520508,1.2954,3209.27
2016-06-08,20.488000869750977,1.3015,3194.75
2016-06-13,19.67410087585449,1.2833,3070.09
2016-06-14,19.603900909423828,1.3343,3057.4
2016-06-15,19.66209983825684,1.3565,3061.53
2016-06-16,19.31760025024414,1.3979,3018.8
2016-06-17,19.392200469970703,1.4254,3030.42
2016-06-20,19.60400009155273,1.2814,3061.64
2016-06-21,19.55340003967285,1.4821,3054.02
2016-06-22,19.6884994506836,1.4716,3076.1
2016-06-23,19.75379943847656,1.4892,3083.82
2016-06-24,19.282699584960938,1.5255,3011.39
2016-06-27,19.272899627685547,1.3861,3012.67
2016-06-28,19.23390007019043,1.42,3008.77
2016-06-29,19.570499420166016,1.3973,3054.83
2016-06-30,19.89800071716309,1.3747,3103.54
2016-07-01,19.89800071716309,1.3747,3103.54
2016-07-04,20.123300552368164,1.3562,3137.22
2016-07-05,19.76359939575196,1.3819,3081.29
2016-07-06,19.595600128173828,1.3931,3057.28
2016-07-07,19.935300827026367,1.3719,3106.48
2016-07-08,19.99469947814941,1.3679,3113.66
2016-07-11,20.261699676513672,1.3535,3147.8
2016-07-12,20.64240074157715,1.328,3205.88
2016-07-13,20.6963005065918,1.3237,3216.27
2016-07-14,20.7593994140625,1.319,3226.34
2016-07-15,20.75690078735352,1.4,3226.06
2016-07-18,20.46629905700684,1.4213,3178.83
2016-07-19,20.41419982910156,1.4216,3176.94
2016-07-20,20.40139961242676,1.4263,3166.67
2016-07-21,20.480600357055664,1.4244,3172.35
2016-07-22,20.35840034484864,1.4311,3157.94
2016-07-25,20.562599182128903,1.4194,3182.66
2016-07-26,20.55719947814941,1.416,3189.7
2016-07-27,20.659799575805664,1.411,3199.24
2016-07-28,20.58060073852539,1.4186,3185.99
2016-07-29,20.096399307250977,1.4517,3112.48
2016-08-01,20.397899627685547,1.4081,3158.17
2016-08-02,20.397899627685547,1.4081,3158.17
2016-08-03,20.370899200439453,1.4095,3152.33
2016-08-04,20.3656005859375,1.3694,3153.96
2016-08-05,20.5004997253418,1.3618,3172.46
2016-08-08,20.74570083618164,1.3506,3199.83
2016-08-09,20.890600204467773,1.342,3219.09
2016-08-10,20.913000106811523,1.3386,3226.08
2016-08-11,21.180200576782227,1.3225,3262.0
2016-08-12,21.178300857543945,1.3271,3252.58
2016-08-15,21.58320045471192,1.3279,3250.04
2016-08-16,21.72800064086914,1.3251,3262.27
2016-08-17,21.829099655151367,1.3255,3260.11
2016-08-18,22.066999435424805,1.3211,3268.24
2016-08-19,22.24959945678711,1.3208,3273.46
2016-08-22,21.70929908752441,1.3224,3267.47
2016-08-23,21.5137996673584,1.3252,3261.44
2016-08-24,21.647899627685547,1.3109,3306.99
2016-08-25,21.83699989318848,1.3242,3273.39
2016-08-26,22.254499435424805,1.2996,3324.38
2016-08-29,22.1205997467041,1.2399,3322.36
2016-08-30,22.355499267578125,1.2267,3361.08
2016-08-31,22.367300033569336,1.2303,3350.64
2016-09-01,22.449499130249023,1.2278,3361.1
2016-09-02,22.78870010375977,1.2897,3407.6
2016-09-05,22.55940055847168,1.4815,3458.44
2016-09-06,22.81279945373535,1.4633,3501.73
2016-09-07,22.59600067138672,1.4787,3465.33
2016-09-08,22.69650077819824,1.4731,3482.46
2016-09-09,22.467500686645508,1.4858,3449.67
2016-09-12,21.894699096679688,1.4856,3369.02
2016-09-13,21.80730056762696,1.4884,3363.25
2016-09-14,21.72080039978028,1.5056,3349.42
2016-09-19,22.066200256347656,1.496,3398.07
2016-09-20,22.167299270629883,1.4927,3410.1
2016-09-21,22.39539909362793,1.5021,3448.88
2016-09-22,22.67790031433105,1.488,3484.25
2016-09-23,22.471799850463867,1.4976,3458.44
2016-09-26,22.0093994140625,1.4101,3387.3
2016-09-27,22.203800201416016,1.3991,3414.59
2016-09-28,22.30120086669922,1.3913,3432.87
2016-09-29,22.51639938354492,1.3833,3455.74
2016-09-30,22.2101993560791,1.3967,3425.64
2016-10-10,23.0757999420166,1.3728,3563.54
2016-10-11,23.03019905090332,1.4004,3558.62
2016-10-12,22.8341007232666,1.4103,3533.56
2016-10-13,22.461599349975582,1.4284,3488.52
2016-10-14,22.493099212646484,1.4032,3481.97
2016-10-17,22.43219947814941,1.4038,3477.15
2016-10-18,22.703800201416016,1.3876,3512.83
2016-10-19,22.57670021057129,1.3926,3501.62
2016-10-20,22.59749984741211,1.3902,3507.68
2016-10-21,22.59749984741211,1.3902,3507.68
2016-10-24,22.77090072631836,1.3648,3519.87
2016-10-25,22.6205997467041,1.3706,3504.42
2016-10-26,22.36009979248047,1.3874,3460.64
2016-10-27,22.316499710083008,1.3861,3462.61
2016-10-28,21.854799270629883,1.4036,3415.7
2016-10-31,21.875900268554688,1.3935,3387.17
2016-11-01,22.21269989013672,1.3771,3430.76
2016-11-02,21.962299346923828,1.3915,3397.21
2016-11-03,21.76499938964844,1.4021,3370.61
2016-11-04,21.63789939880371,1.4098,3354.04
2016-11-07,21.842500686645508,1.3925,3391.07
2016-11-08,22.076499938964844,1.3842,3411.77
2016-11-09,21.72480010986328,1.408,3358.33
2016-11-10,22.127700805664062,1.3816,3419.11
2016-11-11,21.66659927368164,1.4058,3358.73
2016-11-14,21.5226993560791,1.4186,3329.32
2016-11-15,21.740699768066406,1.402,3364.39
2016-11-16,21.87070083618164,1.3918,3391.69
2016-11-17,21.75040054321289,1.4215,3374.61
2016-11-18,21.82299995422364,1.4132,3392.91
2016-11-21,21.896299362182617,1.4067,3407.96
2016-11-22,21.96649932861328,1.4069,3411.47
2016-11-23,21.73789978027344,1.4179,3385.85
2016-11-24,21.641300201416016,1.4425,3371.25
2016-11-25,21.75539970397949,1.4334,3392.06
2016-11-28,22.21330070495605,1.4026,3468.11
2016-11-29,22.07710075378418,1.4083,3448.89
2016-11-30,22.096099853515625,1.4066,3454.24
2016-12-01,21.854900360107425,1.4217,3416.7
2016-12-02,21.722999572753903,1.4287,3398.57
2016-12-05,21.7185001373291,1.44,3397.17
2016-12-06,21.78709983825684,1.4327,3411.6
2016-12-07,21.83810043334961,1.4297,3422.06
2016-12-08,21.8435001373291,1.428,3426.2
2016-12-09,21.51740074157715,1.4498,3377.99
2016-12-12,21.10930061340332,1.4787,3311.1
2016-12-13,21.17799949645996,1.4703,3327.18
2016-12-14,21.11090087890625,1.4739,3316.13
2016-12-15,20.79990005493164,1.4957,3267.12
2016-12-16,20.899200439453125,1.4916,3276.73
2016-12-19,20.718299865722656,1.4591,3251.01
2016-12-20,20.63969993591309,1.4671,3235.71
2016-12-21,20.68050003051757,1.4612,3248.05
2016-12-22,20.51810073852539,1.4721,3223.39
2016-12-23,20.418800354003903,1.4779,3211.1
2016-12-26,20.418800354003903,1.4779,3211.1
2016-12-27,20.418800354003903,1.4779,3211.1
2016-12-28,20.608699798583984,1.4681,3243.04
2016-12-29,20.757400512695312,1.407,3259.55
2016-12-30,21.06410026550293,1.3857,3307.99
2017-01-03,20.90399932861328,1.3963,3283.52
2017-01-04,21.13999938964844,1.3791,3324.79
2017-01-05,21.286699295043945,1.3706,3305.87
2017-01-06,21.54599952697754,1.3985,3272.63
2017-01-09,21.69969940185547,1.3657,3291.69
2017-01-10,22.07010078430176,1.3497,3334.85
2017-01-11,22.173599243164062,1.3424,3349.7
2017-01-12,22.152999877929688,1.3473,3340.28
2017-01-13,22.09000015258789,1.3465,3339.3
2017-01-16,21.947900772094727,1.3552,3320.49
2017-01-17,22.28860092163086,1.3373,3368.89
2017-01-18,22.388900756835938,1.3309,3381.52
2017-01-19,22.367300033569336,1.3311,3385.09
2017-01-20,22.66220092773437,1.3114,3434.25
2017-01-23,22.77039909362793,1.3062,3448.67
2017-01-24,22.72699928283692,1.3089,3439.09
2017-01-25,22.78019905090332,1.3039,3450.94
2017-01-26,22.81040000915528,1.3008,3457.81
2017-02-03,22.768199920654297,1.3099,3433.06
2017-02-06,23.05419921875,1.2935,3479.61
2017-02-07,23.206100463867188,1.2899,3488.98
2017-02-08,23.172700881958008,1.2888,3490.09
2017-02-09,23.22360038757324,1.2825,3505.57
2017-02-10,23.42959976196289,1.2734,3527.17
2017-02-13,23.68819999694824,1.2604,3566.46
2017-02-14,23.33180046081543,1.2792,3514.94
2017-02-15,23.104400634765625,1.2878,3489.13
2017-02-16,23.39080047607422,1.2647,3550.14
2017-02-17,23.13570022583008,1.2862,3495.99
2017-02-20,23.086700439453125,1.2862,3494.72
2017-02-21,23.11319923400879,1.281,3506.26
2017-02-22,23.400999069213867,1.266,3545.02
2017-02-23,23.83530044555664,1.2391,3615.84
2017-02-24,23.732799530029297,1.2441,3602.17
2017-02-27,23.41270065307617,1.2601,3555.56
2017-02-28,23.38920021057129,1.2593,3553.99
2017-03-01,23.80649948120117,1.2458,3599.11
2017-03-02,23.541000366210938,1.2536,3574.12
2017-03-03,23.29829978942871,1.2653,3537.06
2017-03-06,22.502599716186523,1.1323,3567.33
2017-03-07,22.569700241088867,1.1321,3570.21
2017-03-08,22.616100311279297,1.1276,3582.57
2017-03-09,22.375900268554688,1.1387,3550.95
2017-03-10,22.25950050354004,1.1469,3528.39
2017-03-13,22.75830078125,1.1216,3606.62
2017-03-14,22.729900360107425,1.1252,3595.45
2017-03-15,22.63089942932129,1.1294,3585.09
2017-03-16,22.936599731445312,1.1155,3628.81
2017-03-17,22.584199905395508,1.1065,3660.73
2017-03-20,22.796199798583984,1.091,3711.02
2017-03-21,23.07410049438477,1.0845,3727.43
2017-03-22,22.874099731445312,1.0901,3712.06
2017-03-23,22.61280059814453,1.0914,3709.78
2017-03-24,24.167200088500977,1.0823,3744.33
2017-03-27,23.694700241088867,1.1065,3668.74
2017-03-28,23.801300048828125,1.1021,3679.95
2017-03-29,23.183000564575195,1.1011,3680.98
