,PE_TTM,DIVIDENDYIELD2,CLOSE
2014-01-02,9.266200065612791,3.3911,23340.05
2014-01-03,9.042699813842772,3.4676,22817.28
2014-01-06,8.969200134277344,3.4887,22684.15
2014-01-07,8.965700149536133,3.4831,22712.78
2014-01-08,9.070500373840332,3.4401,22996.59
2014-01-09,8.968600273132324,3.4717,22787.33
2014-01-10,8.992199897766113,3.4635,22846.25
2014-01-13,9.008999824523926,3.4565,22888.76
2014-01-14,8.979299545288086,3.4718,22791.28
2014-01-15,9.012200355529783,3.4595,22902.0
2014-01-16,9.028300285339355,3.4516,22986.41
2014-01-17,9.065899848937988,3.4302,23133.35
2014-01-20,8.979999542236328,3.461,22928.95
2014-01-21,9.047200202941896,3.4479,23033.12
2014-01-22,9.074199676513672,3.4422,23082.25
2014-01-23,8.918600082397461,3.4956,22733.9
2014-01-24,8.82040023803711,3.5373,22450.06
2014-01-27,8.639900207519531,3.611,21976.1
2014-01-28,8.621399879455566,3.6145,21960.64
2014-01-29,8.693400382995605,3.5882,22141.61
2014-01-30,8.649900436401367,3.6009,22035.42
2014-02-07,8.506400108337402,3.6633,21636.85
2014-02-10,8.47920036315918,3.6754,21579.26
2014-02-11,8.641200065612793,3.7141,21962.98
2014-02-12,8.765999794006348,3.663,22285.79
2014-02-13,8.691499710083008,3.6845,22165.53
2014-02-14,8.741100311279297,3.6605,22298.41
2014-02-17,8.842700004577637,3.5889,22535.94
2014-02-18,8.839699745178223,3.5843,22587.72
2014-02-19,8.85830020904541,3.5756,22664.52
2014-02-20,8.778200149536133,3.6226,22394.08
2014-02-21,8.84689998626709,3.5911,22568.24
2014-02-24,8.759699821472168,3.6198,22388.56
2014-02-25,8.737299919128418,3.6252,22317.2
2014-02-26,8.82390022277832,3.606,22437.44
2014-02-27,8.991100311279297,3.5444,22828.18
2014-02-28,8.963399887084961,3.5438,22836.96
2014-03-03,8.83650016784668,3.5916,22500.67
2014-03-04,8.898599624633789,3.5683,22657.63
2014-03-05,8.841699600219727,3.5818,22579.78
2014-03-06,8.87969970703125,3.5735,22702.97
2014-03-07,8.883399963378906,3.5833,22660.49
2014-03-10,8.746999740600586,3.6451,22264.93
