,PE_TTM,DIVIDENDYIELD2,CLOSE
2015-08-17,29.170299530029297,0.8113,3159.55
2015-08-18,28.41390037536621,0.8312,3058.68
2015-08-19,28.37290000915528,0.8126,3038.46
2015-08-20,27.481199264526367,0.8371,2930.48
2015-08-21,25.627899169921875,0.8657,2833.19
2015-08-24,24.04949951171875,0.9175,2635.59
2015-08-25,24.92690086364746,0.8845,2678.36
2015-08-26,24.572099685668945,0.9011,2683.5
2015-08-27,25.62689971923828,0.8692,2846.94
2015-08-28,25.52470016479492,0.8689,2885.48
2015-08-31,25.49029922485352,0.8653,2838.79
2015-09-01,24.70549964904785,0.8927,2779.0
2015-09-02,24.656299591064453,0.894,2761.86
2015-09-07,24.608299255371094,0.8879,2781.92
2015-09-08,25.346399307250977,0.8622,2895.67
2015-09-09,26.105100631713867,0.8373,2965.39
2015-09-10,25.336299896240234,0.8838,2915.96
2015-09-11,25.17449951171875,0.8918,2919.09
2015-09-14,25.4734001159668,0.866,2890.73
2015-09-15,25.855300903320312,0.8521,2879.85
2015-09-16,26.67460060119629,0.8263,2968.0
2015-09-17,26.66270065307617,0.825,2997.5
2015-09-18,26.944299697875977,0.8162,3058.01
2015-09-21,26.77589988708496,0.8218,3072.47
2015-09-22,26.53190040588379,0.8297,3046.13
2015-09-23,26.104700088500977,0.8432,2970.49
2015-09-24,26.045799255371094,0.8447,2960.4
2015-09-25,26.023700714111328,0.8452,2937.7
2015-09-28,26.023700714111328,0.8452,2937.7
2015-09-29,25.27039909362793,0.8707,2849.45
2015-09-30,25.704599380493164,0.8562,2900.14
2015-10-08,27.766300201416016,0.7904,3042.2
2015-10-09,27.785999298095703,0.7893,3056.62
2015-10-12,28.344600677490234,0.7742,3143.82
2015-10-13,28.214399337768555,0.7787,3142.11
2015-10-14,28.048200607299805,0.7835,3100.94
2015-10-15,28.55459976196289,0.7698,3158.29
2015-10-16,28.8612003326416,0.7614,3197.75
2015-10-19,28.87719917297364,0.7612,3181.18
2015-10-20,28.83390045166016,0.7626,3178.42
2015-10-21,28.83390045166016,0.7626,3178.42
2015-10-22,28.75749969482422,0.7645,3177.7
2015-10-23,29.228200912475582,0.7518,3209.2
2015-10-26,29.214599609375,0.752,3215.49
2015-10-27,29.10759925842285,0.7525,3201.75
2015-10-28,29.1289005279541,0.7522,3176.31
2015-10-29,29.118200302124023,0.7586,3170.55
2015-10-30,28.951499938964844,0.7631,3173.89
2015-11-02,28.99169921875,0.7616,3148.43
2015-11-03,29.54949951171875,0.7479,3189.86
2015-11-04,30.163799285888672,0.7323,3285.96
2015-11-05,30.045799255371094,0.7353,3277.5
2015-11-06,30.3971004486084,0.7261,3307.61
2015-11-09,30.033700942993164,0.7355,3291.1
2015-11-10,29.112499237060547,0.7461,3224.52
2015-11-11,29.188600540161133,0.7433,3210.67
2015-11-12,33.382198333740234,0.725,3301.02
2015-11-13,33.05289840698242,0.7329,3308.23
2015-11-16,32.494598388671875,0.7454,3274.8
2015-11-17,33.03900146484375,0.7363,3301.71
2015-11-18,33.11980056762695,0.7363,3291.96
2015-11-19,33.65650177001953,0.7258,3366.24
2015-11-20,34.19499969482422,0.682,3435.94
2015-11-23,34.33319854736328,0.6802,3447.29
2015-11-24,34.46260070800781,0.6781,3445.01
2015-11-25,34.482601165771484,0.7109,3434.83
2015-11-26,34.20429992675781,0.7162,3384.35
2015-11-27,33.58250045776367,0.7296,3305.58
2015-11-30,33.746700286865234,0.7258,3306.53
2015-12-01,33.91859817504883,0.7226,3350.87
2015-12-02,33.7952995300293,0.7207,3342.3
2015-12-03,33.815799713134766,0.7199,3319.62
2015-12-04,33.21630096435547,0.7364,3288.02
2015-12-07,32.47129821777344,0.7323,3292.54
2015-12-08,32.21730041503906,0.7385,3266.48
2015-12-09,32.23149871826172,0.7373,3232.88
2015-12-10,32.01559829711914,0.7417,3183.87
2015-12-11,31.44109916687012,0.7548,3132.98
2015-12-14,31.2317008972168,0.7603,3118.64
2015-12-15,31.417400360107425,0.7559,3129.61
2015-12-16,32.164398193359375,0.7378,3173.72
2015-12-17,32.225101470947266,0.7378,3188.55
2015-12-18,31.993799209594727,0.7424,3137.47
2015-12-21,31.886199951171875,0.7459,3134.92
2015-12-22,32.00429916381836,0.7428,3153.21
2015-12-23,32.24290084838867,0.7369,3164.68
2015-12-24,32.15650177001953,0.7386,3159.55
2015-12-25,32.15650177001953,0.7386,3159.55
2015-12-28,31.958999633789062,0.7435,3138.49
2015-12-29,31.93409919738769,0.7439,3139.08
2015-12-30,31.98500061035156,0.7436,3154.5
2015-12-31,32.26169967651367,0.7372,3158.53
2016-01-04,31.3838005065918,0.7575,3042.12
2016-01-05,31.079700469970703,0.7642,3032.19
2016-01-06,30.806400299072266,0.771,3013.53
2016-01-07,29.545499801635746,0.8035,2881.91
2016-01-08,30.07900047302246,0.7897,2931.76
2016-01-11,28.97949981689453,0.8182,2807.52
2016-01-12,28.54990005493164,0.8293,2776.15
2016-01-13,28.760099411010746,0.8224,2790.96
2016-01-14,28.671499252319336,0.8253,2774.82
2016-01-15,28.41580009460449,0.8314,2711.14
2016-01-18,28.22130012512207,0.8373,2689.96
