,PE_TTM,DIVIDENDYIELD2,CLOSE
2018-08-20,10.158699989318848,3.6769,75206.07
2018-08-21,10.12090015411377,3.6856,75664.84
2018-08-22,10.20110034942627,3.6738,76155.62
2018-08-23,10.139800071716309,3.6727,75781.72
2018-08-24,10.10890007019043,3.6972,75467.45
2018-08-27,10.30490016937256,3.6257,77109.96
2018-08-28,10.408499717712402,3.6138,77329.14
2018-08-29,10.432299613952637,3.6113,77505.93
2018-08-30,10.350600242614746,3.8512,76903.52
2018-08-31,10.20989990234375,3.9024,76151.26
2018-09-03,10.134300231933594,3.4391,75747.1
2018-09-04,10.232000350952148,3.4036,76459.95
2018-09-05,9.965200424194336,3.4478,74476.58
2018-09-06,9.87320041656494,3.5927,73810.52
2018-09-07,9.885499954223633,3.5861,73809.35
2018-09-10,9.864800453186035,3.5229,72855.94
2018-09-11,9.781999588012695,3.5642,72343.72
2018-09-12,9.738200187683104,3.6057,72152.14
2018-09-13,9.997699737548828,3.5086,74002.15
2018-09-14,10.108699798583984,3.4453,74747.03
2018-09-17,9.976900100708008,3.5209,73801.94
2018-09-18,10.029199600219728,3.5303,74230.78
2018-09-19,10.155099868774414,3.4434,75115.24
2018-09-20,10.15060043334961,3.427,75307.92
2018-09-21,10.32129955291748,3.3811,76622.32
2018-09-25,10.14799976348877,3.4236,75380.3
2018-09-26,10.271699905395508,3.3797,76250.56
2018-09-27,10.22599983215332,3.395,75973.17
2018-09-28,10.261199951171877,3.3877,76172.85
2018-10-08,9.698800086975098,3.5765,71827.5
2018-10-09,9.697199821472168,3.584,71746.18
2018-10-10,9.701499938964844,3.5859,71801.46
2018-10-11,9.355199813842772,3.8254,69345.58
2018-10-12,9.556599617004396,3.7363,70814.26
2018-10-15,9.421199798583984,3.7094,69844.2
2018-10-16,9.444299697875977,3.7031,69891.42
2018-10-17,9.444299697875977,3.7031,69891.42
2018-10-18,9.415800094604492,3.6907,69870.26
2018-10-19,9.457599639892578,3.6785,70163.54
2018-10-22,9.661999702453612,3.5993,71787.83
2018-10-23,9.410300254821776,3.7183,69573.8
2018-10-24,9.388699531555176,3.7321,69308.19
2018-10-25,9.353400230407717,3.773,68607.35
2018-10-26,9.249600410461426,3.822,67847.48
2018-10-29,9.285499572753906,3.8279,68116.59
2018-10-30,9.166600227355955,3.8704,67494.76
2018-10-31,9.328100204467772,3.7803,68576.84
2018-11-01,9.4822998046875,3.7117,69774.64
2018-11-02,9.87119960784912,3.555,72713.07
2018-11-05,9.679800033569336,3.635,71197.78
2018-11-06,9.750900268554688,3.6104,71709.98
2018-11-07,9.75510025024414,3.6115,71783.34
2018-11-08,9.804400444030762,3.5955,72003.06
2018-11-09,9.55239963531494,3.6952,70285.05
2018-11-12,9.541099548339844,3.7611,70408.5
2018-11-13,9.590299606323242,3.7359,70847.13
2018-11-14,9.520899772644045,3.7011,70466.86
2018-11-15,9.69569969177246,3.623,71699.92
2018-11-16,9.744500160217283,3.6085,71920.19
2018-11-19,9.805299758911133,3.5816,72437.85
2018-11-20,9.6225004196167,3.6559,70977.52
2018-11-21,9.661499977111816,3.6339,71337.71
2018-11-22,9.671799659729004,3.6437,71486.82
2018-11-23,9.634699821472168,3.6579,71234.81
