,PE_TTM,DIVIDENDYIELD2,CLOSE
2024-04-08,8.216899871826172,4.7301,2255.15
2024-04-09,8.251799583435059,4.7056,2272.31
2024-04-10,8.390999794006348,4.63,2306.9
2024-04-11,8.374199867248535,4.6415,2302.17
2024-04-12,8.221500396728516,4.7337,2260.15
2024-04-15,8.198599815368652,4.7643,2249.0
2024-04-16,8.06760025024414,4.8562,2199.17
2024-04-17,8.073800086975098,4.8533,2203.19
2024-04-18,8.148900032043457,4.8153,2222.75
2024-04-19,8.112899780273438,4.8474,2197.02
2024-04-22,8.199899673461914,4.7569,2233.57
2024-04-23,8.31410026550293,4.6763,2280.34
2024-04-24,8.463600158691406,4.5846,2331.83
2024-04-25,8.491399765014648,4.5665,2340.96
2024-04-26,8.635199546813965,4.48,2393.33
2024-04-29,8.702899932861328,4.4568,2405.5
2024-04-30,8.715999603271484,4.4497,2405.57
2024-05-06,9.001299858093262,4.2724,2512.55
2024-05-07,8.998499870300293,4.2827,2500.06
2024-05-08,8.931400299072266,4.3349,2488.96
2024-05-09,9.04860019683838,4.5201,2525.63
2024-05-10,9.304800033569336,4.4124,2582.0
2024-05-13,9.345399856567385,4.323,2596.59
2024-05-14,9.23449993133545,4.3661,2591.51
2024-05-15,9.23449993133545,4.3661,2591.51
2024-05-16,9.442999839782717,4.2424,2640.69
2024-05-17,9.48799991607666,4.393,2649.08
2024-05-20,9.53660011291504,4.2279,2658.24
2024-05-21,9.366000175476074,4.3293,2599.54
2024-05-22,9.363699913024902,4.3791,2607.88
2024-05-23,9.250800132751465,4.4039,2572.83
2024-05-24,9.137399673461914,4.314,2531.18
2024-05-27,9.24940013885498,4.1876,2567.13
2024-05-28,9.258700370788574,4.2508,2562.12
2024-05-29,9.1274995803833,4.3925,2514.21
2024-05-30,8.993300437927246,4.4097,2479.92
2024-05-31,8.929800033569336,4.4489,2456.97
2024-06-03,9.08549976348877,4.3503,2501.23
2024-06-04,9.093000411987305,4.3524,2510.83
2024-06-05,9.06130027770996,4.4449,2504.15
