,PE_TTM,DIVIDENDYIELD2,CLOSE
2019-09-09,6.374000072479248,5.0885,3234.86
2019-09-10,6.4096999168396,5.0681,3254.76
2019-09-11,6.528800010681152,4.9437,3296.75
2019-09-12,6.515200138092041,5.2117,3303.36
2019-09-16,6.552599906921387,5.1221,3327.59
2019-09-17,6.470300197601318,5.2502,3287.14
2019-09-18,6.438600063323975,5.2387,3287.38
2019-09-19,6.38070011138916,5.2302,3258.19
2019-09-20,6.392000198364258,5.2301,3259.6
2019-09-23,6.350100040435791,5.2717,3227.28
2019-09-24,6.328800201416016,5.2853,3205.59
2019-09-25,6.276599884033203,5.3447,3170.66
2019-09-26,6.290200233459473,5.3377,3177.39
2019-09-27,6.247399806976318,5.3628,3158.0
2019-09-30,6.295100212097168,5.305,3171.91
2019-10-08,6.286799907684326,5.3441,3176.44
2019-10-09,6.281499862670898,5.328,3170.44
2019-10-10,6.305399894714356,5.3074,3182.88
2019-10-11,6.457699775695801,5.178,3260.82
2019-10-14,6.494500160217285,5.1572,3277.65
2019-10-15,6.486599922180176,5.165,3272.87
2019-10-16,6.489799976348877,5.1554,3281.33
2019-10-17,6.531000137329102,5.1195,3297.7
2019-10-18,6.492800235748291,5.1411,3282.64
2019-10-21,6.516200065612793,5.1192,3301.83
2019-10-22,6.500400066375732,5.145,3290.84
2019-10-23,6.474800109863281,5.1751,3270.12
2019-10-24,6.540500164031982,5.1287,3302.06
2019-10-25,6.53380012512207,5.1514,3307.21
2019-10-28,6.6057000160217285,5.1112,3329.56
2019-10-29,6.578800201416016,5.1237,3327.65
2019-10-30,6.5767998695373535,5.1706,3309.53
2019-10-31,6.597799777984619,5.1563,3307.93
2019-11-01,6.664999961853027,5.0782,3347.64
2019-11-04,6.76800012588501,4.9986,3406.4
2019-11-05,6.814000129699707,4.9626,3438.81
2019-11-06,6.801000118255615,4.9738,3443.48
2019-11-07,6.848299980163574,4.937,3463.05
2019-11-08,6.81850004196167,4.9621,3450.65
