,PE_TTM,DIVIDENDYIELD2,CLOSE
2019-01-21,18.821399688720703,1.4804,3291.78
2019-01-22,18.473499298095703,1.5078,3239.52
2019-01-23,18.60009956359864,1.4979,3257.92
2019-01-24,18.838600158691406,1.4772,3299.93
2019-01-25,18.92779922485352,1.4689,3320.22
2019-01-28,18.651599884033203,1.4972,3264.84
2019-01-29,18.91419982910156,1.4697,3315.98
2019-01-30,18.65139961242676,1.4846,3275.03
2019-01-31,19.316499710083008,1.4326,3397.12
2019-02-01,19.623899459838867,1.4132,3445.13
2019-02-11,19.46050071716309,1.4264,3418.74
2019-02-12,20.07859992980957,1.3838,3524.34
2019-02-13,20.28300094604492,1.3711,3559.43
2019-02-14,20.38450050354004,1.3617,3582.55
2019-02-15,19.80279922485352,1.4016,3480.25
2019-02-18,20.125200271606445,1.3798,3534.9
2019-02-19,19.299699783325195,1.4451,3391.39
2019-02-20,18.947099685668945,1.4678,3337.85
2019-02-21,19.197900772094727,1.4466,3380.5
2019-02-22,19.330699920654297,1.4346,3412.16
2019-02-25,19.45940017700196,1.4277,3437.15
2019-02-26,20.00079917907715,1.3972,3511.75
2019-02-27,19.769899368286133,1.4094,3478.07
2019-02-28,19.66349983215332,1.4206,3457.99
2019-03-01,19.85059928894043,1.3984,3517.19
2019-03-04,20.31940078735352,1.363,3608.48
2019-03-05,20.617700576782227,1.3442,3660.58
2019-03-06,20.7544002532959,1.3401,3683.33
2019-03-07,20.28459930419922,1.3668,3607.64
2019-03-08,19.69989967346192,1.4067,3505.93
2019-03-11,20.24970054626465,1.3429,3572.42
2019-03-12,20.690099716186523,1.2403,3616.04
2019-03-13,20.278200149536133,1.2638,3553.65
2019-03-14,19.946399688720703,1.2844,3490.29
2019-03-15,20.139799118041992,1.2675,3524.19
2019-03-18,20.42889976501465,1.2406,3593.54
2019-03-19,20.603599548339844,1.2193,3639.62
2019-03-20,20.36529922485352,1.2296,3620.22
2019-03-21,20.652999877929688,1.2085,3676.46
2019-03-22,20.499399185180664,1.2138,3654.33
2019-03-25,19.60650062561035,1.2588,3526.45
2019-03-26,19.282100677490234,1.2709,3486.73
2019-03-27,19.687000274658203,1.2573,3529.2
2019-03-28,19.79780006408692,1.262,3513.0
2019-03-29,19.867599487304688,1.2289,3613.48
2019-04-01,16.77589988708496,1.2184,3641.8
2019-04-02,16.757699966430664,1.2203,3631.46
2019-04-03,16.86050033569336,1.2128,3648.66
2019-04-04,16.853900909423828,1.212,3652.76
