,PE_TTM,DIVIDENDYIELD2,CLOSE
2019-11-18,6.956099987030029,5.4619,3236.44
2019-11-19,7.037799835205078,5.3979,3278.81
2019-11-20,7.008500099182129,5.4168,3273.24
2019-11-21,6.897299766540527,5.5435,3230.39
2019-11-22,6.930500030517578,5.5086,3233.56
2019-11-25,7.0167999267578125,5.4074,3267.38
2019-11-26,7.01140022277832,5.4197,3255.15
2019-11-27,7.018400192260742,5.4226,3265.67
2019-11-28,6.987100124359131,5.4508,3255.69
2019-11-29,6.843599796295166,5.5539,3207.21
2019-12-02,6.857100009918213,5.5578,3214.01
2019-12-03,6.837399959564209,5.573,3213.28
2019-12-04,6.7743000984191895,5.6143,3174.41
2019-12-05,6.798600196838379,5.5903,3192.4
2019-12-06,6.850900173187256,5.5493,3212.67
2019-12-09,6.87529993057251,5.531,3227.09
2019-12-10,6.867199897766113,5.5392,3219.5
2019-12-11,6.914999961853027,5.52,3246.7
2019-12-12,6.967700004577637,5.4748,3270.29
2019-12-13,7.121500015258789,5.3339,3339.33
2019-12-16,7.0868000984191895,5.3526,3334.43
2019-12-17,7.196300029754639,5.2905,3366.07
2019-12-18,7.236299991607666,5.2799,3379.15
2019-12-19,7.236899852752685,5.3053,3361.79
2019-12-20,7.269400119781494,5.282,3372.54
2019-12-23,7.282199859619141,5.2475,3385.88
2019-12-24,7.27269983291626,5.2541,3376.83
2019-12-25,7.27269983291626,5.2541,3376.83
2019-12-26,7.27269983291626,5.2541,3376.83
2019-12-27,7.359499931335449,5.1917,3407.03
2019-12-30,7.367700099945068,5.1788,3423.6
2019-12-31,7.351600170135498,5.19,3412.57
2020-01-02,7.413300037384033,5.1566,3451.15
2020-01-03,7.374599933624268,5.1834,3444.32
2020-01-06,7.319300174713135,5.1896,3415.34
2020-01-07,7.307400226593018,5.1963,3416.36
2020-01-08,7.250500202178955,5.2253,3395.86
2020-01-09,7.347400188446045,5.1568,3441.9
2020-01-10,7.341599941253662,5.1543,3455.38
2020-01-13,7.400800228118896,5.1062,3475.65
2020-01-14,7.385200023651123,5.1041,3489.3
2020-01-15,7.362899780273437,5.1164,3484.07
2020-01-16,7.361899852752685,5.1045,3497.99
2020-01-17,7.408999919891357,5.0698,3519.69
2020-01-20,7.346399784088135,5.105,3480.02
2020-01-21,7.154600143432617,5.2406,3386.33
2020-01-22,7.250699996948242,5.1662,3439.03
2020-01-23,7.130300045013428,5.252,3368.82
2020-02-03,6.681399822235107,5.5954,3136.3
2020-02-04,6.731500148773193,5.5562,3174.07
2020-02-05,6.769100189208984,5.5278,3193.07
2020-02-06,6.958199977874756,5.3685,3269.25
2020-02-07,6.932799816131592,5.3827,3249.45
2020-02-10,6.9045000076293945,5.4016,3243.14
2020-02-11,6.984000205993652,5.3486,3269.6
2020-02-12,7.042200088500977,5.3004,3301.11
2020-02-13,7.020400047302246,5.3125,3299.59
2020-02-14,7.058899879455566,5.2931,3321.64
2020-02-17,7.085599899291992,5.2753,3325.77
2020-02-18,7.001800060272217,5.3412,3298.4
2020-02-19,7.245999813079834,5.3076,3324.16
2020-02-20,7.236499786376953,5.3184,3317.94
2020-02-21,7.171500205993652,5.3691,3287.11
2020-02-24,7.069900035858154,5.0872,3236.64
2020-02-25,7.040299892425537,5.1074,3226.49
2020-02-26,6.994699954986572,5.1499,3220.56
2020-02-27,7.072000026702881,5.4867,3242.49
2020-02-28,6.937600135803223,5.625,3158.66
2020-03-02,7.019100189208984,5.5783,3202.01
2020-03-03,7.015500068664551,5.6732,3201.66
2020-03-04,7.013899803161621,5.6964,3211.11
2020-03-05,7.113399982452393,5.5364,3247.37
2020-03-06,6.939199924468994,5.7163,3168.03
2020-03-09,6.618899822235107,5.9433,3027.58
2020-03-10,6.702700138092041,5.8801,3054.22
2020-03-11,6.688700199127197,5.9422,3045.5
2020-03-12,6.521999835968018,6.1455,2937.62
2020-03-13,6.4475998878479,6.2065,2883.51
2020-03-16,6.246300220489502,6.3966,2780.79
2020-03-17,6.247200012207031,6.4024,2752.73
2020-03-18,6.026400089263916,6.67,2643.56
2020-03-19,5.85129976272583,6.8605,2517.95
2020-03-20,6.201200008392334,6.4802,2659.4
2020-03-23,5.958799839019775,6.7894,2512.37
2020-03-24,6.205599784851074,6.494,2610.75
2020-03-25,6.367899894714356,6.3109,2726.51
2020-03-26,6.323200225830078,6.3483,2722.67
2020-03-27,6.2846999168396,6.3012,2762.06
2020-03-30,6.1595001220703125,6.3885,2725.85
2020-03-31,6.316500186920166,6.2391,2804.34
2020-04-01,6.189700126647949,5.9901,2748.24
2020-04-02,6.251500129699707,5.9258,2772.72
2020-04-03,6.234000205993652,5.909,2776.58
2020-04-07,6.465000152587891,5.6649,2898.91
2020-04-08,6.37060022354126,5.7482,2863.86
2020-04-09,6.447100162506104,5.668,2918.23
2020-04-10,6.447100162506104,5.668,2918.23
2020-04-13,6.479300022125244,5.668,2918.23
2020-04-14,6.510000228881836,5.6423,2933.34
2020-04-15,6.415900230407715,5.7302,2897.35
2020-04-16,6.352700233459473,5.7847,2874.96
2020-04-17,6.412499904632568,5.7306,2920.96
2020-04-20,6.405300140380859,5.7311,2910.31
2020-04-21,6.293499946594238,5.8399,2855.79
2020-04-22,6.311100006103516,5.8186,2860.17
2020-04-23,6.323699951171875,5.796,2868.6
2020-04-24,6.294099807739258,5.8278,2843.86
2020-04-27,6.447199821472168,5.7068,2901.03
2020-04-28,6.6128997802734375,5.6413,2943.55
2020-04-29,6.645199775695801,5.6226,2957.23
2020-04-30,6.6545000076293945,5.6226,2957.23
2020-05-06,6.452099800109863,5.7893,2886.44
2020-05-07,6.545100212097168,5.8279,2871.78
2020-05-08,6.614999771118164,5.7668,2913.16
2020-05-11,6.670499801635742,5.719,2932.81
2020-05-12,6.572999954223633,5.8299,2892.29
2020-05-13,6.552599906921387,5.8733,2883.31
2020-05-14,6.453400135040283,5.9845,2833.54
2020-05-15,6.450699806213379,5.9672,2824.28
2020-05-18,6.500100135803223,5.748,2841.03
2020-05-19,6.589600086212158,5.6996,2879.56
2020-05-20,6.559999942779541,5.7339,2861.37
2020-05-21,6.555500030517578,5.5102,2847.08
2020-05-22,6.266900062561035,5.699,2693.95
2020-05-25,6.264200210571289,5.9625,2692.64
2020-05-26,6.340700149536133,5.8668,2734.22
2020-05-27,6.329599857330322,5.8855,2721.72
2020-05-28,6.354899883270264,5.5377,2712.05
2020-05-29,6.304999828338623,5.5956,2698.24
2020-06-01,6.4604997634887695,5.3027,2774.78
2020-06-02,6.498600006103516,5.2845,2808.86
2020-06-03,6.550300121307373,5.2327,2836.39
2020-06-04,6.537399768829346,5.5309,2828.18
2020-06-05,6.646699905395508,5.4188,2885.4
2020-06-08,6.607699871063232,5.1966,2892.39
2020-06-09,6.673200130462647,5.172,2924.43
2020-06-10,6.664899826049805,5.2571,2910.33
2020-06-11,6.520199775695801,5.3617,2843.11
2020-06-12,6.452199935913086,5.3452,2828.06
2020-06-15,6.360899925231934,5.4548,2779.34
2020-06-16,6.468100070953369,5.3504,2835.44
2020-06-17,6.485099792480469,5.3822,2846.95
2020-06-18,6.470900058746338,5.4873,2856.65
2020-06-19,6.531099796295166,5.4399,2872.01
2020-06-22,6.418099880218506,5.7051,2830.34
2020-06-23,6.457200050354004,5.6576,2838.84
2020-06-24,6.418099880218506,5.6885,2822.81
2020-06-29,6.322100162506104,5.2355,2783.59
2020-06-30,6.311100006103516,5.2259,2783.81
2020-07-01,6.311100006103516,5.2259,2783.81
2020-07-02,6.407199859619141,6.4208,2858.36
2020-07-03,6.474299907684326,5.3848,2884.73
2020-07-06,6.79580020904541,5.2767,3013.17
2020-07-07,6.648200035095215,5.5792,2947.95
2020-07-08,6.61959981918335,5.6093,2949.71
2020-07-09,6.579599857330322,5.642,2932.67
2020-07-10,6.453100204467773,5.7435,2882.45
2020-07-13,6.444300174713135,5.7373,2893.09
2020-07-14,6.385499954223633,5.7863,2858.5
2020-07-15,6.343699932098389,5.813,2845.13
2020-07-16,6.307400226593018,5.8555,2811.17
2020-07-17,6.311999797821045,5.8546,2820.64
2020-07-20,6.323400020599365,5.8499,2851.4
2020-07-21,6.3119001388549805,5.8349,2846.0
2020-07-22,6.242400169372559,5.9119,2817.91
2020-07-23,6.217899799346924,5.9325,2813.4
2020-07-24,6.138700008392334,6.006,2768.89
2020-07-27,6.137199878692627,6.0226,2754.79
2020-07-28,6.124899864196777,6.031,2763.4
2020-07-29,6.153600215911865,5.9988,2775.13
2020-07-30,6.134399890899658,6.0208,2778.28
2020-07-31,6.087100028991699,6.0586,2772.93
2020-08-03,6.168300151824951,6.0874,2773.7
2020-08-04,6.266499996185303,6.0094,2816.49
2020-08-05,6.293000221252441,5.9906,2825.27
2020-08-06,6.258299827575684,6.0332,2817.01
2020-08-07,6.204599857330322,6.0837,2807.3
2020-08-10,6.23330020904541,6.0048,2805.55
2020-08-11,6.355000019073486,5.8669,2848.0
2020-08-12,6.43310022354126,5.7807,2882.7
2020-08-13,6.440100193023682,5.7723,2878.02
2020-08-14,6.444900035858154,5.801,2874.42
2020-08-17,6.553800106048584,5.545,2911.41
2020-08-18,6.5594000816345215,5.543,2902.72
2020-08-19,6.621799945831299,5.5594,2893.92
2020-08-20,6.535200119018555,5.6524,2861.05
2020-08-21,6.567399978637695,5.5894,2893.59
2020-08-24,6.5960001945495605,5.5493,2926.36
2020-08-25,6.60290002822876,5.5461,2941.21
2020-08-26,6.605899810791016,5.5552,2938.7
2020-08-27,6.516600131988525,6.0302,2896.14
2020-08-28,6.566800117492676,5.9954,2912.46
2020-08-31,6.920599937438965,5.6367,2881.6
2020-09-01,6.884399890899658,5.66,2880.36
2020-09-02,6.806600093841553,5.7655,2867.67
2020-09-03,6.812300205230713,5.8771,2873.93
2020-09-04,6.803400039672852,5.9118,2850.02
2020-09-07,7.0278000831604,5.7666,2840.18
2020-09-08,7.144199848175049,5.707,2855.42
2020-09-09,7.089900016784668,5.7467,2835.97
2020-09-10,7.1057000160217285,5.8273,2828.53
2020-09-11,7.095799922943115,5.8269,2828.83
2020-09-14,7.095699787139893,5.5353,2836.0
2020-09-15,7.121799945831299,5.5063,2854.72
2020-09-16,7.098700046539307,5.5871,2848.06
2020-09-17,7.044700145721436,5.6226,2829.93
2020-09-18,7.064899921417236,5.6181,2834.99
2020-09-21,6.954100131988525,5.7124,2794.48
2020-09-22,6.881800174713135,5.7769,2764.28
2020-09-23,6.823999881744385,5.8331,2749.7
2020-09-24,6.712800025939941,5.9101,2711.94
2020-09-25,6.6778998374938965,5.9469,2688.49
2020-09-28,6.7758002281188965,5.8579,2714.98
2020-09-29,6.676499843597412,5.9345,2689.55
2020-09-30,6.747300148010254,5.9165,2705.62
2020-10-09,6.810299873352051,5.8066,2763.6
2020-10-12,6.982100009918213,5.4903,2802.75
2020-10-13,6.982100009918213,5.5105,2802.75
2020-10-14,6.949399948120117,5.57,2793.29
2020-10-15,6.8892998695373535,5.6618,2770.19
2020-10-16,7.022200107574463,5.5574,2787.6
2020-10-19,7.110199928283691,5.5084,2798.2
2020-10-20,7.061600208282471,5.5303,2793.25
