,PE_TTM,DIVIDENDYIELD2,CLOSE
2018-11-21,17.68120002746582,1.8833,3398.22
2018-11-22,17.749000549316406,1.8669,3392.25
2018-11-23,17.62540054321289,1.8795,3361.02
2018-11-26,17.906099319458008,1.8487,3393.48
2018-11-27,18.00749969482422,1.8381,3401.77
2018-11-28,18.40089988708496,1.7963,3463.1
2018-11-29,18.25830078125,1.8101,3440.52
2018-11-30,18.322200775146484,1.8035,3449.0
2018-12-03,18.61359977722168,1.773,3506.93
2018-12-04,18.7775993347168,1.762,3532.5
2018-12-05,18.457199096679688,1.7901,3464.26
2018-12-06,17.799400329589844,1.8571,3336.99
2018-12-07,17.871599197387695,1.8442,3305.64
2018-12-10,18.029699325561523,1.854,3248.14
2018-12-11,18.109399795532227,1.8461,3269.4
2018-12-12,18.373300552368164,1.8199,3300.4
2018-12-13,18.55340003967285,1.803,3347.68
2018-12-14,18.060699462890625,1.8552,3264.31
2018-12-17,18.03499984741211,1.8597,3245.0
2018-12-18,17.787099838256836,1.8871,3201.29
2018-12-19,17.7893009185791,1.885,3189.79
2018-12-20,17.672399520874023,1.8968,3154.44
2018-12-21,17.91390037536621,1.8701,3154.44
2018-12-24,17.746700286865234,1.8921,3138.12
2018-12-25,17.746700286865234,1.8921,3138.12
2018-12-26,17.746700286865234,1.8921,3138.12
2018-12-27,17.614200592041016,1.9042,3097.89
2018-12-28,17.66990089416504,1.8978,3126.58
2019-01-02,17.4325008392334,1.9215,3076.46
2019-01-03,17.259700775146484,1.9395,3012.5
2019-01-04,17.629499435424805,1.8966,3072.02
2019-01-07,17.914899826049805,1.8665,3111.89
2019-01-08,17.964399337768555,1.866,3125.55
2019-01-09,18.391300201416016,1.8169,3190.52
2019-01-10,18.55299949645996,1.8006,3243.54
2019-01-11,18.65749931335449,1.7912,3263.44
2019-01-14,18.32229995727539,1.8234,3213.75
2019-01-15,18.78660011291504,1.78,3291.83
2019-01-16,18.865100860595703,1.7718,3319.16
2019-01-17,18.778200149536133,1.7772,3304.37
2019-01-18,19.09510040283203,1.748,3381.64
2019-01-21,19.234899520874023,1.7363,3409.5
2019-01-22,19.03689956665039,1.7563,3368.4
2019-01-23,19.1289005279541,1.7537,3382.34
2019-01-24,19.20039939880371,1.7471,3417.5
2019-01-25,19.555700302124023,1.7139,3470.75
2019-01-28,19.48040008544922,1.7194,3447.13
2019-01-29,19.457300186157227,1.7196,3444.1
2019-01-30,19.491899490356445,1.7151,3442.68
2019-01-31,19.66370010375977,1.6999,3499.51
2019-02-01,19.80820083618164,1.6861,3530.48
2019-02-11,19.94339942932129,1.6754,3562.22
2019-02-12,20.0905990600586,1.6654,3615.17
2019-02-13,20.312400817871094,1.6542,3689.01
2019-02-14,20.194599151611328,1.6663,3674.83
2019-02-15,19.768699645996094,1.7011,3579.81
2019-02-18,20.084800720214844,1.675,3644.2
2019-02-19,19.81679916381836,1.6989,3580.08
2019-02-20,20.01000022888184,1.6826,3613.87
2019-02-21,20.05139923095703,1.6654,3672.15
2019-02-22,20.3218994140625,1.6447,3736.74
2019-02-25,20.28400039672852,1.653,3740.92
2019-02-26,20.2539005279541,1.6558,3733.61
